ISBN13,rating,review
9791191075014,10,"예쁜책입니다. 글도 음식도, 다 좋았읍니다."
9788996347293,10,집에서도 해먹을 수 있는 레시피가 맘에 들었습니다
9788996347293,10,계량이 정확하고 건강에 좋은 음식이 많아서 좋네요.
9788996347293,4,메뉴가 너무 고급져서 집에서 쉽게 해먹기 어려움
9788996347293,10,요리 초보도 따라하기 쉽게 사진과 설명이 훌륭합니다. 맛도 좋고 몸에도 좋아 거의 매일 이 책에 나온 레시피로 요리합니다.
9788996347293,10,조리방법이 복잡하지 않고 설명도 잘 되어있어요 ^^ 채식에 관심이 있어서 찾아보게되었습니다. 도움이 많이 되었어요
9788996347293,10,"기본적인 재료 준비와 다듬기, 기본 소스가 잘 정리되어 있고, 만들기도 어렵지 않고, .. 기본적으로 지향해야할 밥상의 모습이 아닌가 생각이 든다. 하나씩 하나식 해봐야겠다는 생각이 든다. 이번에 성공한 또 하나의 책 - 요리초보에게도 유용."
9788996347293,6,"아이가 아토피가 심하게 오면서 가족모두 먹거리를 바꾸어야 했다. 인스턴트, 유제품,계란,생선일부를 제외하고 하니 정말 먹을게 없었다. 그래서 이책을 사서보며 따라해봤는데 확실히 손은 많이가는데 고기나 생선등을 쓰지않고도 맛있는 밥이 완성되었다. 신기하다."
9788996347293,8,건강식 조미료 없이 원재료의 맛을 느낄 수 있고 건강에도 좋고 사찰음식은 요즘 유행하는 힐링 그자체다 조미료와 자극적인 음식들이 넘쳐나는 시대에 자연으로 한걸은 다가서는 듯한 느낌이다
9788996347293,10,"항상먹는 그런그런음식말고 좀더 자연에 가깝고 건강할 수 있는 요리방법중 하나가 사찰요리라 생각들어요 가장 간소한 조미료만으로 맛도 건강도 챙길수있고,  그렇다고 요리방법도 까다롭지않고 쉽게 따라할 수 있게 정말 잘만든 요리책인것 같아요"
9788996347293,10,사찰음식을 가정식으로 접목시켜 누구나 맛있고 건강하게 즐길수있는 실용적인 보물 레시피를 연구개발해낸 정재덕셰프에게 무한감동과 감사를 드린다.여기 소개된 채식식단이야말로 궁극적으로 우리가 추구해야할 밥상이 아닐까..한국을 늘 그리워하는 멀리 떨어진 친지에게 따뜻한 이책을 선물하련다
9788996347293,10,"｀사찰음식은 맛없다,재료가 생소하다,종류가 한정적이다｀라는 편견을 완전히 깨게해준
정말 보물같은 채식 사찰 레시피들입니다.현대인들에게 꼭 필요한 영양가득 건강한 가정식을 사찰 조리법으로 만든 누구나 쉽고 맛있게 따라할수 있는 힐링 요리들!!! 정말 강추하는 소장가치 충분한 요리서입니다!"
9788996347293,10,"정말.말 내 건강에 대한 소중함을 일깨워주고, 우리가 얼마나 가공식품, 육류, 자극적인 양념에 길들어져있는지.내몸을 혹사시켰는지 반성하게 하는 책  향신채를 안쓰고 이렇게 맛난 음식을 만들수 있는지 감동!"
9788996347293,10,"이 책은 보석상자다.

내몸이 원하는 가족을 위한 가볍지만 영양만점의 한끼
계절에 따라 주제에 따라 다양한 메뉴로 그때그때 맞춰서 꺼내보는 나만의 보물상자
어렵게만 느꼈던 사찰음식과의 거리를 좁혀서 매일반찬으로도 충분히 쉽고 간편하게 만드는 조리법
이제 매일매일 내몸을 위한 힐링을~"
9788974793357,6,너무 단순합니다. 좀더 과학적인 고찰을 보태어 한차원 높였으면....그러나 말씀은 훌륭하지요.
9788974793357,10,"목차만 읽고 있어도 힐링과 명상인 책. 너무 아름답다. 단순한 음식책이 아니라 삶과 사는 법, 거기에 이어진 그리고 삶을 이어가는 먹는다.는 것에 대한 깊은 생각과 감명을 선사하는 책."
9788974793357,10,세속적인 가치에서 한 걸음 물러나 자연을 건강하고 넉넉한 마음을 담은 사찰음식을 보니 마음이 편안해지고 힐링이 되는 것 같아요. 사찰음식이 우리에게 주는 행복감과 불교의 깨달음을 책을 통해 알아갈 수 있어서 큰 의미가 있는 독서가 될 것 같아요. 자연과 함께 하는 삶이 아름답게 느껴지네요.
9788995798324,10,안전하지 않은 먹거리들이 많은 요즘 건강한 밥상을 만들수 있는 좋은 책이라 생각되어요~^^
