ISBN13,rating,review
9791165213749,10,"구체적인 처방이 담겨 있다. 예쁘고, 정성이 느껴지는 책."
9791165213749,10,키워보고 싶었던 식물이나 키우고 있는 식물의 잘 키우는 방법이나 대처방법등여러가지 식물을 키우는데 필요한 정보를 자세하게 가르쳐 주는 책이에요.정말 초보에게는 꼭 필요한 책이라고 생각이 들더라고요.책을 보고나서 식물을 키우고 싶다는 생각도 들구요.
9791165213749,10,아파트나 빌라 같은 곳에서 식물을 키우기 시작하는 초보들에게 딱 맞는 가드닝도서. 식물에 대한 애정이 듬뿍 담겨있다.
9788958205142,10,"그림도, 내용도 너무 좋았다. 어느 시기에 어떤 일을 하는지 일년을 모두 훑어볼 수 있어서 더더욱."
9788958205142,6,예쁜 책. 너무 무거운 하드커버. 역시 취미 실용 분야엔 유튜브가.
9788958205142,10,도서관에서 보고 너무 마음에 들어서 구매합니다~~
9788958205142,10,"나무, 식물에 궁금하기 그지없던 여러 고민 해결.그림을 보는 건 덤!"
9791160501742,10,"기초정보를 탄탄하게 싣고 있어 처음 농사를 시작하는 분께 추천해요. 파종 및 관리, 수확시기를 도해화하여 각 작물별로 두었어요. 더 다양한 작물을 담은 새로운 판권이 나오면 읽고 싶네요."
9791160501742,10,이 책을 통해 텃밭농사를 시작하려고 합니당~!
9791160501742,10,초보 농사꾼인 저에게 딱 필요한 책입니다. 정말 텃밭에 필요한 정보와 노하우를 배울 수 있어요.그동안 실패한 원인을 이 책을 통해 알게되었어요 ㅠㅠ 더 풍성한 텃밭을 위해 필요한 책!!
9791160501742,10,지금 농사를 지을 수 없는 상황임에도책이 참 재밌음.이분이 워낙 글 솜씨도 좋고원론적인 이야기가 아니라경험에서 나온 지식과 사진 자료도 좋아서 그런 듯.그런데 이 분 블로그에서 글 읽어 보면글이 두 배는 더 재밌음.책으로 펴내다 보니  점잖은 말투가 돼서 좀 아쉬웠다는~ㅋ
9788994242354,10,베란다에서 나무를 키우기 시작하면서 관심   시골집 정원에 대한 로망이 생겨서 구매. 가드닝에 대한 기초적인 도움이 될 것 같음. 무엇보다 그림이 너무 귀여워요.
9788994242354,10,가드닝 시작하면서 샀는데 무척 도움이 되었습니다
9788994242354,10,지은이가 어색한 아기자기한 책
9788994242354,10,동생 같은 후배가 보내준 책. 새만금에 대규모로 나무를 심고 가꾸는 계획을 세우고 추진하는 내 업무에 절실히 필요한 책이다.
9788994242354,10,원예 전공자입니다. 정원을 가꿀 때 필요한 실질적인 기술과 정보가 들어있는책은 찾기가 힘들었는데정말 필요한 내용이 쉽게 정리되어 있어 많은 참고가 되었습니다보기 쉽게 그림으로 설명되어 있어 지루하지 않은 책
9791188806140,10,4월부터 기다리고 있는 책입니다.언제 출간될까요 ㅠㅠ
9788990090867,10,정원과 텃밭의 최고의 책으로 꼽습니다.  텃밭과 정원을 모두 즐길수 있는 교과서입니다.
9788990090867,10,텃밭 가꾸기에 관심이 있는 사람에겐 텃밭의 ABC를 알려주는 기본서다. 학교나 유치원의 텃밭가꾸기에 뜻이 있는 교사나 매니저들이 참고하면 좋겠다.
9788990090867,10,예쁜 텃밭이 로망인 사람들에게는 필수. 필요한 정보만 간결하게 다룬 책. 특히 섞어짓기 부분은 짱~
9791161657769,8,"유용한 정보 많다. 묘이고사리가 키우고 싶어진다.본격적으로 실내 가드닝을 시작하기 전 한번 훑어보기 용으로 좋은 내용. 식용작물에 대한 정보 비율이 높은 편이고, 가드닝 팁도 :)2020. jun."
9791161657769,2,책 표지도 다르고 제목도 달라서 뭔가 다를까하고 사봤더니 그냥 개정판이네요 예전작 ‘그녀의작은정원‘ 과 겉표지 가격빼고는 모두똑같습니다~~몇가지 추가라도 됐나봤더니 끝까지그냥 똑같습니다~~이럴러면 책표지바꿔서 가격은 더올려 왜판매하는건지 이해안가네요괜히 사서 아깝습니다
9791189709068,10,"책의 구성이 장미를 키우는 초조자에게 도움이는 되는 내용으로 1. 4계절 1년 12달에 날씨와 상황에 대한 대비와 예방을 위한 해야할 일들과 꼭 필요한작업에 따른 물품도 설명해주고, 2.우리집 환경에 맞는 장미를 선택할 수 있는 방법 등이 아주 미음에 든다. 저자에게 감사를 전한다~^^"
9791189709068,4,장미 종에대해서는 자세히 나와있는데 키우는 법은 조금 간단히 나와있어 생각했던 실용서는 아닌것같아요.
9791189709068,10,"식물은 각각의 특성마다 주어야 되는 거름과 방제 등등이 다르고,특히 장미는 아름다움에 정비례하여 많은 수고로움을 원하는데 치치의 사계절 장미정원은장미집사가 알아야 하는 세세한 내용들이 알차게 들어 있어 초보 가드너들에게 적극 추천합니다.다가오는 봄이 기대됩니다."
9791189709068,10,장미에 대한 사랑과 열정으로 그동안의 노하우와 정원의 기록을 담은 책이라니 너무나 기대됩니다. 장미만의 정보와 노하우가 담긴 책을 찾기 어려웠는데 만나게 되어 참 기쁘네요!
9791160074871,10,20.12.13. 용학도서관 재밌다. 정원있는 주택이 로망이 됐다. 지금의 집을 증축할 때 초록을 집에 어떻게 이식할지 즐거운 고민을 시작하자.
9791160074871,10,도서관에서 빌려서 읽는 중에 주문합니다. 일본의 목조주택 건축과 조경의 수준은 정말 대단하네요.
9788994177311,10,호남소재 김알바의 소재이야기. 사장 아들이라는데 몰랐어요.
9791190641005,6,"생각보다는 내용이 살짝 부실했습니다. 식물에 대한 소개가 주를 이뤄서, 실제로 식물 키우기에 대한 정보는 좀 부족하단 느낌이었어요."
9791190641005,10,이제껏 본 국내 식물서적 중 최고라고 생각합니다.
9791190641005,10,"요즘 유행하는 플랜테리어에 알맞은 식물들이 많이 소개 되어 있어 좋았습니다.식물의 특징과 키우는 방법 등이 자세히 설명되어 있고, 난이도에 따라 분류한 점도 도움이 많이 되고 있어요."
9791190635059,2,"식물에 관심 많아서 사본책이 많은데 두께,가격대비 읽을 내용이 그닥 없네요"
9788997242016,10,수초어항은 볼수록 신비한 별세계 같아요.  내용이 알찬 책이라 이대로  꾸며놓으면 집밖에 나가기도 싫을듯 해요.
9788997242016,10,원서로 가지고 있었던 책인데 번역서로 나와서 더 없이 반가웠습니다. 내용도 사진도 충실한 좋은 책이예요.
9788957172070,10,공부하는데 좋은 것 같아요
9791155504307,10,"행복을 주는 책.계단밑 작은 틈에 핀 가을 끝자락의 노란 민들래가 비범하고, 신비롭고, 끝없는 행복을 느끼게 합니다."
9791155504307,10,이쁜책.평범한듯 평범하지않은 이안기
9791155504307,10,"코로나 사태인해 스트레스를 받고 있는데 마음을 정화시키는 좋은 서적임. 작가가 직접 식물을 재배하면서 체험한 이야기들을 진솔하게 서술하여 자연의 오묘함을 간접적으로 느낄 수 있읍니다, 버려진 작은 공간을 아름다운 식물를 키우는 장소로 활용하는 방법들을 볼 수 있는 유익한 서적임"
9788992119801,10,"책 보다가, 유튜브 보다가, 구독, 좋아요, 알람, 다 하고, 그러고도 너무 좋아서 안되겠다. 엄마한테 보냈다.  엄마한테 책을 보내다니! 다른 때 같으면 욕이나 한 바가지 먹겠지만, 왠지 이 책은 다를 것 같다. 돋보기 쓰고라도 한 자 한 자 들여다보실 것만 같다."
9791125468240,10,선생님 원데이클래스 듣고 정말 좋았는데 책으로 만나게 되어 기뻐요. 찬찬히 읽어볼게요~
9788975278624,6,꼭  보고싶은 책이거든요^^
9788975278624,8,소담한 책
9788975278624,8,"왠지 자연적일 것 같아서..
식품은 인스턴트 보다는 자연식, 그리고 채소가 가장 좋습니다. 특히 봄에 막 싹이 돋아난 채소는 일년의 단 한번 뿐인 보양식이라고 생각합니다."
9788975278624,6,다이어트 하는데에 많은 도움이 됐어요
9788975278624,8,잡초로만 생각했던 각종풀들을 먹을수있는 반찬으로 만드는법까지 나와있어서 참유익!
9788975278624,10,인간 몸은 자연이다. 자연이 주는 가장 좋은 음식. 이 음식만이 인간을 살리는 보양식
