ISBN13,rating,review
9791191187564,10,"아아... 정말 좋은 에세이입니다. 읽으면서 내내 침이 꼴깍 넘어가고, 얼굴에 웃음이 가시질 않습니다. 장마다 펼쳐지는 엄마와의 추억 그리고 다양한 음식 이야기가 정말 맛깔스럽고 충만합니다. 강추"
9791191187694,10,일단 책이 너무 귀요미라 소장각이에여ㅋㅋ 부담없이 읽기시작할수 있을거 같은 볼륨에 쉽게 손이 갔는데 읽히는건 더 쉬웠어여ㅋㅋ 꿀잼♡ 작가님 다른책도 찾아보려구영
9791191187694,10,존잼이어서 시간 순삭이네여그리고 라면 먹고싶어집니다 ㅋㅋㅋ
9791191187694,10,보고나면 라면이 먹고 싶어집니다. 그것도 한 봉지가 아니라 여러 봉지의 각각 다른 라면이. 윤이나 작가님의 다른 에세이들도 재밌었지만 이번 책도 웃기고 눈물나고 다했어요. 재밌었다는 얘기입니다. 손에 잡으면 뚝딱 읽을 수 있다는 것도 좋았어요!
9791191187694,10,책소개만 봐도 흥미가 보글보글 끓네요. 식욕을 당기게한 죄로 구매각해야겠음
9791191187687,10,팔펄 끓는 지속성을 우리는 관계를 위해 유지한다 뜨겁고 맵지만 따뜻하고 시원하다
9791191187687,10,훠궈와 마라 초심자와 마니아 모두를 위한 매력적인 이야기와 정보가 가득한 책! 그리고 언제나 끓고 있는 훠궈처럼 따수운 온기가 있다. (이금기 소스라니 넘 진심이잖아요)
9788931455625,10,책 두께를 보고 긴장 많이했는데요리 완전 생초보가 읽기에도 크게 어려운 내용 없고 좋네요
9788931455625,10,크리스마스 때를 비롯한 기념일에 솜씨를 뽐내기에 좋았습니다^^
9788931455625,10,요리 잘 모르는 사람인데 기초부터 알고싶어서 사게됐어요! 과학적인데다 표현이 풍부해서 술술 읽히면서도 저도 쉽게 잘 만들 수 있을거 같아요ㅋㅋ 게다가 저자분 특이하네용ㅋㅋ 완젼꿀잼ㅋㅋ 한권 갖고있으면 완젼 든든한 책인거 같아요! 추천추천!!
9788931455625,10,아래 평을 보고 고민하다 구매해 읽어봤는데 쉽게 설명이 잘되어있어서 괜찮던데요.저는 요리초보인데 책덕분에 먹을만하게 만들어져서 유용하게 잘 활용하고 있습니다~!!아깝지 않은 책이예요ㅎㅎ
9788931455625,10,"블로그에서 보고, 이 책을 사게 되었는데요. 일단 책이 많이 두껍습니다. 하지만 가지고 다닐건 아니라 상관없고요ㅋㅋㅋ 표지는 양장이라 맘에 들었어요ㅋㅋ소장가치 있음! 그만큼 내용이 알찹니다! 기본적인 내용부터 상세하게 적혀있어요 저 같은 요리 초보자에게 아주 좋은 책 같아요! 추천욤 :)"
9788931455625,8,이런 책이 있다는 걸 진작 알았으면 좋았을텐데... 유튜브를 통해 뒤늦게 알게 되었네요. 소장용 이상으로 실질적인 도움이 많이 되는 책입니다
9788931455625,2,원서 보다가 번역있다고 해서 봤는데 이건 뭐...........
9788931455625,8,선물할 목적으로 구입했으나 배송이 지연되는 바람에 내 것이 되어버린 책. 군데군데 번역이 매끄럽지 못한 구석이 있으나 그런대로 읽어볼 만한 책입니다.
9788931455625,10,읽기도 쉽고 글 전개의 흐름이 매끄러워 이해하기 쉬웠습니다. 꼭 필요한 조리 원리와 불량지식을 객관적인 수치와 실험 결과로 이야기하는 부분에 있어 굉장한 감동을 느꼈습니다.. 꼭 읽어보시길..
9788931455625,10,전문가가 아닌(?) 일반인 입장에서 보기엔 정말 고마운 도서입니다. 두고두고 볼 수 있는 유용한 정보가 많아서 책값이 아깝지 않을 정도네요. 좋았습니다.
9788931455625,6,"내용은 더할 것 없이 좋은데 번역이 짜증난다. 짭짜름이라는 정체 불명의 표현은 뭐냐 싶고, 염지란 말을 몰라서 소금물에 담근다는 표현을 쓴다. 한국말이 최선이 아닐 때도 있다."
9788931455625,10,"100자평 보고 조금 걱정했었는데, (의역이 좀 있지만) 큰 문제는 아니었네요. 오히려 도량형이나 용어의 현지화가 잘 되서 읽기 좋았습니다."
