ISBN13,rating,review
9791195522897,10,배송도 빠르고 책 상태도 좋았어요! 좋은 거래 감사함키다!
9791190403399,10,"동작에 따른 근육의 쓰임 등을 직관적으로 확인할 수 있어 좋고, 빠트린 부분도 알게 되네요."
9791190403399,4,"해부학적 해석이 달린 요가 레퍼런스를 드디어 발견하네요. 일단은 바로 구매했어요. 요가를 오래 했지만, 하면 할 수록 정확한 자세의 중요성을 깨닫게 되죠. 나도 모르는 사이 쓰던 방식대로 몸을 쓰게 되니까요...그나저나 오자가 왜 이리 많은지......이건 좀 아니지 않나요."
9788978494380,10,추천받아서 구매했는데 매우 만족합니다. 각 운동별 사용하는 근육을 시각적으로 보여줘서 책이 지루하지 않고 좋네요!
9788978494380,10,"근육이 상세하게 그려져있어 근력운동에 도움이 많이됩니다.해당 운동할때 어떤 근육을 사용하는지 뿐만아니라, 어떤 모습으로 내가 변해갈지도 기대하게되는 효과가있어요. 자꾸 보다보면 옷을 뚫고 뼈와 근육이 조금씩 투시되는 듯한 느낌이 있습니다. 체형별 주의점 같은것도 유익해요!"
9788978494380,10,이거 운동보다도 그림그리는거 공부할때 근육참고 진짜 잘됩니다. 우리 선생님도 이거 씀. 오져.
9788978494380,8,단순히 운동만 알려주는게 아니라 이 운동을 할때 어떤 근육들이 사용되는지 너무나 친절히 알려주는 고마운책
9788978494380,8,해부학을 기초로 한 근육운동 가이드. 단순한 운동동작이 아닌 근육에 전달되는 힘을 그림으로 쉽게 설명하여 이해를 도와준 책이다. 운동하면서. 자꾸 보면 좋을 책입니다.
9788978494380,10,"지금까지는 안배우고 혼자 핼스 해왔는데 제대로된 동작으로 해야 될것같아서 샀는데 역시 좋네요 ㅎㅎ
헬스하는 사람들의 바이블이라 불릴만하네요"
9788978494380,10,근육맨들의 바이블....
9788978494380,10,운동하는 사람들에게 필독서 같아여 선물했는데 너무 좋아하네요~
9788978494380,10,열심히 하겠습니다.^^
9791185459578,6,걷기의 중요성을 보여주는 것에선 공감을 하는데 너무 확대 해석하는게 아닐까 염려되는 구절들도 보이더군요똑바로 걷는 법에 대해 소개하는 부분들이 마음에 들었습니다
9791185459578,10,걸으면 안 아플 것이라는 생각이 든다. 어렵지 않은 건강법이라 좋다.
9791185459578,8,"사람이 걷는 것을 역학적으로 분석해보면, 그저 놀랍다.  이 책은 걷기의 효과, 올바른 걷기 방법 등에 대해 정리가 잘 되어있다."
9791185459578,10,그래 나 요즘 너무 안 걸었네. 어쩐지...
9791185459578,8,헬스를 끊어놓고도 운동을 멀리하게 되는 나를 설득하기 위해 산 책. 두껍지 않고 짤막하고 읽기 쉽다. 바로 걷는 방법이 수록되어 있어 좋다. 가볍게 읽으며 스스로에게 걷고 운동하라고 다독이기 좋은 책.
