ISBN13,rating,review
9791190118163,10,인스타로 눈여겨봤었는데 도전하고 싶은마음에 예약구매 신청해요 달리는 사람들의 마음이 궁금해서 시작해 보려 합니다 책으로 읽어도 결국 제가 달려야 그 마음을 이해 할 수 있을거 같아요 한살 더 나이 먹기 전에 도전해 보겠습니다
9791190118163,10,달리는 사람들이 많아진 요즘. 러너들을 위한 다이어리라니 기대됩니다! 그리고 달리기를 통해 저자가 어떻게 인생 전환점을 맞이 했는지도 궁금합니다! 일단 구매완료
9791188829149,10,달리기랑 거리가 멀지만 서울 안에 달릴만한 곳이 이렇게 많을 줄 몰랐어요. 사진스팟까지 정리되어 있어 찾아보는 맛도 쏠쏠할 것 같구요. 앱하고 연동되면 더 활용하기 좋은 디비가 될 것 같네요.
9791188829149,10,"100명의 주인공 중 한명입니다.서울의 방방곡곡 돌아다니며, 좋은 코스와 관광지, 맛집, 포토스팟, 그리고 100명의 스토리까지. 엄청난 정성이 담겨있어, 볼거리가 정말 많습니다.서울에 이렇게 아름다운 곳이 많았나 하며 감탄하시리라 확신합니다."
9791188829149,10,기다리던 책이 드디어 도착했네요..러너로써 꼭 필요한 책이었는데 이제 마음껏 서울을 달려볼 수 있겠어요. 고향은 전라도라 대한민국 달리기 책도 나왔으면 좋겠어요
9791155100387,10,우리는 함께 오래 달리도록 진화한 존재였구나..
9791155100387,8,다시나오나보네유 좀바뀐게 있으려나요
9791155100387,10,모두가 울트라러너가 될 수도 없고 그럴 필요도 없을지 모릅니다. 하지만 이유가 무엇이든 달려야겠다고 결심한 사람이라면 이 책은 큰 도움이 됩니다.달리는 종류와 거리에 상관없이 싼 운동화를 신고도 즐겁고 행복하게 뛸 수 있으면 족하지 않을까요. 그러다보면 점점 더 잘 달릴 수 있을 것이고.
9791155100387,10,최고다. 덕분에 한 달 쉬었던 운동을 다시 시작한다. 운동화에 집착하는 것도 벗어났다.열정을 다시 얻기에 충분하다. 심술궂은 사람은 어서 달려라!
9791155100387,10,"어지간한 소설보다 열 배는 더 강한 흡입력과 스무 배는 더 쎈 재미, 서른 배는 더 찐한 감동을 주는 본 투 런! 추천합니다. (*참고. 이 책의 분류는 [소설]이 아님. [인류학/에세이/과학/건강/취미/레저] 분야에 속한 책임.)"
9791155100387,10,인간의 달리기는 속도가 아니라 지구력에 초점이 맞춰 진화된 전략과 기술의 복합체이고 이것은 뇌와 신체의 연계가 필요한 일이다.｀수행하도록 만들어진 몸과 효율성을 추구하는 뇌｀. 근래에 읽은 책 중에 가장 흥미롭고 유익하다.
9791155100387,10,"런닝에 대한 새로운 세상을 열어준 책입니다.인간종족의 진화의 핵심, 즉 생존, 건강의 핵심은 런닝이 아닐까 생각하게 해주네요.단순히 나이들어서 뛰는 것은 건강에 해롭다는 통념을 깨뜨려서,잘뛰고, 오래뛰고, 자주뛰면 건강이라는 선물이 나에게 올 듯합니다."
9791155100387,8,절판되었던 책이 다시 나와서 반갑다. 이제 러너에게 선물할 수 있다.이 작가의 후속작도 출판되길 바란다.
9791155100387,10,읽는순간  당신이 신고 있던 그 유명한 신발들이혐오스러워 질것이다뛰기위해 존재하는 것같은인간의 몸자 내일부터 뛰어보자!!
9791196933159,10,마라톤을 하는 사람으로서 책을 읽으면서 공감이 가는 내용도 많았다. 요즘 달리기에 살짝 흥미를 잃었는데 이 책을 읽고나니 다시 달리기가 하고 싶어졌다. 나중에 대회를 준비한다면 이 책을 참고해서 훈련계획을 짜면 유용할 것 같다.
9791196933159,10,실전에 바로 적용할 수 있는 트레이닝 계획이 수록되어 있습니다. 글도 어렵지 않고 쉽게 잘 읽힙니다. 설명이 잘 되어 있습니다. ^^
9791196933159,10,혼자서 러닝을 하는 사람이라면 강추. 훈련일정이 잘 정리되어 있습니다. 큰 도움이 되었습니다.
9791189199784,8,굉장히 잘 만든 마라톤 교본우선 사진과 활자 배열이 훌륭해 읽기 좋다.내용 면에서도 군더더기 없이 깔끔하다.효율적인 주행법과 비효율적인 주행법을 함께 과학적으로 설명해 잘못된 점을 구체적으로 고칠 수 있다.코어 근육과 발바닥에 관한 정보가 내겐 아주 유용했다.
9788992920858,10,"스콧 주렉도 비건이였구나..먹는 것과 달리는 것, 삶과 초월에 대해서 많은 것을 느끼게 된다."
9788972217565,8,"당장 짐꾸려(가볍게 가볍게~), 오는 주말엔 산속에서 비박을 해봐야겠습니다!  잘 읽었습니다."
