ISBN13,rating,review
9791186766057,10,"고품질 컬러는 아니지만, 준수한 품질의 컬러사진. 바다낚시 하면서 회 손질법등 가정에서도 두루 쓸 수 있게 잘 설명되어 있어 초보들의 호기심 해결과 실행에 좋은 책이네요"
9788964942161,10,매듭이 만사의 기본이라기에 연습을 계속해볼 예정이다.
9788964942161,10,삶에 아주! 아주 유용하다.사람과 사람의 연결이 끊기다보니 이제 삶에 관한 모든 것을 책으로 배우게 된다.
9788964942161,10,바로이 책 .. 실생활에서 아주 유용하게 사용할 수가 있겠다. 알기쉽게 설명하여 주었다
9791187100614,10,원투낚시 최고의 서적. 뛰어난 구성. 쉬운 설명. 저렴한 가격.
9788994129327,10,"뭔가 복잡하고 어려워보여 시작조차 껄끄러운 바다낚시를 큰 어려움없이 접하게 해주는 안내서 역할을 충분히 할 수 있는 책입니다. 낚시도구부터 채비, 장소, 미끼 등 바다낚시에 관한 모든 것을 안내받을 수 있습니다."
9788967540258,10,"바다낚시를 동경했지만 해본적은 없습니다.우연히 ｀입질의 추억｀블로그를 알게되었고,책도 구매했습니다.초보자에게 아주 좋은 입문서입니다.다만, 글자가 너무 작아요~"
9788967540258,8,바다낚시를 하려거던 이 책을 꼭 보라.
9788994129273,10,새책 같은 중고 책 구메하게 되어 감사합니다.
9788994129273,8,루어 낚시에 관심을 가지게 되어서 구매한 책입니다.루어낚시에 있어서 처음 알아야 될 내용들을 잘 소개하고 있습니다.책 말고 동영상으로 보고 싶으신 분은 천태성 씨의 파이팅 루어낚시라는 프로그램을참고하시면 됩니다.
9788994129273,8,그림이랑 같이 쉽게 설명되어 있어요~
9788994129273,10,"민물루어 입문서로 적극추천!!
기초 튼튼!! 태크닉도 두배!! 재미는 무한데!!"
