ISBN13,rating,review
9791185459578,6,걷기의 중요성을 보여주는 것에선 공감을 하는데 너무 확대 해석하는게 아닐까 염려되는 구절들도 보이더군요똑바로 걷는 법에 대해 소개하는 부분들이 마음에 들었습니다
9791185459578,10,걸으면 안 아플 것이라는 생각이 든다. 어렵지 않은 건강법이라 좋다.
9791185459578,8,"사람이 걷는 것을 역학적으로 분석해보면, 그저 놀랍다.  이 책은 걷기의 효과, 올바른 걷기 방법 등에 대해 정리가 잘 되어있다."
9791185459578,10,그래 나 요즘 너무 안 걸었네. 어쩐지...
9791185459578,8,헬스를 끊어놓고도 운동을 멀리하게 되는 나를 설득하기 위해 산 책. 두껍지 않고 짤막하고 읽기 쉽다. 바로 걷는 방법이 수록되어 있어 좋다. 가볍게 읽으며 스스로에게 걷고 운동하라고 다독이기 좋은 책.
9791185459578,6,"걷기의 중요성을 주장한 책. 잘 걷기만 해도 고혈압, 고지혈증, 등의 대사증후군이 상당수 치료되며 우울증과 치매, 두뇌건강등에도 걷기가 유효함을 주장한다. 걷는 자세 역시 강조하는데 골반을 살짝 드는 것을 중시한다. 걷기는 누구나 쉽게 할 수 있으면서 강도가 높지 않다점에서 의미가 있는 책."
9788967440725,10,"십년이상 건강검진을 할때면 아무렇지도 않게 담당엔 용종이 존재한다는 결과가 나왔다.해를 거듭할수록 간 혈관종, 자궁근종, 간암표식자 증가, 감상선 다발성 낭종 등큰 병은 아니니 관찰을 요한다는 소견이 나오"
9788967440190,8,비우고 낮추면 반드시 낫는다라는 책을 사서 읽고 있는데 아주 유용하다고 생각합니다. 다른 분들고 한 번 사서 보시면 아주 유익합니다.
9788967440190,10,"드디어 자연치유에 대한 책 발견.

생명의 온전함과 그것의 신비한 작용에 대한 경외심을 가지고 의사로서의 진지함과 

순전함으로 쓴 책.

자연주의육아에서 아이들을 위한 건강한 생활을 돕는 방법이 소개되어 있어 좋다.

구슬이 서말이라도 꿰어야 보배!

참고하면 좋은 여러 실천법(p215)이 유용"
9788967440190,10,현대의학은 ｀증상 이 질병｀이라는 관점이라면 이책은 ｀증상 이 치료｀라는 관점으로 몸이 아플때 증상만 없애는 것이 아닌 피가 깨끗해진즌 치료를 한다면 몸치 건강해진다는 것을 쉽고 간결하게 이야기해주는 책이다.
9788967440190,10,자연 치료에 대한 확신을 갖게 해 준 책. 책에서 제시하는 치료 요법들은 일상에서 어렵지 않게 할 수 있는 것들이다. 관건은 얼마나 꾸준히 할 수 있느냐 인 듯. 몸 치료와 더불어 마음 치료가 얼마나 중요한 것인지 알게 해 준 책!!!
9791197256905,10,"저자가 알려주는 식습관과 생활을 하면 될 것 같아요,, 도움이 많이 되는 책이예요,,"
9791197256905,10,단연 최고의 건강서적 조병식의 암 캠프 13일 당신과 나의 건강을 전하고 자연을 사랑하는 마음으로 우리에게 자연치유법으로 안내한다
9791197256905,10,"조병식의 암 캠프 13일 책에는 총 10가지로 15년간 연구와 임상으로 검증한 자연치유법이 담겨 있다.10가지 자연치유법뿐만 아니라 의사도 알려주지 않는 암의 민낯을 공부하고 암 프로그램을 통해 암을 극복한 이야기,암 환자라면 궁금해 할 1년 12달, 아침·점심·저녁 식단을 담아 환자들에게 도움책."
9791197256905,10,기대안하고 구매한책인데~은근 괜찮다
