ISBN13,rating,review
9788993784374,10,이소룡 찐팬이라면 반드시 소장할만 합니다.절권도에 대한 철학과 고찰이 잘 기록되어 있습니다.아는만큼 보인다고 그의 영화속 액션에 대한 움직임은 단순액션이 아니고 그가 추구하는 절권도 그 자체로 보여집니다.
9788993784374,8,해적판도 이번 완역판도 다 구매했습니다.이소룡 팬이라면 반드시 소장할 가치가 있구요.무술을 배우시거나 격투기에 관심이 있으시거나 절권도가 뭔가가 궁금하신 분은일독을 권할만한 책입니다.어떤 면에서는 철학서라고 분류를 해도 될듯...!
9788993784374,10,근본 없는 해적판이 아니다. 이소룡 팬이라면 당연히 소장
9788993784374,8,그를 이해하기 위해 산 책
9788993784374,8,기쁜마음으로 구입한책 이전의 절권도 책이 그냥 커피라면 이건 T.O.P라는 설명에 맞게 일단 이해가 된다.양장인 책은 분명 소장가치를 올려주지만 가격이 올라서 구입하기 부담스럽지 않을까?하는 아쉬움이 있지만 분명히 좋은 선택이 될것이다.
9788993784374,10,책구매하였는데요. 이소룡이 그린 그림과 설명이 잘되어있고 시합시 전술과 평상시 운동방법이 잘 나와있어서 꼭 소장할만한 책입니다.
9791195293902,4,크라브 마가의 특징을 찾아볼수없음 일반 호신술책 느낌
9791186196151,8,"내용은 좋으나 무덕관을 폄하하는 내용은 좋지 안아요 창설년도를 1945년인데 계속1947년도로 표기했고 대한태권도협회교본 발행일,예의규범 발표일,세계회원국수 등 다수 잘못 표기되었음."
9791186345399,10,"무에타이에 관한 책이 나와서 바로 구매하였습니다. 무에타이를 수련하는데 정석책이나 참고서같은 느낌입니다. 무에타이에 관심이 없는 사람들일지라도, 사진도 많고 설명 또한 재미있는지라 무에타이에 관심을 가지게 하는 책입니다."
9791186345399,10,"무에타이를 배우고 싶은 사람들을 위한 책, 기본적으로 사진과 설명이 세세하게 잘 되어있어 문외한이라도 쉽게 접할 수 있습니다. 또한 개인적으로 암레버 기술이나 딥 기술까지 참고할 수 있어 도움이 많이 되었습니다.(사진이 한두장이 아님) 붕대감는 법까지 수록되어 있어 배려를 느꼈습니다.^^"
9788978495240,8,초심자이거나 검도수련에 발전이 없이 잘못된 방법으로 수련하시는 분들에게 제격
9788978495240,10,컬러 사진이라 좋다. 깊이 있는 내용은 수련을 통해서 얻어지는 것이지 글을 통해서 얻어지는 것은 아니다. 수련자가 무언가 막히는 순간에 가끔 펴보면 돌파하는 힌트가 될 것 같다.
9788978495240,4,"구성은 잘 되어 있으나, 디테일이 부족하고, 저자가 일본인 이라 그런지 실제와의 괴리가 있습니다. 간편하고 편리하게 맥락을 집을수는 있지만 실제 운동에 도움이 될지는 미지수네요. 한줄평 하자면  : 커피는 커피인데 카페인 없는 커피."
9788978495240,10,"검도를 배우고자하는 사람에게 정말 추천하는 책이다동작 하나하나를 자세하게, 유의해야할 점까지 사진과 함께 자세히 알려준다."
9788964074800,8,장르 작가들의 필독서이거나 무술 애호가들이 동양을 벗어나 유럽의 전통 무술을 이해하는 첫걸음이 될 수도 있다. 이젠 전통무술의 경계가 동서양을 뛰어넘어 일반인이 접근하기 어렵지 않으니 실제 수련을 하면서 참고해 보겠다는 분들이 계실 수도 있다고 생각한다. 그저 참고용으로는 나쁘지 않다.
9788964074800,10,자신은 얼마나 대단한 데 쓴다고 판타지를 무시하는가 ㅋㅋㅋㅋ
9788964074800,8,"서양무술에 대한 굉장한 수준의 책이 단지, 판타지자료로 만들어진것이 아쉽기는 하지만 서양무술에 대한...무기술.... 목마른 사람에게는 정보의 보고"
9788964074800,10,주워들어는 봤어도 제대로 개념이 잡히지 않았던게 쉽게 이해가 가능하네요. 개인적으로 매우 만족합니다.
9788964074800,10,"이런 책이 출간되다니! 대단하다. 그런데, 알라딘 책 분류는 ｀외국 판타지 소설｀로 되어 있네... -_-"
9791185038018,10,기수련에 대한 논란의 끝을 맺는 책이다.기 에 대한 수많은 의심들을 부정할수 없이 사라지게 해주었다. 뚜렷하게 느껴지는 공효와 눈과 귀로 확인되는 객관적 변화들이 있기에..
9791185038018,10,항상 명치끝이 거북했는데 태극선법을 보고 수련을 해보니까 요즘은 거북한 증상이 없어졌어요.
9791185038018,10,의념수련으로 단전호흡을 수련하다 심한 부작용으로 시달렸다.  인체에 태극이 생겨나는 우리 겨레의 수행법이라는 태극선법을 접하고  혹시나 하는 마음에 수련해 보니 눈에 띄게 건강을 회복했으며 나 자신도  모르게 의식이 확장되었기에 정통선법의 맥을 전수받은 것 같은 자부심을 느끼게 한다. 이에 여러 분들이 함께 공효를 느꼈으면 하는 마음에 일독을 권해 본다.
9791185038018,10,"태극선법을 통해서 본 단전호흡은 신비한 것도 어려운 것도 아니었습니다.이론에서 부터 상세한 설명 실증적 분석, 단계별 변화와 증상까지 설명해 놓은 책의 내용은 단전호흡에 관심을 가지고 있거나 수련하는 사람들에게 좋은 안내서가 되리라 생각합니다."
9788975612664,8,"학교교재라서 사고, 수업을 듣는데 건강해지는 느낌 ^^"
9788975612664,6,배웠다면 참고가 되겠지만 이 책만으로는 따라하지 못함. 더욱 자세한 설명이 아쉽다.
9788975612664,8,화타 오금지희 도해... 기공과 무술 대부분에 들어가는 자세의 기본이 여기 있는듯...
9788978495608,10,역시 내용은 좋다이전 일본판을 구매하였지만 한글도 구매dvd 가없는게약간 아쉽다
9791159710247,8,격투기에 대한 과학적원리가 재미있습니다
9791186641248,8,대충은 알겠으나 차근차근 익혀나가야 겠다
9791186641248,8,"기본에 충실한 친절한 입문서. 철저하게 입문자를 겨냥하고 만들어졌지만, 블루벨트까지도 읽을만한 멋진 책."
9791186641248,10,현재 주짓수를 배우고 있지만 주로 다리를 벌리고 있는 자세가 많아서 웬만큼 수련을 많이 하지 않는 이상은 낭심공격에 취약함 기회가 된다면 그레이시주짓수를 배우고싶다
9791186641248,10,"이 책은 체육관에서 꼼꼼히 배우기 어렵지만 꼭 알아야 할 주짓수의 기본 상식에 대해 설명이 잘 되어 있어서, 짧은 수련기간의 수련자들이 읽어보면 굉장히 많은 도움이 될 것 같습니다."
9791186641248,10,이 책은 어려운 용어들 보다는 일반인들이해할 수 있는 문체로 주짓수의 역사부터 어떤 의미가 있는지부터 재미있게 접근할 수 있는게 큰 장점이라고 느껴집니다.  중급자이상 되시는분들도 내가 평소에 하고 있었던 움직임을 좀 더 체계화된 방식으로 볼 수 있습니다
9788994567020,10,"영춘권이라는 것에 대해서 알고 싶다면 이책을 권하고 싶다.
영춘권의 공방이론과 영춘권사들의 수기를 보면 영춘권이 어떤 것인지 알게 될 것이다."
9788994567020,10,한국에서는 조금은 낯선 무술인 영춘권에 대한 좋은 지침서로 생각됩니다.
9788995693506,10,추천하길래 별 기대없이 구매했는데 꽤 쓸만할것 같읍니다.
9788971861967,10,우리나라엔 절권도 도장이 2곳있다고 한다. 독학은 어렵지만 이 책과 함께라면 조금 수월할 것이라 생각된다.
9788971861950,10,절권도의 창시자 이소룡. 그의 인문학적 소양마저 느낄 수 있는 종이뭉치이다.
9788971861950,8,글씨가좀 작아서 그런데요 ㅎㅎ 괜찬아요 너무 좋아요 간직하면 나중에도움될것같아G
