ISBN13,rating,review
9788934990659,10,무지개다리건넌 반려견이 유독생각나요!아이들도 함께 따뜻하게 지내고 그렇게 이별까지 모두지켜본 때라 아직도매일같이 그림도그리고 그리워해요. 이땐어땠을까? 지금이라면 우리강아지는 어떤마음일까? 그렇게 이야기도하는데 책을 읽어보면 정말 그때우리강아지 마음까지 알수있고 웃음짓게만들책 같아요
9788934990659,10,아이들이 반려견과 소통하는데 큰 도움이 될 것 같은 책일 것 같아요!~
9788934990659,10,요즘 부쩍 아이들이 강아지 키우고싶어해서 관심을 많이 가지고 있어요.아이들에게도 저에게도 미래 가족이될 강아지에게도 큰 도움이 될거같아요. 기대되네요^^
9788934990659,10,방금 딸아이가 무슨 책에서 봤다면서 강아지가 꼬리 흔드는 게 무슨 뜻인줄 알아? 하품하면 무슨 뜻일까? 물어봤는데.. 이책 너무 좋아할 것 같아요.
9791196719425,10,"컵이예뻐서 구매했는데, 어느덧 책을 펼치고 읽고있네요"
9791196719425,8,내용은 유투브 영상 그대로 옮겨적은건데 두께도 있고 전 책이 더 좋아서 맘에들어요
9791196719425,10,노견 키우는 친구에게 선물하려고 구매했어요.
9791191393002,10,반려동물과의 이별은 상상하고 싶지도 않은 두려운 순간이지만 마냥 외면하고 피할 수만은 없다는 것을 느꼈다. 내가 준비가 되어있을 때 반려동물도 더 편안할 것이라는 생각이 든다.
9791191393002,10,저희 강아지가 나이가 나이인지라 펫로스에 대해 생각해보게 되더라구요... 미리 대비하고 싶어서 이 책을 읽어보게 되었습니다. 반려동물을 키우면서도 펫로스에 대해 잘 알지 못했는데 책을 통해 펫로스를 더 잘 이해할 수 있게 되어서 좋았습니다.
9791191393002,10,"스트릿 출신 고양이 두 마리가 벌써 5년, 3년이 되다 보니 그 이후의 시간들이 걱정이 되어서 구매한 책. 가만히 바라만 보고 있어도 행복한 존재가 어느 날 내 곁에서 사라진다고 상상만 해도 눈물이 날 것만 같다. 그렇지만 언젠가 사랑하는 반려동물과 건강하게 이별하려면 읽어야 할 책."
9791170431114,10,강아지 키우면서 올바른 교육을 제대로 못해 분리불안이 너무 심해졌어요그러다 알게된 훈련이 잘못됐습니다 책을 통해 정말 많은거 배워가네요~~~ 읽으면서 공감할수 있고 쉽게 이해할수 있어서 따라해보려고요~~~ 넘재밌게 읽어 강아지 키우는 친구들에게 추천하고 있어요! 도움이 많이 되었습니다
9791170431114,10,"처음 반려동물을 반려하시는 분들이라면 꼭 읽어보셔도 좋을 책입니다.초보도 트레이닝하는 법, 커밍시그널, QR코드로 영상도 볼수 있고 중간중간 꿀팁도 있어서 정말 좋아요.꼭 읽어보셨음 좋겠어요."
9791196219321,2,책 겉모습만 이쁘지 정작 내용은 부실하다. 반려견에 관해 알찬 내용을 기대했지만 실망스러웠다.
9791196219321,6,"어떤 시그널이 있는지 대강 파악하기에는 좋지만, 다른 사람들이 지적한 대로 너무 간단해서 시그널들 간에 어떤 차이점이 있는지 배우기는 어렵네요. 그림이나 사진이 풍부한 건 좋았습니다."
9791196219321,10,강아지의 몸짓언어와 더불어 강아지를 반려한다는 것에 대해 깊이 생각해 보게 된다. 강아지를 반려하고 있다면 강력추천
