ISBN13,rating,review
9788978495417,8,"단점 및 주의점으로1) 그림 중심이여서 생각보다는 적은 내용일 수 있습니다2) 관심없는 사람이 읽다가, 조언하는 키트까지 구입하게 되어 매니아 세계로 빠질 수 있습니다3) 도시재난에서의 생존 내용은 없습니다. 지진시 어디로 대피하라 이런 내용은 기대하지 말고 다른 책을 찾는것이 좋습니다"
9788978495417,8,"판형과 사이즈를 봐서 가지고 다니기 좋은책,긴말없이  꼭 필요한 내용만 담긴책.."
9788964940266,8,심심할 때 보려고 산건데 생각보다 재밌어요
9788964940266,6,"아는 내용도 있고, 몰랐던 내용도 있고 1~2시간만에 다 읽을 수 있는 내용이다. 퀴즈형식으로 되어 있기때문에 지루하지도 않다. 초등학생 아이들이 읽으면 좋을 듯 하다."
9788964940266,10,초4 남자아이가 생존이나 살아남기 시리즈를 좋아해서 이 책이 리뷰도 좋길래 구입해줬어요. 너무 고마워하네요 ㅋㅋ 퀴즈 방식으로 다양한 정보를 담고 있어요. 실생활에서도 유용할 것 같습니다. 저도 시간날때 읽어봐야겠습니다.^^
9788964940266,6,십년도 훨씬 전 영화속에 야생에서 살아남는 법을 담은 책을 읽던 주인공이 생각난다. 그 영화에서는 바로 내용을 이용하던데 나에게 [위기탈출생존교과서]는 어떻게 다가올지 기대된다.
9788964940266,6,"문답식,간략하게 요점만 나와 좋다"
9788964940266,10,"필수 소장 목록 도서! 혹시 아는가, 바로 지금 이 순간 이 책의 도움을 받을지도!"
9788964940266,6,"왠지아들이못미덥다.
평가라는말이무색할정도.."
9788964940266,10,너무 재미있고 책도 가벼워 들고다니며 읽기도 좋고 완전 대만족! 그림 역시 너무 맘에 들고 책 냄새도 끝내준다!
9788964940266,10,"이 책 하나면, 살면서 목숨 아홉 번은 구할 듯..! 정말 장난 아니고.. 실용적입니다."
9791185600000,8,"제일 맘에 드는 건, 자그마한 책의 사이즈! 필드에서 써먹어 봐야겠습니다."
9791185600000,8,"오토캠핑만 다니면서 서바이벌책은 왜이리 구매하는건지 참!! 이책은 왜이리 작은지! 왜이리 새로운지! 켐핑보다는 백패킹에, 백패킹보다는 조난시에 도움이 될만한 내용인지! 왜 집에 한권 사서두고 싶은지! 난, 오토캠핑만 다니는데 ㅠ.ㅠ"
9791185600000,10,"캠핑이나 오지 여행시 언제든 펼쳐볼 수 있게 만든 핸드북이네요. 사진으로 하나하나 설명도 잘해놓았고, 동영상 코드도 함께 수록되어 있어 더 좋네요."
