ISBN13,rating,review
9791196834005,10,전자책으로도 출간 해주세요
9791196834005,6,실력자라는걸 강조하기위한 알아듣기 어려운 사설이 너무많습니다 적당히 압축해도 될내용을 권수늘리기를 한게아닌가 생각이들고 책을사실게 아니라 그냥 유투브  보는게 나을듯합니다
9791196834005,10,허리 아픈 저에게 꼭 필요한 책이네요믿고보는 정선근 교수님 책이네요
9791196834005,10,전작 백년허리에 이은 또하나의 필수품. 만인의 행복한 삶을 위해 매일 실천해야 할 다양한 운동을 국내 최고 전문가의 관점에서 소개한다. 표지 사진만 봐도 믿음이 가는 근육질 몸매를 가진 50대 중년 아저씨의 안 웃긴 개그는 덤.
9791196834005,10,내용이 풍부하지만 책이 가볍고 편하게 읽기 좋아요
9791196834005,10,허리랑 목에 추간판탈출증을 앓고 있는데 큰 도움이 됩니다. 정선근 교수님 책은 전부 사서 읽고 있습니다.
9791190868105,10,스쿼트를 더 잘하고 싶지만 이미 경지에 오른 파붕이들에게.. 기본으로 돌아가서 깊게 이해할 수 있는 좋은 책
9788978494380,10,추천받아서 구매했는데 매우 만족합니다. 각 운동별 사용하는 근육을 시각적으로 보여줘서 책이 지루하지 않고 좋네요!
9788978494380,10,"근육이 상세하게 그려져있어 근력운동에 도움이 많이됩니다.해당 운동할때 어떤 근육을 사용하는지 뿐만아니라, 어떤 모습으로 내가 변해갈지도 기대하게되는 효과가있어요. 자꾸 보다보면 옷을 뚫고 뼈와 근육이 조금씩 투시되는 듯한 느낌이 있습니다. 체형별 주의점 같은것도 유익해요!"
9788978494380,10,이거 운동보다도 그림그리는거 공부할때 근육참고 진짜 잘됩니다. 우리 선생님도 이거 씀. 오져.
9788978494380,8,단순히 운동만 알려주는게 아니라 이 운동을 할때 어떤 근육들이 사용되는지 너무나 친절히 알려주는 고마운책
9788978494380,8,해부학을 기초로 한 근육운동 가이드. 단순한 운동동작이 아닌 근육에 전달되는 힘을 그림으로 쉽게 설명하여 이해를 도와준 책이다. 운동하면서. 자꾸 보면 좋을 책입니다.
9788978494380,10,"지금까지는 안배우고 혼자 핼스 해왔는데 제대로된 동작으로 해야 될것같아서 샀는데 역시 좋네요 ㅎㅎ
헬스하는 사람들의 바이블이라 불릴만하네요"
9788978494380,10,근육맨들의 바이블....
9788978494380,10,운동하는 사람들에게 필독서 같아여 선물했는데 너무 좋아하네요~
9788978494380,10,열심히 하겠습니다.^^
9791158461423,10,최고의 맨몸운동/홈트레이닝 도서. 운동이 처음인 초심자도 중도에 포기하지 않고 꾸준히 할 수 있도록 아주 쉬운 동작부터 점차 난이도를 높여가는 방식으로 짜여져 있어 홈트 또는 맨몸운동에 입문하기에 정말 좋은 책이다.
9791158461423,10,이거 읽고 한번 제가 원하는 워너비 몸매 만들어 보겠습니다. 화이팅!
9791158461423,10,코로나바이러스때문에 야외활동도 어렵고 헬스장도 휴관하고 어디 마음대로 돌아다니지 못하는 죄수가 된 기분이라 집에서 운동할려고 구매했습니다.
9791158461423,10,조산 위험으로 집과 병원에서 누워있다 출산하고 나서 근육 약화와 관절 불안정이 같이 왔습니다. 출산 이후 집밖을 나가기 어려워 집에서 할 수 있는 근력운동을 알아보다 이책을 발견하게 되었는데 최곱니다. 가장 기초가 되는 여섯가지 동작으로 근력 체력을 되찾았네요. 강추합니다
9791158461423,8,≪닥치고 데스런≫의 장점과 ≪내 몸이 헬스머신이다≫의 장점을 합쳐 놓은 듯한 느낌. 기대보다 훌륭하다.
9791158461423,10,책제목만 보고 지나치지 마세요! 이 책은 매우 훌륭한 교과서입니다. 숨쉬기 운동 수준의 초심자도 따라올 수 있도록 10단계로 세분화한 배려가 돋보입니다.
9791158461423,10,"돈도없고,기구나 보충식품도 없고 허약한 말라깽이여서 절망했던 내게 희망을 준 책!!!"
9791158461423,10,죄수운동법ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
