ISBN13,rating,review
9791130634579,2,아니 하고많은 사람중에 왜 리섭한테 광고를 주셨나요?????
9791130634579,10,P. 177 당신이 인식하는 타인의 모습은 전체 모습의 극히 일부분에 불과하다. 모두가 고군분투한다. 모두가 그들을 괴롭히는 악마와 싸운다. 모두가 우울을 느낀다.
9788901098272,6,초반까지는 오오 하면서 봤는데 했던말 또하고또하고또하고또하고또하고 광기봐.. 알겠다고요ㅠㅠ 전달하려는 메시지와 달리 너무 반복적이고 산만한 구조였음 무한반복으로 머릿속에 박힘 후 드디어 다읽었네 굳이 페이지를 이만큼 썼어야했을까 내용은 괜찮았음 좀 지루해서 그렇지..
9788901098272,10,직장 에서 뿐만 아니라 다양한 분야에서 활용가능한 내용들이 있어 살면서 도움이 많이 될 듯 합니다!
9788901098272,10,내가 읽은 심리학책 중 최고다. 나만 10년만에 읽은건가. 더 빨리 읽었어야 하는게 이제야 읽다니 원통할 지경.
9788901098272,8,"다시 읽고, 반복해서 읽으면 더 좋을 책"
9788901098272,10,"학자로서의 글은 아닐지라도, 착 달라붙는 글이 무엇인지를 명쾌하게 알려준다. 그 뿐 아니라, 그들의 책 자체가 스티커 메시지란 사실에서 놀라운 책"
9788901098272,8,스틱에 대해 말하지만 책은 틱(thick)
9788901098272,8,마케팅 필독서
9788901098272,10,메세지의 교과서
9788901098272,10,타인과의 의사소통을 생각한다면 한번쯤 읽어볼만한 책
9788901098272,8,책 표지만 아니면 100점
9788901098272,10,"마케터뿐 아니라, 웹기획자 카피라이터에게도 매우 유용한 글쓰기와 마케팅의 기본이 담겨있습니다. 강추에요"
9788901098272,8,끈적끈적한 메시지를 전달하고 싶은가. 이 책은 스티커 메시지를 만들어줄 팁을 제공한다. 좋은 메시지는 시간이 흘러도 사라지지 않는다.
9788901098272,10,예시들과 좋은 글들이 스틱!
9788901098272,10,사람중심의 스토리 구성으로 프리젠테이션을 하라. 보고서 및 여러 작업을 할 때 유용하게 적용할 수 있다. 직장인들에게 추천합니다.
9788901098272,8,기억에 남을 메시지를 만들려면 어떻게 해야 하는지 잘 정리해주는 책입니다. 다만 책의 내용이 제게도 ｀스틱!｀되려면 핵심내용을 되새김질하고 스스로 훈련하는 방법이 최고겠죠.
9788901098272,8,결국은 사람. 그리고 그 속에서 피어나는 스토리를 놓치지 말라!
9788901098272,10,"유익하고 재미있다고 소문난 책인데, 읽어보려고 합니다."
9788901098272,10,슬쩍 간만 보려다 나름 두꺼운 책을 앉은자리에서 다 보고말았네요 여러 분야에 두루 도움이 될만한 책입니다
9788901098272,10,내가 먼저 구입해서 읽었는데 너무 재미있다. 그래서 우리직원들에게 주고자 왕창 구입했다. 직장인들이 보면 너무나 좋을 것 같다.
9788901098272,8,정말 유용했던 책. 이 책도 좋았지만 이 책보다 [스위치]가 더 강력하게 기억에 남아있다. 두 책 다 추천.
9788901098272,10,쫙쫙 달라붙는 메시지를 만드는 기본 원리에 대한 책. 창작물의 제목을 짓거나 팀명을 지을 때도 유용합니다. 다만 원리를 응용하려면 연습이 좀 필요해 보입니다.
9788901098272,10,설득의 기술을 설득력 있게 제시한 책!!
9788901098272,10,반값도서~ 궁금한 책~!
9788901098272,6,"홍보, 광고, 커뮤니케이션 등에 관심이 있는 예비 커뮤니케이터들에게 일독을 권합니다."
9788901098272,10,"일하면서 늘 요약글을 써서 설득해야 하는 사람이라면, 필독!^^"
9788901098272,10,사람들 속에 짝짝~기억하게 만드는 스킬을 배울수있습니다.벽에도 붙을수 있을련진..
9788901098272,10,"단 한가지, 혹은 단 한마디로 통합하여 표현될 수 없는 세상에의 여러 상황들.."
9788901098272,10,필요할 때 잠깐 잠깐씩 다시 확인해야 하니 구입하는게 좋아요. 쉽게 잘 쓴 책.
9788901098272,10,"이 세상에서 살아남기 위한 글쓰기, 생각쓰기!!"
9788901098272,10,"언변과 필력을, 한번에 매력적으로 업그레이드하는 기술!"
9788901098272,6,레포트를 작성할때의 제목에서부터 간단한 글을 읽을때 호소력있게 메시지를 전달법^^
9788901098272,10,6가지의 숨은 비법능 통해 삶을 윤택하게 해 줍니다. 읽어보세요. 꼭!!
9788901098272,10,설득을 생각하신다면 반드시 읽어 보시기 바랍니다. 여러 번 읽어야 할 책이라는 생각
9788901098272,8,한번읽고 끝낼 책이 아니라 자주 꺼내봐야할듯. 유용함. 그래서 천천히 읽힘.
9788901098272,10,참 재밌고 유용한 책. 무얼하든 조금은 써먹을 수 있을 듯 ㅋㅋ
9788901098272,10,마켓팅의 중요한것을 인생에서 사용하는 그날을 위해! 모든것은 마켓팅이라 할수있다
9788947545143,2,"너무 성의 없는 번역 수준이네요. 맥락을 이해하려고 문장, 문장이 연결되지 않고, 맥락도 맞지 않는 부분이 많네요."
9788947545143,10,요약본도 사고 이 초록책도 샀는데 이 책을 사서 처음부터 하나하나 따라 읽어가는 것이 훨씬 좋습니다. 저에겐 생소했던 분야인데 아주 마음에 듭니다. 4쇄부터 오탈자가 잡혔다고 해서 믿고 구매했습니다.
9788947545143,4,"책 내용은 두말할 필요 없는데, 위에 분 말대로 오타가 너무 많아서 책 읽는 흐름을 깰 정도에요. 초판도 아닌데 왜그렇죠."
9788947545143,4,"워낙 유명한 책이라 내용에 대해선 말할 게 없지만, 이번 최신판에는 오탈자가 굉장히 자주 보이네요. 책 읽는 데 거슬린다는 느낌이 들었습니다..."
9788934971016,8,"일론의 일생을 충분히 따라잡을 수 있는 책입니다. 그의 생각 행동을 어느정도 이해하고 판단할 수 있고, 테슬라 스페이스 엑스 솔라시티 등 그가 만들어가는 기업 환경이 무엇을 목표로 하는지 느낄수 있습니다. 그이 단점과 장점을 모두 파악할 수 있으며 자칫 일론 빠돌이가 될수도 잇음"
9788934971016,10,머스크는 어떠한 사람인지 자세히 알수있는 좋은책 두꺼워서 언제 다 읽나 싶기도 했지만 흥미롭게 다 읽은책
9788934971016,10,훌륭한 작품.  말그대로 좋은작가 좋은책 - 이책으로 얻은게 있다면 수학 문제집 을 사서 수학공부 를 시작했습니다 여러분.
9788934971016,10,최고의 이야기
9788934971016,10,"권오현의 초격차와 같이 보다가.. 초격차는 볼 책이 아님을 알게됨. CEO의 모든 목적은 이윤추구인줄만 알았는데 그 외의 목적을 가진 이도 있음을 알게됨. 가장 중요한 건, 때로는 어떤 실패가, 어떤 어줍잖은 성공보다 나음을 깨닫게 됨."
9788934971016,10,과학이 발전되어가는게 신기하기도 하고 편리해지겠지만 한편으론 슬프기도 하고 무섭다...
