ISBN13,rating,review
9788901246086,8,"직장인인 나는 권고사직이 무섭고, 자라나는 아이들을 책임지기 위해서 어떻게든 미래를 준비해야해서 읽은책이다. 10년 후에 어떤 세상이 올 지 예측하기 위해서 읽은 이 책은 내게 큰 도움이 되었다. 미래를 준비하지 않으면 준비하는 자에게 먹히게 된다. 서둘러 읽어보고 예측하고 준비하자!"
9788901246086,8,"새롭고 놀라운 이야기를 담고 있지 않다.하지만 정리가 잘 되어 있고, 각 장을 연결하는 흐름이 좋다.......급변하는 미래를 예측하기란 쉽지 않다.그럼에도 불구하고 어떻게 변하게 될지 걱정과 기대를 가질 수 밖에 없는데,2030년에 어떤 상황이 펼쳐질지 예측하는데에 도움이 되는 책이다."
9788901246086,4,뻔한 이야기  베스트셀러?  이해안감
9788901246086,10,"서구적 시각이 보이고, 결론은 좀 평이하지만, 인구 변화 등을 근거로 미래를 예측하는 작가의 지성이 잘 드러난다. 블록체인에 대해서 쉽게 설명한 내용도 인상적이었다."
9788901246086,4,"제가 잘 못된건지... 아니면 이런류의 책이나 HBR, DBR의 사례를 자주 접해서인지 유명인들의 말과 다소 뻔한 내용들을 나열한 느낌이네요. 멀리보기에서의 사례는 보기에 상당히 거북했습니다. 사례가 미래를 도전하는 모험이라기보다는 균과 함께한 침략이었고, 멕시코가 성공의 아이콘은 아니니까.."
9788901246086,6,"어느 유명강사가 자신의 유튜브에서 책을 소개하여 호기심으로 읽었는데, , , 알고있던 혹은 이미 알려진 사실들의 나열이라는 느낌을 나만 받고 있는건지?  기존 사실들과 통계로 무언가 미래를 통찰한다는 느낌이 조금 약한것같다ㆍ어떤 부분에서는 너무 미래를 확언하는것같기도하다ㆍ"
9788901246086,10,친한이모께서 책 주문을 해달라고 하셔서 어제 택배로 받으셨는데 내용이 좋다고 하셨어요
9788901246086,10,좋아요-
9788901246086,10,그리 멀지 않은 미래에 닥쳐 올 일 꼭 읽어보고 싶어요.
9788901246086,8,"코로나19시대가 야기한 불확실성,불안,혼란,두려움이 커선지 미래예측서들이 활기를 띤다.이책은 가까운 미래인 2030년의 세계 모습을 낙관적 비전으로 보여주고 있다.서구 중심의 새로운 세계화 비전이랄까? 1999년 프리드먼의 ‘렉서스와 올리브나무‘와 프레임이 크게 다르지 않아보인다."
9791191056372,10,요즘 나온 경제 심리학 서적중 최고의책
9791191056372,8,평범한 사람이 돈에 대해 고민해보아야 하는 포인트를 주옥 같은 명언으로 담아낸 책. 나쁘지 않아 후배들에게 추천하는 책.
9791191056372,10,"이 책을 선택하며 투자에 최적화된 주식투자에 적용되는 투자 심리와 증시 추세에 반영되는 투자자들의 심리를 배울 수 있기를 기대할 수도 있는데 그보다는 일반적인 부와 투자, 경제 관념 등에 대한 폭넓은 이야기를 담고 있다. 그럼에도 투자자 누구에게나 적절할 이야기다."
9791191056372,10,저축하라
9791191056372,10,"장기투자/복리효과라는 당연한 걸 머릿속으로 알고 있지만 하지 않는 사람들에게 왜 해야하는지를 보여주는 우아한 책이며, 투자와 투기와 투자 마인드 등 여러 면에서 곱씹어볼만한 포인트가 많다. 무엇보다 재미있고 우아하다."
9791191056372,10,너무 재밌고 유용하딘
9791191056372,10,"(나에겐) 엄청난 진입장벽이었던 표지디자인과 부제, ‘당신은 왜 부자가 되지 못했는가‘. 용케도 장벽 돌아 진입하고 보니 오우와우!  모건 하우절! 멋져부러! (역시 오래 살고 볼 일이오. 하하하)"
9791191056372,10,6장을 꼭 읽어보길 권합니다
9791191056372,6,투자할 자금도  없이  언젠가하겠지 하고  읽을 필요는 없을듯
9791191056372,10,"돈의 철학에 대해 배울수 있는 책이다. 인간적인 감정을 이해하고 투자할때의 자제력이나 마음가짐 위주로 풀어낸 책이므로, 전문적인 투자기법서보다는 마인드컨트롤 서적에 더 가깝다. 이 책 안에 있는 철칙만 고수할 수 있다면, 자산을 잃지않고 꾸준히 투자할 수 있는 습관을 기를 수 있을 것이다."
9791185994598,10,미시경제학의 스테디셀러. 30년전에도 이 책으로 공부했는데 대학생 자녀가 이 책으로 공부하다니...
9788901248684,8,세상 모든 분야에 걸친 인간의 ‘선택‘과 ‘행동‘의 비밀을 파헤쳤다. ‘행동주의의 원리‘를 일상생활에 적용해서 덜 후회하는 삶을 살아가는 데 초점을 맞추고자 한다.
9788901248684,10,노벨경제학상 수상자의 40년 동안의 노력을 이토록 간단하게 접할 수 있다니. 집어들지 않을 수가 없다.
9788901248684,10,이콘이 아닌 비합리적인 사람들이 넘쳐나는 이 세상을 잘 살아가기 위해서 꼭 필요한 책! 추천합니다.
9788901248684,10,넛지를 탄생시킨 행동경제학 40년 이야기..흥미로워서 읽어봅니다
9788901248684,10,<넛지>가 실전편이라면 이건 심화 이론편 같은.. 근데 이론적인데 의외로 재미있다.
9788901248684,10,받아보고 두께에 놀랐지만 의외로 재밌어서 또 놀랐다
9788901248684,10,리처드 탈러 후속작이라니! 기대합니다~
9788901248684,10,지난번 나온 치알디니의 <사회심리학>과 시리즈인 것 같다. 두말할 필요가 없는 책.
9788959896837,2,추천하고싶지않아요
9788959896837,10,올해 트렌드를 파악할 수 있고 새롭게 알게 되는 것들이 많았어요
