ISBN13,rating,review
9788901246086,8,"직장인인 나는 권고사직이 무섭고, 자라나는 아이들을 책임지기 위해서 어떻게든 미래를 준비해야해서 읽은책이다. 10년 후에 어떤 세상이 올 지 예측하기 위해서 읽은 이 책은 내게 큰 도움이 되었다. 미래를 준비하지 않으면 준비하는 자에게 먹히게 된다. 서둘러 읽어보고 예측하고 준비하자!"
9788901246086,8,"새롭고 놀라운 이야기를 담고 있지 않다.하지만 정리가 잘 되어 있고, 각 장을 연결하는 흐름이 좋다.......급변하는 미래를 예측하기란 쉽지 않다.그럼에도 불구하고 어떻게 변하게 될지 걱정과 기대를 가질 수 밖에 없는데,2030년에 어떤 상황이 펼쳐질지 예측하는데에 도움이 되는 책이다."
9788901246086,4,뻔한 이야기  베스트셀러?  이해안감
9788901246086,10,"서구적 시각이 보이고, 결론은 좀 평이하지만, 인구 변화 등을 근거로 미래를 예측하는 작가의 지성이 잘 드러난다. 블록체인에 대해서 쉽게 설명한 내용도 인상적이었다."
9788901246086,4,"제가 잘 못된건지... 아니면 이런류의 책이나 HBR, DBR의 사례를 자주 접해서인지 유명인들의 말과 다소 뻔한 내용들을 나열한 느낌이네요. 멀리보기에서의 사례는 보기에 상당히 거북했습니다. 사례가 미래를 도전하는 모험이라기보다는 균과 함께한 침략이었고, 멕시코가 성공의 아이콘은 아니니까.."
9788901246086,6,"어느 유명강사가 자신의 유튜브에서 책을 소개하여 호기심으로 읽었는데, , , 알고있던 혹은 이미 알려진 사실들의 나열이라는 느낌을 나만 받고 있는건지?  기존 사실들과 통계로 무언가 미래를 통찰한다는 느낌이 조금 약한것같다ㆍ어떤 부분에서는 너무 미래를 확언하는것같기도하다ㆍ"
9788901246086,10,친한이모께서 책 주문을 해달라고 하셔서 어제 택배로 받으셨는데 내용이 좋다고 하셨어요
9788901246086,10,좋아요-
9788901246086,10,그리 멀지 않은 미래에 닥쳐 올 일 꼭 읽어보고 싶어요.
9788901246086,8,"코로나19시대가 야기한 불확실성,불안,혼란,두려움이 커선지 미래예측서들이 활기를 띤다.이책은 가까운 미래인 2030년의 세계 모습을 낙관적 비전으로 보여주고 있다.서구 중심의 새로운 세계화 비전이랄까? 1999년 프리드먼의 ‘렉서스와 올리브나무‘와 프레임이 크게 다르지 않아보인다."
9788934991366,8,탄소배출을 당장 1900년대 수준으로 줄여야 다음 세대를 위해 지구를 보전할 수 있다는 내용. 책 자체도 재생지에 콩기름 잉크를 쓴 점이 인상적.
9788934991366,10,영향력 있는 인물인 빌 게이츠가 환경에 대한 문제제기와 아이디어 제공을 해주어 고맙다
9788934991366,10,"환경을 주제로 하지만, 신기하게도 이 책을 읽다보면 빌 게이츠가 왜 세계적인 기업가가 되었는지 알게된다."
9788934991366,10,기대되는 책입니다
9788934991366,10,빌 게이츠의 기후 재앙을 피하는 법은 도무지 가시화되지 않는(혹은 그러고 싶지 않은) 문제를 탁월한 솜씨로 현실로 끌고 온다.
9788934991366,10,괜찮은책으로보이네요
9788934991366,10,"여성분들도 책 많이 읽으시네.... 북극 빙하, 미국 폭풍, 태풍, 일본 지진, 인도네시아 쓰나미 등등.... 예전보다 더 심해 지고 있기는 합니다."
9788934991366,2,빌게이츠.. 믿고 거름.
9788934991366,8,환경에 관심이 많아 기대되는 책이네요.중학교 아이와 함께 읽어보려합니다
9788934991366,10,기후와 환경 문제 진짜 어렵긴한데 빌 게이츠라면 뭔가 해결 가능할 것 같기도함
9788934991366,10,"점점 더 환경에 관심을 가지게 되는 저에게, 딱 필요한 책이었어요. 특히 환경하면 떠오르는 추상적인 얘기들과 달리, 명확한 목표와 실현 가능한 방법들을 제시한 점이 좋았습니다.  우리가 가진 기술들을 어떻게 활용할 수 있을까.. 읽는 내내 고민해보았습니다."
9791189580575,4,블로그나 개인 소셜미디어에 딱 맞는 글들...좀 아쉽습니다. 몇몇 최근 정보들은 재미있게 수록되어 있는데 전체적으로 창의적인 부분 보다는퍼다 날른 내용들이라 참신하다라는 생각은 들지 않았습니다...정말 큰 기대 말고 최근의 세상 흐름을 읽고 싶다면 편하게 읽으면 좋을듯.
9791189580575,10,메타버스 안내서!!!
9791189580575,10,"세 번을 읽었다. 공학, 인문, 사회과학의 다양한 뷰로 메타버스를 얘기해줘서 참 좋았다."
9791189580575,10,메타버스를 다룬 외국의 여러 자료들을 봤으나 이 책이 압도적으로 좋다. 올해 접한 트렌드나 미래 예측 책들중에서도 가장 좋았다. 현상을 체계적으로 잘 정리하고 저자의 다양한 경험으로 인사이트도 많이 주고 있다.
9791189580575,6,"메타버스에 대한 설명, 그리고 현황과 저자의 해석이 가득 담긴 책. 특히 저자가 직접 만든 단편(소설)은 메타버스의 미래에 대해 어느 정도 와닿게 해주었고, 각 기업들에게 메타버스 활용방안을 제안한 6장은 당장 메타버스의 활용에 대해 알려준다. 걸작은 아니겠지만, 메타버스 입문서로는 완벽."
