ISBN13,rating,review
9788958623427,8,"<차이나는 클라스>에서 김원중교수님 강의 인상깊게 들어서 삽니다. 그냥 병법서라서 저랑은 상관없다고 생각하면서 살았는데 삶 자체에, 그리고 국제정세를 보는 안목에도 도움이 될 것 같습니다."
9788958623427,10,내용이 정말 훌륭합니다. 특히 전례를 통해 역사를 배우는 기회도 생겼구요. 하지만 딱 하나 아쉬운 점이 춘추전국 시대 지도가 있었으면 정말 좋았을텐데.... 지도가 없어서 잘 모르는 중국 대륙을 상상하며 읽어나가야 하기에 좀 무리가 있습니다..
9788970131245,8,전쟁도 아는 만큼 보인다.
9788970131245,10,이 책을 알게된 것은 3년전이지만 책값이 만만치 않아서 주저하다가 이번 기회에 구매하게 되었다. 거의 전쟁에 관한한 손자병법과 아울러 명저라고 알려져 있는데 이제서야 읽게 되었다.
9788970131245,10,나를 알고 적을 알며 시세를 파악하고 승리를 쟁취하기 위한 한편의 장대한 드라마
9788984077751,4,쓸떼없는 그림들이 책의 너무 많은 부분을 차지하고 있음. 심지어 그림이 내용과 잘 맞는지도 의문임. 작가 본인이 그림을 그렸다는데 이럴거면 그냥 외주를 주는게 좋았을 듯. 손자병법을 이해하는데 도움이 되는 책이지만 주관적인 이야기들은 그닥.. 별로임
9788984077751,10,만오천 번을 읽고 우려낸 책이라니! 기대가 됩니다^^
9788961951432,10,어려운 부분이 있긴한데 읽어보시길 추천합니다!!
9788961951432,10,현대외교에 관심 있다면 꼭 읽어보길
9791156028635,10,"한문, 한국, 영어로 손자병법이 어떻게 번역되어 읽히는지 함께 담아내어 실질적인 글로벌리더를 위한 손자병법"
9791156028635,10,시대에 맞는 손자병법 해설
9791156028635,10,동양철학에서 만나는 이기는 전략
9791156028635,10,손자병법을 이해하기 쉽고 많은 사람들이 편하게 읽고 활용할 수 있도록풀어놔 인생 지침서로 참고하기 좋다
9791156028635,10,동양철학 하면 손자병법이다. 나 자신을 온전하게 지키는 방법이 손자병법 안에 들어있다. 한문이 해석되어 있는데 왜곡되지 않게 설명되어 있어 손자병법을 처음 접하는 분들에게는 권장하는 책이다.
9791156028635,8,손자병법을 해석하고 싶다면 추천한다. 글로벌시대 리더라면 꼭 읽어야 할 도서!
9791156028635,10,손자병법에 대해 경영학과 연관지어 알 수 있어서 인상적이었습니다.
9791159312748,8,저자의 주된 주장은 간접 접근 전략 이론이다. 고대전부터 현대전까지 군사전략을 살펴보고 미래에 필요한 군사전략론을 도출하고있다. 어렵지 않게 읽을 수 있다.
9791195745784,6,우선 책을 보면서 내용이 좋아서 소장하기에 딱 좋은 도서였으나 한가지 아쉬운 점은 글씨가 너무 작아서 글자 크기를 좀 키웠으면 좋았을것 같은 아쉬움이 너무 컸습니다.
9791195745784,8,"인생의 절반쯤 왔을 때 읽어야할 손자병법을 제목 그대로 학창시절 필독도서라는 제목으로 읽었던 책을 30년이 지나 다시 읽어보았다.직장, 결혼, 육아를 거치면서 다툼이 생기거나 승부를 해야할 때 이책을 읽어보았으면 좋았을테지만 지나고나서 읽어보니 나의 경험도 떠오르고 이책이 오랜기간 사랑받는 이유가 뒤표지에 써있는대로 '전쟁의 기술이 아닌 인간에게 방점을 찍은 승리의 비기'이기 때문이란 생각이 든다.10편 지형에 나오는 구절중 '군사들을 지나치게 후대하면 부릴 수가 없고, 지나치게 사랑하면 혼란해도 다스리지 못할 것이다. 이는 말하자면 버릇없는 자식처럼 아무 쓸모가 없는 것이다.'라는 대목은 자식을 키우는 부모에게도 지침이 되는 부분인데 이 장에 그 유명한 '지피지기면 승내불태' 적을 알고 아군을 알면 승리가 위태롭지 않다라는 부분도 있다. 13장으로 나뉘어 읽기가 쉬운데 한자어 - 한글풀이 - 해설로 나뉘어 주로 한글풀이를 읽고 해설에 나온 역사적인 사건들을 읽은후 한자는 궁금한 부분만 읽어보았다. 한번 읽기는 어렵지 않으나 읽을때마다 나의 상황에 따라 마음에 와닿은 구절이 다르므로 책장에 꽂아놓고 심란할 때마다 조금씩 읽어볼까 한다."
9788961951425,2,양장본으로 만들어주시지 왜 하필 반양장본을 ㅠㅠ
9788961951425,10,유일한 완역본. 제본상태는 조금 아쉽다. 더 단단하게 제본해주었더라면.전쟁론 번역본은 이 판본으로 읽어야 함.
9788961951425,8,방대한 분량에 고민하다가 드디어 주문하여 오늘 받았다. 기대가 크다. 하지만 두께를 고려하면 양장본이었다면 어땠을까 싶다. 왜 꼭 두꺼운 책은 약간의 구겨짐이나 찢김 상태로 배송될까. 아쉽다. 읽고 나서 다시금 후기를 써야겠다.
9788961951425,10,정말 기대됩니다.
9791157940905,10,"문고판으로 나와 내용이 잘 읽힙니다. 특히 <사마법>을 읽으며, 혼돈한 사회를 살아가는 우리에게 正義란 무엇인지 다시금 고민해볼 수 있어 좋았습니다."
9788967350321,6,강의를 옮겨서 일반 독자가 읽기는 너무 디테일함
9788967350321,8,의외로 재미있어요
9788908062764,10,"˝제갈공명 병법˝을 통해 국가 운영의 방법에 대해 배운다면, 지금 시점에서 무엇이 가장 필요한 것인지 알 수 있을 것이다. 일독을 권한다."
9788908062764,10,소박하면서 섬세한 제갈량을 느낄수있어서 매우 좋았습니다.
9788908060401,8,"작은 포켓이라 휴대에 좋고, 금방 읽을 수 있다. 처세에도 도움을 주는 책."
9788908060401,10,요약되어 있지만 내용은 충실한 편이고 이동중 보기에 아주 좋네요
