ISBN13,rating,review
9788960304482,10,삽화를 보며 재미있게 완독했습니다.덕분에 1000페이지에 달하는 원문번역서도 읽어볼 날이 오겠죠.
9788960304482,10,삽화 몇 장 실려 있을 줄 알았는데.. 매 페이지마다 실린 구스타브 도레의 삽화를 보는 것만으로도 대단히 흡족하다.
9788960304482,10,줄글 형식으로 바뀌는 읽기가 한결 쉬워졌어요.무엇보다도 삽화가 참 아름답네요.
9788960304482,10,"그림도, 글도 훌륭했습니다. 군더더기 없는  글과 작가의 통찰이 놀랍습니다. 저로 하여금 리뷰를  쓰게 만드네요"
9788960304482,10,"귀스타브 도레의 그림이 단테의 환상적 묘사를 더욱 돋보이게 한다. 죄를 짓지 않기, 그리하여 벌 받지 않기 위해 살 지어다."
9788960304482,8,그림이 있으면 좀더 쉽게 이해할수 있을까 싶어서 구입
9788960304482,8,구스타브 도레의 삽화를 보고싶어 구입.기대하지 않았는데신곡의 축약본까지 접하게되어 참 기쁘다.신곡을 정독할 때 여러모로 많은 도움을 받게 될 것 같다.이탈리아어로 볼 수 있으면 정말 멋질텐데!
9788960304482,8,2016.10.18. 흐뭇합니다.
9788960304482,10,"중세 신성이 절정에 달할 때 그 훗날 그리스도교의 영감이 깃든, 문학, 회화, 영화 등 여러 장르에서 드러나는 ｀구원｀이라는 전통을 극한으로 느껴볼 수 있을 작품."
9788996851516,10,"홍길동전을 제대로 읽게 해준 책입니다. 민음사에서 나온 한국고전으로서의 홍길동전도 읽어보았지만, 청소년 눈높이에서 더 긴박감 넘치는 삽화와 필체로 풀어쓴 이 홍길동전은 한글소설만의 힘찬 리듬이 느껴지는 책이었습니다. 홍길동전 이야기의 윤곽만 알고 제대로 알고 싶은 분들께 추천합니다."
9788996851516,8,아들녀석 독서 권장 도서로   선정된   책
9788996851516,10,우리가 알고 있지 않던 홍길동에 대한 이야기로 가득차있네요//////////
9788996851516,10,어린아이들에게는 영원한 조선 영웅 홍길동 그의 모습을 조금 더 깊게 알고 싶다면 이 책은 어떨까요? 우리가 몰랐던 홍길동에 관한 내용들이 가득 있습니다. 아이들에게 꼭 읽힐 필요가 있는 책. 어서와서 구입해요
9788996851516,10,"안전하고 빠른배송 감사합니다!!
알고보니 제 친구들도 알라딘을 많이 애용하고있더군요
정말감사하고 잘읽겠습니다 감사합니다 ^ 0^"
9788974832537,10,우리 아이들이 꼭 읽어야 할 책....오백년전 국민들의 삶을 위해 고민한 저자의 마음을 조금이라도 이해하고 닮아가길 바란다.
9788974832537,10,고전임에도 불구하고 꽤 재밌게 읽은 책. 꽤 오래전에 살았던 인물임에도 불구하고 자본주의에 대한 저자의 날카로운 통찰력이 놀라웠다. 유토피아의 본디 뜻은 ˝어디에도 없는 곳˝이라는데 과연 머나 먼 미래엔 누구나 행복하게 살 수 있는 유토피아가 존재하게 될까?
9788974832537,8,어려울까 걱정했는데 매끄럽게 잘 읽히네요.
9788974832537,10,유토피아 문학의 길을 연 토머스 모어의 『유토피아』. 이 완벽한 유토피아의 모습은 불완전한 우리의 모습을 반성하게 한다. 유토피아 문학은 현실을 밝게 비춰주는 거울 역할을 한다.
9788974832537,8,나의 유토피아!
9788974832537,8,1일 여섯시간근무라.....1516년에 이런생각을 했다니..
