ISBN13,rating,review
9788954609920,2,"1차 사료가 주어지면 뭐하나? 정조의 문체반정의 본래 뜻도 모르고, 비밀편지를 가지고 이중적 태도라고 비판하니 말이다. 곡학아세의 전범이다. 이런 책이 아직도 팔리나?"
9788954609920,10,얇지만 정조의 다양한 모습을 볼 수 있는 책.
9788954609920,8,알려지지 않은 모습을 알 수 있다면 매우 흥미로울 것이다. 특히 그 대상이 왕이라면 더더욱 그럴 것이다. 이 책은 호학군주로 알려진 정조의 색다른 모습을 밝혀낸다. 새롭게 발견된 수백 편의 어찰을 통해서 우리가 몰랐던 여러 가지 정조의 면모를 알 수 있어 좋다.
9788954609920,10,훌륭한 인문서적.
9788954609920,10,"정조의 글씨를 보면 글씨를 참 잘 쓰는 사람으로 보인다. 글쓰기를 좋아한 군주가 정치적으로 필요한 내용을  비밀편지를 이용하여 자신의 정책을 펼쳐나갔다는 점이 흥미롭기도 하지만, 절대왕조국가이자 성리학국가를 꿈꾸던 군주 정조의 생각을 읽을 수 있다. 책이 작고 얇아서 휴대하기 좋다."
9788954609920,8,어찰 자체가 그렇게 많지 않은데 정조의 어찰은 많았다. 그 어찰을 통해 본 조선정치와 정조의 성격을 알수 있는 책이다. 정조의 다정함과 유머 그리고 거친 입담...너무 매력적인 인물이라 더 많은 책으로 그분을 알고 싶다
9788954609920,8,군주 정조와 자연인 정조의 간극이 제법 크다. 감정에 치우치는 다혈질 기질은 선대로부터 물려받은 유전일지도...
9788954609920,10,(유리가면 톤으로) 정조... 무서운 남자... 집요하고 치밀하고 집착 쩌는 유능한 군주. 좀 더 통 크게 정치를 해도 좋지 않았을까.
9788954609920,10,지금까지 정조의 모습은 잊어라! 여기 '정조어찰'로 새로운 정조의 진실이 밝혀진다.
9788954609920,8,간만 보는 듯한 느낌의 책. 두툼하게 나올 후속을 기대해 본다
9788954609920,8,이제까지 볼 수 없었던 정조의 일상적 모습과 정치인으로서의 모습을 알게해주네요..
9788954609920,10,이렇게 하나하나 감추어졌던 역사의 진실이 밝혀지는군요.
9788937460722,6,"어릴때 재미있게 읽었던 기억이 있어 구매했습니다. 성인이 되어 읽어보니 고전이라고 다 좋은 작품은 아니구나 라는 생각이 들었습니다. 흔히 구운몽을 고전 라노벨이라고 하던데 그 말에 공감합니다. 이 책을 통해 과거의 이상, 가치관을 엿볼 수는 있겠지만 그 이상을 얻을수는 없다고 생각합니다."
9788937460722,6,중국 소설 판타지 느낌으로 허무맹랑하지만 고전소설의 묘미를 맛봄
9788937460722,6,"편안하게 잘 읽을 수 있어 좋으나, 이 부분은 풀이에 오류가 있지 않은지요.212쪽. 권지4 ,15장“(전략) 부인의 덕이 『시경』의 「관저」에 나오는 규목(樛木) 같으심을 칭송하지 않는 자가 없는 탓에 ---)‘관저‘와 ‘규목‘은 각각 독립된 장이니까요."
9788937460722,8,"현실에서 좌절을 맛보는 이가 어머니와 저를 위로하고자 쓴 글... 파우스트는 멈추어라, 너 정말 아름답구나 하였고, 소유와 팔선녀는 불가에 귀의하는도다."
9788937460722,8,대략의 줄거리만 알고 있었는데 자세히 읽어보기는 처음입니다. 옛 느낌이 풀풀나는 번역이 처음에는 진입장벽이었는데 읽다보니 마치 원전을 읽는 느낌이라 오히려 좋더군요. 성리학이 지배적인 조선사회에 유불선이 함께 녹아든 독특한 느낌의 작품입니다. 나중에 다시 읽어보고 싶은 작품이네요.
9788937460722,8,신학기가 되면 필독서가 쏟아진다. 고등 고전 필독서인이 책은 내겐 재미보다는 숙제처럼 읽혀져서 안그래도쉽게 읽히지 않은 이야기가 더 어렵게 느껴진다.이번에도 역시 인물들이 많고 얽혀서 정신이 없다.ㅠ
9788937460722,8,생각보다 읽기가 어러웠습니다. 다시 한 번 시간내서 천천히 즐기면서 읽어야겠습니다. 추천해요.
9788937460722,10,영원한 고전. 누구나 읽어봤을 그 작품!
9788937460722,6,오랫동안 꾸준히 전해져오는 것 만으로도 충분하지 않을까요
