ISBN13,rating,review
9788937460050,10,"이런 내용을 이렇게 쉽고, 재밌게 쓸 수 있다니 진성 사회주의자라는 오웰의 분노가 느껴진다"
9788937460050,8,"어느 시대, 어느 장소, 어느 집단이던 사람이 있는 곳이면.명확히 똑같지는 않지만 비슷한 단면 하나 둘쯤은 필연적으로 떠오르게 될것이다. 이 책을 읽고나면"
9788937460050,8,오랜 시간동안 사라지지 않고 읽히는 책은 이유가 있다.
9788937460050,10,시간가는줄 몰랐네
9788937460050,10,2020의 현실이 동물농장이랑 다를게 무엇인가
9788937460050,10,고전은 이런 것....
9788937460050,8,학생때는 우화와 같은 가벼운 이야기로 생각했었는데 어른이 되어서 다시 읽어보니 시대와 사회에 대한 비평이 담겨있음을 알게 되었다.
9788937460050,10,동물농장. 더 이상 무슨 설명이 필요한가? 2019년 현재의 대한민국의 모습을 알고 싶다면 바로 이 책을 읽으면 된다!
9788937460050,10,2019년 현 좌파들을 보여준다.
9788937460050,10,작가의 통찰력에 감탄하며 읽었습니다.
9788937460050,8,짧은 이솝우화에 넣은인간들의 단면을 소름끼치게 담아마지막 책장에서부끄러움과 창피함그리고 무력감이 밀려왔다
9788937460050,10,"이 책 읽고 염세주의가 약간 생기는 성격변화까지 일어남. 씽크가 현실과 너무 잘맞고, 그런 현실에 염증까지 일어남... 주화입마가 이런건가"
9788937460050,10,동물농장이라는 소설 자체야 말할 필요도 없는 것이고 민음사의 동물농장이 다른 동물농장에 비해 마음에 들었던 점은 뒤에 나온 해설이 좋았다는 점.
9788937460050,8,우리주변엔 다른곳에 비해 돼지가 상대적으로 많은 것 같다.
9788937460050,10,다시 읽고싶어져서 구입.
9788937460050,10,"스탈린 시대의 소련을 동물에 빗대어서 표현했다. 그러나 이 우화는 현재에도 적용할 수 있다. 전체주의적 행태를 보이는 국가와 사회가 있는 한, 이 책은 먼 훗날에도 명성을 떨칠 것이다."
9788937460050,10,전체주의의 폐해에 대한 책임은 그것을 방관한 우매한 대중들에게도 있다.복서와 같은 눈과 귀가 닫힌 프롤레타리아가 되지 말자.
