ISBN13,rating,review
9791190944144,10,기후 위기와 팬데믹 시대에 인문학이 할 수 있는 일은 무엇일까? 누군가 이런 질문을 던진다면 고개를 들어 이 책을 보게 하라. 인류가 처한 현재의 위치와 미래의 방향 설정에 대해서 명쾌하고 정확한 진단과 도식을 제시한다. 근대화와 글로벌화 이후의 세계를 상상할 수 있도록 도와준다.
9788962623505,10,"올해 우리는 코로나19로 많은 경험과 변화, 고난과 인내를 겪고 있다하지만 정작 그 원인인 코로나19에 대하여 얼마나 알고, 얼마나 대처 하고 있는걸까?그 궁금증을 많은 부분 해소 시켜주고 길라잡이가 되어 준 시간."
9788962623505,10,일반인 독자를 위한 보고서임에도 생물학에 익숙하지 않다면 낯설고 어려울 수도 있는 내용이 많은 듯. 기후변화라든지 앞으로 과학소양의 바탕 위에 대중의 공감대를 끌어내야 할 문제가 쌓여갈텐데 우리도 서구권처럼 과학이 필수적인 교양으로 자리매김하는 시대가 올 필요가 있다고 생각됨.
9788962623505,6,나같은 과알못에게는 1부와 2부의 생물학적 내용은 좀 어려웠다. 그럼에도 코로나 바이러스를 이해하는데 약간의 도움은 받은 것 같다.
9788962623505,10,내용은 둘째치고 그렇게 어려운 내용을 알차고 친절하게 편집한 출판사에게 한표.이걸 읽으면 언론에서 하는 코로나 뉴스가 코로나에 대해 참 많이들 생략했구나 알 수 있음.
9788962623505,10,코로나19 바이러스에 대한 과학적 사실에 대해 알기 쉽게 설명되어 있어 코로나19 바이러스에 대한 궁금증이 많이 해소되었습니다. 우리나라 과학자들의 노력으로 코로나사태의 종식이 하루빨리 앞당겨 지기를 바랍니다.
9788950981174,4,"<인간의 문화적 활동은 느낌에서 비롯되었고, 지금도 여전히 느낌에 그 뿌리를 두고 있다>는 걸 알기 위해서 이 길고 지루한 책을 읽어야 하는지. 이전 책들하고 다른 게 뭐?"
9788950981174,10,"<스피노자의 뇌>를 재미있게 읽고, 다마지오의 책은 두번째로 읽는다. 흔히 ‘감정‘은 ‘이성‘보다 덜 중요하고, 때로는 부정적인 것으로 인식될 때가 있는데 그런 인식을 완전히 뒤집는다. 감정(정서)야말로 생명유지에 핵심적 역할을 한다는 것!"
9788950981174,10,"대가의 숨결이 느껴진다! 스피노자의 뇌를 읽으면서도 느꼈지만, 인간은 이미지를 통해서 이해하는데 느낌이나 감정을 객관적인 언어로 표현한다는게 어렵다는 이야기다. 하지만, 이 책은 시간이 나는대로 조금씩, 조금씩, 아껴가며 재독중이다...."
9788991136243,8,비가시적인 상황을 애써 외면해온 나 자신. 고통스럽지만 변화를 위해 한번은 반드시 직면해야하는 진실.
