ISBN13,rating,review
9788975279577,10,"3장까지 읽다가 참을 수 없어서 후기를 남긴다. 300평 미만의 생태적인 개인 정원을 가꾸려는 이에게 이보다 더 종합적으로 도움이 되는 한글 책은 본 적이 없다. 최고다. 교양서로 읽는다면 내용이 너무 자세해서 지루할 것이나, 실용서로서는 별5개 대신 50개를 주고 싶을 정도다. 번역도 훌륭."
9791159253560,10,"도서관에 있어 빌려 보았는데, 식물을 이용해 작물을 돕는 농사법이 정말 신기하고 놀라웠다. 나도 응용해 보이야겠다."
9788976165169,10,채소 키우는데 기본적이며 필수적인 정보가 들어 있어 식물 키우는 분들에겐 필독서.
9791188375233,10,마스크가 필수품이 될 세상이 이렇게 빨리 올 줄 몰랐죠. 격변하는 미래에는 식량난도 걱정해야 하나 고민하던 차에 이 책이 눈에 들어왔네요^^ 진입장벽이 낮고 소농이기에 적합한네덜란드만의 농업 형태라니 부럽기도 하고...가독성이 좋아 진로 독서를 준비하는 중고등생들도 읽기 좋을것 같아요.
9788955266870,2,교양과목교제가 아니면......
9788972207443,10,우연히 식물을 키우기시작했는데올해에는 부쩍 베란다에  종류가 많아졌어요그중에 허브도 포트분으로 사서 몇종을 기르기 시작했는데필요할때마다 인터넷으로 지식인이나블러그 찾아다니며 도움을 받곤했는데이번에 책을 구입하게되었어요.다양한 정보 감사합니다.
9788972207443,10,허브재배에 대한 책이 우리나라에 드문데 이렇게 직접 기르고 활용한 방법을 책으로 내주셔서 좋으네요. 보내주시는 씨앗도 잘 활용하고 싶어요.
9788972207443,8,요즘 집에서 소소하게 작은 식물들을 키우고 있는데ㅎㅎ 흥미로울 것 같아요
9788972207443,6,키우고싶어요~
9788972207443,10,허브재배에 관련된 책! 흥미롭네요. 유익한 내용들로 채워졌을거 같네요~
9788972207443,10,정말 많이 기다렸습니다!!! 국내 허브재배에 관한 실용서...없다시피 하다는 사실! 이 책이 선구적인 역할을 할 거라 기대합니다. 발간소식 듣자마자 구매했어요. 책이 빨리 오기를~~~
9788935704057,10,복원자.종결자.
9788935704057,10,"가와구치 요시카즈, 최성현, 자연농. 달리 무슨 말이 필요하랴. 이 책은 자연농을 실천하는 사람들의 영원한 참고서가 될 것이다."
9788990274687,10,"현대의 노자, 마사노부. 대안을 생각하는 사람들에게는 읽어볼 법한 책이다."
9788990274687,6,"자연농법에 대해선 백프로 동의. 근원, 원점에 한 걸음이라도 다가서라는 조언은 귀함. 더불어 이 정도 근본적인 변화 실천하려면 반드시 근본적인 생각의 전환 있어야 한다는 것을 이해함. 그러나 뒤의 종교 이야기에는 심한 거부감이 듦. 계절과 맛 도표 내가 알던 것과 달라 당황했음. 봄이 짠맛?"
9788990274687,10,볍씨 뿌리고 짚 덮고 보리씨 뿌리고 벼 수확하고.....대단한 고집과 열정이 있는 일본 농부 이야기
9788990274687,10,세상을 바꾸는 지혜는 흔히 볼 수 있는 아주 작은 것들 속에 깃들여 있음을 깨닫게 해 준다... 단 욕심을 버리기만 한다면!
9788990274687,8,"최근 도시농부가 되기로 하고, 책을 구입, 열심히 읽고 있다. 암... 중요해~"
9788990274687,10,세계적으로 유명한 책이지요. 특히 미국판 서문은 웬델 베리가 쓸 정도로.. 다시 보게 되니 참 좋습니다.
9788990274687,8,절판되서 언제 다시보나 했는데 이렇게 보게되어 감사합니다~!!
9791185136585,10,"왜  지금의 농촌이  이지경이  되었는지,  어떤 과정으로  푸드플랜이 떠오르게 돼었는지, 왜 푸드플랜이  중요한지,   지금이  얼마나 절박한 기회인지를 이해하게 되는 책이었습니다."
9788956374604,10,꼭 농사를 짓지 않는다고 해도 이 책을 읽으면 좋은 이유는 우리가 살고있는 이 땅과 흙의  대한 이론적이고 과학적인 지식을 얻을수있기 때문이다. 그리고 여러번 증쇄를 거듭했다는것은 오랫동안 이책을 독자들이 필요로 했다는 것이기도 하다.
9791186900185,6,"농장을 꾸릴 목적이 있는 사람 또는 농작물에 관심이 많은 사람 아니면 약을 받아오면 성분표도 읽고 가끔 샴푸나 화장품, 버터나 과자봉지 뒤 글자도 읽는 사람이라면 흥미롭고 유용하게 읽을 것 같다. 정말 많은 종류의 농작물과 동물의 분류를 읽는 것도 재밌었다. 참고로 나는 세 번째 경우였다"
9788972207436,8,쉽게 따라해 볼 수 있을 것 같습니다. 그렇지만 책값에 다시 한 번 후덜덜~.
9788972207436,10,텃밭에 대한 관심을 가지고 있는데 이 책이 있다면 도시 농사 짓기에 큰 무리 없이 해낼 수 있겠군요. 많은 기대가 됩니다.
9788972207436,10,"저처럼 초보이신 텃밭지기님들께 정말 유용한 책인거 같아요 작물에 따라 약간씩 수록법이 다르기는 하나 그작물의 특성, 파종, 수확, 병충해, 장마, 솎아주기, 갈무리 등 사진과 직접그린 그림으로 누가 봐도 알아보기 쉽게 수록해 놓으셔서 정말 많은 도움이 된 책입니다."
9788972207436,10,꾸밈 없고 가식 없고 필요없는 정보 없는 책. 12년 동안 도시 농부를 자처하며 그간에 겪어온 실패담과 방대한 사진자료들. 자신이 직접 경험한 내용들이라 초보 도시 농부들 뿐만 아니라 전업농들에게도 아주 유용한 정보가 가득하다. 덕분에 초보지만 주말 농장에서 초보티가 덜 났다.
9788997429394,10,평소 보고 싶었던 책 이라서 받아보고 좋았습니다.그동안 궁금했던 점들이 해결 되었습니다.나무를 공부하시는 분들께 적극 추천 합니다.
9788975276491,10,채종.보관뿐 아니라 '토종' 방식으로 작물기르는 방법까지 다양하게 들어 있습니다. 화학약제 없이 병을 예방하는 채종법이 있다는 걸 처음 알았네요. 현장의 지혜가 담긴 좋은 책.
9788975276491,10,"보기좋게 간결하고, 사족이 없어 집중하기 좋습니다.오랜 시간 현장에서 젊은이들과 함께 땀흘리고 기록하며 쌓은 경험이 고스란히 누군가에게는 거저얻은 떡이 됩니다.  참으로 고맙고 어여쁜 책입니다. 그림도 사진도 보기쉽고 단정합니다"
9791165452377,10,하나하나 설명은 잘해놨네요
9788994898483,10,"흙의 건강에 대한 이야기가 담겨있다. 토질 저하문제는 그리 어려운 일이 아니다. 흙의 생명력을 되살리는 일, 폐허가 된 옥토를 다시 옥토로 회복시키는 이야기다. 땅의 생명력은 곧 인류의 생명력이기도 하다."
9788933311417,10,사진과 함께 설명이 쉽게 잘 되어 있습니다. 양봉초보자가 보면 좋을 것 같습니다.
9791159311451,8,또 다른 책 기대해본다
9791195328529,6,"""기적의사과"" ""사과가 가르쳐 준것"" 의 작가이고, 내용이 구체적이진 않는것 같다."
9788972207412,8,"읽으면서 세 번 놀랐습니다. 먼저 너무한다 싶은 책값에 놀랐지만, 알찬 내용에 놀랐습니다. 그리고 [액비 등을 관수한다]처럼 도무지 알아먹기 힘들게 마구 쓴 글에 놀랐습니다. 다음 개정판이 나올 때에는, 도시 농꾼들이 좀 알아들을 수 있게끔 부디 한국말로 쉽게 써주시기를~.  잘 읽었습니다."
9788972207412,10,텃밭에 관심이 많아서 구했네요. 직접경험을 토대로 한 저서여서 아주 구체적이네요. 감사합니다.
9788972207412,10,개정판전에 샀던거는 엄마에게 선물하고 다시 구입하려니 개정판으로 1부 2부 두권으로 나눠졌네요. 2부가 어서 출간되길 기다리고있습니다. 텃밭에 대한 가장 자세하고 친절한 책. 초급이라면 강력추천합니다.
9788972207412,10,저자가 직접 경험하면서 기록한 내용을 직접 그린 삽화로 자세히 설명하여 재미가 있는 책입니다.
9788972207412,10,"두둑이 무엇인지, 모종이 무엇인지 모르는 도시 촌놈에게 농사용어부터 실제적인 종묘상 이용
방법,해충 퇴치법부터 흙의 구조, 최아법, 시기별 재배법, 수확후 갈무리, 저장법 등등을 알
리고 있다. 한마디로 초보 농사의 모든 것이라 할만하다."
9788975278587,8,프리한 그림은 그렇다쳐도 글씨체는 알아보기힘들지만 농사의 전체적인 틀은잡힌다
9788975278587,10,언젠가는 꼭 텃밭을 길러보고 싶은 나를 위한 책 - 나도 이젠 식물을 잘 기르고 싶어
9788975274145,8,"읽는 내내 감동적이기까지 한 쿠바의 생태도시 만들기 이야기. 다만, 문제점 등에 대한 시각이 아쉬움."
9788975274145,10,"친환경적 농법, 독창적인 기술, 시민들의 참여로 역경을 순경으로 바꾼 쿠바 이야기"
9788975274145,8,"지속가능한 세계는 앞으로도 지속될 것인가? 위로부터의 욕망관리, 의심스럽다."
9788975274145,8,"한일 없이 한 해를 보내자니 맘이 아팠는데, 내년엔 할일이 생겼어요. 텃밭! ㅎㅎ"
9788979471786,10,포스트코로나시대에 새로운 트렌드로 부상한 ˝에코로지라이프˝를 살아가는 지혜를 알려주는 책... ˝농산촌 유토피아를 아시나요˝가 미래 농산촌의 해법을 제시하게 되길 기대합니다.
9788998439835,10,먹거리 문제에 대해 지평을 넓혀주는 좋은 책. 강추!
