ISBN13,rating,review
9791135462252,8,모든 건 뇌다! 신경뇌생물학이 말하는 인간의 모든 행동.
9791135462252,10,https://blog.naver.com/boltup/221985948179서평을 작성하면서도 기분이 좋아던 책이다. 인생에서 유니콘이 나타나는 시기가 있을때 보다도 평소에 준비해야 함을 안내한다.
9791135462252,4,제목은 그럴싸 한데 내용은 어렵고 재미 있지도 않았습니다.원서 자체가 의학적인 용어가 많아서 그런지 번역된 내용도 어렵습니다. 술술 읽혀지지가 않아서 몇번을 다시 읽고 간신히 다 읽었습니다.소장가치는 없어서 알라딘 중고에 팔러 가야겠습니다.
9791159920257,10,고전의 반열에 오를법한 책 명성이 아깝지 않다
9791159920257,10,"올리버 색스에 대해 더 알고 싶어졌어요  왜 소설책 같은 제목일까 했는데 그 이유도 알게 됩니다환자 개인의 서사, 병마와 치열하게 싸우는 그들에게 개인적 주체성이 있음을 강조하는 거죠 병에 이끌려다니지 않는 환자ㅡ 힘들지만 매력있는 책입니다"
9791159920257,10,"색스 선생님, 선생님께서는..."
9791159920257,8,"결손과 과잉, 구체성과 추상성의 인간 정신 스펙트럼"
9791159920257,10,"이제 단순히 동정과 연민의 눈길이 아니라 어떠한 식으로 그들을 받아들여야할지 알것같다.  환자든, 평범한 사람이든 나 조차도 어떤 면에선 과잉이고 결핍이있기 마련. 모든 인간에 대한 이해가 필요하다는것을 말해준다"
9791159920257,8,"인간의 한계점은 과연 어디까지일까?과학으로만 설명되지 않는 신비한 뇌과학의세계,작가는 뛰어난 신경학자인 동시에 편견없는 지식인이다. 따뜻하다."
9791159920257,10,이책 도서관에서 보다가 너무 재미있어서 두고두고 보려고 샀습니다
9791159920257,8,이 책은 흥미로운 내용일지 몰라도 내용은 상당히 어렵다.
9791159920257,8,읽고싶군요
9791159920257,10,환자가 아닌 인간의 영혼을 치유하는 의사.감동적이네요.
9791159920257,6,하.. 그 내용이 그 내용 같고 그 사람이 그 사람 같다.후반부로 갈 수록 힘을 잃는다.내가 힘을 잃는 건지 책이 힘을 잃는 건지.
9791159920257,10,"인간미 넘치는 신경과 전문의, 올리버 색스. 그가 살아있었더라면. 더 많은 책들을 내주었더라면."
9791159920257,10,왜 과학책이 인문학에 분류되었나??했는데 다읽고나니 알겠더군요.환자에대한 사랑이 느껴지는...다른 책도 읽어보고싶게 만든 책이예요.
9791159920257,10,재밌어요ㅠㅠ 제가 집중력이 낮아서 책을 읽을 땐 앞장만 읽고서는 관두고 그랬는데 이번 책은 계속계속 읽혀져요ㅠㅠ 어려운 부분도 꾹 참고 다시보고 하면서 볼 정도로 재밌어요!!
9791159920257,10,환자들에 대한 따뜻한 시선 덕에 온몸과 마음이 훈훈해진다.
9791159920257,10,너무나 흥미롭게 페이지가 넘어갔다. 정상과 비정상의 기준은 무엇일까. 비정상이라고 판단하고 제어하려는 행동은 정당한가. 뇌 안의 프로그래밍 한계는 어디까지 일까. 또다른 의문들이 남게 되었다.
9791159920257,10,질병보다는 인간 그자체를 들여다보고자누구보다도 치열하게 노력했던 한 의사의 상세한 병례보고서
9791159920257,10,"이렇게 아름다운 진료 기록서라니!! 인간이 인간일 수 있는 본질이 무엇인지, 또 진짜 행복이 무엇인지를 생각하게 해준다."
9791159920257,10,신경학자가 쓴 문학적 글쓰기.
9791159920257,8,좀 어려움 ㅠ
9791159920257,10,신경의학자인 올리버 색슨의 책이기에 흥마롭다. 보통 사람들은 잘 모르는 조금은 다른 사람들의 이야기이기에 이 책을 통해 그들에 대한 이해와 공감을 할 수 있으리라. 조금은 다른 사람들의 병원에서의  일상적 탐구가 어떠해야 하는지 시사하는 바가 크다. 따듯한 시선이 정말 좋다.
9791159920257,10,생각보다 더 엄청난 책. 단순히 환자들을 따뜻하게 바라보는 에세이가 아니다. 무엇이 인간의 본질인가라는 질문에 대한 세심한 탐구의 기록이다. 모든 사람이 읽어야 할 책
9791159920257,8,무미건조하게 신경질환 환자를 관찰하고 서술하는 루리야의 책을 보면 색스가 얼마나 감정적이고 서사적인 글쓰기를 통해 환자를 바라보는지 알 수 있어요. 근데 양장본이라 새로샀는데 겉표지 성분이 물에 조금만 닿아도 벗겨질 것 같은 종이성분이라는 점에서 별 1개 차감. 조금 실망이에요.
9791159920257,8,"신경학자 올리버 색스가 진찰하고 치료를 도운 환자들의 사례를 모은 책이다. 낯설고 생소한 신경병에 저자가 주의를 부탁한 호기심과 신기한 마음이 먼저 들지만, 환자가 신경병에 맞서거나 병과 동행하고 적응하는 모습을 보며 인간에 대한 숭고한 마음이 생긴다."
9791159920257,10,흥미로운 탐구는 언제나 머릿속에
9791159920257,10,"비전공자는 보고 이해하기 정말 어려운 내용이고, 사실 이 책의 많은 케이스의 증상들을 겪는 당사자들이 어떤 느낌일지 잘 모르겠어요. 하지만 조금이라도 더 이해하려고 찾아보게 되고, 치료법에도 관심을 가지게 됐어요. 좋은 경험이었습니다."
9791159920257,10,빨간책방에서 듣고 흥미 증가 했습니다. 근데 책 표지는 맘에 안들어.  추천 없었으면 내 취향은 아니었을 듯. ㅋ
9791159920257,8,픽션보다 더 픽션같은 논픽션.
9791159920257,10,기존의 평과는 다르게 나는 우리주변의 가볍게 들었던 환자를 가족으로 두고 있는 분들의 얘기를 귀담아 듣게 되었다. 나는 얼마나 모르고 있었나 반성한다.
9791159920257,8,읽었기에 기록해 두었으나 내가 임상의학을 즐기지 않는다는 것을 알게 됨
9791159920257,8,리커버 표지가 맘에 들어서 구매했습니다 ㅎㅎ
9791160560510,6,잘 읽힌다. 그런데 다 읽었는데 뭘 읽었는지 기억이 안난다. 그렇다고 다시 읽을 필요까진 느끼지 못했다. 나에게는 그냥 그런 책인 것 같다.
9791160560510,6,뭐야 다들 댓글알바생인가. 뇌과학 트렌드타서 자기계발서처럼 내놓은건데 제대로 읽고 책서평 쓰는건가. 다만 독서 처음 시작한 초보자에게는 입문서로선 꽤 훌륭한 읽을거리인건 인정함.
9791160560510,10,너무 재미있어서 단숨에 읽었습니다. 과학 이야기만 있는 것이 아닙니다. 제 삶에 큰 도움이 될 듯 합니다. 좋은 책을 써 주신 정재승 교수님께 큰 감사를 드립니다.
9791160560510,10,정재승박사의 책은 나를 늘 즐겁게 자극한다.
9791160560510,10,정재승은 당대의 과학 지식을 맛깔나게 대중에게 전달할 수 있는 몇 안되는 지식인. 암호화폐에 대한 억측은 이 책에 해당되지 않는다.
9791160560510,10,이책은 과학에 조금 문외한이어도 상식이 조금 모자라도 누구나 이해하기 쉽고 흥미로운 이야기로 가득차있다. 새로운 사실과 몰랐던 과학이야기속으로 빨려가게하는 마력이 있은 책이다. 과학은 어렵기만 한 게 아니라는 사실이 너무나도 반갑고 한층 더 알고싶게 만드는 묘한책이다
9791160560510,8,"책은 모든 사람의 것이다.현 시대에 중점을 두고 알기 쉬운 과학적 지식으로 인간을 분석했다.현학적인 지식과 어휘로 즐기고 싶다면 논문을 보는 것이 좋을 듯 하다.다시, 책은 모든 사람의 것이다.누군가는 내용이 얕다고 하지만,독서 내공이 적은 사람에겐 너무나 고마운 배려다."
9791160560510,8,알쓸신잡에서 되게 좋았는데 책 보니 더좋아졌다.어려운 개념을 정말 재밌고 지루하지 않게 설명해주고 애들한테도 꼭 읽히고 싶은 책이다. 대출해서 읽었는데 소장 하고 싶다
9791160560510,4,되게 과학적인 자기계발서 같은 느낌..?
9791160560510,10,"인생의 목표가 성공이 아니라 성숙이라면 우리는 날마다 새로운 삶을 살기 위해 노력해야 합니다.습관은 안락하고, 포근하고,안전하게 우리의 삶을 여기까지 끌고 왔지만,새로고침이 주는 뜻밖의 재미,유쾌한 즐거움은 여러분의 삶을 더욱 풍성하게 해줄 겁니다."
9791160560510,10,"이런 책을 읽는다는 것은 정말 행복한 경험이자 안타까운 경험이었다. 이런 책을 내가 좀더 젊었을 때, 아직 젊은 아빠였을 때 읽었더라면...조금은 더 젛은 아빠가 되지 않았을까 한다. 젊은 아빠 엄마에게 읽어보기를 강력하게 추천한다!!!"
9791160560510,10,뇌과학 재미있게 잘 읽었습니다
9791160560510,10,교양 서적
9791160560510,6,뇌과학 관점으로 다양한 연구결과들과 사례들을 재미있는 이야기로 풀어나간다.창의성과 다양성이 강조되는 시대 흐름을 자연스럽게 ‘느낌‘만 알려주는 책.
9791160560510,10,이 책 너무 좋다.
9791160560510,10,"책을 읽으면서 공감하는 부분이 상당히 많고요, 저도 한 번 해보려고 합니다. 새로고침이라는 단어에 꽂혔습니다. 너무 기발한 단어에 내가 왜 이렇게 하지 못했지 라는 생각을 많이 했습니다. 하루를 새롭게 살려고 합니다."
9791160560510,8,대중과 소통하는 대표 과학자의 강연 중 12개를 선별하여 묶은 책. 저자의 생각과 시선을 엿보고 싶은 분들이라면 읽어볼만 합니다.
9791160560510,8,"박사님의 어투가 상상이 되어서 (웃음)부분에서 같이 웃었습니다. 두께가 상당한 편인데도 궁금해서 출퇴근길에 꼭 함께 했어요. 무엇보다 어렵지 않게 읽을 수 있고, 이런(?) 주제를 다른 시각에서 생각 해 볼 기회가 되어서 너무 좋았습니다."
9791160560510,10,편하게 읽을 수 있는 책이었어요.. 빅데이타와 4차산업혁명을 어렵지 않게 잘 이해하는 데 도움이 되었네요...
9791160560510,2,이 사람 참 별루인듯.유시민한테 시비거는걸로 동급인척.책 제목은 채사장 열한계단을 완전 인용했군.
9791160560510,8,연말 선물로 전해주었습니다~
9791160560510,10,어려운 주제도 알기 쉽게 말을 잘 하셔서 티비에서 인상깊게 봤어서 책도 구입. 책도 역시나 어렵고 생소한 주제를 상당히 재미있게 풀어내셨다.
9791160560510,10,필자가 뇌과학을 왜 선택하게 되었고 어떤 발전이 있었는지를 알게되었고 강의식으로 구성되어 있어 술술 읽히는 책입니다. 읽고 나서는 생각할거리가 많아졌네요.
9791160560510,4,유명해지더니 너무 날로 먹으려 하는거 아닌가? 깊이가 너무 없는 신변잡기 자기계발서
9791160560510,10,"‘현실은 진실의 적‘..한 번씩 현실적인 삶과 이상적인 삶 둘 중 어느 것이 옳은 삶인지 혼란스러울때가 있다.과학자들의 삶이 눈앞에 닥친 현실적인 삶에 가깝다고 여겨왔으나,그들은 미래를 상상하는 능력을 끊임없이 숙고하여 실천하였고,그래서 혁명을 만들어 냈다.비록 과학자가 아니지만,이상적인 삶을, 더 가치있는 쪽으로 뇌를 사용하고 싶다는 생각이 든다."
9791160560510,6,과학입문서로 생각하고 읽었는데 어째 다 읽고 난 느낌은 자기계발서 같은 책
9791160560510,10,쉽고 재밌는 정재승 박사의 강연! 익숙하지 않은 분야지만 익숙한 이야기처럼 풀어 이야기하는 것은 그만의 놀라운 재주다
9791160560510,8,뇌를 알면 나와 네가 보인다
9791160560510,2,깊이 없는 단편 지식의 나열. 감동없는 말의 풍년. 용어의 남발. 내가 가진 정재승에 대한 부정적 이미지다. 작년이었던가? 비트코인 광풍을 주제로 TV토론 할 때 실망한 탓이 크다.
9791160560510,10,"작가분이 그냥 되게 똑똑한 사람인 줄로만 알았는데 너무나 감탄했다독자 눈높이, 지식의 깊이, 쉬운 비유, 철학적 통찰..흥미롭고 재미있고 교양서를 이렇게 만족스럽게 읽은건 이 책이 처음이다"
9791160560510,4,글쎄요.
9791160560510,8,9번째 강의가 개인적으로 제일 좋았음.
9791160560510,10,다양하게 어렵지않게 친절하게 이 모든것을 다 잡은 책^^
9791160560510,8,"정말 난사람인긴 난사람이다. 이공계의 머리로 이렇게 쉽게 이해되는 글을 쓸수있다니. 그런데 한가지 여쭙고싶은 것이 있다. 지적대화가 꼭 필요하다고 하셨는데, 일반인들은 누구와 지적대화를 해야하는지. ㅠㅠ"
9791160560510,8,강의 내용을 옮긴 거라 어렵지 않으면서도 생각할 거리를 던져준다
9791160560510,10,그의 지적 매력에 빠진다 빠져
9791160560510,10,알쓸신잡에서 처음 뵌듯한 정재승 교수님. 뇌과학이라는 분야가 있다는 걸 모른채 살아왔는데 이렇게 알기 쉽고 재미있고 흥미있게 책으로 다양한 주제를 통해 이야기 해주시다니 기대됩니다. 열두발자국 읽고 열세번째 발자국을 남기고 싶네요. ^^
9791160560510,10,우리가 사는 세상을 제대로 보기 위해 필요한 도수낮은 안경같은 책. 저자의 능력으로 쉽게 쓴거지 쉬운 내용을 다룬건 아니다.
9791160560510,8,대중을 위한 과학 이야기.. 저처럼 수준이 낮은 사람에겐 더 없이 좋은 책^^
9791160560510,10,우아 출간됬다고했을때 e북으로는 언제 나오려나 기다리고있었눈데...!!! ㅠㅠ제예상보다 빠르게나외서 너무 좋습니다 ㅎㅎ관련 분야를 전공하는 사람으로서 너무 기대가되욤
9791160560510,8,뇌과학이라는 가늠되지 않는 학문에 미래에 대한 어떤 이야기들을 쉽게 해주셨을지 기대되네요
9791160560510,10,어려운 걸 쉽게 얘기해주니 좋아요
9791160560510,4,교양서라지만 많이 얕다.
9791160560510,10,재밌어요 어려운 이과생용 책 아니예요
9791160560510,8,"믿고 보는 저자의 신간. 젊은 나이와 푸근한 인상, 생소한 뇌과학이라는 전공 분야. 알쓸신잡으로 유명해 진 것 같지만, 이미 그 전에도 여러 방면으로 유명한 저자였다. 그간의 강연을 묶은 책이니, 과학과 인문학을 융합한 주제에 대해 관심이 많은 독자라면 읽어두는 것이 좋겠다. 나도 필견 예약."
9791160560510,10,드디어 e북으로 나왔군요. 8월 중순까지 좀 더 기다려야 하지만 ㅎㅎ
9791160560510,10,이책을 읽지 않는 것은 행복하기를 스스로 포기한 것과 같다..세상을 탐구하는 것보다 더 없이 소중한 가치는...  바로 이 책을 통해서 자신을 탐구해가는 것..인간의 뇌작용을 알아가는 일은하루 하루 행복을 쌓아 가는 일이 된다..
9791160560510,10,많이 배웠습니다^^왜 우리가 습관에 이끌려사는지~^^뇌가 일하기 싫을 수밖에 없는 이유미신을 추구할수 밖에 없는 이유누가 일을 내는지우리아이들이 꼭 알았으면 좋을만한 내용이었습니다. 우리 지녀들이 자유롭게 학업할수 있었으면 좋겠습니다.
9791160560510,10,"제가 읽고 좋아서 친구에게 선물했네요. 정말 재밌게 잘 읽히고, 생각할 거리도 많이 던져주는 책입니다."
9791160560510,2,강의 녹취한듯한 문장이 불편..
9791160560510,10,곰돌이를 닮은 정재승님...김제동 라디오 듣다가... 너무 매력적이어서... 바로 책을 샀네요... 멋집니다...^^
9791160560510,10,인간이라는 이상한(?!) 존재를 조금 더 이해할 수 있게 해 주었다. 조금 더 호기심을 가지고 보게 해 주기도 하고. 무엇보다 술술 잘 읽혀서 좋다!
9791160560510,2,공돌이는 공돌이일 수밖에 없다는걸 가상화폐 토론에서 제대로 보여줌
9791160560510,4,"솔직히 말해서 가상화폐 옹호할 때 참 실망했음. 알쓸신잡 때 정치 관련해서 평화니, 화합이니 같은 정치적 올바름에 관해 얘기하다가 김영하와 유시민에게 역풍을 맞았던 걸 속에서 키워왔던 모양. 유시민이 가상화폐 관련해서 이슈가 일었을 때 정재승이 했던 말장난은 정치보다 불쾌했음."
9791160560510,10,차이나는 클래스에서 처음 접한 강의였는데요. 그 강의에서 인상 깊었던 부분들은 따로 포스트잇에 적어 제 노트북 위 벽면에 아직도 붙어있답니다. 인공지능..그리고 인간의 본질과 그 관계.정말 궁금하네요.
9791160560510,10,전공으로 배워왔던 내용들 저에게 그저 문자열에 불과했던 정보를 하나의 이야기로 엮어주시는 노고에 감사드립니다.
9791156757344,10,P. 301 잠이 오지 않는가? 감사할 일을 생각하자. 걱정이 너무 많은가? 스트레칭을 하자.
9791156757344,10,p.5. 모든 일이 뇌를 바꾼다.
9791156757344,4,핵심 요약 나도 예전에 운동을 하지않고 그냥가만히 있었는데 운동하니까 우울증이치료됨 ㅋ 그러니까 우울증 걸린 인간은 운동을 해야됨 여기까지가 저자 주장이고 운동하고도 우울증에 걸린 사람은 아무도 없다는 이야기를 하고 싶어 안달이 난 사람이 쓴책 동기부여도 없고 재미도 없고
9791156757344,8,"내용이 쉽다고 하셨는데, 배경지식이 어느정도는 있어야 접근할 수 있는 책인거 같다. 가볍게 펼쳤다가 심각하게 총 세번을 읽었다. 쉬운듯 이야기하지만 상당히 수준있는 책이니 뇌신경과학에 아주 기초개념은 가진후에 읽으셔야 중도포기 없습니다."
9791156757344,6,이해는 하지만 실천하기는 어려운 것들.
9791156757344,10,우울증을 쉽게 과학적으로 재미있게 설명하며 해결책을 제시했다. 이 주제에 관해 여태껏 읽은 책 중에 가장 좋다. 우울증에서 벗어나기 위해는 우선 방구석 시체놀이에서 헤어나와야 한다. 약도 다른 것을 먹어볼까?
9791156757344,10,인생의 나침반이자 등대제목조차 완벽하다
9791156757344,10,우울증 당사자로써 진짜 큰 힘이 됐다.여러 유형의 우울증이 있겠지만.. 나처럼 생각에 생각이 꼬리를 물고 무기력이 삶을 지배했다면 함 읽어보시길뇌과학적으로 우울증을 바라본 순간부터 변화를 느꼈다.
9791156757344,10,"전두변연계를 중심으로 의사결정, 우울증을 집중적으로 설명하는 글. 아주 재밌었다."
9791156757344,10,우울증을 과학적인 측면으로 적용해서 이해가 쉽다
9791156757344,10,우울하거나 우울증이신 분들 이거 꼭 읽으세요!!!!!
9791156757344,10,심리학과 학부시절에 배웠던 내용들이 많이 나와 있어요 시중에 나온 얼토당토 않은 위로와 긍정뭐시기와는 전혀 차별화 된 제대로된 설명을 해주고 있는 것 같아요.
9791156757344,2,"읽기 너무 어려움.많이 지루함.교과서적이고, 읽었는데 기억 나는 게 없고 별로 도움도 안됐음. 그래서 다시 팔았음."
9791156757344,10,재밌음. 강추임.어설픈 심리학책보다 정보도 좋고 무엇보다 일본책 특유의 유사과학성이 없어 좋음. 진짜 뇌과학.
9791156757344,8,완벽하진 않지만 위안이 되는 책.
9791156757344,6,당연한 소리의 과학적 근거. 하지만 결국 당연한 소리의 반복이다!
9791156757344,10,"작가가 마음챙김 등의 정서적인 측면에서 삶을 개선하는 데 관심이 많은 사람이란 게 느껴진다. 우울감을 뇌와 나의 습관이란 관점에서 처리하기 때문에, 작가의 제안이 매우 다정하고 생활밀착 형이다. 정신의학이나 뇌과학 이해가 아니라, 실제 상담을 상정하고 읽었기에 다른 사람을 위로하고 격려하는 데 큰 도움이 될 것이다."
9791156757344,10,막연하게 생각했던 행동들이 다 나름의 과학적인 이유가 있었다. 좋은 책이다. 운동 열심히 해야지 ㅋㅋ
9791156757344,10,요 몇년간 상태가 좋지 않다고만 생각했지 우울증 직전단계인지는 몰랐는데 이 책을 읽는 것만으로 많은 도움이 된 거 같다 아슬아슬한 사람들에게 선물로 뿌리고 싶은 책
9791156757344,6,너무 말랑한게 장점이자 단점
9791156757344,2,우울할때 읽다간 더 우울해질거 같아요 ..
9791156757344,10,"우울한 감정이 나의 감정이 흔들려서 나오는 것이 아니라,뇌의 작용으로 나오는 일종의 부산물이라고 느끼게 해주는 책입니다.꼭 읽어보세요"
9791156757344,10,"이제까지 읽어 본 우울이나 우울증에 관한 책들 중에서 가장 이해하기 쉬웠다. 정보의 양이 꽤 많고, 책 두께도 얇지 않지만 편하게 읽을 수 있다. 이 책은 우울증 뿐 아니라, 인간의 뇌를 이해하는데 많은 도움이 된다. 우울하지 않을 때도 흥미롭게 읽을 수 있는 책이다."
9791156757344,10,내용이 쉽게 설명되어 있어서 읽기 편했다. 마음이 복잡하고 미칠것처럼 안절부절 할땐 상당히 도움이 될듯..
9791156757344,8,"설득당하기도 하고, 위로받기도 하는 책!출퇴근때 읽으면 마인드컨트롤도 되고, 꽤 흥미롭게 읽을 수 있어서 좋다.가끔 어려운 용어가 나오면 앞으로 다시 돌아가서 찾기도 했지만 읽다보니 공부도 되는 듯, 유익하다!!우울감을 느끼거나 일상에 지쳐있다면 한번쯤 읽어보면 도움이 될 듯하다!"
