ISBN13,rating,review
9791159252969,10,글을 쓸 때 많은 도움을 받았습니다.
9791159252969,10,재밌습니다. 흥미를 목적으로 구매했지만 글쓰는데 참고하는 용도로 활용할 수 있도록 제작되어 참고용으론 최상의 선택이 아닐까싶습니다. 워낙 여러가지경우를 소개해두어 이제까지 보고읽었던 작품의 경우가 나올때마다 저절로 되뇌어지네요. 추천.
9791159252969,6,종이책은 어떨지 모르겠는데 편집이 엉망이네요. 오탈자도 많고 문단이 중간에 이상하게 끊겨 있는 등 가독성이 좋지 않습니다. 전자책 사실 분들은 감안하고 사세요.
9791159252969,6,법의학 지식이 궁금했다기보단 트위터에서 인간이 재밌다는 류크스런 리뷰를 보고 사봤는데 진짜 그럼
9791159252969,10,"이런 책 한 권 쯤 나와 있으면 좋지 않을까 싶을 때 보게 되었다.  이쪽 장르를 좋아 한다면, 머스트 해브 아이템 아닐까.  내용도 기~~~입다."
9791159252969,10,장르소설 매니아에겐 굉장히 흥미로운 책. 의학 용어들이 어렵게 느껴질 수 있으나 쉽게 풀이하여 적은 노력이 보인다.
9791159252969,2,종이책은 모르겠지만 전자책 편집이 너무 쓰레기라 돈 주고 이딴 걸 샀다니 하는 허망함이 밀려온다. 일부러 전자책으로 산 건데 이따위로 만든 책을 사느니 차라리 종이책을 사거나 그냥 빌려볼걸 그랬다. 편집을 왜 이따위로 했는지 모르겠다. 돈 아까워 죽겠다. 12600원이면 결코 적은 돈이 아닌데.
9791159252969,10,상식적으로 알아두어도 가치있는 의학지식들이 예와 함께 서술되어 좋다
9791159252969,10,추리소설을 구상하는 사람들이 보낸 질문에 과학적인 답변을 해주는 질의응답 모음집. 작가를 꿈구는 사람이 아니라도 충분히 즐겁게 읽을 수 있을 것이다. 개인적으로는 주인공에게 이렇게 치명적인 상처를 입히고자 하는 사람이 많다는 사실에 놀랐다.
9791159252969,10,"추리소설을  쓸려고  구입한  것이  아닌데도,  이 책은  그 자체로  재미있습니다.   읽고  나니  범죄 수사 드라마가  한층 더  흥미진진하게  다가옵니다."
9791159252969,8,"총을 맞고도 살아날 수 있는 부위는 어디이고 칼을 사용해서 가할 수 있는 가장 치명적인 부상은 무엇이며, 우울증에 전기경련요법이 실제로 효과적인지, 스트리크닌중독 사망 시 ‘죽음의 미소’를 띠게 되는 경위는 어떠한지 궁금한 건 작가 뿐 아니라 독자도 마찬가지. 재미있고 유익한 기획."
9791159252969,10,"작가들이 작품에 쓸 내용으로 질문을 하고 의사가 답하는 형식이라 실용적이다. 드라마, 영화 등에서 흔히 보던 장면들에 대한 의학적 지식도 얻을 수 있었다."
9791159252969,10,알아두면 쓸데 많은 신박하고 잡다한 법의학.기획 굿.시리즈가 계속 나와야.
9791187572053,10,이 책은 이 세상의 완전범죄는 없다는걸 알려주는 책이다. 완전범죄를 노리는 범인과 이를 뛰어넘는 경찰의 쫓고 쫓기는 치열한 두뇌싸움을 벌이고있다. 시신에는 모든 흔적이 남아있다. 시신 DNA 분석 결과를 통해 용의자의 범행을 부인할수없게 한다. 이 책은 신성한 재미가 있어 영화 보는것같은 느낌이다. 범죄와 수사 과정이 잘드러나있는 책이다.
9791187572053,10,읽는 독자도 두뇌를 써야 하겠다. 오랫만에 머리좀 써는 책이 나왔다.
9791187572138,6,과학수사를 통해 해결한 실제사건들을 다룬 흥미로운 범죄서적
9791187572138,6,내용에는 만족합니다. 그러나 p.157~158 (~고도 말했다./ 러났다.) p.215~216 (직접적인 증/ 7년을) p.335~336 (전남 화순 쌍봉/ 할 당시) 세 군데서 이렇게 다음 페이지가 이상하게 시작합니다. 한 페이지씩 누락된 것 같습니다.
9788952758729,10,"국과수 전문가가 쓴 대중을 위한 흥미롭고 친절한 법의학사이다. 전문가가 쓴 과장없고 평이한 실용서로, 훌륭한 국문의 예라는 점은 덤이다."
9788952758729,10,난 이책을 꼭 소장할 것이다
9788952758729,6,"흥미 위주로 한 번쯤 읽기 좋은 책이었다. 여러가지 죽음의 원인을 법의학적인 이론으로 설명하고, 변사 사건에서 부검과 부검제도 체계화의 중요성을 꽤 와닿게 주장한다."
9788952758729,10,배송 기다리며 소개글을 보니 더 빨리 만나고 싶네요. 추리소설이나 스릴러를 읽을때 이해 안가던 부분도 해결될듯합니다.
9788952758729,10,알차고 풍부한 내용이 마음에 든다
9788952758729,10,ebook으로 구매했습니다 관련 외국 드라마나 영화가 많지만 우리 나라의 사건들이라 꽤 흥미롭습니다 잘 알려진 사건도 있지만 전체적으로 봤을 때 만족스럽구요 약간의 지식까지 얻을 수 있어서 개인적으로는 정말 유익했어요
9788952758729,10,읽는 내내 흥미로웠습니다~
9788952758729,10,틈틈이 보는 데 재미나네요
9788952758729,8,많은 조각글이 모여진 형태입니다. 구성/흐름보다는 단편적 지식 얻기에 좋겠네요.
9788952758729,10,정말좋아요.기대했던만큼 저버리지않는 책이라고 생각하구요.배송도엄청빨리왔답니다~
9788952758729,8,읽다보면 많은 흥미가 생기는 책입니다.
9788952758729,10,"국내에서 일어난 사건 위주로 법의학적 관점에서 여러가지 '죽음'을 해설한, 꽉 찬 책"
9791159922251,10,진짜 재미있다. 국내 1호 프로파일러의 이야기. 흥미진진. 진짜 추천
9791159922251,6,"우리나라 프로파일러의 태동, 그리고 그 기반이 된 연쇄살인범들의 이야기."
9791159922251,4,"권일용 전 경감님이 직접 쓰셨다면 더 낫지 않았을까,하는 아쉬움이 큼. 군더더기 문장이 많고 맥락 연결이 부실함. 내용은 좋은데.. 너무 아쉽다."
9791159922251,10,한국판 ‘마인드 헌터‘. 곳곳에서 섬뜩한 분위기가 새어나온다. 한편으론 권일용 프로파일러의 인간적 면모도 볼 수 있었다. 그의 직업정신이 한국의 연쇄살인이 이어지지 못하도록 막았다. 많은 사람들이 읽으면 좋을 책.
9791159922251,8,우리 시대 ‘악의 기원‘을 찾아가는 다소 섬뜩한 여행기
9791159922251,10,그것이 알고싶다에서 보지 못했던 이야기들
9788965961673,10,저자가 하는말이 아무리 사실이라고 해도 웃음으로 진실을 말해도 결국 타성에젖은 관료들은 용납하지 않을것이다. 법은 약자 일수록 잔인하고 가혹하게 대한다 근대는 법과 윤리가 분리 되고 있지만 아시아는 이미 수천년 전에 분리되었고 앞으로도 그럴것이다.
9788965961673,2,흥미로운 주제다. 번역은.. 한글이라고 되있긴 하지만 무슨 말인지 알 수 없는 부분들이 많다. 그 중 한 부분 발췌..헤드폰으로 재생되는 단순한 음향에 대한 연구대상자의 땀의 반응의 크기의 다양성은 여러분이 음향을 처리하기 위한 주의력 자원의 할당하는 정도의 차이를 반영하는 것이다.
9788965961673,6,"폭력성을 뇌과학 측면에서 접근한 읽을 만한 내용. 그러나 번역은 게으르고 교정은 없다. 번역자는 직역만 하고 다시 읽지 않았으며, 출판사의 누구 한 사람 원고를 읽지 않았다. 거의 모든 페이지에서 오탈자가 발견되며 맞춤법과 문장도 엉망이다. 책을 이따위로 만들어 놓고 책임은 누가 질까?"
9788965961673,10,흥미로운 주제 흥미로운 사례 흥미로운 내용태생과 유아기가 인생방향에 얼마나 중요한가를 말해준다
