ISBN13,rating,review
9791186039458,8,"이 계통의 다른 책들이 보여주는 통찰과 거진 일치하는 메시지를 담고 있으되, 아주 급 낮은 수준의 영들인 지박령을 특집으로 다룬 책. 유유상종의 법칙. 늘 자신의 에너지 수준을 관리하며 청탁을 분별하고 청함을 유지하는 능력이야말로 인간에게도 고스트에게도 농락당하지 않는 유일한 비법임!"
9788934972600,8,이런 연구가 진지한 과학적 접근이 가능할 수 있었던 funding에 놀랍고 진행한 학자와 대학교가 어딘지 또한 놀랍다. ‘과학‘으로 정확히 밝힐 수는 없으나 무시할 수 없는 수준의 무엇인가가 있다.
9788934972600,10,"인간은 영적인 존재다. 아무리 생각 없이 살아가는 듯해 보이는 사람일지라도 영적 존재 맞다. 이 책을 통해 우리 모두는 육신의 나이와 성별, 신분, 외모 등은 뒤로 미루고 서로 영적인 만남과 교감을 이루며 살아가야 할 것이라는 생각을 마음에 담게 된다."
9788934972600,6,"이 책을 읽고 전생이 있다는 믿음이 생겼다.그러나 다행히도, 7살쯤 되면 전생의 기억들은 새로운 기억,학습에 의해 모래성처럼 사라진다..번역자가 서울대 출신에 연구자임에도, 번역이 괴괴괴상해서 글의 이해를 막는다."
9788985541565,4,"초고대의 발달된 문명의 존재를 주장하는 핸콕 류의 유사역사지만, 어디까지나 현재 남아있는 문헌을 통해 추적해가니 훨씬 설득력이 있다. 다만... ‘마기교‘와 ‘마니교‘를 헷갈리게 (역자의 잘못이 아닌듯하다) 인쇄한 출판사의 무성의함이 불쾌할 지경이다."
9788993174212,10,"모든 것들의 배후의 실상을 친절하게 알려준다. ‘그들‘이 왜 진실과 지식을 은폐하는지, 어째서 세상에 보여지는 것은 늘 일관성을 갖는지. 그 사실을 자각하고 우리 모두가 합일되어 지금 이 순간 무엇을 이룩할 수 있고, 하여야 하는지 말해준다. 물론 각자의 자유의지에 한에서 선택할 수 있다."
9788993174212,8,스티븐 그리어 박사의 책은 이쪽 분야에 발을 딛게 되는 때에 확실히 입문용으로도 추천드립니다. 하지만 그것에 현혹되지 마세요. 스티븐 그리어 박사의 정보력은 확실히 상상이상입니다. 하지만 그렇다고해서 그것이 진실이라고 부를 순 없죠. 세상을 보는 마음의 눈을 키우세요.
9788993174212,4,"무척 흥미로운 주제임에도 불구하고,이제더이상 몰입이 안된다는건,역시 나이들었다는건가...20년전에는 아무리 찾아도 이런이야길 해주는 사람이 없었는데...스타워즈 보는 느낌 ㅡ.,ㅡ"
9788993174212,10,이것도 흥미로운 책입니다. 재밌게 읽었습니다.
9788993174212,10,내 눈 속에 우주 있다~~UFO와 범우주적 음모론을 얘기하기에는 더할 나위 없는 비쥬얼!
9788993174212,10,"오랜만에 참으로 바람직하고 용감한 책을 발견하다!!
작가는 단순한 흥미가 아닌 냉혹한 팩트로 현인류의 왜곡된 삶의 가치관을 범우주적인 직관으로 통찰하고 있다."
9788993174212,10,아는 만큼만 볼 수 있다는 말이 맞다. 덥지만 가슴  따뜻하고 충만해지는.. 그래 나는 한국인이기 이전에 지구인이고 더 나아가서는 어느 태양계의 우주인. 지구상에  모든 분리와 고통이 사라지는 날까지 ...
9788993174212,10,오랫동안 기다려왔던 책. 드디어 스티븐 그리어의 책을 읽을 수 있게 됐다. 충격적인 진실들에 대한 놀라움으로 단숨에 읽었다. 그렇다면 우리의 미래는....? 다행히도 우리에게는 너무도 가슴벅찬 미래가 있다.
9788994287058,10,한번쯤 읽어보세요
9788991896352,2,이게 뭐야 ㅋㅋㅋㅋㅋ
9788972916307,6,그들은 질문을 강요하고 있습니다. 기원전 1만450년으로 우리의 주의를 모으려고 하고 있습니다. 그 이유를 찾아낼 수 있을지 어떨지는 우리가 하기 나름입니다.
9788972594864,8,"저자가 부부라는 것이 한편으로 부럽다. 모아이에 관한 비중은 생각보다 적다. 이스터 섬에 관한 서양인들의 발견 연대기라 보는 것이 좋겠다. 고립된 문명의 종말, 모아이를 남기다."
