ISBN13,rating,review
9791191013122,10,굿
9791191013122,8,수포자를 양산시킨 ‘미적분‘에 대한 이야기가 펼쳐진다. 순간에서 영원까지 이어지는 이 세계의 온갖 현상을 미적분으로 설명해준다.
9791188850808,10,"재밌는 그림과 함께, 재밌게 읽히는 말그대로 이상한 수학책이네요. 수학에 조금이라도 관심있는 사람이라면 재밌게 느껴질 거라 생각합니다."
9791188850808,10,딱딱한 수학을 좀더 쉽게 풀어주는 책이라 더 쉽게 다가갈수있을것 같네요.
9791188850808,10,거짓말을 할 수가 없네요. 컵때문에 삽니다.
9791188850808,10,"수학의 방법으로 야구부터 과학, 보험, 경제, 역사까지 확장하여 왜 수학적 사고방식이 필요한지를 보여준다. 무엇보다 재밌다"
9791188850808,6,중학교 수준의 내용이라.. 수학의 왕초짜다 뭐든 신기하다 하시지 않으시면 좀 재미없어요.
9791188850808,6,제목과 책 소개를 봤을때는 초등아이와 초등에게 수학을 설명하기어려워하는 저에게 도움될 것을 기대했는데 삽화와 내용을 살짝보니 제가 기대하는 수준의책은 아니네요 ㅋ
9791188850808,10,수학으로 생각하는 방법을 재미나게 가르쳐 줄 책 같습니다. 기대합니다.
9791188850808,10,궁금하고 기대됩니다.^^
9791188850808,10,이번 생에 수포를 끝낼 수 있을까~~~ 기대하게 되는 책
9791188850808,10,"짝사랑으로 끝날 줄 알았던 수학,, 알고보니 내가 너를 너무 모른채 좋아했었구나"
9791188850808,10,"역시 한국인이 이런 책을 쓸 일이 없지 ㅋㅋ 수학을 공식으로 외우고 풀고 ㅡ그게 수학이라고 생각했다면 ㅡ그것 진짜 바보다. 수학은 그냥 숫자 놀이나 계산이 아니다 첨부터 끝까지 생각하는 학문, 그리고 세상에 존재하지 않는 무시간성을 해결하는 ~~진정한 수학을 알고 사랑할 때. 수학은 진리를"
9791188850808,10,"책이 두꺼워서 와... 언제 읽지 하는데 읽다보면 빠져들어요내가 중학생때, 고등학생때 이 책을 읽었다면 수학보는 눈이 달라졌을 텐데!!! 라는 생각이 드는 책입니다. 수학소설책같아요  학생들이 읽으면 수학을 보는 눈이 넓어지고 학부모님이 본다면 아이의 공부를 바라보는 눈이 넓어질것같아요"
9791188850808,8,딱딱하지 않은 수학책 같아서 기대되네요~
9791188850808,8,문과지만...인터레스팅
9791188850808,10,읽고 싶은 책이네요 ㅎㅎ
9791188850808,10,"수포자 인생길에 만난 최고의 선생님, 유머러스한 그림과 위트가 이 책을 붙들게 만든다."
9788950993016,10,단순한 공식 암기가 아니라 왜 이런 공식이 생겨났는지에 대한 생각을 해 볼 수 있는 책이었어요.  예전에 많이 보던 수하ㄱ책과는 많이 달라요~ 독특하고 재미있어요!^^
9788950993016,10,이토록 아름다운 수학이라면. 책과 더불어 아이와 함께 읽고 싶은 책입니다. 뜻있는 선생님들의 좋은 수학책이 너무 절실합니다. 앞으로도 교수님의 깊은 수학적 통찰이 담긴 책들 많이 만나고 싶습니다.
9788950993016,10,"이제까지 보아왔던 수학책과는 달리 아이들의 생각을 열어주는 수학 인문서라는 생각이 듭니다. 아이들 뿐 아니라, 학부모, 교사도 읽기를 추천합니다."
9788950993016,10,애들 수포자되기 전에 겨울방학 때 이거 읽어보라고 해야겠어요!! 기대기대!!
9788950993016,10,깨어나세요 수포자여... 생각보다 수학은 재밌으니깐...
9791132102229,4,"번역 별로. 오타 많고 용어 통일 안됨(수열/서열, image/상/이미지), 일부 문장은 번역안되고 아예 빠져버린 것도 있음. 책 자체의 문제를 짚어보자면, 난이도가 전반적으로 어렵지는 않으나, 일부 주제는 완전하게 설명하지 않고 넘어가버려서 난해하고 마무리가 시원찮은 구석이 있음."
9791156641179,8,경제학 공부할 때 이용하려고 사 둔 것이다. 간결하고 쉬운 설명과 계산 연습을 충분히 할 수 있도록 구성한 책이다. 수포자들이나 수학에 약한 사람들도 관심을 가질 만하다.
