ISBN13,rating,review
9791189799366,10,해의 호흡!
9791157844241,2,외전 만화 증정 이벤트라니... 좋은 취지이고 출간 시 호응이 많이 떨어진 시점에서 후발독자들을 끌어들이기 위한 적절한 이벤트라 생각되지만.. 먼저 구매하고 읽은 독자 입장에서는 호구 된 기분이 ㅜㅜ
9791157844241,10,이 책 쓴 사람.... 분명히 덕후야!!!!
9791157844241,4,‘드립‘ 즉 20-30대 젊은이들이 즐겨 쓰는 은어에 익숙하지 않다면 읽기 어렵습니다. 종이에 인쇄된 그림의 화상도가 많이 떨어집니다. 재미있고 색감 산뜻한 학습만화를 기대했는데...알아듣기 힘들고 색감 우중충한 책이 도착했네요 알라딘중고로 팔았습니다
9791157844241,10,아.. 강하다.. 신경퀸과 디스크댕댕이..목뼈 c7.. 방광의 변기옥.. 변기옥.. 웃느라 죽을 뻔 했어요. 일본만화를 좀 보신 분이라면 특히 재밌게 보실 듯.
9791157844241,10,만화라고 우습게 보지마라. 만화의 양식을 빌려 심도있게 정리된 책이다. 따분한 그림보다 가벼우면서도 집중할수 있어 즐겁다.
9791157844241,2,인터넷에서 찾아보는게 나을정도로 전자책의 질이 떨어집니다.
9791157844241,10,평소 궁금해하는 인체의 신비에 대한 해부학적 설명을 만화로 접할 수 있어 보다 이해하기 쉬울 것 같습니다
9791157844241,2,"의료인인데 책받아보고 별로라서 조카 바로 줬어요..이상하고 뭔지 모르겠는 개그코드, 그림도 정신없고.. 좋은평이 많아 구매했는데 저에겐 별로예요"
9791157844241,10,꿀잼보다 위대한 작가의 발상에 찬사를 보냅니다.위대합니다 선생!
9791157844241,10,너무 유익하고 드립이 제 눈에 쏙쏙 들어와서 더욱더 재밌게 읽고 있어요!!
9791157844241,2,독자평이 좋아서 믿고 구매했는데일본어도 너무 많고 ;; 드립도 일본어 드립 투성이라 43페이지 까지 읽고 덮음...
9791157844241,10,애초에 책 내용을 알고 산것도 있고 책 내용은 좋음 그런데..원래 천천히 사려고 했는데 초판 이벤트 하길래 재빨리 샀었음. 6월 24일? 대충 그 근처에 샀는데...내가 받은 책에는 초판 1쇄 6월 19일 5쇄 7월 17일로 찍힌 책이 옴...  이벤트 상품은 안주고. 7/17일자 5쇄판은 6월에 받아봄..
9791157844241,10,의학이라는 학문에서 단연 기본이 되는 인체해부학. 결코 쉽지 않은 학문이다. 그러나 그 만만치 않은 해부학 공부를 만화로 재미삼아 만나는 것도 의미가 있다.
9791157844241,10,재미와 유익함을 모두 챙긴 만화.
9791157844241,10,9살아이가너무재미있다고 잘읽네요서점가서책한권 고르라고 했더니 이책을골랐는데..무슨 내용인지 아니?물어보니..자기바보아니라고 안다고초등2학년도 이해하면서  술술 읽네요재미있는책 써주셔서 감사해여~~
9791157844241,10,온갖 드립의 향연. 유익하기까지.
9791157844241,10,제가 보려고 샀는데 초딩 아들이 낄낄 거리며 정말 재미있게 읽어요 요새 최애책입니다
9791157844241,10,쉽고 재미있는 스토리로 해부학에 대해서 알 수 있어요. 아주 추천드려요.
9791157844241,10,우연히 ‘이거보여주려고어그로끌었다'드립을 사용한 책소개를 보고 책에 관심이 생겨 며칠전 오프라인 서점에서 구입하고 읽었다. 책 전체가 즐거운 드립들로 가득 채워져 있어서 읽는동안 단한번도 지루하지 않았다. 인터넷 드립에대해 아는게 많다면 해부학을 몰라도 즐겁게 읽을수있는 작품이다.
9791157844241,8,후후후 기다리고 잇었어요!
9791157844241,10,신체에 대해 알고 싶지만 전문 서적으로 바로 들어가기 겁나는 분들께서 보면 정말 좋을 것 같습니다. 막연하게 불안해 하는 것보다 통증의 원인을 알게 되면 불안감이 훨씬 감소한다는 내용이 공감되고 좋았습니다! 친근하게 접근할 수 있고 자세히 알아갈 수 있는 디딤돌이 되어 주는 멋진 책이에요.
9791157844241,10,그 어려운 해부학을 찰진 드립과 개성있는 캐릭터로 잘 풀어낸 책!
9791157844241,10,어려운 해부학을 누구나 친근하게 다가갈 수 있도록 쉽고 재미있게 설명하고 있어서 좋아요
