ISBN13,rating,review
9788954677257,10,"아, 나는 범속하여 비교를 벗어나지 못한다. 도무지 안 할 수 없다. 심채경 선생의 이 책을  <랩걸  >보다 삼만배 재밌게, 오만배 아름다움을 느끼며 읽었다.  좋은 글이  가진 인력, 진실한  몰두가 드러내는 광휘, 선택한 궤도를 성실하게 걷는 연구자로서의 태도까지 경건하게, 또 소박하게 별같다."
9788954677257,10,낭만은 생각만큼 아름다운 건 아니지만 생각보다 따뜻하다. 벌써 올해의 책~
9788954677257,10,주간 문학동네 연재될 때부터 계속 계속 기다렸던 책인데 드디어 나와서 너무 기뻐요. 문학동네 선생님들 제발 책이 나왔다고 더 시끄럽고 크게 알려주세요...... 심채경 교수님 책은 전 국민이 읽어야 합니다ㅠㅠㅠㅠㅠ
9788983711892,6,뒤로 갈수록 흡입력이 떨어져 대충읽었다. 중반까지는 시간가는줄 모르고 읽었는데..
9788983711892,10,원서와 대조하며 몇 페이지를 읽어 봤는데 직역은 아니더군요. 풀어쓰기도 있고 살짝 의역도 있지만 일반 독자의 이해를 돕기 위해 고심을 한 정성이 엿보이는 초월번역에 가깝습니다. 번역 문체도 아름답네요. 근래 만난 역서 중에서 가장 뛰어난 번역이라 생각합니다. 감사합니다.
9788983711892,10,"별, 지구, 우주, 인간, 생물체  이 모든것 즉 존재의 기원에 대해 다룬책으로 그 광범위함에는 놀랍다다만 지구의 탄생은 먼 별로부터 왔다. 인간은 작은 미생물로부터 진화했다는 내용은진화론과 빅뱅을 전제로한 확실치 않은 이론으로 출발하여 이또한 믿음으로 읽어야 이해된다."
9788983711892,10,중간에 고비가 있었지만 다 읽을 수 있었음. 생각보다 잘 읽힘. 배울 거 많음
9788983711892,10,전 아직 못읽고 울딸 읽고있어요. 유시민님이 추천해서 저돛곧 도전!
9788983711892,2,책 내용은 좋은데 이렇게 검수를 안할일인가... 너무 뻔한 오타에 감사합니다.그리고 <이런식으로 되어있는부분이 많네요 문장다음에 띄어쓰기하는건 초등학생도 아는 상식인데...아쉽습니다ㅠ
9788983711892,10,코스모스의 바다에  온마음을 던져 몰입해 보았다.
9788983711892,10,어릴때부터 늘 읽고싶었던 책인데 이것저것 한다고 나중에 읽자하던걸 드디어 사서 읽어봤네요. 여러번읽어보고싶은 책이네요. 읽는 내내 뭐랄까 기분이 황홀한느낌.?  그러면서도 다읽고나니 나란 존재에 대해 다시 생각해보게 되는..
9788983711892,10,"#2020_09이책은100자평도 턱없이모자라다.읽는내내 우주 삼라만상은 저절로 이루어지는 것은 절대없고.우리들 모두는 하나로 연결되어있다는 믿음이 폭발한다.절대 외롭지 않다.지금의 전세계적인 코로나 바이러스 시국에서 가장 시의적절하다.그어떤 문제,난관,어려움도 문제없다.성경보다 일독을권함"
9788983711892,10,우주를 알면 인생관도 달라집니다.
9788983711892,6,별과 인간의 탄생에서 죽음까지 아우르는 대서사시. 크리스쳔으로서 불편한 부분도 약간 있었지만 꽤 흥미로운 책이었다. 불교 윤회사상이 코스모스와 잘 어울리는듯
9788983711892,10,인생책 발견! 과학에 관심을 가지려던 시기에 유시민 작가님 추천으로 읽고 완전 반해 주변에 모두 사게 한 책입니다. 칼 세이건이 들려주는 서사는 경이롭고 성스럽습니다.  이 책 한권이 이어준 독서가 저에게는 굉장히 많습니다. 두고두고 계속 읽고 싶은 책이네요.
9788983711892,10,꼭 다시 읽어볼 책우주과학 + 물리학 + 유전학 + 생물학 + 인물 + 역사 + 뇌과학 등 모든 학문의 총집합체
9788983711892,10,무식한 나는 너무 어렵다ㅜㅜ
9788983711892,10,우와... 천재의 글을 읽는 느낌. 칼 세이건의 달리기를 달팽이가 기듯 따라 간다.
9788983711892,10,양은 많지만 재미가 있다. 과학책같은 인문학책 혹은 인문학책같은 과학책이다. 우주의 시각에선 지구가 쥐면 부서질것 같은 푸른 점 하나일 따름이라는데 그 지구에 사는 인간이라는 종은 어찌 이리 지지고 볶는지. 우주로 나가면 평화로운 한 점이 될 수 있을까?
9788983711892,8,에라토스테네스는 과학자였다. 그는 이렇게 평범한 사건들을 유심히 봄으로써 세상을 바꾸어 놓았다. 49p
9788983711892,10,"태초에 수소 원자들이 있었다. 억겁의 시간이 지나 눈과 귀가 있어 보고 들을 수 있게 되었으며, 나무에서 내려와 밤하늘의 우주를 바라보며 자신의 근원을 찾으려 한다..."
9788983711892,10,재미있게 읽었습니다.
9788983711892,10,우주 관련 도서는 방대하고 두꺼움을 자랑합니다
9788983711892,8,공부머리 독서법을 통해 알게 된 책. 책 페이지가 어마어마해서 쉽게 엄두가 안나지만 조금씩이라도 앞으로 나아가길 바래본다
9788983711892,10,몇년전부터 읽으려고 생각했는데 드뎌 삽니다언능 읽고싶습니다 기대중임
9788983711892,10,추천한 사람들이 많아 앞으로 꼭 읽고 싶은 책입니다.
9788983711892,10,읽고나서 tv버전 찾으러 감..꿀잼이여요 모두에게 추천함
9788983711892,10,머리속에 그려지는 끝이 없는 우주 우주의 연구는 이제 시작 .
9788983711892,10,읽어야 할 책
