ISBN13,rating,review
9791188731022,10,개정은 드럽게 많이하고 가격도 그지같고
9788962184297,8,명성한 만큼 좋은교재인건 맞지만 이책으로만 학습하기엔 부족한거같다
9788962184297,10,책 잘받았습니당
9788962184471,2,번역이 참....
9788973385973,10,"최신분석화학 책으로 완전 재밌고 완전 감동깊음, 정말 잘 샀다고 생각되는 책입니다. 매일 밤마다 읽었어요, 아직도 마지막 문장은 기억에 남네요, 전공서적중에 탑입니다. 한번사면 절대 버릴 수 없어용. 최애 책입니다. 부모님께도 선물할 생각입니다. 친구들도 좋다고 난리네요."
9788973385973,10,어렵네요
9788973385973,10,어려운내용
9788962184587,10,자세한 이론설명 분석입문으로써 정말 좋은책이라 생각함
9788962184587,10,화학이 전공이라 샀는데 이 책은 어째서 분철이 안되나요ㅠㅠ
9788962184587,10,임고 준비시 필수 서적 !!
9788973383931,10,번역판이라서 좋네요 잘쓰겠습니다.
9788973383672,10,"알라딘에서 책을 처음 구입해봤는데, 생각보다 가격도 저렴하고 편해서 좋네요"
9791187486169,8,각장마다 문제들이 개념잡기 좋습니다.
9788983711922,6,알면 알수록 깊이 들어 갈수록 오묘한 화학 이야기... 재미와 지식을 동시에 잡고 싶다면
9788983711922,10,어른들도 재미있게 볼 수 있는 책이네요~ 아는 내용도 있지만 모르는 내용도 있고... 2권도 구매합니다~
9788983711922,8,생활과 화학!! 연결되어서 재밌어서 지루하지가 않네요!!
9788983711922,10,중학생 과학 골든벨도서로 책정되어 구입하게되었습니다. 추천요
9788983711922,10,수능 끝나고 화학과 지망 하시는 분들 읽어보세요..
9788983711922,8,"아이들이 과학을 좀 재미있게 느끼라고 샀는데, 그 효과가 있기만을 바랄 뿐."
9788983711922,8,화학에 더욱 관심이 가게 만드는 책이다.
9788994418513,6,관심 있는 초등생 정도가 읽으면 혹시 재미 있을지도 모르지만 대중과학서적으로 볼 정도의 깊이는 없습니다.딱 그 정도 수준의 재미 정도의 책.
9788994418513,10,학생들에게 유익함
9788994418513,8,"책 제목만큼 밤새 읽기는 좀 그렇고 중학생 수준에서 보면 재미 있을 듯 하네요
초등생이나 중학생 들이 화학에 관심을 가져갈 때 사주면 도움될 듯."
9788994418513,8,밤을 샐 만큼은 아니지만 재미있는 화학이야기책 입니다. 앞으로 화학이나 물리를 전공할 학생이라면 한번쯤 꼭 읽어 보면 좋을만한 책입니다.
9788994418513,6,이런 말 하기 좀 그렇지만 작가는 내가 별로 안 궁금한걸 궁금해 하는 것 같다. 그리고 책에서 현상의 발생에 초점을 맞춰 그 원리에 대한 설명은 좀 부족하다. 또 책 속 지식의 양에 비해 가격도 조금 비싼 것같음.
9791158080624,8,읽어나가는데 지루함이 없고 좋네요.
9791158080624,10,고분자화학 입문서 로서 정말 좋은책 이라고 생각합니다. 기존 고분자의 성질과 특성 그리고 고분자화학의 응용까지 자세한 설명  그리고 책 종이도 좋아서 필기하는데 기분이 좋네요. 열공 하겠습니다 !
