ISBN13,rating,review
9791185994598,10,미시경제학의 스테디셀러. 30년전에도 이 책으로 공부했는데 대학생 자녀가 이 책으로 공부하다니...
9789813136939,8,대학 강의책이다. 쓸만하다
9791185994611,10,미시경제학의 스테디셀러. 30년 전에는 노트와 연습문제는 없었던 것 같은데 공부하기가 더 수월해졌네여.
9791196384173,10,배송빠르고 책 상태도 좋아요
9791196384173,10,책 깔끔하고 좋네요!! 추천합니다!
9791196384173,10,빠르게 보고 문제풀기 좋네요 !!
9791196384173,10,공기업 경영학 공부하기에 최적화 된 책 같아요! 구매 너무 만족하고 이 책으로 경영학 끝내려고 합니다! 강력하게 추천합니다! 공기업 경영학 기본 잡으려면 전수환 경영학 이 책이 최고인 거 같아요!
9791196384173,10,책이 가볍고 기본서에 나온 개념 및 도표로 경영학이 정리되어 있어 전수환쌤 기본서로 공부하신 분들은 리마인드하기 좋을 것 같아요! 회계와 재무관리도 개념들이 정리되어 있는데다 휴대하고 다니기 좋은 사이즈(a3 정도 되는 것 같아요)라서 활용도가 높은 책입니다. 강추합니다! 분철 필요 없어요
9791155383933,10,"무료로 볼 수 있지만, PDF외에 편의성을 위해 구매합니다."
9791162260036,10,eBook이 있어서 종이책에 비해 저렴한 가격으로 구매할 수 있어서 좋네요. 500페이지가 넘는 책인데 이동할때도 간편하게 볼 수 있을거 같아서 좋습니다~ 경영학원론 중 가장 괜찮아 보여서 구매했는데 세부적으로 배울 수 있을 거 같아 기대됩니다
9788988825907,2,수학책인데 이렇게 오탈자가 많아서야;;;; 책은 좋은데 지금 겨우 5챕터까지 봤는데 연습문제에 오탈자가 몇개인지 모르겠습니다. 수학 문제에 / 표시가 빠져있다거나 하는 경우가 너무 많아서 풀다가 이상해서 원서 대조해보면 꼭 오탈자....게다가 역자가 임의로 일부 챕터는 번역을 안 함....
9788988825907,10,이 책은 수리경제학 전공서로서 3판이던 4판이던 어떤 것을 가지고 공부를 해도 상관이 없다. 내 경우 3판으로 전부를 보았는데 일부 아주 약간 오류가 있으나 거의 번역이 완벽하다.그러나 공부를 하다가 보면 오류는 스스로 파악할 수가 있는 것이라 문제가 되지 않는다. 매우 좋은 저서다!
