ISBN13,rating,review
9788970509570,10,진짜 괜찮은 책. 완전 입문자나 생기초에게는 어려울 수 있지만 c를 몇 번 해본 분들에게는 개념 잘 잡아주고 예제도 명확한 편. 예제를 스스로 이해할 능력이 없는 초급자에게는 힘들 수 있음 근데 타 언어 알고 씨 하는 사람들에게는 추천
9788970509570,2,다른 거 사시는 게 좋습니다.
9788970509570,2,"사지 마세요. 오탈자도 엄청 많고, 연습문제도 지엽적, 비실용적입니다. 차라리 열혈이 낫습니다."
9791156644668,10,"파이썬 입문서로 매우 훌륭하다. 친절한 해설과 쉬운 설명이 돋보인다. 난이도 역시 적절하다. GUI 부분 tkinter.Listbox, text, scrolledtext 부분은 미흡하다. grid() 역시 외면당하고 있다. DB 부분도 보강되어야 한다. MySQL/MariaDB도 포함되어야 한다. PyAudio, PyGame도 제외되면 안 된다."
9791156644668,2,아무리 대학강의용 교재라지만 시중판매를 한다면 독학하는 사람들을 위해 연습문제 해답은 제공해야하는거 아닙니까?
9791156641889,10,e북으로는 안나올까요 ㅠㅜ
9788970509433,10,객관적으로 이 책 정말 좋은 c   입문서입니다.정말 고퀄리티로 만들어졌고 컬러인쇄이라서 공부효율이 매우 높습니다.필자와 편집자가 엄청 공들인 것이 느껴집니다. - 대학생
9791132101727,10,좋아요 가끔 해석에 에상한거 몇개가있기는 한데 그냥 이해가능한 정도에서 오타 조금 있어서 괜찮습니다. 책은 깔끔하게 잘되있어요!
9791163030911,10,파이썬을 처음 공부하면서 강사님이 추천해주셔서 구매해서 수업중에도 기본으로 사용했었답니다. 책도 보기 좋게 잘 되어있고 계시도 잘 되어있어서 초보자가 보기에도 너무 좋네요. 혼자 다시 한번 복습하기에도 좋았습니다.
9791163030911,10,파이선에 을 정말 쉽게 재미있게 설명해주셔서 따라가는게 어려움이 없엇습니다!또한 조코딩 유트브를 통해 다시 한번 복습하니 더 많은게 남느것 같습니다. 감사합니다!!
9791163030911,10,1년 전 쯤 파이썬을 잠깐 공부하다가 다 까먹었었는데 이 책을 통해 다시 공부했습니다! 초보자 분들이 공부하기에 예제도 풍부하고 아주 좋은 것 같아요!
9791163030911,10,책이 정말 깔끔한 구성이고 기초부터 천천히 따라가면서 공부하기 좋은 책입니다. 파이썬을 사용하고 있다면 이 책을 소지하면서 계속 참고하기에 매우 유용할 것 같습니다~
9791163030911,10,적립금 사용과 쿠폰사용으로 좋은 가격에 잘받았습니다
9791163030911,10,파이썬 입문자에게 정말 추천하는 책입니다. 정말 필수적인 내용과 읽다보면 이해되는 설명과 예제 다 훌륭합니다.
9791163030911,10,파이썬을 공부하는데 아주 좋습니다. 다른 편집용 프로그램 설치가 필요없이 파이썬 설치시 기본으로 설치되는 IDLE로 책에 나와있는 코딩을 쉽게 따라 하면서 파이썬에 대해 잘 이해할 수 있었습니다.
9791163030911,10,"유튜브 강의와 함께라면 천하무적,,,, 너무 세세한 부분이 없지않지만, 필요한 부분은 다 있다고 생각합니다!실습 부분이 더 있었으면 좋을 거 같아요"
9791163030911,10,"다른 프로그래밍 언어를 접해봤는데 파이썬 활용한 책들을 읽으면서 디테일한 문법을 이해못한 경우가 있어서 책을 구입하게 되었습니다. 중요한 부분만 추려서 설명한게 좋았고, 다른 언어와 달리 주의할 점등을 포함한 것이 좋았습니다. 시작하는 사람에게 부담스럽지 않은 책입니다."
9791163030911,10,"정코딩의 유투브를 통해 바로 강의도 들을수 있고, 하나하나 직접 따라하면서 해볼수 있어서 좋았습니다.대학원 박사과정을 진행하고 있는데, 딥러닝을 좀더 자연스럽게 다루기 위해 시작을 하였습니다.아직은 입문 수준이지만, 이를 기반으로 삼아 더 심화된 내용들을 빠르게 습득하여 핸들링하고자함"
9791163030911,2,굳이 사서 읽지마세요. 구글이나 이런데 점프투 파이썬 검색하면 책 내용 있는 그대로 다 나옵니다. 그거 인쇄해서 보거나 하세요. 그게 더 쌉니다
9791163030911,4,"128페이지에pocket = [‘paper‘, ‘money‘, ‘cellphone‘]if ‘money‘ in pocket: passelse: print(˝카드를 꺼내라˝)같은 경우는 안 되는데. 어디에 문의를 하고 확인을 받아야 하는지 모르겠어요."
9791163030911,10,"c와 c  을 공부했기에 이해하는데 어려움은 없었지만, 초보자들의 이해를 도와주는 예제의 수나 실습부분이 많이 부족한듯 했다... 다른 언어를 알고있는 상태에서 파이썬 명령어 사전용으로 구매했기 때문에 후회는 없다"
9791163030911,10,책이 군더더기가 없고 설명이 깔끔해서 읽기에 편했고 이해도 잘 되었습니다. 나중에 파이썬 코드를 까먹었을때 다시 볼때에도 편하게 읽혀질 책이라 생각합니다.
9791163030911,10,서점에 직접 가 파이썬 책들을 비교하면서 이 책을 골랐습니다. C/C  만 공부하다가 처음으로 다른 언어를 공부하게 됐습니다. 예제를 통해 쉽게 이해할 수 있고 중간 중간 나와있는 코딩 문제로 한 번 더 정리할 수 있었습니다. 덕분에 파이썬을 쉽고 빠르고 공부할 수 있었습니당
9791163030911,4,"현재 70%정도 읽어본 후에 남기는 후기입니다. 전반적으로 입문자용으로 적합하다고 생각되는 책은 맞지만, 파이썬 프로그래밍에 필요한 아나콘다를 이용한 예시는 전혀 나와있지 않네요ㅡ 아나콘다로만 프로그래밍 해본 사람들에게는 참 난감한 책이니 참고하시고 구매하세요"
9791163030911,10,"파이썬을 처음 접하고, 프로그램 언어에대한 지식이 부족한 초심자에게 가장 적합한 교재라는 추천을 받아서 < Do it! 점프 투 파이썬 > 교재를 선택하게 되었습니다.교재는 전체적으로 가독성이 좋고, 깔끔한 느낌을 받았습니다. 내용도 프로그램 언어를 처음 접해보는 사람도 쉽게 느낄 수있습니다."
9791163030911,10,현재 파이썬과 자바스크립트 언어가 인기가 좋다고 하여 파이썬에 언어에 관심이 생겨 이 책으로 파이썬으로 공부를 하게되었습니다. 설명이 예제를 통해 잘 풀이되어 있어서 혼자 공부하는데 무리가 없었습니다. 또한 각 챕터별 마지막에 문제가 있어서 공부 후에 한번 더 돌아 볼수 있었습니다.
9791185475189,2,원서사셈요 번역별로 오타많고 빠진문제 엄청많음
9791185475189,2,책에 오류가 너무 많고 설명도 빈약해요.
9791156642695,10,저는 책 내용이 상당히 좋아서 글올립니다.특히 저자님이 구조적으로 설명하는걸 굉장히 좋아하시는거 좋네요. 저자님 다른 책 뭐쓰셨나 보려고 들어왔다가 쓰네요!
9791156642695,4,예제가 바꼈으면 말을 하던가 한참 본 뒤에 알게하는 책. 조금은 불친절하다. 복사붙혀넣기를 한 경향도 보임
9791156644552,10,"이책만 읽고 뭔가를 할 수 있게 된다하기 보다는, 웹페이지가 어떤식으로 구성된다는 대략적인 상식정도를 갖출 수 있다는 느낌이네요.그야말로 초보용 입문서로는 충분한듯 합니다."
9791156644071,10,600쪽까지 완독했구요. 정말 훌륭한 책입니다. 쉽고 친절하게 설명되어 있어서 이해가 잘 됩니다. 좋은 책 써주셔서 감사합니다.
9791156644071,10,설명이 알기 쉬워서 운영체제를 처음 공부하는 사람들에게 좋은 것 같습니다.
9791156644071,10,이해하기 쉽게 잘 쓰여져 있습니다. 강의 듣는 것처럼 술술 잘 읽힙니다.
9791156644071,10,운영체제를 쉽게 설명하고 있어 도움이 됩니다. 컴퓨터를 전공하는 사람이라면 꼭 한번 읽어볼만 한 책입니다.
9791156643050,2,"신이 오탈자를 만들고, 이를 자랑하기 위해 이 책을 만들었다."
9791156643050,2,절대 사지마셈책에 오타가 한 두개가 아님 예제 자체에도 오타있어서 내가 맞는지 틀린지 구분 못함 이거때문에 시간 낭비 진짜 계속했네요. 당신네들 출판사 목적이 뚜렷하네요. 돈만 벌기 위한 출판사ㅇㅇ
9791156643050,2,아니 답지가 없으면 내가 틀린지 맞는지 어디서 알 수 있는거지? 책 낼 때 왜 답지를 없애는 겁니까?공부하는 사람이 다 알고 푸는 것도 아니고 어이가없네
9791156643050,2,독학 하시는 분들은 절대 구매 하시지 말길 바랍니다. 오타가 진짜 많습니다. 또한 해설지와 답안지도 구할수가 없구요
9791156643050,8,찬찬히 읽다보면 이해는 다 됩니다. 어렵지는 않은 것 같음. 근데 대학 강의용으로 개발된 거라 답을 도저히 구할 수가 없네요..  아니 풀고 맞았는지 확인을 해야하는데ㅜ
9791156643050,6,대학교재로 쓰고있어서 나름 괜찮은데 딱하나 해설지만 있으면 좋을텐데 그게없어서 아쉬움.....
9791156643050,2,이 책만보고 공부한다?  불가능함.  답지도 없고 문제도 풀기에 좋지 않아서 대학 교재로 지정될 경우나 사보세요.  각장에 있는 불충분한 예시 문제들로 연습문제들을 답없이 풀기 매우 힘듬.  사지마세요.
9788962184136,10,기초잡기에 좋은 전공서 같습니다.
9791156643951,10,만족합니다~~ 감사합니다~~
9791185475318,4,번역이 엉망이네요. 비문도 많고 오타도 많고. 본문은 참고 읽어줄 수는 있을 정도지만 연습문제는 이해가 힘든 수준입니다. 군데 군데 크리티컬한 오타도 있구요.
9791185475318,6,"내용 자체는 괜찮지만, 번역이 그닥;"
9791185475318,8,3분납 편해요
9788993543827,4,오역이 꽤 있습니다. 원서와 함께 보길 추천드립니다.
9791156642589,8,"실습을 처음 하는 사람들에게 추천할 만한 책 가장 기초적인 전압, 전류, 저항을 어떻게 측정 하는지 나와 있다. 나는 이 책을 보고 RLC에 대한 것들을 이해하게 됐지만, 정가 주고 사기에는 좀 아까운 느낌이 있다. 중고로 싸게 사는 걸 추천"
9791185504544,6,cheng이나 전자기학 역서로 더좋은거 있음
9791185504544,8,전 세계에서 널리 쓰이는 책이라고 한다.잘 정리 되어있어 보기 편하다.하지만 역시 번역본이므로 번역이 이상한 부분이 꽤 보인다.
