ISBN13,rating,review
9788971872116,10,농업직 공무원 수험서의 기본
9788971872116,10,책을 사서 빠른 배송도 좋았는데책이 깔끔하지 않네요 종이에 기름때같이 묻어있고 겉표지도 벗겨져있고...마치 누가 썼던것처럼가격이 저렴한 것도 아닌데 기분별로네요
9788971872116,10,기본서중 진리죠! 열공!!
9788971872116,10,농업직공무원 준비서적으로 한권이면 ㅇㅋ
9788971872116,8,알찬 내용..그러나 인도자가 필요 할 듯...혼자서는 보기가 조금 힘이 들더라구
9788971872123,8,"수험용으로 산 책입니다.책만 보면 이해가 힘들수 있는데, 강의랑 같이 들으니 괜찮은거 같아요."
9788971872123,10,칼라인쇄로 되어 있어 보기 편합니다 내용도 초보부터 볼수 있도록 그리고 고급단계까지 내용이 포함되어 있어 좋습니다
9788971872420,6,임학개론 업그레이드라고 생각하심 됩니다. 개략적인 것만 되어 있으니 입문이라 생각하심 돼요. 왜 향문사 책은 쓸데없이 가격이 비싼지 모르겠네요. 내용이 크게 달라진 것도 없는데..
9788989314806,8,빨리와서 좋네요..^^택배기사님전화주심 바로 나갔을텐데.. 행정실에 맞겨놓으셨네요
9788975988905,10,용어공부하는데 많은 도움이 되었어요! 공부하기도 쉽고 수의학관련용어들로 정리해주는것도 좋구!
9788975988905,2,학생들에게 책강매하려고 만든 전형적인 책 굳이 사서 봐야할 필요도 없을 정도로 내용도 부실하다!
9788971872345,10,농생물학과 교재
9788971872345,10,농생물학과 교재
9788976165169,10,채소 키우는데 기본적이며 필수적인 정보가 들어 있어 식물 키우는 분들에겐 필독서.
9788968491771,2,이론에 대한 설명만 나열한 수준 낮은 번역서. 굳이 사서 볼 필요가 있나 싶다.
9788955266870,2,교양과목교제가 아니면......
9788971872277,8,so so 무난한 구성 ^^
9788958810506,8,식물동정을 위한 책. 사진이 많아 보기 수월해요. 다만 설명이 구체적이고 자세하진 않아서 처음 접하는 학생들이 보기에는 조금 어려울 수도 있을 것 같아요.
9788989314738,8,전공서적이었는데! 요샌 바뀌었을까??
9788997429394,10,평소 보고 싶었던 책 이라서 받아보고 좋았습니다.그동안 궁금했던 점들이 해결 되었습니다.나무를 공부하시는 분들께 적극 추천 합니다.
9788938107985,2,일본책 대충 번역한듯. 부실함
9788933311417,10,사진과 함께 설명이 쉽게 잘 되어 있습니다. 양봉초보자가 보면 좋을 것 같습니다.
9788996181606,6,틀린 맞춤법이 너무 많아 자꾸 신경 쓰임좋은 내용이라 읽이야 하지만 짜증 많이 남
9788971801949,10,"식보 공부하려고 샀는데, 전에 ㅎㅁㅅ책 있던 거 잃어버려서 걱정했는데, 나쁘지 않아요."
9788971901380,8,강아지를 키우기 전에 강아지에 대해 알아보고 싶어서 구매했습니다. 강아지에 대해 전반적인 내용과 특히 강아지 종류에 대해 자세하게 잘 나와있어서 도움이 되었습니다. 중고로 샀는데 약간의 사용감 빼고 깨끗해서 잘 보고 있습니다.
9788971901380,10,"엊그제 친구가 선물해 준 책. 내용이 무척 자세하고 모든 종류의 반려견을 소개했다. 지금 키우는 내 새끼는 리트리버인데, 내가 몰랐던 정보도 있었다."
9788971901380,4,"생각보단 책이 그렇게 자세하지는 않다.. 백과 사전 까지는 아닌것 같다.. 그리고 배송도 그리 빠른 편이 아니었다 정확히 3일 걸렸다..우리나라 개는 전혀 소개 되어 있지 않고, 개 품종도 일반적으로 아는 수준이다.. 내용에 비해서 책이 좀 비싼감이 있다"
9788982530944,8,수산양식기사 준비하려고 구입하였습니다. 양식기사에 도움되는 어종이 많지 않아 크게 도움되진 않습니다. 참고용으로는 괜찮은 것 같네요.
9788982530944,10,해산어류에 관심이 많으신 분들에게 추천하고 싶은 책입니다.
9791186519387,10,저자의 수십년간의 경험을 녹아내려 쓴 수의 정책 안내서. 정부기관이나 국제기구와 같은 곳에서 일 하고싶은 수의학도에게 강력히 추천합니다.
9791186519387,10,최초의 수의계 정책관련 서적이네요. 과학적 연구가 효과를 내려면 반드시 정책과 맞물려야 합니다. 신선한 접근과 시원한 필력.
9788985821667,10,너무 재밌다. 읽고나니 더 수의사가 되고싶어졌다...
9788995784587,10,내용이 초보자가 이해하기 쉽게 되어 있어서 좋아요
9788998439316,2,농촌의 지리 역사학적 책...외국 이야기라서 우리 농촌과 연관성은 그저그럼.
9788968240614,10,나무 관리에 관한 다른 책보다 우리나라 실정을 많이 담아내어 놀랍다. 역작이라 할만하다.
9788997429486,8,공원이나 숲에서 이상한 것들을 만날 때마다｀이게 뭐지?｀ 궁금했던 혹들을 알 수 있다. 이론적인 설명이 부족한 것은 좀 아쉽지만...
9788962380286,10,공동사업에 갈등의 체험적 내용이 잘 나와 있다.
9788952108722,10,"시간이 조금 지난 책이지만, 조경수 병해충의 기본서 또는 전문서적으로 손색이 없음, 믿을수있는 전문가가 집필하여 내용이 풍부함, 최근의 병해충만 추가 된다면 최고의 서적이 될것임, 적극 추천"
9788971871614,10,"알라딘에서 책을 샀는데 엄청 빨리오는군요...
잘이용할게요 제가 밤에 생각나서 주문하면 
다음날 서점 가따오는것보다 더빠를듯..."
9788971871300,2,개정판좀 써라 -- 20년 다되가네...
