ISBN13,rating,review
9788999716362,10,전공서적으로 구입했습니다. 설명이 잘 되어있어 만족합니다.
9788963306094,10,중고책인데 상태가 무척 깨끗해서 맘에 들어요빠른배송 감사드립니다
9788963306094,8,교직과목 때문에 샀는데 좋은 거 같네요~
9788963306094,10,특수아동에 대해 잘 설명된 책
9788963306094,8,정말 빨리 도착하네요~~^^
9788963306094,10,학교책이라 구입합니다! A      화이팅!
9788963306094,10,학교 교직과목 교재^^ 표가 많아서 암기에 좋음.
9788999715747,10,교육학 개론 책이 필요하면 고민없이.성태제교수님책 고르면 된다.다른책과 비교해보시라.
9791185617664,6,현존하는 국어교육 개론서 중 가장 많이 이용하는 책일 것 같네요.내용은 전체적으로 잘 구성 되었으나 읽으면서 정리하다보면 문장에 비문이 많은 편이예요.개정 시 전체적으로 문장을 잘 다듬었으면 합니다.명색이 ‘국어교육‘ 서적인데 비문이 많은게 가장 큰 흠...
9791185617664,10,전공이라 샀는데 좋음
9788925409641,10,읽어본 교육공학 관련 책 중에 이렇게 모든 범위를 훑으면서도 이해하기 쉽게 쓰여진 책이 있을까! 교육 공학은 이 책 한권으로 간다!
9788925409641,6,"교과내용에 대해 쉽게 설명하고 있고, 표지가 하드커버인 점이 특장점"
9788925409238,6,교육사회학에 필수~
9788925409238,6,표지는 달라보이는데??내용은 5판이랑 같나요?
9788925409238,8,교재로 구매했는데 알기 쉽게 표도 많고 깔끔하게 정리된 내용이 참 좋아요! 근데 하드커버라 책이 좀 무겁기는 해요......
9788925409238,10,상품 배송도 빠르고 저렴한 곳에서 사니 좋습니다.^^^
9788999706332,10,젛아영~
9791161054360,2,진짜 글의 두서라곤 하나도 없습니다.. 문장도 번역기 돌린 것 같은 문장들 투성이에 목차에 따라 무엇을 말하고 있었는지 기억조차 안한 것 처럼 갑자기 다른 말이 튀어나옵니다. 진짜 책 쓰시다가 귀찮아서 접은 것 같은 퀄리티 입니다.. 하..
9788999704512,10,고2때부터 꿈이던 언어치료사가 되기 위해 언어치료과를 수시로 넣어서 당당하게 합격을 하고 언어치료과하면 바로 생각이 나는 이 책을 부교재로 구매하는 날이 오다니!!! 아직 배송은 안되었지만 하루라도 빨리 받아서 이 책의 내용을 읽고 공부에 참고를 하고 싶네요!
9788999704512,10,유명한 빨간책 개정판 출간을 뒤늦게 알고 구입했습니다. 이전보다 내용이 풍성해지고 편집도 가독성 높게 바뀌었네요. 이 책을 보시는 언어치료학도들 모두 좋은 결과 얻으시길 바랍니다.^^
9791185617558,10,요즘 나름 핫한 책이네요. 독서교육 내용을 잘 담고 있고 깊이도 있습니다.
9791185617558,10,박영목 선생님의 독서교육론보다 이론을 좀더 체계적이고 보기 좋게 정리한 느낌입니다. 현장 경험이 풍부한 김주환 선생님이 특히 눈에 띄네요. 이론과 교육과정 그리고 현장이 연계된 부분이 곳곳에 보여 마음에 듭니다.
9791185617558,10,독서교육에 관심이 많으나 어떻게 공부해야 할 지 잘 모르는 국어과 임용고시생이나 현직교사를 위한 친절한 안내서이다. 저자의 프로필에서도 드러나듯이 현장과 연계하여 내용을 구성하였다는 점이 독자에게 신뢰감을 줄 것으로 기대한다
9791185617558,10,국어교육 전공 학생들은 한 번쯤 꼭 읽어볼 만한 책입니다. 독서교육 분야의 이론이 굉장히 잘 정리되어 있습니다. 추천!
9788925411491,10,교육과정을 이해하는 데 많은 도움이 되었습니다
9788999717451,8,성인으로의 출발을 위해 청소년기의 심리를 이해하고 상담으로 실천하기위해 꼭 필요한 학문을 이 책을 통해 도움이 됩니다.
9788999717451,6,청소년심리및 상담책은 교재로 구입하여 보고있는데 청소년기의 발달적 특징과 관련한 이론적 배경이나  내.외현의 문제를 나누어 다루어 주었고 청소년상담의 이해를 돕기위한 기초적인 부분에서 상담과정및 기법의 부분이 상세하게 잘 다루어진 교재이고 처음 상담을 접하는 학생들에게 쉽게쓰여졌다
9791188108787,8,수험서로는 최악이라는 평에 대해- 이 책은 수험서가 아닌데 왜 수험을 판단의 잣대로 활용하는지 의문 (but 12년간의 임용 문제 중 이 책에 실린 내용으로 풀리지 않는 문제는 1개도 없음). 그리고 논문을 출판으로 활용하는 것은 동료평가(peer-review)를 통해 이미 검증된 내용이라는 의의가 있음.
9791188108787,10,"국어교육과 학생으로서 국어 임용고시 작문 분야를 공부하기에 적합한 책. 역락에서 나온 작문 교육론과 비교하자면, 이 책은 보다 캐주얼하게 구성되어 있어 쉽게 보기 편함. 그리고 2019학년도 임용고시를 준비할 때 개인적으로 역락보다 훨씬 도움이 되었고, 이 책에서 사용하는 용어 그대로 출제됨"
9791188108787,2,수험서로는 최악. 이 책이 아닌 역락의 작문교육론을 추천. 이 책은 책을 쓴게 아니라 논문을 가져다 놓았으며 작문교육에 대해 관심이 있다면 누구나 알만한 내용들을 그저 구성만 해놓은 챕터도 존재함(5장). 6장은 2015개정 교육과정에 대한 좀 더 심도 있는 설명이 들어있지도 않음. 돈 아깝다
9788963309965,10,교직수업에서 사용중인 교재가 너무 부실해서 대안으로 찾아낸 책. 체계적으로 알아듣기 쉽게 잘 서술하고 있다.
9788963309965,8,내용구성과 정리가 잘 되어 있어서 좋아요
9788918210643,10,"그 내용의 본질은 변하지 않는 책이 이 책인갓 같아요. 표현의 방식은 다소 시간의 흐름상 맞지 않은 것도 있지만, 상담에 필요한 다양한 내용과 연습으로 구성되어 초보자가 공부하기엔 딱 맞춤인 것 같아요^^"
9788918210643,8,현재 교회에서 기독교 상담에 대한 강의를 듣고 있습니다. 상담이라는 분야가 어렵기도 하지만 다양한 사례에 대한 부담감 또한 큽니다. 강의를 진행하시던 교수님께서 추천해주신 책이라 주저없이 주문합니다. 개인적으로 도움이 클거라 기대하며 빨리 받다 보고 싶습니다.
9788997982066,8,만원으로 깎아주시면 안될까요ㅠㅠㅠ
9788991221291,10,개인적으로 역사교육학도를 위한 국내에 소개된 역사교육개론 중 탁월한 책이라 생각한다.
9788991221291,10,역사교육 전공자나 역사교육에 관심있는 독자에게는 필독서일 정도 역사교육의 전반적인 부분을 알 수 있음
9788991221291,10,친절한 알라딘 가격도 할인해줘서 좋았어요
9788991221291,8,역사교육론 필독서
9788991221291,6,역사교육 수험서
9788991221291,6,"수업도서로 샀는데, 괜찮아요"
9788991221291,10,"현장에서의 역사수업을 위한 지침 활용서, 파란책과 세트!"
9788991221291,10,파란책 역사교육의 이해를 좀 더 심화있게 다룬 책 완전 좋아요~
9788991221291,8,역사교육학에 기초를 잘 닦을 수 있는 책
9788991221291,8,역교 기본교재라고 해서 샀습니다...
9788991221291,10,"역교론을 공부하는 사람이라면 누구나 읽어야 할,, 파란책의 확장판~"
9788991221291,10,임고준비생 기본교재죠... 강추합니다.^^
9788991221291,10,임용고사 역교론을 준비할때 아주 괜찮은책 파란책과 같이 보면 괜찮을듯
9788991221291,10,역사 임용 필수
9791185617640,10,딱딱할 수도 있는 내용을 실제 수업과 연관지어 제시한 점이 좋았습니다. 국어과 임용시험 준비에도 도움 되었어요.
9791185617640,10,"여름방학 후, 두 번째로 손에 든 책! 우선 ‘화법교육론(역락)‘보다 더 잘 읽힌다. 구체적 ‘사례‘들과 ‘선생님께‘라는 코너가 특히 마음에 든다. 원만한 인간관계의 기본은 의사소통에서 비롯됨을 새삼 깨닫는다. 학생들과 더욱 ‘공감‘할 수 있는 2학기를 꿈꾸며, 이 책의 이론을 실천해 보고자 한다.^^"
9791185617640,10,전공서라고 샀지만 잘 읽고 있답니다.
9788999718595,10,대학교 부교재라서 구매를 했습니다! 빨리 안을 밑줄을 치면서 공부하고 싶네요!!
9788999720338,2,"2020년 3판 발행한건데 10년전 학교 상담이야기이다ㅜㅜ요10년새 상담교사,역할등 변화된게 급격한데.. 반영이 전혀안되었다..일반 고전이론서도 아님에도 저자들 반성하셔야할것같다.이거로 시험 못칠것같다"
9788963528205,10,정말 좋은책입니다.
9791165190910,10,매번 아침조회 뭐하지 하고 인터넷 사이트를 기웃거렸는데 이 책 사서 보고 소스를 많이 얻었습니다. 여러가지 활동이 알기 쉽게 적혀 있어 활용하기 편했어요. 수업할 때도 많이 참고하게 될 것 같아요~
9791189946258,10,요즘 국어 전공자들 사이에서 따끈따끈한 관심을 끌고 있는 책이죠. 깊이 있는 공부 하기에 좋습니다~
9791189946258,2,"앞으로는 임용고시생을 위한 문학교육론, 국어교육론, 문법교육론 시리즈로 내시면 될듯."
9791189946258,6,진짜... 의도 뻔하다...ㅎ 돈 없는 임고생... 굳이 삽니다 ㅎㅎ
9788999707285,4,"필수교재여서 구매하긴 했는데, 번역기 돌린 것 같은 부분도 여러 번 있고 원서에 실린 사례를 그대로 한국식으로 이름만 바꿔서 번역해놓으니까 문화적으로 안 맞는 부분이 많아서 전반적으로 실망스럽네요. 이론 부분 보는 데에는 큰 무리 없음..."
9788999707285,4,번역의 질이 떨어집니다. 비문이 많고 오타도 많습니다. 책 내용 자체는 괜찮습니다. 마치 대학원생한테 번역을 시킨 것 같은 역자의 지적 불성실함에 실망을 느낍니다.
9788999709173,10,정말 좋은 책입니다. 수업 교재로 구입했는데 단순히 한번 수업받고 지나칠 책이 아니라 가지고 있으면서 아동상담시에 궁금하거나 주의해야할 내용을 복기하기에 좋습니다.어렵지 않고 읽기 쉽게 책이 씌여져 있어서 교양으로 읽기로도 좋습니다.
9788999410130,10,올해 산 책중에 가장 유용했어요^^
9788947243667,10,"빨리와서 좋네요. 학교에서 수업할 교재인데, 유명한 저자들이 쓴거라서 믿음직스럽습니다. 표지가 근데 황토색에서 핑크색으로 바뀌었나 보네요."
9788991221512,10,임용준비 필독서!!
9788991221512,6,"파란책,,노란책은 이젠 고전이군...또, 한권 늘었다....아~~~~"
9788991221512,8,그 동안의 많은 책을 하나로 정리한 느낌. 어쨌거나 또 하나 늘었다는ㅠ_ㅜ
9788991221512,10,초록책이라고 불리는 역사교육의 내용과 방법과 함께 보시면 효과가 두배.
9788991221512,10,"역사교육의 이해 이후 10년만에 나온 역사교육의 바이블
임고생들의 경전!!"
9788991221512,10,역사교수가 아니라 역사장사꾼 같어 어어어엉
9788991221512,10,하루에 한장씩 5일만 보면된다! 난 할수있다!
9788991221512,6,역시 임용은 빨리 붙어야 한다는....갈수록 책의 수가 늘어나니 원.....
9788991221512,8,"역사 임용생들의 필독서(?)의 등장!! 
파란책의 업그레이드판이라고 보면 되요~~"
9788991221512,6,역시 작년에 이어서 올해도 ㅎㅎ 내년에는 무슨색이 나올지 ㅎ
9788991221512,10,이게 왠 날벼락..?ㅡㅡ;;2달도 안남기고ㅠㅠ
9788991221512,6,헉;;;;;;;;;;;;; 몇일안남았는데;;;;;;;;;;;;;;;;;; 역교론 올인?
9788999717659,8,책 내용 구성은 전공 공부함에 부족함없이 친절한 설명으로 참고에 용이합니다 다만 양장본 책인데도 책가름줄이 없어 이 점이 아쉽습니다
9788958914945,8,대학교재로 산 책. 각 장마다 사례와 예시가 있어 좋았습니다.
9788958914945,8,정말 좋아요~ 내용 이해도 잘되구요 ~ 책도 깔끔하니 좋아요~~
9788958914945,10,정말잘나온교육심리학교재입니다_^
9788958914945,10,"교육심리공부하기에는 이책이 좋은것 같아요,
교수님이 추천해주신 거에요ㅋ"
9788958914945,10,자세한 설명으로 혼자서도 공부할 수 있을 것 같네요^^
9788958914945,10,누구나 쉽게 접근을 할 수 있어요. 내용이 쉽게 잘 되어있네요.
9788958914945,10,알기쉽게 설명이 잘 되어 있어요.
9788999710827,10,책 내용처럼 교육 행정 및 교육 경영에 관련된 책입니다.
9788999713781,8,인간의 행동형성과 부정적인 행동 수정에 대해서 자세히 알 수 있다. 평소의 나는 어떤 행동을 하는지도 알고 좋지 않은 행동은 표적행동으로 삼고 수정해보려고 노력중이다.
9788999712692,10,내용이 아주 좋습니다
9788999717741,8,대학교에서 언어치료과로 올해 입학을 해서 교수님이 사라는 교재를 구매하면서 개인적으로 읽어보고 싶어 이 책을 구입했는데 너무 흥미진진하더군요!! 하루종일 과제도 안하고 이 책에 줄을 그으며 지금 읽고 있습니다!
9788991517660,4,600여쪽의 난잡한 자료집과 같습니다. 본문에서 언급하였지만 참고문헌에는 누락된 논문이나 저서도 많이 보입니다. 다만 세련된 표지만큼은 칭찬하고 싶습니다.
9788991517660,10,일반적인 교육과정 이론서와는 구성이 많이 다릅니다. 하지만 그 덕분에 많은 도움을 받았습니다.
9788999715440,10,"많은 유아교육개론서를 읽어보았지만 이렇게 유용한 자료를 챞터별로 활용할 수 있고 학생들과 토론할 수 있는 토론자료까지 제시한 학습용, 토론용, 강의용 자료는 처음봐요. 완젼 쭇아요~~~"
9791156869733,10,"시에 대한 많은 이론들이 담겨 있어요. 시 공부 하려는 사람들, 시를 수업하려는 사람들이 필요한 내용만 발췌해서 읽어도 많은 도움될 것 같아요. 꼼꼼히 보려면 많은 시간이 필요하겠네요~"
9791156869733,10,"급하게 필요해서 주문했는데, 다음날 바로 받아볼 수 있어서 좋았습니다. 책 구성도 국어 전공자들에게 도움이 될 만한 내용들이어서 만족합니다."
9791156869733,10,새로운 현대시 전공서적이 나왔다는 사실을 경쟁자들에게 알리지말라 ㅎㅎ
9791156863243,10,"박영목 선생님의 뒤를 이어 현재 학계에서 왕성하게 활동 중인 작문교육 전문가들이 뭉쳐서 만든 책! 국어교육과 학부생이나 대학원생, 특히 국어 임용시험을 준비하는 수험생들에게 유용한 개론서가 될 것 같습니다."
9788991221086,8,역사교육론
9788991221086,8,조금은 어렵다는 생각이 들기는 했지만 이 책과 함께 유익한 시간을 보냈다.
9788991221086,10,"수업 교재로 구입하게 되었는데
배송도 빠르고 ㅋㅋ
열심히 공부 할께요 ^^"
9788991221086,8,절대 놓칠 수 없는 갈색책... ^^ 열공모드로 한 번 들어가 봅시다~~~**
9788991221086,10,좋아요 ^ ^
9788991221086,10,오늘에서야 완독했다. 상당히 어려운 책이었지만 - 그만큼 얻는 것도 많은 것 같다
9788991221086,8,처음에 읽기 힘들었지만..읽을수록 매력적인 책이다..
9788991221086,10,논문이라 처음에는 읽기가 힘들지만 읽으면 읽을수록 감탄하는 책
9788977946057,10,머릿속에 그림이 그려집니다.
9788974909079,8,역사 공부를 위한 첫 걸음...
9788974909079,10,좋아요.
9788974909079,10,역사과 임용고시를 준비하시는 분들에게 교과교육학 필수 기본서예요.
9788974909079,10,역사교육에서는 꼭 봐야 하는 필수 도서라고 할 수 있어요 ^^
9788907901026,10,생각보다 두껍다! 제목처럼 국어교과 지식을 ‘완성‘하고자 하는 의지가 보인다. 영역별로 한눈에 보기라는 마인드맵이 참 좋다. 책 맨 뒷부분의 ‘찾아보기‘의 핵심어를 통해 필요할 때마다 들춰보기에도 좋다. 교무실 내 책상 가까운 곳에 두고 틈틈이 활용해야겠다. 국어교사로서 국어완성을 꿈꾸며^^
9788999705977,8,논문을 작성하기 전에 필요한 내용이 단계별로 쉽게 설명이 되어있어 좋았습니다..다른 책을 찾아보지 않고 그대로 읽어 보아도 어떤 내요인지 알 수 있도록 되어 있어레포트 작성에도 도움이 많이 되었어요..
9788958092308,2,주문하고 3-4일 뒤 출고 예정일에 갑자기 품절됐다고 막 취소하시면 어떡하나요? 그럼 미리 문자로 품절됐다고 알려주기라도 하셔야죠
9788999720499,2,볼게 없는 개론. 상담초보만 볼 것
9791189228521,10,믿고 읽는 창비입니다. 현대소설을 깊이 있게 공부하고 싶어서 구매했습니다. 다른 개론서들에서 얻기 힘든 심화 내용이 많아서 좋네요.
9788999708695,10,사례를 통해 많이 배울 수 있어요
9788999711282,8,너무 비싼데.. 내용은 알차네여 ㅎㅎ
9788999706264,8,기본적인 이론 알기 좋은 책이에요 ㅎㅎ
9788999703416,10,"가끔 보이는 오타는 있었지만 상당히 내용이 잘 정리된 책! 수업의 교재로 사용되지 않았다면 읽지 않았겠지만, 읽은 후 감상으로는 다양한 자료와 논문 등을 통해 폭력의 원인, 해결방법과 과정 등을 잘 정리해 놓은 책이다."
9791195449484,10,"청소년 관련 지침서를 소개 합니다.(청소년들과 함께하는 선생님들의 지침서) 청소년심리와 청소년상담이 짜임새 있게 정리가 잘 되어있고,상담이론에서는 완전 대박~~ 여러 가지 청소년 심리, 상담 책 필요 없이단 한권으로 해결이 되는 ‘현대 청소년심리 및 상담’ 책이 너무 감동입니다."
9788981685409,10,인간 삶의 가장 본질적인 현상으로 교육을 관찰하듯 재조명하여 설명하는 글입니다. 교육의 제도화와 사회내의 역기능을 비판적으로 고찰하고 있습니다. 교수학습과정으로 축소되어버린 현대 교육의 안타까운 장면의 배경을 학술적으로 추적할 수 있도록 도와주는 희소가치가 풍부한 책이라고 생각합니
9788999405006,2,정말 최상이라는 말과 다르게 형광펜이 정말 많고 표지에 이름도 써져있고... 중고에서 최상이란것만 샀을 때 완전 새책으로 왔어서 이런거는 처음이네요 정말 충격입니다 다른 상품들 봤을 때도 최상으로 다 해놓으시고 유의사항에 필기가 있다고 해놓으셨는데 필기는 곧 낙서입니다 최상이 아니에요
9788978787970,10,학교교재
9788978787970,10,허용교수님의 책이라고 해서 주문했는데 알고보니 유명한책이였군요. 이 책을 읽으면 어느정도 한국어교육학에대한 개론이 정리될 것 같습니다.
9788978787970,10,외국어로서의 한국어교육학의 가장 기본적인 必도서. 시중 출간 도서 중 단연 으뜸!
9788978787970,8,"한국어교원검정시험을 준비하면서 볼수밖에 없는, 그러나 기대되는"
9788978787970,8,한국어 교수 이론에 대한 탐색과 방법론 습득을 위한 원론서
9788978787970,8,기존의 개론서 중에서는 가장 좋네요 ^^
9788925412276,10,임용시험의 기출문제를 분석해 정답의 작성 방법을 자세히 안내하여 임용시험에 큰 도움이 되네요! 그리고 4차 산업혁명에 대비한 사회과교육의 방향을 새롭게 제시해서 유용하네요!
9788963302973,8,"그저 .. 어려운 .. 주제라 재밌고 좋다 할순 없지만
공부할 수 있는 책."
9788999720482,10,너무 좋아요
9788999720482,10,읽어보면서 프로그램을 구현하다보니 금방 시간이 가네요. 이해하기 쉽게 깔끔하게 쓴 책입니다.  적극 추천합니다.
9788955565676,10,임고수험생의 필독서가 되버린 책!! 글씨도 큼직하고 필수적인 내용을 담은 입문서!!
9788955565676,8,국어교단에서 적용해 볼 만한 이론들이 많이 수록돼 있다
9788955565676,8,책이 괜찮네요 ^-^ 스터디 할대 썼어요
9788955565676,6,실제 적인 측면이 많이 담겨서 좋으나 깊이는 없는듯
9788955565676,8,무게는 가볍고 내용은 꽉 찬 책
9788955565676,8,아직 읽어보진 않았지만 교수학습방법에 쉽게 다가갈 수 있을 것 같은 책.
9788955565676,10,Goooooood !!!!
9788955565676,10,다른 이론서들과 달리 실제적인 측면이 많아서 좋아요
9788955565676,8,실제적인 교수 방법이 다양하게 정리된 책.
9788955565676,6,기본서로 읽을 만한 것 같습니다. 빠른 배송 좋아요^^
9788955565676,8,"책이 우선 굉장히 가벼워요-
내용도 맘에 듭니다."
9788955565676,10,임용 준비하는데 많은 도움이 될만한 책이예요
9788999700156,10,정말 필요했던 책인데 책을 잘 구입한거 같습니다.
9788988297117,6,"개인적으로는 학교문법과 문법교육 책이 더 좋았습니다. 실제 학교문법과 동떨어진 부분이 있어서 단권으로 공부하기에는 좀 부적절해 보입니다. 학교문법에 집중하고 싶다면 학교문법과 문법교육을, 문법 전반에 대해 더 자세히 알고 싶다면 표준국어문법론이나 우리말문법론을 추천합니다."
9788988297117,10,대학교 교재로서 어느 정도 알려진 책이라 믿고 구매합니다. 7차 학교문법을 공부하는 사람들에게 추천합니다.
9788988297117,8,좋아요^^
9788988297117,10,문법 공부에 필요한 정석..
9788988297117,10,정말괜찮은교재입니다_^
9788988297117,10,학교문법 관련 필독서! 이 책도 국어학 관련 베스트셀러 아닐까요?
9788925411835,2,"이 책의 제목이 교재연구 및 교수법임에도 불구하고, 교재연구에 관한 내용은 목차에서도 알 수 있듯이 달랑 9 페이지 나옴."
9788999701917,2,책 자체는 학교 교재라서 별수없이 그냥 샀다. 내용정리는 조금 허술한 부분이 있고. 교육학개론에 대해 조금 내용이 부족한 감도 있다. 하지만 여기서 책을 사면서 제일 화가났던 점은 배송 분명 화요일?수요일에 입금완료가 되고 출고가 되서 받는예정일이 목요일이였다. 그런데 토요일이 되서야 도
9788974180430,10,"도덕윤리 임용을 준비하시는 분들이라면 반드시 필요한 책입니다. 단순히 시험을 위해서가 아니라, 진정한 '도덕 교사'로서 필요한 길들을 제시해 주신 듯 합니다 ^^"
9788962182774,10,"알라딘에 처음 방문해서 책을 주문했네요~~시작이 반이니, 이제 자주자주 방문해서 좋은 정보도 얻고 책도 자주사서 읽는 문학인으로 도전하겠습니다.~~"
9788963303499,2,"등급을 한참이나 높게 매기시는 것 같네요 안에 낙서가 없다고 해서 구입했는데 연필부터 볼펜, 색연필 아주 다양한 것들로 낙서같은 필기를 해놓으셨네요^^"
9788963303499,10,잘 받았습니다~ 학교 대학교재로 받았는데 생각보다 배송이 늦은거는 좀 그렇지만 잘 쓸께요 감사합니다~~^^
9791162445587,10,평소 헷갈렸던 것들 옆에 두고 찾아보기 좋네요.소장각입니다.
9791162445587,8,업무상 필요해서 시간 날 때 문법서 찾아보는 편입니다. 짬날 때마다 펼쳐보기 좋네요.  판형도 시원시원해서 읽기 좋고 컬러도 좋네요. 근래 본 문법서 중에 가장 마음에 듭니다.
9791162445587,10,Q&A에 대해서 자세하게 나와있어 좋습니다.
9788963302324,10,"질적 연구를 시작하는 연구자에게 유용하고 실용적인 내용들이 많다. 초보자로 실수할 수 있는 부분에 대해 조언해주는 친절한 책. 정독하고, 내용 정리하고, 면담 시작 전에 다시 읽으려고 한다."
9788963302324,10,"질적 연구에 대한 공부를 시작한지 3년차이지만 여전히 모르는 것 투성입니다. 여전히 휘청이고 흔들리는 저에게 이 책은 연구참여자와 어떻게 만나야 하고, 어떤 자세로 임해야하는지를 소곤소곤 나지막하지만 분명하게 알려줍니다. 질적 연구를 제대로 시작하려고 하시는 분들께 강추합니다."
9788963302324,10,"방법론 개론서와는 달리 일관된 이야기가 있다. ｀면담｀을 준비하거나, 하고 있는 모든 이들에게 권하고 싶은 책."
9788963302324,8,어떤 면담-질문을 해야할지 고민될때 아주 적당한 책
9788963302324,8,사회과학분야의 질적연구를 고민하고 있다면 꼭 참고~ 질적 연구에서 면담은 필수다~
9788997982561,10,"영유아교육 전문가, 교사, 관리자 등이 읽어보면 좋을 책. 현재 영아보육프로그램을 재고하고 앞으로의 영아보육 및 교육의 방향성에 대해서도 생각해볼 수 있게 하는 책이다.  이론과 실제가 자세하게 나와 있어 현직교사에게 도움이 되는 책이다."
9788997982257,8,전공 서적으로 잘 쓰겠습니다
9791189404437,10,"유아교사를 포함하여 예비 교사 및 학부모들에게 도움이 될 수 있는 소중한 책입니다. 유아와 유아의 놀이에 대해 관심을 가지고 고민하는 점 등을 알려주며, 유아의 자조기술을 포함한 기본생활 습관 등을 유아의 놀이로 자연스럽게 익힐 수 있도록 도와주는 과정을 알 수 있는 소중한 자료입니다❤"
9791189404437,10,생활지도는 교사의 가장 큰 고민중 하나이다. 그런 생활지도를 놀이로 한다니 교사들에게 희소식 중 하나가 될 것이다.
9791189404437,10,저는 지금 중3을 올라가는 여학생인데 어린이집교사를 하기위해 열심히 노력하는데 이 책을 읽고 나니깐 도움도 많이 되는것같아욤 정말추천하는책이다
9791186367605,10,확실히 창비 책이 내용의 깊이가 있네요. 아주 쉽게 읽히진 않지만 전공자로서 도움이 돼요.
