ISBN13,rating,review
9788999712395,8,이번 학기 대학 교재에서 샀습니다. 이번 학기 열심히공부 하도록 하겠습니다.
9788932473727,10,일단 빨리와서 너무 좋았어요
9788999409769,8,출고가 좀 늦었지만 그래도 출고되고는 하루만에 왔네요. 저번에 산 책은 흡집이 있었는데 이번꺼는 없어서 좋네요
9788976444684,8,"행정학이 매우 난잡한 학문이라고 들었는데, 이 책을 읽고보니 그래도 나름 체계가 있는 학문이라는 점을 깨달았음. 물흐르는 듯한 서술과 깔끔한 디자인으로 가독성이 뛰어남. 의외로 쉽게 읽힘. 행정학 입문서로 매우 적합할 듯."
9788976444684,6,행정학의 전반적인 내용을 체계적으로 학습할 수 있게 정리가 잘 되어 있다. 하지만 문체가 무미 건조하여 끝까지 읽기에는 상당한 인내심이 필요하다. 판이 오래되고 여러 차례 개정이 이루어진 것에 비해 오탈자가 다소 눈에 띄는 점도 아쉽다.
9788976444684,6,학교 전공 교재라서 구매했습니다. 책 내용이 많이 개편되어있네요.
9788976444684,10,개정판 좋네요 ㅎㅎ
9788962183528,6,"사회과학연구를 위한 매우 좋은 책 임에는 분명하다. 그러나, 다소 장황하게 설명되는  원서 자체의 문제와 더불어, 아마도 각자 나누어 학부생들에게 맡겼을 정말 성의없는 번역이 책의 가치를 바래게 했다."
9788962183528,10,좋은구성과 알찬개념들로 구성된책
9788930606233,10,백프로는 아니지만 두번 읽었어요. 박종현 선생님 대단해요.
9788930606233,10,"비문이 많다는 말씀이 있는데, 제가 보기에 책 읽기 난도에 지장을 줄 정도로 심하다거나, 도저히 무슨 말인지 모를 듯한 문장은 없습니다. 헬라스 문법이 복잡하기에, 의역을 하지 않으면 문장이 복잡한 건 어쩔 수 없어요. 의역을 하면 쟁점이 되는 대목에서 불필요한 혼란이 있게 되고요."
9788930606233,10,상상 그이상이다
9788930606233,10,"조금은 어렵지만, 플라톤의 사상을 아는데 가장 기본적인 책! 한번쯤은 읽어야 한다고 봅니다."
9788930606233,4,번역이 우리말이 아님.. 온통 비문 투성이.. 무슨 뜻인지 알 수 없음..
9788930606233,10,"이렇게 하면 잘 살 것이다, 라고 끝나는 플라톤의 역작!"
9788930606233,10,1000년뒤에도 인류가 읽을 책. 100년뒤에도 한국인이 읽을 번역.
9788930606233,10,철학을 배우는 학생이라면 누구나 읽는:-)
