ISBN13,rating,review
9788989544371,10,매끄럽게 읽히고 군더더기 없이 깔끔한 서술이 좋습니다. 서양음악사 맥락 공부하는데 도움이 되요.
9788989544371,10,배송도 빠르고 가격도 쿠폰덕에 싸게샀고 만족합니다~잘쓰겠습니다
9788989544371,10,정말 좋은책 근데 아직 다 못읽고 있네 ㅋㅋㅋ 이책 만들어주셔서 감사해요 !
9788989544371,10,좋습니다 이해하기 참 좋아요~ 배송이 젤 좋구요 ㅋㅋ
9788989544371,10,내용은 아직 잘 모르겠지만.. 여기서 제일 싸게 사서 좋아요^^
9788989544371,8,그라우트와 말랑한 교양 사이에 위치하는 적절한 도서입니다.
9788989544388,10,들배서양음악사 워낙 유명합니다.작고 두꺼운 구판을 가지고 있었는데 새 들으며 배우는 서양음악사가 필요해서 구매하게되었는데겉 표지만 바뀐게 아니라 내용이 전면 수정되었네요.참으로 좋습니다. 책은 언제 구매해도 기분이 참 좋아요.잘 읽고 양식으로 쌓겠습니다.
9788989544388,10,아직본문2는 읽어보진 않았지만.. 배송최고에요 ㅎ
9788989544388,10,잘받았어요^^어제 밤에 주문했는데..엄청빨리왔네요;ㅎㅎ공부할생각하니 쫌 막막..ㅠ
9788989544388,10,하루만에 빠른 배송! 책 상태두 좋구요 그전 들배보다 내용도 좋은거 같아요^^
9788989544388,8,개정하면서 완전 바뀐듯 회화쪽과 연결되면서 흐름 파악이 용이함
9788995829318,10,대학교재 구입도 알라딘! 빠른배송 당일배송 넘나 좋아요
9788995829318,2,색채 관련 정보를 얻을까 싶어 구매하였으나. 스티커북이었음. 잘못된 구매.
9788995829318,10,빠른 배송 감사합니다. 다음에도 알라딘 이용할께요
9788970844152,6,읭?? 읽고있는데 레오나르도 75살에 사망했다고 적혀있네요... 뭐지..
9788970844152,8,"미술사 입문용으로 무난한 책. 내용이 부족하지도, 그렇다고 과다하지도 않아서 두고두고 읽기 좋습니다."
9788970844152,4,전반적으로 볼 수 있으나 내용이 얕고 너무나 축약돼서 이게 무슨 소리야 싶은 내용도 많음. 축약하려다보니 문장이 말이 안되는 부분들이 간간히 있으며 오탈자도 잦은 편. 글이 많아도 곰브리치 책이 공부하기 나은 것 같다는 생각
9788970844152,10,서양미술사에 대한 기초서적이면서 흐름을 읽을 수 있는 책이라고 생각합니다. 많은 분들에게 추천을 드리고 싶습니다.
9788970844152,10,빠른 배송과 깨끗한  책을 저렴하게 구입할 수 있어서 너무 좋았습니다.다음에도 또 이용하고 싶습니다!!
9788970844152,8,서양미술사에 대해 쉽고 간편하게 설명한 책.
9788970844152,8,서양 미술사의 큰 흐름을 한 눈에 볼 수 있었던 책! 틈틈이 건축사도! 사람이 진정으로 해야할 일은 자신의 꿈을 간직하는 일이다모딜리아니
9788970844152,10,"곰브리치의 서양미술사도 읽어보았는데, 이 책은 시대별로 정리가 잘 되어있어 개념 정리하는데 도움이 많이 되었습니다. 미술사 관련 시험 준비하시는 분들은 이 책으로 공부하시면 더 좋을거예요. 도판도 깔끔하게 잘 정리되어 있습니다."
9788970844152,6,개념을 빠른 시간내에 정리하기는 좋은 책이나 내용이 적다보니 깊이와 충분한 해설이라는 측면에서는 조금 부족한 것도 사실이네요.더 깊은 내용의 재미를 느끼시려면 곰브리치의 서양미술사를 추천합니다.
9788970844152,4,정말이지 도판은 정말......
9788970844152,2,2010년판 도판 최악!!! 서점확인요망!!! 출판사의 양심이 의심스럽네요...
9788970844152,8,학교에서한번배웠던것을 다시한번간편하게읽어볼수잇는 뭐그런것..하지만배송 느렷어
9788988951002,10,좋아요~
9788988951002,10,주문시킨지 하루만에 배송이 와서 좋구요사은품도 잘도착해서 좋아요!
9788988951002,8,백병동 화성학은 화성학 책계의 바이블이라고 할 정도로 기준이 되는 책인데 워낙 오래된 책이라 내용들이 보기에 어렵게 되어 있어서 책 안에 들어있는 문제들을 풀기가 어려웠지만 실용음악 선생님의 추가적인 설명을 들으니 좀 더 수월하게 풀 수 있었던 것 같다.
9788988951002,10,매우 충실한 교과서
9788988951002,10,교재로씀
9788988951002,10,"음악 전공자들에게 수학의 정석, 성문 영어와 같이 필수적인 책이죠..ㅋㅋㅋ"
9788988951002,6,난해한 교과서로 보는편이 좋을듯...
9788988951002,2,완전 늦게 옵니다.. 정말 기분 나빠요.3주나 기다려도아예오지도안네요..정말불쾌해요
9788988951002,8,화성학 어려워~)_~ㅋ
9788988951002,10,잘 받았습니다. 많은 도움이 될것같네요
9788988951002,4,오_베리 '쏘 굿
9788988951002,10,잘 받았습니다. 감사해요
9788972960010,10,중학교 아이의 음악 교육에 도움을 많이 받고 있습니다.
9788972960010,10,시창청음 책중에 제일 나아요
9788972960010,10,잘받았습니다~~~~~^^ 열심히 읽을게요~~~^^
9788972960010,6,좀 괜히 샀다는생각이 드네요 ㅜ ㅜ 너무 간단해서 ㅜ ㅜ
9788972960010,8,휴대가 간편해서 시창연습 하기에 좋아요~^^
9788972960010,6,너무 간단해서 탈이다.
9788948311013,10,"빠르고, 질 좋은 배송에 기분이 좋았습니다!받고나서도 기분이 좋았어요~알라딘 짱짱짱!!! 최고예요~책구매는 역시 알라딘이죠~^^b"
9788948311013,10,좋아요
9788948311013,10,학교수업교재
9788948311013,10,제가 작곡공부를 하는데 쓰고있어요 좋은거같아요 괜찮음~~~~~~~~
9788948311013,10,생각보다 두툼한 두께~ 그리고 종이의 질이 매우 좋습니다. 정리가 잘 되어 있고 전공자가 보기에도 무척 좋지만 비전공자가 마지막으로 마무리할 책으로도 좋습니다~!
9788948311013,10,비전공자지만 음악 공부를 해보고 싶어 산 책!
9788948311013,10,대학교재입니다. 편입 준비 시 아주 중요한 교재입니다.
9788948311013,10,대학교재로 사용중이예요. 체계적이고 보기 편하게 편집되어 있어 눈에 확 들어와요!!
9788970840659,8,미술사를 일목요연하게 정리한 책. 미술에 막 흥미를 가진 초심자에게는 추천하지 않습니다. 초심자는 조금 더 얇고 설명이 간결한 책으로 먼저 기반지식을 닦고 읽는 것을 추천합니다.
9788970840659,10,지루해도 이 정도면 괜찮은 편.
9788970840659,10,"두꺼워서 방치했었는데 이렇게 재미있는 책이었다니.다만, 오타가 종종 발견되고 번역체가 매끄럽지 못한 부분이 간혹있다."
9788970840659,6,초보자가 접하기엔 다소 어려운부분이 있는듯햇어요. 그냥 그림에 대한 설명보다는 그림에대한 전문지식이 필요한내용이 있어서 저한테는 무리인듯했습니다.
9788970840659,2,내용이 정말 좋음은 부정할 수 없지만 한국어판에 오탈자가 너무 많네요. 리뷰들에 왜 오타 관련 언급이 없는 게 이상할 정도. 첫 쪽 ‘좋하하는‘부터 시작해서 잊을만하면 등장.. 명저인만큼 아쉽네요
9788970840659,10,여러번 보려고 샀는데 역시 좋아요! 많은 내용에도 지루하지 않아요.
9788970840659,10,새로움으로 이어주는 연결다리
9788970840659,10,두고 두고 한 번씩 꺼내  처음부터 끝까지 다시 읽어도 새로울  책.
9788970840659,10,"두꺼운 책이지만 흥미롭고 알찬 내용, 그리고 깔끔한 번역으로 자주 손이 갔던 책입니다. 필수 교양 도서가 아닐까."
9788970840659,6,사랑하지만.. 거슬리는 자잘한 오타가 아쉬운 책.
9788970840659,8,우리의 것과 다른 것은 그들의 기술수준이 아니라 그들의 착상인 것이다. (...) 왜냐하면 미술의 모든 역사는 기술적인 숙련에 관한 진보의 이야기가 아니라 변화하는 생각과 요구들에 대한 것이기 때문이다. (43)
9788970840659,8,서양미술사를 공부한다면 누구나 먼저 교과서처럼 읽기 좋은 책입니다. 왜냐하면 원시미술부터 모더니즘까지의 미술사에 관해 그 객관성을 지키고 있기 때문입니다.
9788970840659,10,"단순히 사실들을 나열하지 않고, ‘미술은 무엇으로 인해 발전해 왔는가‘라는 주제로 미술사를 서술한다. 청소년을 위해 쓴 책인 만큼 이해하기 쉽지만 책에 담긴 생각의 깊이는 얕지 않다."
9788970840659,10,어려운 단어 없이 쉽게 읽을 수 있는 책
9788970840659,8,미술에 관심이 있다면 들여 놓고 틈틈이 보기 좋다.
9788970840659,8,미술 공부를 생각하는 자녀에게 좋은 안내서
9788970840659,8,아! 역시 20세기부터는 힘들구나!ㅠ
9788970840659,10,서양미술사소개로 알게 된 책인데 내용 해설이 참 쉽다.작가가 서두에 쉽게 읽게 하려고 노력했다고 하는데 정말 이해하기 쉽게 잘 쓰셨다.괜히 스테디셀러가 아닌가 싶다.조금씩 미술사에 알아가는 재미를 느끼는 중...
9788970840659,10,모나리자만큼 널리 알려진 책이라는 수식어가 과찬이 아닐만큼 글이 너무 좋다. 번역이 매우 훌륭한거 같아요. 옆에서 그림보여주며 설명해주는 듯한 느낌도 좋아요. 문장 문장이 깨달음을 줍니다.
9788970840659,10,예경 출판사를 믿고 구입했습니다. 역시 도판 매우 좋습니다. 차근차근 정독하겠습니다.
9788970840659,10,"말이 필요없는 명불허전, 고전의 가치.계속 사람들에게 읽히고 사랑받는 데는 이유가 있다."
9788970840659,10,"도서관에서 처음 발견하고, 서점으로 바로 달려가서 구매해버린 책. 유용 그 자체."
9788970840659,10,유익한 필독서
9788970840659,10,알고 있는 것 vs. 보이는 것
9788970840659,10,서양 미술사를 그림과 함께 체계적으로 볼 수 있는 좋은 책이라고 생각합니다. 워낙 유명한 책이라 한번쯤 읽어두고 싶은 책이었는데 그림을 하나씩 보여주면서 설명하는 저자의 집필 방식이 마음에 들었습니다.
9788970840659,8,미술사의 바이블. 다만 현대미술의 업뎃이 필요함
9788970840659,10,학교 교재로 쓰여서 구매했습니다~!상태는 좋게 도착했어요. 책을 보니까 내용도 굉장히 알 찬 것 같아서 마음에 듭니다배송도 빠르게 도착한 것 같아요! 수업 시작 전에 도착해서 예습해갈 수 있을 것 같습니다알라딘에서는 많은 책들을 합리적인 가격에 살 수 있어서 너무 좋아요
9788970840659,10,곰브리치의 말에 의하면 미술사는 연속적인 진보가 아니라 미술가들의 끝없는 이야기다.
9788970840659,10,역시 곰브릿지 서양미술사책이 깊이있게 공부하기에 딱입니다.한권에 모든것이!
9788970840659,10,논란의 여지가 드문 최고의 책
9788970840659,10,명불허전의 명저입니다. 처음 볼 때 분량때문에 부담감을 느낄 수도 있지만 책을 열면 깊이와 재미에 푹 빠져 헤어나올 수 없을 정도입니다.
9788970840659,10,"흥미와 재미 ok. 체계적 정리 ok. 받아들이며, 공부하고, 이해하기에 정말 좋은 책! 곰브리치 특유의 문체로 쓰여진 책이라면 어느분야든지 계속 공부하고싶어질듯"
9788970840659,10,"저렴하진 않지만, 폼으로던 실질로던 한 권쯤 가지고 있으면 좋은 책.예술이... 또는 미학이 우리네 일상생활과 멀리 떨어져 있는듯 하지만 이 놈을 모르면 천박해지기 쉽다.  비전공자라도 상식으로라도 알고 있을 필요가 있다."
9788970840659,10,문고판으로 다시 구입
9788970840659,10,미술의 흐름이 알기쉽게 정리되어있고 도판도 많아서 읽기 좋아요~미술전공자는 아니지만 입문용으로 읽고 있는데 재밌네요^^
9788970840659,8,서양미술사 이 책으로 시작... 설명과 도판의 정확한 대응과 적절한 설명은 이 책을 통해 독자의 이해를 돕는다. 그러나 더 많은 것들을 탐하게 되고 더욱더 허기지다. 그래서 이 책은 성공적이다.
9788970840659,10,서양 미술사에 대한 관심과 흥미가 있지만 어떻게 접근해야할지 막연한 느낌이 든다면 이 책은 해결책이 될수 있다고 생각한다.
9788970840659,10,아름다운 문장.... 유려한 번역...번역투가 느껴지지 않은 명번역~ 역자와 출판사에 감사 !! 꾸벅
9788970840659,10,도판도 훌륭하지만 사이에 들어간 글들은 미술사를 훑어내려가기에 큰 도움이 됩니다. 하우저의 <문학과 예술의 사회사>와 함께 읽길 권합니다.
9788970840659,8,헷갈릴수있는 미술사를 이해하기 쉽게 잘 정리한 책. 한권쯤은 가지고 있어도 좋을거 같아요!
9788970840659,10,"미대학생이라면 꼭 읽어야 할 책으로 
추천해드립니다."
9788970840659,10,서양미술사를 이야기하면 곰브리치와 이 책을 빼놓을 수 없습니다
9788970840659,10,대화하듯 강의하듯 알려주는 명불 고전 중의 고전!
9788970840659,10,"아, 이렇게 글 맛이 좋은 책을 볼 수 있어 좋다. 요즘 미술사 책들이 충실한 것은 이 책의 전통에 기반한 것이다. 최초의 상세한 미술사 책이라 요즘에 비하면 조금 덜 친절하지만 안목을 쌓기에는 훌륭한 책이다."
9788970840659,8,내용구성이 잘 되어있음
9788970840659,10,"서양미술사를 처음 공부하는데 있어, 교과서 같은 책"
9788970840659,10,딱딱하게만 느껴졌던  미술이라는 벽을 허물게 만들어준 책
9788970840659,10,"미술에 대한 정점의 책.
뭔가 해냈다는 기분을 느끼고 싶을 때 시도하세요 ㅋ"
9788970840659,10,"곰브리치는 글을 정말 잘쓴다. 
독자들이 막힘없이 술술 읽히면서 재미있게 세계사,미술사를 써내려 가는 저자는 곰브리치 밖에 없을 듯하네.여튼 쵝오! 서양 미술사의 바이블이라 할만하다."
9788970840659,8,읽은만큼 알 수 있는 책 하지만 끈기가 없으면 알지못할 책
9788970840659,10,아이가 잘 보길 바랍니다
9788970840659,10,도판과 함께 되어 있어 이해 하는데 많은 도움이 되는 것 같다.
9788970840659,10,전체적인 미술사를 알아보기에 좋은 책이예요
9788970840659,10,서양미술사의 바이블! 미학의 입문 서적으로도 좋다고 합디다.
9788970840659,10,가격의압박이잇엇으나방대한그림에만족만이남네요^^
9788970840659,10,두고두고 사전처럼 볼 수 있는 책.
9788970840659,10,말이 필요 없는 역작!!
9788970840659,10,어렵지 않게 접근할 수 있어서 좋네요!
9788970840659,10,드디어...곰브리치를....시간이 많이 걸릴 것입니다요 ㅠ
9788970840659,8,근대적 시각에서 쓰여진 미술.사.
9788970840659,10,"두껍고, 오래된 편집이지만 읽기편하고 즐거운 책, 매일 조금씩 읽고 있어요"
9788970840659,10,생각했던거보다 지루하지 않구 재미있어요 ^^ 이쪽에 관심이 있어서 그런지...ㅎㅎ
9788970840659,10,"서양미술사에 전반적 흐름이 나열되었구, 소장하고 필요시마다 찾아보기 좋은"
9788970840659,8,빠른 배송과 배송상태 만족합니다.
9788970840659,10,"배송이 빨리되서 놀랐어요ㅋㅋ
잘받았습니다~"
9788970840659,8,"소장해놓고, 꺼내보고 싶은 때마다 보고 싶어서 사게 되었는데, 내용도 알차고 좋네"
9788970840659,10,"너무 깔끔하게 잘왔어요 ㅋ
할인도 젤 많이 받았구 짱좋아용 ㅎㅎ"
9788970840659,8,수업교재라 읽게되었는데..정말 좋은 책인것 같아요..
9788970840659,6,"이책은 ""교과서!!!""...필독서 라지만 교과서 치고 재밌있는건 드물죠???^"
9788970840659,8,무거운 감이 없잖아있지만.서양미술사의 대부같은 책이라 생각합니다.
9788970840659,6,학교 교재로 샀는데 너무 어렵습니다. 미대생아니면 별로...
9788970840659,6,좋은책이고택배도일찍왔지만잘못인쇄된면을접어서불량을감추어서주었더군요실망입니다
9788970840659,8,미술관련 전공자라면 필독서가 아닐까..
9788995990155,10,임용고시 준비에 많은 도움을 준 책이었어요
9788995990155,10,아주 상세한 지식을 얻을 수 있는 책입니다 꼭 읽어보시길 바랍니다
9788995990155,10,아주 만족합니다!!!
9788995990155,10,서양음악사의 정규교과서로 사용되는 아주 유용한 책입니다. 꼭 읽어보시길 권합니다.
9788995990155,10,설명이 자세한 좋은 책
