ISBN13,rating,review
9788999711213,8,책 상태 좀 확인 하고 보내주세요.. 겉 표지가 찢어져서 왔어요 ㅠㅠ
9788999711213,10,전공교재로 구매했습니다.심리학 심화과정으로 공부하기 좋습니다. 해설식 교재로 상세한 설명이 되어있습니다.
9788999711213,10,독재형과 방임형 부모 밑에서도 안정형 애착유형으로 성장한 사람으로서...제발   엄마 표현 긍산 쓰자...양육자라 해줘.
9788999711213,10,배송 좋고요. 책도 괜찮습니다. 잘 보겠습니다.
9791159431142,8,2판과 큰차이 없습니다.  내용적으로는 달리가와 걷기내용이 구분되어있습니다.
9788999700026,8,"상담공부를 할려고 구입했어요. 그런데, 책 한가운데 557쪽에 일자로 그은 직선이(상담3/1정도) 있어요. 다른책들도 검수 해 보시는것이 좋을것 같아요."
9788999700026,10,"심리학 전공생이라면 꼭 갖고 있어야 할 책이죠! 싸게 구입 잘 한것 같아요 배송도 빨랐구요! 수련과정 동안 옆에 항상 끼고 열심히 봐야겠어요 엄청 두껍긴 하지만 이해하기도 편하고, 적립금 사용해서 저렴하게 잘 산것 같아요"
9788999700026,8,필요한 책이어서 고가여도 구입했는데...이렇게 많은 텍스트는 2단으로 구성했음 읽기가 수월했을텐데요...가독성을 전혀 고려하지 않은 것이 유일한 단점.
9788999700026,10,궁금할때마다 한챕터씩 보고있는데  꼭 필요한책인것같네요 정신병리에 대해공부한다면 한권쯤은 소장가치가 있습니다
9788999700026,10,DSM-5를 원서로 구매하려면 번역본의 두배가까이 하는 비용을 지불해야한다. 미국에 비해 우리나라의 책값이 정말 저렴한 편인 것에 감사함.
9788999700026,10,상담학 학생이라면 필독도서 박사과정 마지막이에요. 여려분 힘내세요.
9788999700026,10,"유일한 DSM-5 번역본!ㅠㅠ 갖고 있어야 공부 시, 유용하겠지용?ㅋㅋ"
9788933706961,10,최신정신의학은 인간의 정신적 문제에 관심을 가지고 있는 모든 사람들을 위한 최고의 전문서로서 정신의학을 다루는 모든 현장에서는 가장 기본적이고 필수적인 책이라 할 수 있다.
9788933706961,8,임상을 공부하는 분들에게 추천!
9788981603564,10,대학 전공책이라서 구매하였습니다
9788992141338,2,"번역을 두분의 교수들이 했는지 아님 연구생들을 시켰는지는 모르겠으나, 쉽게안쓰고 어렵게 썼네, 나같은 무식한 사람들은 자 못알아 먹겠네요 ㅎ ㅎ 예를 들면 ˝이 욕구는 자기기만의 무한한 능력과 은밀히 결탁하여 초인간에 대한 열망을 창조하고 믿게 만든다.˝"
9788992141338,10,상담자로서 자세와 태도를 다시금 생각할 수 있게되는 책입니다.
9788992141338,8,집단 상담의 기초가 되는 집단 정신 치료에 대한 기본 지식을 얻을 수 있는 책이라는 생각이듭니다. 기본개념형성에 도움이 됩니다.
9788992141338,10,집단상담을 이해하기에 참 좋은 책입니다. 역시 얄롬은 글을 잘 쓰는군요. ^^
9788992141338,10,"집단상담의 대가이신 김명권교수님의 추천도서~~^^
얄롬의 책이라는 것만으로도 만족스러운 책이지요~"
9788992141338,10,너무 너무 빠른 배송 감사합니다.. 열공할께요
