ISBN13,rating,review
9788963309262,8,공부하기엔 정말 좋은 이론서입니다
9788963309262,10,심리치료의 흐름과 핵심을 제대로 그리고 쉽게 이해할 수 있도록 내용과 구성 모두 훌륭하다
9788963309262,8,제목만 봐도 어렵겠구나가 느껴지는 책이지만 한 장 한 장 넘기면서 알아가는 뿌듯함은 좋은 것 같습니다..공부를 하기위한 교재로 구입했지만 나름대로 읽어가면서 느껴지는 부분이 많은것이 장점인것 같네요..
9788963309262,8,심리치료이론에 대한 이해에 도움이 되며 무엇보다 정신분석 치료에서부터 자아초월 심리치료에 이르기까지 각 치료적 입장에 대해 자세히 알 수 있는 이론서이다.
9788963309262,10,구매평을 보고 저도 구입을 했고 책을 보는데 참 잘되어있네요.
9788963309262,10,믿고 사는 책이었습니다~! 재미있게 잘 읽히네요. 두께가 있지만 무리없이 읽었습니다!
9788963309262,8,권석만 교수만큼 상담이론을 잘 알고 잘 쓴 개론서는 없다. 그의 지적인 탄탄함과 깔끔한 정리는 감탄할 정도임.
9788963309262,10,비슷한 내용이라 생각했는데.. 정말 구입하길 잘했고.. 천천이 지금도 잘 읽고 있습니다.
9788963309262,10,"많은 심리치료 상담 교과서들중에 가독성이 좋고 그 내용이 충실하며, 체계적으로 정리할 수 있는 명저중의 명저"
9788963309262,10,잘 쓰여진 상담이론 책
9788999701733,10,이상심리학 입문은 이 책으로 시작이라고 입을 모은다.
9788999701733,8,교재라서 보고 있는데 괜찮은 것 같아요
9788999701733,10,이상심리학 책 중 가장 편하게 씌여있어요 ~ 굿 !!
9788999701733,10,대학원에서 이상심리 교재로 구입하게 된 책입니다. 상담심리 공부를 시작하는 초심자들이 쉽게 이해할 수 있도록 설명되어 있으며 이상행동에 대한 구체적인 사례가 실려있어 이상행동에 대한 이해에 큰 도움을 되었습니다.
9788999701733,8,졸업한지 오랜만에 접하는데 쉽게 되어있고 특히 dsm-5와 관련 보완되어 있어서 좋습니다.
9788999701733,10,전공서적인데도 굉장히 읽기 편했습니다. 잘 봤어요. 구성도 매우 체계적입니다!
9788999701733,10,상담과 심리치료를 위해 필수적으로 이해해야할 이상심리. 체계적이고 훌륭한 정리에 많은 도움이 된다.
9788999711343,10,아동 발달에 대해서는~~
9788999711213,8,책 상태 좀 확인 하고 보내주세요.. 겉 표지가 찢어져서 왔어요 ㅠㅠ
9788999711213,10,전공교재로 구매했습니다.심리학 심화과정으로 공부하기 좋습니다. 해설식 교재로 상세한 설명이 되어있습니다.
9788999711213,10,독재형과 방임형 부모 밑에서도 안정형 애착유형으로 성장한 사람으로서...제발   엄마 표현 긍산 쓰자...양육자라 해줘.
9788999711213,10,배송 좋고요. 책도 괜찮습니다. 잘 보겠습니다.
9788999715648,10,성격에 대해서 알게 되어 내가 많이 성장했습니다
9791190727532,2,도움이 될까요?:) 최고에요짱짱 최고교수님돈 최고 사랑해요
9788962183955,2,좋은책인건 분명한데 읽기힘들정도의 졸렬한 번역수준때문에 딥빡 이럴줄 알았음 원서 샀다
9788962183955,10,재밌다. 상담 개론서를 읽다 읽게 됐는데 개론서만으론 모호하던 내용이 자세히 있다.
9788999703720,10,전공책인데 잘 사용하고 있습니다~
9788999703720,10,WAIS-4 WISC-4 MMPI-2가 모두 새로 개정되어 나왔어요엄청 두꺼워졌네요^^
9791195449415,10,사례중심이라 이해하기 좋은ㅊ ㅐㄱ
9791195449415,10,사례가 실려 있어서 이상심리학을 쉽게 공부할 수 있습니다. 추천합니다.
9791195449415,10,이상심리공부하는데 참좋은책이네요 쉅고도 내용이 알찹니다
9791195449415,10,청소년상담 2급을 준비하는 분께는 물론 일반인도 쉽게 정신적 문제를 진단하고 해결 방안을 잘 이해 할 수 있는 삶의 지침서 같은 사례중심의 이상심리학 책입니다. 꼭 읽고 행복 하세요.^^
9791195449415,10,이상심리 유형별로 사례중심으로 설명되어 있어 누구나 쉽게 이해할 수 있을 것 같습니다.
9788964361375,8,글쓰기의 기본기를 다지고 연습하도록 하는 예제가 좋았다. 수업 활용에 좋은 책.
9788999715167,10,내용은 좋은데 상태 안 좋은 중고책 수준의 도서를 보내주셨네요. 신경 좀 써주세요.
9788999702907,8,책 내용이 많이 축약적인 편이라 공부할때 다른 참고 도서를 같이 보는 편이 좋을듯
9788999707360,10,가족 상담과 관련하여 길잡이가 되어주는 책이다.
9788999704512,10,고2때부터 꿈이던 언어치료사가 되기 위해 언어치료과를 수시로 넣어서 당당하게 합격을 하고 언어치료과하면 바로 생각이 나는 이 책을 부교재로 구매하는 날이 오다니!!! 아직 배송은 안되었지만 하루라도 빨리 받아서 이 책의 내용을 읽고 공부에 참고를 하고 싶네요!
9788999704512,10,유명한 빨간책 개정판 출간을 뒤늦게 알고 구입했습니다. 이전보다 내용이 풍성해지고 편집도 가독성 높게 바뀌었네요. 이 책을 보시는 언어치료학도들 모두 좋은 결과 얻으시길 바랍니다.^^
9788975853869,10,중고책 상태 좋았어요. 근데 배송비까지 하니까 새책과 큰 가격 차이가 없어서 그게 좀 아쉬웠네요.
9788975853869,8,"정보가 무엇인지, 지식이 무엇인지 정보의 원천부터 자세히 설명해주는 교재입니다. 학과 관련해서 강의때문에 구매하게 되었는데 만족합니다."
9788975853869,8,책 배송도 빠른것 같구요..괜찮은거 같아요
9788975853869,10,제가 가진건 구판이라 개정판으로 샀는데 양장이고 내용도 추가되어있고 좋네요
9788999718267,6,과제중!
9788968666957,10,상담에 꼭 필요한 것이 심리검사 인것 같다.어려운 심리검사를 자세히 풀어서 제시하였다.
9788968669569,8,수업교재로 사용하려고 구매했어요
9791156869269,8,1판 말고 최신판으로 보내주실 수 없나요?
