ISBN13,rating,review
9788988588017,10,미술 쪽을 공부하는 나에게는 도움이 많이 된 책이지만 아쉬운건 좀 두꺼워서 들고다니며 보기엔 버겁다
9788988588017,10,포장도 깔끔하고 배송도 빨라서 좋았습니다.인터넷으로 주문하다보니 가격도 서점에서 직접사는 것보다 저렴해서 만족합니다.
9788988588017,4,책이 상자에 깔끔하게 포장되어있어서 기분 좋게 잘 받았습니다.책이 사전이라 두껍지만 크지는 않아서  휴대하기 좋을 것 같아요근데 처음 보는 사람이 이해하기에는 너무 어려워요그림도 거의 없어서 이해하기 어려워요하나의 용어를 이해하려면 더 많은 어려운 단어를 검색해야하니깐 힘들어ㅇ
9788988588017,10,필요해서 구입하였습니다. 필요해서 구입하였습니다. 필요해서 구입하였습니다. 필요해서 구입하였습니다. 필요해서 구입하였습니다. 필요해서 구입하였습니다.
9788988588017,8,국내에 많은 미술 서적이 있지만 전문적 미술서적은 많이 부족한 실정이라 생각한다. 이 책은 전문미술서적에 대한 부재를 좀더 채워줄수있는 책중 하나라 생각한다. 미술용어에 대한 지식이 없어 찾아보려 할때 마땅한 자료가 없어 전전긍긍하던 많은 미술지식에 목말라 있는 분께 적극추천한다.
9788988588017,2,2014년 6월 2일 초판 14쇄 발행된 책을 샀는데요. 97~112 페이지가 없고 65~80페이지가 중복돼서 다시 들어가 있습니다. 공부하다가 중간에 알게돼서 환불을 못했는데요. 새로 수정된 것으로 교환해 주세요.
9788988588017,6,"용어 설명이 잘 되어 있지만, 사진은 기대하지 마슈..ㅎㅎ형태가 궁금하면 인터넷으로 찾아보시길.. 매끄러운 설명 굿 굿..없는 것도 있어요!!! (일본 쪽은 중요한 개념이 없음...약간 부실)"
9788988588017,10,미술임용을 준비하는 사람으로 필독이라는 말을 듣고 일단 질렀습니다. 깔끔한 디자인이 마음에 들었습니다.용어사전이라는 책 이름답게 안의 내용은 사전처럼 잘 정리가 되어있는 듯 합니다. 앞으로도 공부할때 많이 이용하게 될 것 같네요 ^^ 알라딘 배송은 진짜 빠르네요. 이제 서점은 안가게 될듯
9788988588017,8,공부하는데 필요해서 샀어요. 명확한 뜻을 알수 있어서 좋네요.
9788988588017,10,"회화, 조각, 디자인, 공예 등 미술에서부터 미학, 철학, 심리학 등 여러 인문분야를 공부하는데 있어서 단비를 내려주는것과 같은 책. 강추!"
