ISBN13,rating,review
9791191308310,10,너무 재밌고 따뜻해요. 머루(1) 이나 해링본 코트 재질이 아이콘으로 떠있는거. 어렸을때 하던 게임생각 나서 맘에 쏙 들어요 ;) 넓고 가까이 보이는 만화입니다.
9791185502199,10,"아빠를 보내드렸던 그 과정들이 생각나 눈물, 콧물 다 흘리며 읽었다. 작가의 (인생의)유머러스함에 웃지 않을 수도 없었고. 이거 진짜 인생은 코미디인가, 비극인가, 부질없는 건가."
9791185502199,10,많은 생각들이 머리 속을 가득 채우는.
9791185502199,10,좋다
9791185502199,10,"웃기기도 하고, 울컥하기도 하고. 밑줄치고 싶은 대목도 있는 만화 에세이. 개인적인 이야기기도 하고 사회적인 면도 보인다. 우리나라의 암울한 노년세대의 현실을 생각하면 한편으로는 저 일상이 부럽기도..."
9791185502199,8,피해갈 수 없는 일을 담담하고 재치있게 그리고 있다. 부모님 그리고 엄마에 대해 많은 생각을 하게 한다.
9791185502199,10,노인이 되어가는 부모와 역시 나이 들어가는 딸의 적나라한 ｀이별｀ 준비 이야기. 현실의 구체적인 이야기들을 매우 위트 있게 표현하고 있다. 동시에 대담할 정도로 솔직! 결코 우회하지 않는다. 부모와의 이별을 앞두고 있거나 이미 겪은 누군가에게 따뜻하고도 유쾌한 위로와 힘이 되어 줄 것.
9791185502199,10,"우리와 사는 방식이 다르고, 세대가 다르고, 인종이 다르고, 국적이 달라도...부모, 자식간의 관계와 삶과 죽음은 같다는것이 느껴졌습니다.많이 공감하고 공감되었습니다. 초고령화 시대에 노인의 삶과 죽음이 한가정의 일이 아닌 국가도 함께 책임을 나눌수 있는 사회가 되었으면 좋겠습니다."
9791185502199,10,할머니와 살다보니 기대됩니다
9791185502199,10,이건 꼭 사봐야해요
9791164330249,10,완결까지 읽기를 너무 잘했다 ㅠㅠ 어디든 갈 수 있어!!
9791164330249,8,"씩씩하게 잘 살아가줘서 고마웠어, 자매들. 마따네! :)"
9791164330249,10,돌아갈 집과 끝도 없는 세상 사이에서는 가족이 자꾸 생겨나고... 아무튼 애가 울어도 에노덴은 간다.
9791164330249,8,전편들의 분위기와는 조금 다른 느낌마지막에는 그림이 거의 백귀야행 삘까지 느껴져서 좀 갸우뚱
9791164330249,8,마지막 번외편의 의미를 모르겠다.
9791164330249,10,"네 자매와 주변인들의 소소하지만 의미 있는 드라마, 마침내 완결!"
9791164330249,10,끝나도 끝나지 않은 것 같은 느낌. 매년 한 권씩 나오길 기다리는 재미가 쏠쏠했는데 이제 그럴 수 없게되어 아쉬워요 ㅠㅠ
9791164330249,8,"드디어 완결.이제는 훌쩍 어느새 성장한 네 자매.새로운 시작, 한 시절의 다정한 마감.그런 것들.2019. may."
