ISBN13,rating,review
9788997381678,10,"지적 허세와 가르치려드는 자세로 혀에 힘 주지 않는, 물 같이 편안한 그림. 잠 들기 직전 웅얼거리는 말처럼 몽환적인데 마음에 평화를 주는 글. 꾸미지 않아서 더 좋은 책."
9788997381678,10,내겐 21세기 어린왕자.
9788997381678,10,그림을 보다가 문장을 읽다가 갑자기 뭉클 뭉클... 천천히 읽고 보고 또 보다가 책을 가만히 꼬옥 안아보았다. 왜 이러지 ...
9788997381678,10,"삶이 힘들 때, 두려움이 몰려올 때, 친구가 그리울 때마다 다시 꺼내서 읽고 싶은 책이에요."
9788997381678,10,우연히 브런치에서 리뷰를 읽고는 그 자리에서 바로 구매해 버렸다.내용과 그림이 묘하게 어울리는 책이다.나를 되돌아보게 하는 내용...교재로 써도 될법한 문장들이 꽤나 있다.
9788997381678,10,지금 bbc에 오디오북 올라왔어요...20일정도 남았네요. https://www.bbc.co.uk/sounds/play/m000r630
9788997381678,10,머리말에서 안녕으로 시작하는 작가의 인사말이 정답고 이 책을 통해 독자 자신을 더욱 사랑하기를 바라는 작가의 마음이 고스란히 느껴집니다.이 그림책은 우연히 펼쳐지는 그 곳의 뜻을 음미하게 되고 언제나 따뜻하게 안아주는 듯 다가오는 글귀들이 힐링하게 합니다.
9788997381678,10,이 책을 읽고 눈물을 흘렸다면 이루지 못한잊혀진 꿈이 있었기 때문 아닐까
9788997381678,10,사놓고 벌써 여러 번 펼쳐 본 책.동화지만 울림이 깊은 책.그림도 글씨도 너무나 아름다운 책.글씨 보고 싶어서 영어 원서를 사볼까 생각중
9788997381678,10,"선물 받은 책이었는데, 잔잔한 감동이 넘칩니다. 제가 사랑하는 모든 사람들에게 주고 싶은 책이에요!:-)"
9788997381678,10,그림이 궁금해서 샀는데 생각한 것보다 훨씬 좋아요. 내용도 그림도 좋아서 친구에게 선물하려고  재주문했어요.
9788997381678,10,다양한 재미와 에피소드가 잘 저술되어 있는 것 같습니다.
9788997381678,10,마음이 따뜻해지는 책이네요. 조카들에게도 사주고싶어요
9788997381678,10,"책을 읽다 보면 선물해 주고 싶은 사람이 저절로 떠오를 때가 있는데,  이 책은 올해 대학을 졸업해 사회 생활에 첫 발을 내딛는 조카에게 주고 싶네요. 삶이 힘들어질 때 차분히 자신을 돌아보면서 음미하다보면 삶이 우리에게 주는 메시지를 찾을 수 있을 거 같아요."
9788997381678,8,여운이 있는 책이네요두더지의 케이크에 대해서 좀 더 생각해보아야겠습니다.하하.
9791165794279,10,한정판 이슈라니 !!!이건 못참지 ㅋㅋ는 네이버 쇼핑라이브때 구매해버렸네요.스펙태큘러 스파이더맨 충분히 재밌으니 도전해보시는걸 추천드립니다
9791165794057,10,시크릿 식스가 정발될 줄이야 ㅎㅎ
9788955824933,8,아...실존이란...
9788955824933,10,볼 때마다 새로운 생각을 하게 만드는 명작
9788955824933,10,"무조건 소장. 합본판이여서 좋고, 내용이야 말할 것도 없고."
9788955824933,10,이게 책입니다. 인생과 역사.편집에서의 아쉬운 부분이 중간중간 있지만 책 내용 퀄리티는 아주 좋습니다. 오랜만에 즐겁게 봤어요.
9788955824933,10,최고의 그래픽노블
9788955824933,8,"며칠밤을, 뒤척이며 생각이 나는 책."
9788955824933,10,홀로코스트를 바라보는 후세대의 객관적 시선.  절망의 공명은 계속 이어져야 한다.
9788955824933,10,어정쩡하게 만나서 가슴에 손을 얹고 헤어지는 책
9788955824933,8,작품 자체는 문제가 없으나 제본 방식이 마음에 들지 않아 별 하나 뺍니다. 이 책을 예전에 구매했다가 2권만 잃어버려 할 수 없이 합본으로 구매하는데 종이 질이 너무 맨질거려 책 넘김이 좋지않네요.
9788955824933,10,그야말로 대단한 명작이다. 반드시 집에 소장해 놓고 아이들에게도 읽혀야할 책이다. 이 책을 읽다보니 영화 <피아니스트>가 생각났다. 다시 한번 봐야겠다.
