ISBN13,rating,review
9791136255969,8,재미있어요 ㅎㅎ 재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ재미있어요 ㅎㅎ
9791136255969,10,이번편... 겁나 재밌음....  하...   마침표를 찍는 편이였다..
9791136255969,10,오랜만에 굉장히 알찬 이야기로 꽉찬 59권.
9791191225280,2,소주잔 버전으로 샀는데 사기 먹은 기분..기다리다 살걸 그랬네
9791191225280,10,와 드디어 완결이라니 너무 좋습니다 ㅠㅠㅠ
9791191225280,8,외전까지 포함하면.. 적당한 가격인것 같아요...... 어차피 11권 말고 외전도 구매하려고 했기 때문에.. 하지만 소주잔 3개 들어간건... 35000원............이건 에바.. 그래서 그냥 소주잔 없는 버전으로 구매
9791191225280,4,정가기준으로 봤을때 7800원 차이가 있던데 빠진것은 소주잔뿐이니 소주잔이 7천 8백원인것같은데 이건 그렇다치고 외전이랑 묶어서 파지말고 11권이 빠른시일내에 따로 구매할수있으면 좋겠네요.
9788954676021,4,"원래 만화에서는 모두 고우영 화백이 직접 쓴 손글씨였는데,  컬러판에서는 모두 활자 인쇄인 것이 정말 아쉽다.  원래 만화도 흑백이였고..."
9791165017354,10,오랜만에 발매 되어 주어서 너무 고마워..... 자주 나왔으면.. 한다... 휴..........ㅜㅜ 기다리기 힘들어
9791165017354,10,참 재밌는데 다음 권은 언제 나올지 ㅠㅠ
9791165017354,10,단언하건데 이 만화는 걸작이다
9791165017354,10,와 드디어 나왔네
9791165017354,8,잊고 있던 글...  오랜만에 마케도니아  이야기를 만나니 반가워서 구매.
9791165017354,10,"우와~~ 목이 빠져라 기다렸는데,  드뎌 ^^"
9791165017354,10,너무 좋아요. 알림 뜨자마자 구매했어요~
9791165017354,10,2017년 5월이후 2년 반만에...
9791136247940,10,오랜 기다림 끝에 읽은책
9788959190003,6,저는 그냥 그랬습니다... ^^;;; 인간 적인 불완전한 알렉산더에대한이해는 좋았지만.. 재미는 없었어요.15년전쯤이라면 감동 엄청 받고 재미있었을지도 모르겠군요
9788959190003,10,"건담 오리진을 그린 
야스히코 요시카즈의 작품인데요

정말 맘에드는 그림체인데 잔다르크도 
어서 한국에 번역되어서 나왔으면 좋겠네요"
9791136247957,10,소장해서 꼭 다시 읽고 싶은책
9791136237897,10,나머지는 언제 나오나요 이제 8월인데 현기증 난단 말이에요 ㅠㅠ
9791136237897,10,"산마로와 아라의 가슴 아픈 헤어짐과 그 후 만남에 이르기까지.. 아름다운 서사가 깃든 이야기 입니다. 아주 오래 전 발간되었던 책이지만, 언제 읽어도 아쉽거나 어색한 부분 없이 너무 좋은 것 같아요."
9791136234544,10,다음권 언제 나오나요 현기증난단 말이에요
9791136234544,8,종이가 너무 좋아 별하나 뺐어요. 만화책은 뭐니 뭐니해도 누런 갱지인데ㅠㅠ흑백에 누런갱지 감성 좋아요.그래도 다시 만날 수 있어서 행복합니다. 멜로와 서사가 어우러진 최고의 명작입니다.
9791136234544,10,구판과 표지그림 같아도 좋아요♡ 다시 나온것만으로도 감동입니다!! 초판부록을 좀 보강해주면 좋겠어요ㅠㅠ 엽서 한장이라닛ㅠㅠ 마지막권에 일러집이라도 같이 나오면 정말 좋겠어요오오~!!!! 대원님 제발~♡
9791136234537,10,아이에게 물려주고픈 최고의 책
9788926324387,10,오~  이 만화 재미지고 좋군요.
9788926324387,10,기생수보다 이게 더 내취향인데 완결이....아....
9788926324387,10,1권은 ?가 떳지만 다음권부터 재미가 급상승... 이작가 특유의 맛이 있다.
9788926324387,10,사람을 잡아다 가축으로 삼던 시절의 이야기. 기생수의 세계관 현실세계에 이식.
