ISBN13,rating,review
9791166113659,10,소미야 고소만 쳐하지 말고 출판사면 출판사답게 책이나 빨리빨리 내
9791166113659,10,그저 갓만화
9791166113659,10,사쿠라이 노리오 선생은 21세기의 만신 입니다.
9791166113659,10,얼마만에 나온거야...
9791165073220,10,여러 감정을 배워나가는 중2병에 걸린 알고보면 괜찮은 남자아이와 인싸에 모델 먹보 하지만 순수한 여자아이의 달콤쌉싸름한 사랑이야기. 피식 웃으며 볼수 있었어요.
9791165073220,10,살라고 하니까 왜 품절?
9791165073220,10,보고 있으면 스트레스가 확 날아가네요~
9791165073220,10,캐릭터들이 귀엽고 소소하게 재밌었습니다
9791136260017,8,82권도 전투가 쉼없이 이어지네요. 페이지가 술술 넘어갑니다.
9791136260017,8,다른 곳에서 힘 다 빼고 온 사람에게 4:1로 시비 걸면서 그렇게 의기양양하면....ㅎㅎ
9791136260017,10,그래도 열강은 무조건 구매지
9791136260017,10,이북으로 언제볼수있까요ㅠㅠ
9791136260017,8,12월에 나왔어야됐는데 1월에~~ 결말로 가고있어 기대반 우려반.  깔끔한 마무리 부탁해요
9791136249197,10,완결 이네요.. 이 다음 이야기는 완전판으로 나오기에는 아직 이른 것 같고... 언젠가를 위해 기다리겠습니다
9791136249197,10,드디어 완결! 좋은데 아쉽기도 함...
9791165074227,10,2권 구하고 싶습니다. 언제 다시 들어올런지요
9791165074227,10,추천 받고 사봤습니다만 1권이 생각보다 그닥이라 2권은 살까 말까 했는데 사길 잘한 것 같습니다.1권이랑 비교할 수 없는 달달함이 생기기 시작하네요.추천들 하시는덴 역시 이유가 있는 것 같음.
9791165074227,10,1편 볼때는 뭐야 이게 했는데 보다보니 의외로 너무 재밌다.그림체도 뭔가 대충대충 그린것같았는데 보다보니 캐릭터도 잘 그린것 같고 무튼 모든게 상상이상으로 좋다.
9791165074227,10,와... 진짜 2회차에 그 진가가 발휘하는 작품입니다... 감정선이 이렇게 섬세할 수가 있나...
9791165074227,10,2권부터 본격적으로 빠져드네요. 3권기다립니다.
9791165074227,10,2권도 좋았어요
9791165074227,10,재미있어요~ 러브코미디 만신
9791165074227,10,정말 재밌게 읽었습니다 3권 나올때까지 숨 참겠습니다 흡
9791165074227,10,"오늘 받았습니다. 너무 달달하고 좋네요. 심리묘사가 수준급입니다. 1,2권이 너무 만족스러워서 3권도 나오게된다면 바로 사야겠어요."
9791165074227,10,"이 책 1권 을 애니메이트 한정 특전 포함 으로 구입해서 보았는데, 꽤 재미있어서 2권 은 알라딘 에서 예약 구매 했습니다!벌써부터 기다려 지네요..!"
9791165074227,10,1권 너무 재밌게 봤어요! 벌써 2권이라니 기대되네요!
9791136730237,10,작화도 좋고 너무 웃기고 재밌어요 ㅋㅋㅋㅋ 2권 넘 궁금해서 바로 읽고 싶어요!!
9791136730237,10,기대 안 하고 봤는데 진짜 재밌어요
9791136730237,10,전체적으로 보면 솔직히 소재는 흔하다 할 수 있는데 재밌음. 작화도 탄탄함과 일본은 주로 액션주인공물을 청소년위주로 쓰는데 여긴 32세 아저씨라는게 오히려 더 재밌는듯
9791136730237,10,재미있습니다
