ISBN13,rating,review
8809559745835,10,황금막내 꾸기 소장해야죠
8809559745835,10,탕진잼~탕진잼~탕진잼~꾸가 애정한댜 ~ 븨앱에도 자주 오것니 ~
8809559745828,10,jimini  puzzle...
8809559747457,10,어머!!!!
8809559745873,10,일단 투명 포카 넘 예쁘고 퍼즐 맞추는데는 50분정도 걸렸어요! 다 맞추고 퍼즐상자에 끼워서 액자처럼 전시해두니 좋네요!!
8809559745873,10,최애 차애 구매완료완전 기대. 기대
8809559745873,10,기대기대
8809617956692,10,색깔이 이뻐요
8809617950478,10,학산의 다양한 퍼즐 시리즈를 응원합니다
9791133444281,10,나온지 오래되서 안팔가 걱정했는데팔아서 다행...
9791133444281,10,이런게 아직도 물량이 남아있다니 존나 대박이다...보관에서 좀 신경을 안썼는지 퍼즐상자가 좀 찌그러졌는데 뭐 교환도 안되니...어쨌든 만족합니다
9791133444281,10,믿고보는원펀맨 책도만족 퍼즐도만족 전체적으로 만족하며 돈아깝단생각없이 살만한특전
9791133444281,10,작가님 천재를 매번 외치게 된다ㅠㅠ 작화에 있어서 단연 탑이신듯.
9791133444281,10,어지간한 직소퍼즐의 가격보다도 훨씬 저렴하고 특히나 원펀맨 그림체가 현 시점 세계 최강으로 잘 그리기 때문에 소장 가치 충분한 것 같습니다.
9791133444281,10,"여전히 재미있고, 적절한선택! 그다음권이 또보고싶다."
9791133444281,10,일반판 살 생각이었는데 아직도 품절 안됬길래 그냥 삼
9791133444281,10,퍼즐사이즈가 어떻게 되나요?
9791133444281,10,굳이? 그냥 일반판 구매합니다 ^^
9791133444281,10,소장도 할겸..일단 사보죠 뭐..
9791133444281,10,아직까지 판매하는거보면 이미 한정판이 아닌게 되버린...하이큐만년달력처럼..
9791133444281,10,퍼즐 일러스트는 막 땡기진 않지만 500피스라서 고민되네요.
9791133444281,10,퍼즐인가 일반판인가..
9791133444281,10,바로구매갑니다
9791133444281,10,으읔! 또 나의 돈을 쓰게만들다닛!
9791133444281,10,그놈의 퍼즐 그만좀 나왔으면 좋겠다.. 일반판이나 사야지
9791133444281,10,당연히 바로구매
8809367165276,10,"어릴적부터 가장 좋아하는 빨강머리앤이라 퍼즐이 있다는걸 발견하고는 안살수가 없었어요.다른것도 다 좋지만, 특히나 이건, 초록색지붕집, 마릴라와 매튜, 벗 다이애나까지 모두 등장해서 의미있고 제일 예쁜듯 싶어요."
8809367165276,10,이미지대로 참 예쁩니다. 빨강머리앤 직소퍼즐 중에서 베스트를 꼽으라면 이 퍼즐이겠다 싶어요.
8809367164118,10,좋아요ㅗ 배송도 빠르고 이쁘네요 유화그림체도 좋고
8809367164170,10,맘에 들어요♥♥ 일본판으로 나왔을때도 참 갖고싶더니 학산에서 정식라센으로 내어주니 참 좋아요~ 다만 시간이 없어서 아직 퍼즐 맞추지는 못하지만..... 그래도 추천~ 다만 아쉬운건... 다른 퍼즐 1000피스에 비해 가격이 좀 비싸네요...ㅠㅜㅜㅠㅠ 그거빼곤 좋아요~
