ISBN13,rating,review
8809474876003,10,2개 세트는 아니었지만 양장에 퀄리티 굿
8809474876003,10,"군더더기없이 깔끔하고 하나는 양장이고, 하나는 일반입니다. 2개세트라 내년까지 쓸수 있어요. 쿠폰도쓰고 무료배송이라니 넘 좋아요!!"
8809474876003,10,"깔끔하고 심플하고, A5사이즈로 적당하고 양장인데 잘 펼쳐지고 종이 질도 매끔한거 같아서 괜찮아요!! 내년에 이거 써보고 괜찮으면 이걸로 정착해볼래요.."
8809474876003,10,좋아요 깔끔해용
8809332973196,10,써보고 좋아서 재구매합니다   작년에는 은행에서 받은 거로 사용했는데 내년엔 요걸로 미리 구매.    공간 여유가 있어서 너무 좋아요
8809332973196,10,글씨도 큼직하고 날짜도 다 써있어서 너무편해요표지만 심플하게 바꼈으면 좋겠어요ㅎㅎ
8809332973196,8,매년 겨울초입이면 가계부 때문에 여성월간지를 샀었는데 올해는 화장품 혹은 추가구성품이 맘에 들지 않아 처음으로 아르고나인 가계부를 구매해봤습니다. 군더더기가 적고(불필요한 내용 기입란) 가독성이 좋은 장점이 있습니다. 6천원에 무료배송이라는 점이 가장 결정적인 구매요인이구요.
8809332973196,4,2020가계부는 왜 같이 주는건가요?ㅜ
8809579440048,2,성인이후 가계부 처음 구매인데 너무 별로네요. 고민하다 유라님 책도 구매하고 그래서 믿고구매한건데 말이죠. 일단 앞에 함축적으로 돈에대해 설명이 있어서 가계부가 두꺼워요.이럴거면 두권으로 나눠서 있는거 좋을듯. 그리고 종이가 얇아요. 젤펜쓰니 뒤에 다보이고 가계부 쓰는것도 저는 불편한
8809579440048,4,"그리고편집 가계부쓰다가 김유라작가가 너무 좋아서 샀는데 별로네요...ㅠ 우선 구매품목과 금액쓰는칸도 좁고, 통장이나 자동이체 등등 정리된 표가 다 아쉬움 투성이네요 ㅠ 뭔가 급하게 만든 책같아요.. 테아블 색도 빨강색인게 다 조잡한 느낌강해요. 다시 그리고 가계부 살까합니다"
8809579440048,10,"유튜브로 김유라작가님을 알게되고 절약하는 방법을 배우고자 많이 시청했어요, 작가님이 가계부를 잘 써야한다고 강조하셨던걸 알아서 저도 열심히 아끼고 가계부를 썼어요. 이번 가계부는 작가님의 노하우와 가계부를 쓰는 방법 마인드컨트롤까지 배울것이 많아서 좋네요~내년에도 잘 쓸게요^^"
8809579440048,10,유투브로 시청하다가 문득 가계부가 궁금해서 열씨미 서치해서 구매했어요정보도 많고 도움마니 될거같아요한권의 책이 가계부인게 좀 독특해요^^열씨미 아끼고 잘써야겠어요
8809579440048,10,설레이는 마음으로 구입하게 되었습니다. 이 설레임의 기대가 만족함으로 이어지길 기대합니다.^^
8809579440048,6,책 내용은 함축적으로 정말 좋았는데 제목처럼 가계부였네요 ~ 내용은 전체의 1/5정도고 전부 가계부네요. 가계부를 돈주고 산거같아 좀.... 돈이 아깝네요. 가계부는 선물로 주는곳도 많잖아요~ ㅠㅠ
8809579440048,10,2021년 한해를 잘 부탁해!~
8809579440048,10,돈에 대한 자세를 바꾸고 싶어져요~
8809579440048,8,부의 기운을 받아 2021년 내집마련을 위해 요 가게부로 pick했습니다 ^^ 부의기운 화이팅~!!
9791165525378,10,일반적인 가계부가 아니라 내의 삶 자체를 설계해주는 재무관리표 같다. 현재 내 나이 39세 남편나이 42세 아이들 8살과 9살이 있다. 그 아이들이 커가면서 쓰는 돈과 우리의 노후비를 준비할 수 있도록 설계를 도와주고 지금의 수입과 지출을 제대로 파악할 수 있게 체계적으로 도와준다.
9791165525378,10,이보다 체계적인 가계부는 없다!!2020년부터 1페이지 가계부 사용하고 있는데요~체계적인 가계부관리로 큰 도움받고 있어요~무엇보다 좋은것 저자님의 강연회가 수시로 있어~더 좋아요~왜 가계부를 써야하는지 이유를 알고 시작하니 지속할 수 있었습니다~2021년 것도 바로구매해요~~강력추천!!
9791165525378,10,"어떻게 쓰는게 맞는건지 정답없던 가계부 세상에 찐이 나타났네요. 한장 한장이 모여 전체를 볼 수 있는 시스템이라니.복잡한듯 보이지만 알고나니 절로 무릎을 탁 치게되었어요.손 놓았던 가계부 덕분에 다시 쓰고 있습니다.이제 년, 월간 전체 수입지출를 파악하고 있어요!"
9791165525378,8,매년 도전하지만 실패하는 가계부쓰기와 지출관리.. 2021년에는 시스템으로 관리할 수 있도록 만들어진 원페이지가계부와 함께 하기로했는데 기대됩니다. 그동안 돈에 무지했는데 원페이지 통해서 머니로드도 확립하고 마인드셋부터 바로 하고싶네요
9791165525378,10,매년 연말이면 가계부 작성해야겠다고 다짐하고참 여러종류의 가계부를 샀다가 중도에 그만두게 되었는데 부클윤쌤 가계부는 만년형 퍼스널 재무관리 시스템으로  ˝쓰다 말다를 반복하는 가계부 난민을 구하는 한 장의 시스템˝으로 그녀에게 딱 필요한 가계부가 될거라 기대가 됩니다^^
9791165525378,2,원페이지 가계부지만 매우매우 복잡.아이러니의 최고봉!
9791165525378,10,정말 목 빠지게 기다렸습니다! 빨리 배송해주세요!!!
