ISBN13,rating,review
8809474876010,10,배송빠르고..가성비 좋네요.. 진짜 다이어리가 2개가 왔네요 .
8809474876010,10,주문한 다음날 오전에 받았어요. 배송 진짜 빠름빠름. 다이어리 대만족! 표지만 살짝 다른것도 하나 더 들어있어요 두권세트라 완전 득템!
8809776540008,10,2021년부터 새로운 마음가짐으로 주님께 나아갈려고 쓰담쓰담 묵상 다이어리를 구입합니다.  하루하루 주님께서 주신 삶을 최선을 다하면서 살아가겠노라 다짐을 해 봅니다. 주님께서 나의 온전한 삶으로 이끌어 주시고 받으시기를 소망합니다.
8809474875549,10,2021년을 미리 준비해보면서 곰돌이 푸의 행복함과 함께 하려고 구매했어요^^♥♥♥
9791164389537,8,진짜 다이어리가 올지 몰랐네요ㅋㅋㅋㅋㅋ 365일 먹을 수 있는 요리가 있는줄...
9791164389537,10,믿고 읽는 백주부  !  기대 됩니다
9791164389537,10,기대된다~
9791164389537,10,신선한 시도 좋네여~
9791164389537,10,기대합니다^^
9791190118163,10,인스타로 눈여겨봤었는데 도전하고 싶은마음에 예약구매 신청해요 달리는 사람들의 마음이 궁금해서 시작해 보려 합니다 책으로 읽어도 결국 제가 달려야 그 마음을 이해 할 수 있을거 같아요 한살 더 나이 먹기 전에 도전해 보겠습니다
9791190118163,10,달리는 사람들이 많아진 요즘. 러너들을 위한 다이어리라니 기대됩니다! 그리고 달리기를 통해 저자가 어떻게 인생 전환점을 맞이 했는지도 궁금합니다! 일단 구매완료
8809463880981,10,작은핸드백에도 들어가고 성경읽기표도 있고 가격도 저렴해서 너무 마음에 듭니다.
9788954756143,10,딱 제가 좋아하는 속지 구성이어서 더 좋아요!
9788954756143,10,다이어리지만 펭수 사진과 그림이 더 많았음 좋았을 것 같아요.  귀여워요.
9788954756143,10,24일 도착예정이래요 얼른 받아보고시퍼요~ 귀여운펭수
9788954756143,6,근데 표지가 펭수 같지 않게 너무 얌전해서 조금 아쉬워요. 펭수 쨍한 얼굴을 왜 감춰... 펭수야... 펭수는 왕크왕귀 자이언트 그 자체가 매력 포인트인뎅...
9788954756143,10,예약 상품...처음 구매 해보는데 첫 구매를 펭수로...><
9788954756143,10,기대기대~~~이쁜 우리 펭수 볼때까지 많이 기다리고 있어요이번 다이어리는 또 얼마나 희망과 새로움을 줄까요?애타는 마음으로 간절히 기다립니다♡♡
9788954756143,10,이거였어요..내가 찾던 펭수다이어리...그렇지그렇지...펭수어록없는 다이어리는 ...단팥없는 찐빵...
9788954756143,10,말해뭐해♡펭랑해 우래기♡
9788954756143,10,펭러뷰❤❤
9788954756143,10,펭수 어록 좋은건 다들 알잖아요무조건 구입해야죠너무 기대됩니다
9788954756143,10,펭러뷰
9788954756143,10,아묻따 구입완료. 펭러뷰❤️
9788954756143,10,믿구펭~구매완료♡♡
9788954756143,10,2021년도 무조건 펭러뷰♡
9788954756143,10,믿구펭
9791191043112,10,오늘 받았습니다 :) 내용이 참 실용적이고 이근 대위의 화법처럼 간결하고 알찬데요. 2021년 이근대위 다이어리 가지고 성공할래요!
9791191043112,10,기대됩니다
9791191043112,10,너 다이어리 문제 있어? 진짜 남자는 네버다이 다이어리야
9791191043112,10,다이어리가 없으면 뒤질 확률이 높죠
9791191043112,10,아 이근 대위님 다이어리가 있습니까 ?
9791191043112,10,저 책 ㅈㄴ 싫어합니다. 하지만 이런 다이어리는 감동적이죠 그래서 알라딘
8809675463965,10,가방안에 넣고 다니기 좋고 가볍고 깔끔합니다.딱 필요한 것만 있어서 좋아요. 이번이 두번째 구매인데유일한 단점은 쓰다보면 고무줄이 빠져버립니다. 이점만 보완해주셨으면 합니다.
