ISBN13,rating,review
8809529011809,10,엄청엄청 예쁩니다! 내 돈 주고 구매한 달력 중 최고인 것 같고 종이질도 적당히 두꺼워서 좋아요!! 내년에도 또 출시해주세요
8809529011809,10,데미안의 명대사와 헤세가 직접 그린 아름다운 그림들이 수록된 이쁜 달력입니다. 할인 가격도 맘에 들고 추천합니다.
8809529011809,10,알라딘 이벤트 세 가지 참여하고 소액으로 달력 구입해요.잔잔한 풍경그림이 1년 내내 기분좋게 해줄 것 같아요^^
8809529011809,10,"헤르만 헤세 책을 좋아하기도 하고, 색채가 따뜻하게 느껴져서 구입했어요. 2021년을 함께^^"
8809529011823,10,긍정앤 탁상달력 너무 예뻐요~ 저는 긍정 달력이 필요합니다~ 알라딘 언제나 고맙습니다~❤❤❤
8809529011823,10,달력 작년에 쓰던것 보다 크고 색깔도 은은하고 그림이며 다 너무 예뻐요. 그리고 오늘 폭설 내렸는데 당일 배송 해주셔서   감사합니다.벽걸이달력도 여기서 살걸 그랬어요. 아쉽
8809529011823,10,크고 튼튼하고 핑쿠핑쿠해서 예뻐요무엇보다 긍정앤이 있어서 만족합니다^^
8809529011823,10,탁상달력이 크고 정리도 잘 되어 있네요깔끔하게 정리할 수 있어 만족도가 높아요요일마다 칸도 큰편이라 기록도 쉽네요빨강머리앤도 귀엽고 너무너무 만족하고 추천해요!
8809529011823,8,달력은 너무 예쁜데 음력 표시가  안되어있네요
8809529011823,10,크기 큰게 좋네요~ 만족합니다
8809529011823,10,달력 크고 이쁘네요 실물이 더 화사하고 얇지 않고 탄탄해요
9791164389551,10,너무좋아요.
9791164389551,10,나태주선생님의 글과 그림을 365일동안 함께~~ 기대됩니다!
9791164389551,6,나태주시인의  시로  시작하는  하루하루 ^^~~~~생각만으로도 감성이 도질듯
8809529011724,6,음력 날짜가 기록되어있지 않아서 날짜찾아보기가 불편해요...
8809529011724,10,예쁘고 메모가 편한 달력입니다! 내년에도 사고 싶네요.  저에게는 사이즈도 만족입니다! 원래 이 사이즈를 써서 익숙해요. 좋은 하루 되세요!
8809529011724,10,"옆에 메모할수도 있고, 사이즈도 적당해서 책상 위에 두고 사용하기 아주 좋을거 같네요:)"
8809529011724,4,ᆞ생각보다 커서 놀람( 길이 안본 ㅜㅜ 내실수)ᆞ적어도 11월에 판매하면 적어도 올해 11월 아니 12월부터 있어야 하는데 내년 1월부터 시작ᆞ뭔가 융통성없음에 놀람 ㅋㅋㅋᆞ반품할까 하다가 그냥 에휴 그냥 쓰자 함 ᆞ다음번에는 개선되길.  이런식이면 안살거임
8809529011892,6,스프링으로 되고 애니메이션의 명대사가 들어가면 더 좋았을꺼 같아요~ 그리고 그림도 365일 다 달랐으면 더 좋았을텐데 아쉽지만 그래도 전반적으로는 좋습니다.
8809529011892,10,빨강머리 앤을 보면서 자란 추억이 있어서 사게 됐어요. 하루하루의 일상을 빨강머리앤과 보내게 되어기쁘네요.
8809529011892,10,"일력에 원작 애니의 삽화들이그대로 있어서 얼마나 좋은지 모르겠네요빨강머리앤 마니아 분들은 분명 두근대실거에요!빨강, 초록, 검정, 화이트의 조화가 굿이에요​˝매일 빨강머리앤을 만나고하루 한 장씩 뜯는 재미도 있고다이어리 쓸 때 사용하면 좋겠네요˝​"
8809529011892,6,앤을 좋아해서 보자마자 구매했습니다. 케이스랑 표지가 예쁘네요.전페이지가 다 다른 그림인줄 알았는데 같은 그림 여러개가 반복 되네요. 그건좀 아쉽습니다.
8809529011892,10,저도 어머니가 빨강 머리 앤 팬이셔서 새해 선물로 구매했어요. 포장 1000원 추가하면 빨강머리앤 포장 박스에 담겨와서 좋아요. 예쁘다고 너무 좋아하셔요. 밑에 자문자답 칸이 있어 다른 일력보다 특이해요. 근데 그 질문들이나 앤 그림이 공휴일(광복절 설날등)과 관련이 있었다면 좀 더 좋았을것
8809529011892,10,어머니가 빨간머리앤 팬이셔서 선물로 구입했습니다. 다 같은 앤인 줄 알았는데 이 애니메이션에 나온 앤을 가장 좋아하시네요.일력은 하루에 한장씩 뜯는 식으로 되어있습니다. 그림 밑에 들어가있는 문구는 앤의 대사를 넣으면 어땠을까 하는 아쉬움이 드네요. 뭐 어머니가 좋아하시니 만족합니다.
8809529011892,10,아주 오래된 추억을 떠올리게하는 달력이네요.기대가됩니다.
8809529011892,10,빨간머리앤 기대되요 ㅎㅎ
8809529011892,10,넘 예쁘네요..빨간머리 앤 . 보기만 해도 행복해지네요.
8809529011892,8,기대중
8809529011892,10,어릴때 만화로봤던 추억이 새록새록 돋아나네요
8809529011892,10,넘 잼나게 봤던 앤을 매일 볼수 있으면 좋겠네요~~^^
8809529011892,10,기대하고 있어요
8809529011892,10,아까워서 하루하루 뜯기 힘들듯
8809529011892,10,앤 너무좋아요..하루하루 어떤질문이 있을지 기대도되구요
8809529011892,10,엄마가 빨간머리앤을 좋아하셔서 저도 좋아하게 됐어요! 빨간머리앤과 함께하는 하루하루가 너무 기대되네요 :D
8809529011892,8,앤셜리 언제나  행복해지는 마법같은 아이콘
8809529011892,10,30대 후반의 나이에도 티비에서 빨강머리앤이 하면 챙겨보게되는 열혈팬입니다. 언제봐도 사랑스러운 앤을 달력으로 1년을 함께 보낸다면 더할나위없이 좋은 해가 될거같아요^^
8809529011892,10,코로나로 힘든 요즘에 하루 한번씩 긍정의 빨강머리앤을 만날 수 있는 일력이라면 바로 구매각이네요. ㅋㅋ
8809529011786,6,화면과 다르게 보라색이 왔구요. 일력이라서 하루하루 뜯어내야 하는데 절취선이 없어서 뜯어내면 아주 험하게 뜯깁니다. 한달치밖에 안뜯었는데도 위에 뜯어낸 두께와 종이 흔적들 때문에 칼로 위를 도려내지 않으면 뒤로 갈수록 뜯고남은 부분이 두껍고 넓어지네요. 그 부분이 아쉬워요.
8809529011786,10,앤은 워낙 좋아하는 작품인데 이렇게 일력으로 만나게되어 설레입니다. 다가오는 2021년 매일 매일 일력을 뜯으며 ㅎㅎ 새롭고 즐거운 하루를 맞이할 수 있길 바랍니다.
8809529011793,10,제가 좋아하는 책 중에서 TOP 5 안에 들어가는 책입니다.기대가 됩니다.
8809319181224,10,작심삼일씩 120번 하면 일년이 보람차게 가겠군요. 일러스트도 멋져서 매일 다짐하는 재미가 있겠어요. 기대됩니다!
8809319181224,10,매년 새해에 계획을 세우지만 12월에 이룬게 없는데 작심삼일력으로 새해엔 부지런하고 알찬 한해 준비하고 만들수 잏길 기대해요. 삼일의  다짐으로 300일이 보장되길 기대해요
8809319181224,10,귀여운 고양이가 그려져있네요. 소장각입니다 ㅎㅎ
8809319181224,10,귀엽고 좋네요. 21년이 그림처럼 즐거운 해가 되면 좋겠어요
