ISBN13,rating,review
9788989566823,10,미국이 국제질서유지에서 손을 떼고 나면 각 주요국들이 어떤 성적표를 받게 될까. 지리 안보 인구 경제 등 여러가지 요소들을 분석해서 알기 쉽게 풀어쓴 책입니다.
9788989566823,10,피터 자이한의 책에서 이제껏 몰랐던 지정학정 요소를 알게됨에는 홍지수 작가님의 좋은 번역이 큰 역할을 했다고 샹각합니다.  요즘같은 난세에 더더욱 읽어봐야할 필독서라고 봅니다.
9788989566823,10,아랫분의 이해할 수 없는 별점 테러 때문에 아직 읽어보지 않았지만 우선 별다섯개 올립니다. 피터 자이한이면 번역만 제대로 됐다면 일독할 가치가 있죠
9788989566823,10,꼭 구매해서 읽겠습니다
9788989566823,10,번역 감사합니다
9788989566823,2,홍지수님 정말 번역본 눈빠지게 기다렸습니다. 바로 주문합니다.
9791190422611,10,태평양에 또다시 전운이 달아오르고 있다. 전쟁은 어떻게 기획되고 격발되는가? ‘전쟁‘이야말로 지금 꼭 읽어야 하는 주제.
9791190422611,10,"노암 촘스키와 아룬다티 로이가 극찬한 이유를 알겠다. 무기 거래 검은 시장이라는 빙산의 일각만을 들춰내도 이 정도로 충격적인데, 전모가 드러나면 과연 어떠할까."
9791127441814,10,입문용으로 추천합니다. 다만 저자가 독소전쟁이 가장 최악의 전쟁이었다는 점을 강조하는데 중일전쟁도 그에 못지 않았다고 봐야겠죠.
9791127441814,8,제2차세계전쟁의 독소전쟁을 다각적으로 이해할 수 있어요
9791127441814,8,독소전쟁에 입문하기 적당한 책입니다. 냉전식사고에서 벗어나서 나름의 균형감도 유지하고 있습니다. 역자 후기가 옥의티 같습니다.
9791127441814,2,이 작가는 자국의전쟁비판이아니라 왜독일과과거의소련을부각시키면서 화살을다른곳으로돌리는책만쓰는것일까. 항상그렇듯한반도평화의방해는물론이고 일본의전쟁범죄회피와동시에 변화한러시아에대해서도여전히증오심을부각시켜 세계냉전을그대로두고자하는의도가엿보여 그들의과거회피에치가떨린다.
9788972995227,6,허석사님 책은 미술사 비롯하여 모두 구입하여  쉽고 재밌있게 읽었어요.  그런데 2는 많은 내용을 싣으려해서인지 잘안읽힙니다. 저와 제 가족 의견입니다. 혹시 개정판이나 3권을 제작시에는 참고를 해주셨으면 하고 글을 남깁니다.
9788972995227,6,"작년 9월에 나온 책이 왜 여태 전자책으로 나오지 않는 건지 알 수가 없는데, 전자책 판매량이 조금 저조했다고 하더라도 시리즈물 출간을 했으면 끝까지 해당 플랫폼에서도 마무리 하는게 책임있는 자세 아닐까? 장기적으로는 신의를 얻는게 나을 것 같은데 그런 교훈은 공부한 역사에 없었나 봄?"
9788972995227,10,"역사그날에서  패널로 접하고 휴식을위한지식.전쟁사.문명사.세계사1,2를 보았다.동.서양.중동의 역사를 쉽고,재미있고 같은시간대별 서술로 종합적이해를 높혀준다.3편  기대됩니다."
9788972995227,10,방대한 지식의 체계적이고 독창적이고 쉬운 엮음.더할나위없이 훌륭하다.
9788972995227,10,이야 드뎌 ㅠㅠ 허석사님 너무 오래 기다렸어요그리고 장웅님도 감사 드립니다 ㅎㅎㅎ
9791158903596,10,입문자도 쉽게 읽을 수 있는 책입니다.
9788962971620,10,6.25전쟁을 전쟁사 관점에서 확실하면서 자세하게 설명하고 있다.
9788962971620,10,6.25 전쟁의 전후 상황을 자세하게 알 수 있어서 좋았습니다. 어려운 용어가 많아서 걱정했지만 용어설명이  쉽게 풀이되어있어 이해하는데 어려움이 덜해서 좋았습니다!!
9788962971620,10,"평소 한국전쟁에 대해 관심이 많았는데, 이 책을 접하면서 한국전쟁을 깊이 이해할 수 있었습니다. 역사에 관심이 있거나 한국전쟁에 대해 자세히 알고 싶은 분들께 이 책을 강!추!합니다 ^-^"
9788962971620,8,"최근 나온 책은 아니라서 종전이 아닌 휴전 상태임을 이야기하는 부분이 있긴 하지만, 그 외에는 요즘 봐도 좋은 내용입니다. 6.25 전쟁에 관한 주요 내용들을 배경부터 전후 상황까지 잘 알 수 있습니다."
9788962971620,10,6.25전쟁에 대해 보다 더 자세하게 알 수 있도록 돕는 책입니다. 군대와 관련된 용어들이 정리되어 있어 이해하기 쉬워서 좋았습니다.
9788962971620,10,"6.25전쟁이 어떻게 일어났는지, 이후 전개과정과 결과, 전쟁 후 한반도에 미친 영향등 이해하기 쉬운 도서, 그림도 많아 내용 이해에 도움이 많이 되었음"
9788962971620,10,"가장 중요한 6.25 전쟁에 대해 심도 있게 알 수 있었고, 용어 설명이 잘 되어있으며, 시기별로 전쟁 당시 상황을 알 수 있어서 이해하기 쉬웠습니다!"
9788962971620,10,6.25전쟁에 대해 확실히 알게되어 좋습니다!!
