ISBN13,rating,review
9791164136452,2,정말 읽기 힘드네요. 번역을 이렇게 엉터리로 해 놓다니... 조사 사용도 어색하고. 문장 하나하나가 제대로 안읽힘. 읽다보면 뭔 내용이야 싶네요.
9791164136452,8,"토드 로즈 『평균의 종말』을 사회학적으로 확장해 논의를 펼친 거라고 생각하는데요. 기울어진 운동장에서 노동자들이 교육을 통해(학력주의) 계층 상승을 하는 경쟁을 하라는 것(능력주의)은 어불성설이고, 운과 부모 찬스를 간과하는 능력주의 엘리트들이 겸손을 배우고 자발적이고 적극적인 분배에 노력하지 않는다면, 노동 계급의 모멸감과 분노는 트럼프 같은 선동가들을 더 뽑게 될 거다? 라는 결론이 되는."
9791164136452,4,소고기는 겁나 맛있지만 왜 소의 발톱 때까지 먹을수는  없느냐며 불평만 하는 책. 뾰족한 대안까진 아니더도 숙고를 거친 샌델만의 통찰 같은것이 책에서 보이지 않음. 문제제기와 현상지적은 잘 하고 있으나 그게 끝임
9791164136452,10,당연한 이야기인데 어떻게 이렇게 두꺼운 책으로 쓰셨을까? 이렇게 생각하면서 읽기 시작했어요. 여러 예시를 들면서  착착 이모저모 정리해주시는걸 읽으며 제 흐릿하던 생각과 평소의 의문들이 약간 깨쳐지는거 같아요. 우리나라만의 문제인가 싶었던것들이 다른 나라에서도 현재진행형이군요.
9791164136452,8,"이책에 그래서 어쩌라고? 대책이 없다는 사람들은 뭔가 번지수를 잘못찾은듯. 단지 출세를 위한 처세술, 성공요령이 알고싶었다면 주린이도 할수있는~ 같은 책을 추천합니다. 이 첵은 철학서적으로서 사회 공의를 위한 각계 지도층의 자성과 각성을 촉구하는 통찰을 담고있는 좋은 책이라 생각합니다."
9791164136452,2,번역된 글이 책읽기를 방해 합니드. 그냥 원서 사서 읽어야 겠어요....
9791164136452,4,"의미있는 내용, 그렇지 못한 번역."
9791164136452,6,마이클 센델의 빛나는 사상이 번역으로 인해 퇴색된 느낌
9791164136452,10,영상을 만들면서도 다시 한번 많은 생각이 나는 책이었습니다.https://www.youtube.com/watch?v=Ts9cpwevULM&ab_channel=현자의돌
9791164136452,10,내용은 상당히 흥미있었지만 번역이 별로였다
9791164136452,4,"왜 한국인들에게 서문을 안 써주고 넘겼을까,,한국인들에게 할말이 없는건 알겠다만,,,책 내용도 너무 주관적이고 ,,,읽으면서 팍 와닿는 사례들도없고,,,,기대를 너무 한거지,,,"
