ISBN13,rating,review
9791160404593,10,윤석남 선생님의 그림에 김이경 작가의 글이 만나 14인의 잠들어 있는 여성독립운동가들에게 생명을 불어넣었습니다. 책 읽는 내내 푹 빠져서 당시의 시간속으로 여행을 하고 온 것 같습니다.
9791160404593,10,잊힌 사람들을 온전히 복원하는 훌륭한 솜씨.
9791160404593,10,윤석남 화가의 그림이 참 좋다. 판형이 작아 그림을 더 크게 볼 수 없어서 아쉬웠지만...
9791160404593,10,최초의 페미니스트인 여성독립운동가들의 초상과 이야기가 실려 있다. 3.1절과 3.9 여성의날이 얼마 안 남았는데 이 책을 많은 사람이 소장하고 여성독립운동가들을 기억했으면 좋겠다.
9788972917328,10,오 기대된다
9788972917328,10,두근두근
9788993746068,8,"편리함만 추구하는 얼마나 이기적인 인간인지 다시 확인해버렸다. 말로만 떠들고 글로써만 맞다고 하면 뭐하나, 실천은 없는데..."
9788993746068,10,어려서 부터 환경에 대해 깨달을 수 있어요...
9788993746068,10,학창시절때 선생님이 들려주신이 책의 이야기가 머릿속에 박혀 성인이 된 지금도 아직까지 선명하게 떠오릅니다. 그렇기에 추천하고 싶습니다.
9788993746068,8,"환경 문제에 대해 청소년이 이해하기 쉽도록 내용을 구성하였고, 실생활과 관련된 작은 에피소드들이 환경이라는 전체의 주제를 잘 표현하고 있다."
9788993746068,10,책 표지가 알록달록 하고 책 제목이 참신해서
9788993746068,10,우리ㅂ집에 있다
9788993746068,10,아이 학교 권장도서예요..
9788993746068,10,학교 권고서적이어서 읽게되었지만 환경에 관한 다양한 상식들이 단편으로 기재되어 있어 보는 재미와 배우는 교훈이 쏠쏠합니다.
9788993746068,10,독서퀴즈대회 선정도서라서~
9788993746068,8,책읽는엄마모임 선정도서입니다...지구를 살리는데 주부들이 앞장서야겠습니다
9788993746068,8,환경도서.. 제목부터 재미가 있네요..학교 독서 추천교재네요
9788993746068,10,지구를 위해서 조금만 불편하게 살자.
9791187135159,10,여러분. 두번 세번 읽으세요.일상생활에 많은 도움이 됩니다.
9791187135159,6,지금처럼 환경이 걱정되는 시기가 있었나? 싶습니다. 쓰레기도 잘 알아야 잘 버릴 수 있습니다. 좋은 환경을 만들 수 있는 순환 경제가 되도록 노력이 필요합니다.
9791187135159,10,너무좋은책이고 이해하기가 쉽네요.
9788956605418,10,"물욕과 상업주의, 신분상승이 세인들의 주된 목표가 된 현세에서 무소유라는 단어는 거추장스러울 수도 있다.생의 대부분을 오두막과 강,호수,언덕과 자급자족했던 소로우 작가는 인간의 평등과 인권을 실천해 왔던 인물이다.인간에게 주어진 최고의 선물, 대지와 자연은 속세를 비추는 거울과 같다."
9788956605418,10,한번쯤은 읽어봐야할 고전^^
