ISBN13,rating,review
9791186615539,8,"궁금해서 서점에 가서 속독하였다. 박원순 사건이 왜 일어났으며, 도대체 내부에서 무슨일이 일어났을까에 대해 저자가 취재를 열심히 하긴 했으나  라쇼몽이다....."
9791186615539,2,으.....서점에서 성폭행범 얼굴을 봐야하나
9791186615539,10,진실은 침몰하지않는다....
9791186615539,10,수많은 왜?라는 물음에 조금이나마 답을 얻을 수 있으면 좋겠습니다 ㅠㅠ
9791186615539,10,박원순 시장님의 진실이 밝혀지길 간절히 바랍니다.
9791186615539,10,진실이 밝혀지길 기대합니다
9791186615539,2,2차 가해 작작 하세요. 이렇게 좋은 봄날 명예훼손 걸려서 고생하시고 싶으십니까.
9791186615539,10,최고의 책!!
9788993178692,6,세계를 바라보는 새로운 접근은 신선하나 생각보다 내용이 깊진않다는 느낌 그리고 중간중간 번역이 서툰 문장들이 있어서 살짝 거슬립니다. 누구나 가볍게 읽을 수 있을 정도의 책.
9788993178692,4,˝그러나 현재 미국에게 러시아는 대체로 유럽의 문제 가운데 하나다.˝하.... 수능특강 해설도 이거보단 친절할듯요지리학 지정학 관련 책 읽으면서 이렇게 지루하고 빡빡했던 적은 처음임
9788993178692,2,이 책은 바보같은 번역체로 통찰력 없는 사실을 나열하고있어서 백과사전 보는 기분이었다
9788993178692,6,기대에 못미침
9788993178692,10,동남 아시아와 북유럽을 제외한 전 대륙의 주요국가의 근현대사적 부침을 지정학적 또는 지경제적으로 통찰하여 흥미롭게 읽힘. 다만 번역의 일부 오류로 몰입을 방해함.
9788993178692,10,가볍게 읽기 좋다.
9788993178692,8,"아프리카 대륙까지는 흥미로웠으나, 중동 지역으로 넘어가면서 지정학적 관점보다는 민족과 종교적 갈등(중동인만큼 어쩔 수 없는 부분도 있겠지만)에 대한 팩트 나열이 반복돼 아쉬웠습니다. 영국, 프랑스, 벨기에 등이 아프리카와 인도 등지에서 저지른 만행에 대해 정확하게 지적한 점은 좋습니다."
9788993178692,8,"대충 훑어 본 근현대사...지리의 힘이라곤 하지만, 강대국의 힘에 논리에 의한 근현대사."
9788993178692,8,"힘과 균형을 통해 세계는 발전되어 왔고 앞으로도 그럴 것이리라. 특히 지정학적 위치가 각국의 과거, 현재, 미래를 가늠케 하는 요소일 뿐만 아니라, 현재 글로벌 세계에서 강국들이 영토, 자원, 경제적 실리 등을 염두에 두고 각축전을 보이는 양상은 매우 흥미롭고 관심 대목이 아닐 수가 없다."
9788993178692,8,지리학 전공을 희망하는 제게는 너무 재미있는 책입니다. 그러나 다른 후기들처럼 번역이 많이 미흡합니다. 아직 끝까지 읽진 않았지만 세상을 보는 시야을 넓히는데 도움이 될 것 같습니다.
9788993178692,2,티비엔에서 돈받고 이책을 추천해줬나보네요. 캬..이제 하다하다 출판계까지 피피엘인가요. 책이 알맹이가 하나도 없고 자기 주장도 없고.. 인터넷 기사만 뒤져도 나올 내용들입니다. 진짜 속았다. 자본에 속았어.
9788993178692,4,"잘 읽히지도 않고, 티피컬한 서양 시각으로 세상을 얘기하고 있어서 재미없었음."
9788993178692,8,"지리의 관점에서 지구촌 여러 대륙의 역사, 정치등을 조명하고 생각해 보는것은 흥미로웠으나, 좀  더 지리적 관점의 디테일에 집중했으면 하는 아쉬움과 지도가 심층적으로 더 많이 실렸으면 하는 아쉬움이 남는다!"
9788993178692,8,역사와 지리가 공존하는 재미있는 책입니다.
9788993178692,6,번역이 정말 왜이럴까요? 전문 번역가 맞나요?문장이 읽는 내내 피곤합니다. 내용은 재밌을것 같은데몰입도가 확 떨어지네요. 있는 그대로 말만 옮겨둔것 같은 느낌
9788993178692,6,"책의 내용은 매우 훌륭하지만 번역이 모든걸 다 망쳐놓았다. 시제는 대부분 엉망진창이고 그밖에 문법적 오류는 오역 축에도 끼지 못할정도로 오역이 많았다. 역자가 서반어, 불어 전문이던데 왜 영문원서 번역을 맡겼는지 의문."
9788993178692,10,작년에 너무 재밌게 읽음 소장가치가 있음
9788993178692,2,내용이 좀 얕고 기자들 특유의 과장이 많은 느낌이다.글도 눈에 잘 들어오지 않는다. 게다가 중국 미국 근사하고.. 그래서 어쩌라는건지?
9788993178692,8,"숲 전체를 조망하기 위해서는 숲 속에서 나와서 멀리서 바라 볼 필요가 있는 것 처럼, 세계사의 개별 사건들에 세세하게 얽매이지 않고 지역별로 쉽고 간략하게 서술한 덕분에 세계 각 지역에 대한 이해도를 높여 주었다. 책 제목과 달리 지리의 중요성에만 얽매이지 않은 점도 마음에 든다."
9788993178692,4,시각이 참신하다. 무엇보다 한국의 지리에 관하여 낯설게 바라보는 경험은 아무데서나 할 수 없는 것이다. 그런에도 직독직해 된 번역이 자꾸만 밟힌다. 영어 원문이 어땠을까 상상할 수 있을 정도로.
9788993178692,2,"이책이 미국,영국,독일에서 베스트셀러가 된 것은 원본으로 출판되었기 때문이라 추측된다.서문 9페이지 중간부분에 “사막이라고 산악지대만큼 중요하지 않은 것도 아니며 강도 정글만큼이나 중요하다.”라는 부분을 읽다가 이글을 쓴다.도대체 무슨 말인가??? 번역에 문제가 있는 것은 확실하다."
9788993178692,10,"전 세계 각국의 지리, 역사, 정치적 관계에 대해 흥미롭게 읽어 볼 수 있는 책. 지리, 역사 관련 지식에 흥미가 있다면 재미있게 읽을 수 있으며 내용도 알차다."
9788993178692,8,지리학이라는 학문에 대한 인상을 완전히 바꿔놓은 책입니다. 어렸을 때 지리부도를 좋아하셨던 분이라면 꼭 읽어보시길 추천드립니다. 다만 한국에 관한 장은 너무 형편없어서 별을 하나 뺐습니다.
9788993178692,8,일단 재미있고 아주 세밀하게 들어가기보다는 저자의 특장을 살려 중요한 내용들을 길지 않은 문장에 담아내는 게 흥미로웠다. 시각도 맘에 들고 말이다.
9788993178692,8,독일. 러시아. 미국  편에서는 확실한  공감이 갑니다....  내용이 알차고 좋습니다. 지정학적 요소가 얼마나 중요한지...
9788993178692,8,공간을 상상하지 못한다면 시간 역시 만날 수 없으리. 그러하다면 공간과 시간에 끼어 있는 인간 역시 결코 알지 못하리.
9788993178692,8,"역사는 지리다. 이렇게 정의 내려도 될까요? 인류의 역사는 살고 있는 지형, 지리에 영향을 받아왔습니다. 이 책은 한국을 포함해 전 세계에서 일어났던 그리고 일어나고 있는 사건들을 지리라는 키워드로 연결해 풀어내고 있습니다. 좋은 지리부도나 구글맵스를 옆에 두고 읽으면 더욱 좋습니다."
9788993178692,4,우리말답지 않은 번역체 문장과 독자를 배려하지않고 아무렇게나 직독직해한듯한 번역으로 읽는 내내 불편했습니다. 지리학이라는 새로운 관점에서 세상을 바라보고 해석한 점은 흥미로웠으나 그것을 번역하는 옮긴이의 자질을 의심하면서 읽을 수 밖에 없는 책이었습니다.
9788993178692,6,지리학의 관점으로 바라보는 세상이 흥미로웠습니다.
9788993178692,8,"이 책을 읽으면서 내내 좌절감,무력감 같은 감정을 떨쳐낼 수가 없었다. 국가들이 각자 처한 ‘지정학적 공포‘와 ‘이익‘이라는 두 가지 욕구가 축이 되어 현재의 많은 지정학적 문제를 만들어내는 것같다. 그렇다면 해결책 찾기도 거기서부터 시작을 해야할 일이다. 흥미롭게 읽었다."
9788993178692,10,매우 흥미롭습니다. 지리 전공자인 와이프도 재밌다고 하네요.
9788993178692,10,"지정학적으로 얽힌 세계사를 일목요연하게 설명,읽는네네 유익했다."
9788993178692,10,"세계 각국들의 외교, 군사적 정책들에 대한 이해의 폭을 넓혀주며 세계정세에 대해서도 눈 뜨게 해주는 책...아주 좋습니다."
9788993178692,10,크으... 챕터 하나를 송두리째 차지하는 한국의 위엄... 주모!! 그거 한 잔 가져와!!!(아니 원서에서는 버젓이 Japan & Korea로 되어있는 챕터를 굳이 ｀한국｀으로 번역해서 냈어야 했냐?)
