ISBN13,rating,review
9788993178692,6,세계를 바라보는 새로운 접근은 신선하나 생각보다 내용이 깊진않다는 느낌 그리고 중간중간 번역이 서툰 문장들이 있어서 살짝 거슬립니다. 누구나 가볍게 읽을 수 있을 정도의 책.
9788993178692,4,˝그러나 현재 미국에게 러시아는 대체로 유럽의 문제 가운데 하나다.˝하.... 수능특강 해설도 이거보단 친절할듯요지리학 지정학 관련 책 읽으면서 이렇게 지루하고 빡빡했던 적은 처음임
9788993178692,2,이 책은 바보같은 번역체로 통찰력 없는 사실을 나열하고있어서 백과사전 보는 기분이었다
9788993178692,6,기대에 못미침
9788993178692,10,동남 아시아와 북유럽을 제외한 전 대륙의 주요국가의 근현대사적 부침을 지정학적 또는 지경제적으로 통찰하여 흥미롭게 읽힘. 다만 번역의 일부 오류로 몰입을 방해함.
9788993178692,10,가볍게 읽기 좋다.
9788993178692,8,"아프리카 대륙까지는 흥미로웠으나, 중동 지역으로 넘어가면서 지정학적 관점보다는 민족과 종교적 갈등(중동인만큼 어쩔 수 없는 부분도 있겠지만)에 대한 팩트 나열이 반복돼 아쉬웠습니다. 영국, 프랑스, 벨기에 등이 아프리카와 인도 등지에서 저지른 만행에 대해 정확하게 지적한 점은 좋습니다."
9788993178692,8,"대충 훑어 본 근현대사...지리의 힘이라곤 하지만, 강대국의 힘에 논리에 의한 근현대사."
9788993178692,8,"힘과 균형을 통해 세계는 발전되어 왔고 앞으로도 그럴 것이리라. 특히 지정학적 위치가 각국의 과거, 현재, 미래를 가늠케 하는 요소일 뿐만 아니라, 현재 글로벌 세계에서 강국들이 영토, 자원, 경제적 실리 등을 염두에 두고 각축전을 보이는 양상은 매우 흥미롭고 관심 대목이 아닐 수가 없다."
9788993178692,8,지리학 전공을 희망하는 제게는 너무 재미있는 책입니다. 그러나 다른 후기들처럼 번역이 많이 미흡합니다. 아직 끝까지 읽진 않았지만 세상을 보는 시야을 넓히는데 도움이 될 것 같습니다.
