ISBN13,rating,review
9788901161945,10,북한현대사의 기본적인 책.
9788901161945,10,북한현대사를 공부하는데 이책이 가장 객관적이고 자료가 많아 이해하기 쉽다.
9791160947113,10,"재밌게 읽음. 두 모국을 가진 저자자는 특이점을 내세워 최대한 객관적으로 양국을 바라봄. 많은 부분을 북한에 할애할 정도로 한일관계속에는 북한이라는 태풍의 눈이 존재하구나 라는 점을 알 수 있었고, 이 문제가 한일문제만이 아닌 국제적인 문제임을 알 수있었다. 저자의 다른책도 관심이 생겼다"
9791160947113,10,˝분단과 갈등의 20세기 끝내고 평화와 통일의 21세기로˝
9791160947113,10,남북 문제와 한일관계가 악화된 배경과 그것을 타파하기 위한 해결책을 객관적이고 설득력있게 제시하고 있다. 예측을 넘어 장기화된 코로나19로 인한 위기 상황은  양국의 관계개선을 위한 계기가 될수 있다는 희망의 메시지가 들어있다.
9791160947113,10,김대중 대통령과 함께 동북아의 평화 프로세스를 다져온 강상중 교수님이 정치학자로 돌아오셨네요. 작년에 <떠오른 국가와 버려진 국민>을 통해 일본의 자성을 촉구하는 글을 잘 읽었습니다. 이번 책도 기대됍니다!
9791160947113,2,"친일과 토왜에 속한 사람의 글이네요. 중립인척 하는 이런 글, stop! 친일, 토왜 후손의 처벌에 대한 사회적 합의는 일제의 대한국 사과와 국제적인 반성이 이뤄진 다음에 가능하겠죠"
9791188342136,10,"지인에게 추천받고 바로 구입했어요~요즘말로 신박한 책입니다~통일교육은 분단국민으로써 당연한 기본, 근본교육인데 상황에 따라 들쑥날쑥하는 현실이 안타깝습니다~이책은 항상 옆에 두고 생활속에서 통일과 나아가 평화의 가치를 마음에 새겨야겠습니다~좋은 책 감사합니다^^"
9791188342136,10,"교실에서 통일의 필요성에 대해 강조할수록 학생들은 점점 더 통일에서 멀어지는 느낌을 받곤 했다. 이 책은 통일 교육에 대해 부담을 느끼거나 혹은 고민했던 선생님들에게 구체적인 수업 활동내용과 사례, 북한에 대한 흥미로운 지식들을 제공해주고 있다. 교실 책장에 두면 꾸준히 도움받을 책이다."
9791188342136,8,"학교나 그 밖의 공간에서 수업을 할 교사들에게 도움될 만한 책. 교사는 아니지만 집에서 아이들과 이야기 나눌 만한 소스가 있을까 싶어 봤다. 통일 이후 문제, 통일 과정, 분단 과정, 북한의 언어나 문화 등 참고할만한 정보들이 있어 좋았다."
9788936486723,10,﻿이 책은 한국 사람의 모습을 ‘분단‘이라는 사회적 현실 아래서 냉철히 분석한다.무지는 편견을 낳는다.이토록 공감할 수밖에 없는 내용이었다.
9788976963253,10,사실 우리는 북한에 대한 뉴스를 매일 접하지만 정작 북한에 대해선 잘 모른다. 특히 해방 이후 사회주의건설기까지의 북한 역사는 일반에 체계적으로 잘 알려져 있지 않다. 그런 속에서 이 책은 이 시기 북한 역사의 역동성을 담담하게 그려내고 있어 이 시기 북한 역사 이해에 필수적인 책이라 할 수
9791187750277,10,남북교류와 만남 역사현재 그리고 미래
9788960516274,2,탈북인이 무려 3만명이 넘는데도 탈북인의 증언을 다 믿을 수 있느냐는 대목을 보고 입맛이 싹 사라졌다. 그들은 태영호공사에서 보듯이 당국의 압박과 단속으로 북한의 실상을 제대로 다 말하고 있지 못하다는 것을 알기는 하는가? 심지어 요새 현 정권들어 탈북하는 사람들은 환영받지도 못한다지...
9788960516274,6,"한반도 평화에 대한 입문서로 만족스럽지만, 조금만 더 깊게 들어갔더라면..."
9788960516274,10,"통일뽕 거나하게 취했다.. 하아.. 민간교류활성화되면 “북한에 나무심기 운동” 꼭 하고 싶어졌다.. 요런 구조적 이야기도 좋치만, 북녘사람들 사는 이야기 궁금하다. 고저, 거기 사람들도 고양이 좋아합네까?? ㅋㅋㅋ"
9788960516274,8,좌우 남북은 각자가 판단할 몫이다. 다만 어떤 경우에도 공생해야 한다.
9788960516274,10,평화의 길을 위해 과거와 지금의 북한을 이해하고자 하는 사람들을 위한 아주 좋은 책입니다.
9788960516274,4,"북한을 바라보는 현실성 없는 시각. 딱 60년대에 모택동의 중국을 바라보던 서방 좌파 지식인들의 시선과 똑같은 수준. 내재적 접근이 필요한 때도 있지만, 보편적인 상식과 인권의 관점을 버리면서까지 그래야 할 이유도 없다. 외국인이 찌라시 한 장 가져갔다고 15년형을 때리는 나라가 정상인가?"
9788960516274,10,북한에 대한 막연한 두려움이나 편견과 오해를 극복하는데 도움이 된 책입니다.
9788960516274,6,북사회에 대한 올바른 이해와 통일에 대해 생각해본 계기가 되었다.
9788960516274,10,잘 읽었습니다. 눈물이 나네요
9788960516274,10,제대로 알아야 방법이 보인다.(출판사 담당자께 묻는다.책 표지가 너무 쉽게 오염되고 상하기 쉬운 재질이다.디자인도 좋지만 꼭 이런식으로 만들어야하는지 잘 모르겠다.사용자 중심에서 생각해줬으면 한다.책을 편하게 들고 다니며 본 경험이 없으면 이렇게 만들지 않을까)
9788936486600,10,40년의 지혜를 읽었다. 강추한다.
9788936486600,10,나의 소원은 통일. 부강한 한반도가 되는것을 기원하며
9788936486600,10,세세하거 정밀한 기억. 중간중간 음성지원되는 부분도..ㅎㅎ
9788936486600,10,해방직전에 태어나셔서대학 졸업후 박정희때부터 연구소를 시작으로 북한만 연구한 분이다...이분 따라올 사람 없음...
9788936486600,10,장관님의 혜안에 다시 한번 감탄하게 됩니다.
9788936486600,10,디테일한 기억.  올 곧은 방향성.  그리고 겸손한 고집대담 형식이라 두껍지만 쉽게 다가왔다.
9791186358726,10,"대한민국의 콘텐츠가 북녘에서 널리 유통되면서, 북녘 사람들은 우리에 대해 잘 압니다. 그런데 우리는 국가보안법을 비롯한 분단 적폐에 의해 강제로 ‘북맹‘이 되어 있습니다. 이 책은 기성 언론과 정치 세력이 가려 놓은 북의 긍정적 요소를 보여주어 우리 시각의 균형을 잡아줍니다."
9788968497933,10,독일 통일을 돌아보며 우리의 통일이 나아가야 할 길에 대해 많은 생각을 하게 했다. 통일 자체가 목적이 아니라 남북한 모두의 삶의 질 향상과 행복을 위해 통일이 실현되기를 소망해본다.
9791189809270,6,아주 놀랍다. 대학원에서 국제 관계를 공부했다는 사람이 이제서야 북한 사람의 생활에 대한 책을 처음으로 읽어 보려 했다는 것이 말이다. 그런데 책 내용 또한 너무나 놀랍다. 남한도 섹슈얼리티 문제에 관한 한 어디서부터 손대야 할 지 모를 만큼 답답한데 이건 정말 최악이다. 통일 후가 막막하다
9791189809270,10,여성의 삶을 다시 돌아보게 하는 책. 표지가 인상적임.
9788936486501,10,북한에 대한 의미있는 정보를 담고 있는 책
9788936486501,8,책을 읽으면서 작년에 대학 수업 과제로 읽었던 빛의 제국과 은둔하는 북의 사람이 생각이 났다. 특히 은둔하는 북의 사람에서 끝까지 남으로 귀화하기를 거부하는 김무사를 보며 의아하게 생각했던 내 모습이 생각났다.
9788982641428,10,쉽고 잼써요^^!!
9788982641428,10,책을 읽은 동안 한순간도 긴장감이 풀리지 않았다. 도올 선생과 유시민 작가의 지적 통찰력뿐아니라 시대의 열정이 고스란스 담겨진 대담이었다. 時呼가 바로 지금이라는데 동감한다.
9788982641428,10,유투브로 편집된 영상보다 훨씬 풍부한 내용이 들어있다. 책을 읽으면서 영상을 보는듯한 늒ㅁ
9788982641428,10,"이시대의 최고의 지성인철학가 도올선생, 작가 유시민 동시대에 함께 하는건 행운이다~!"
9788982641428,10,역시 큰 공부가 되었습니다.
9788982641428,10,엊그제 받은 마가복음강해를 읽고 있다. 얼마나 오래 저술활동을 하실진 모르겠으나 이젠 일반 대중을 상대로 한 교양서보다는 사상가로서의 도올을 느낄 수 있는 사상서를 더 많이 부탁드리고 싶다.
9788982641428,10,강의도 재밌게 들었는데 책으로도 나욌네요  기대만땅
9788982641428,10,기대됩니다
9788959406982,10,현대의 북한과 경협을 커다란 틀에서 이해하는데 도움이 되는 책.
9788997780297,10,분단됀 대한민국에 살고 있는 지금 대한민국 국민이라면 꼭 읽어야할 책
9788998658540,2,한겨레다운 주제다
9788998658540,8,북한과 잘 나가는거 같더니 요즘은 어깃장을 놓는 듯..
9788998658540,4,저자의 라디오 방송 인터뷰를 듣고 도서관에서 대출해서 읽어 본 느낌은 평양의 모습이 우리가 생각하는 것보다는 아주 많이 다르고 수준이 높다는 점은 인정하나 평양의 모습이 북한 전체의 모습은 아니지 아닌가? 평양은 사람들이 살고 싶다고 살 수 있는 도시가 아닌 북한의 특권층만 거주 도시인데
9788998658540,10,"외국인 특히 서방 기자나 작가가 아닌 우리의 시선으로 본 평양과 북한. 가까운 곳인데 아주 멀디 먼 곳. 같은 시간대 지금도 바로 옆, 윗쪽 같은 땅. 하늘 아래 사람들."
9788998658540,10,"내가 지금까지 알고 있던 북한, 너무나도 올드했다는 것을 느끼게 해준 책이다. 가깝지만 너무 멀어져버린 북한, 우리는 한 민족으로 하나되어야 하며 그 밑거름은 그들에대한 관심과 사랑이 깔려있어야 한다. 작가의 그런 마음이 느껴져서 참 따뜻한 책이었다."
9788998658540,8,"최근 한국 언론에서 열흘간 북한 개성, 평양을 취재하여 최신모습을 다뤄줬으나 북한 사람들의 일상에 가까이 다가가 담은 사진과 글이 책에 담겨있어 머릿속에 이미지를 떠올리기가 수월하다. 사진 중심이라 책은 금방볼 수 있다. 부록으로 준 평양지도를 보니 통일이 되어 북녘을 볼 수 있었음한다."
9788998658540,2,북한에는 선택받은 성분좋은 사람만이 산다는 평양밖에 없는가? 그냥 북측관계자가 보여주는 그게 북한의 진짜 모습인가? 이런 기사나 영상은 지치도록 봐서 식상하다.중국 등 객지에서 떠도는 탈북인들의 시간도 함께 흐른다.이건 허접하다. 차라리 탈북인들이 하는 유튜브방송들을 시청해보시라.
9788998658540,8,"마음먹고 읽으면 금방 읽을 수 있는 책입니다. 생각보다 우리가 북한에 대해 많이 몰랐다는 생각이 듭니다. 제한적인 정보만 가지고 판단했다는 생각도 듭니다. 저자가 말하는 것처럼, 현재 북한의 상황을 정확히 알고, 다름을 인정하며 받아 들이는 것이 통일로 가는 첫 걸음이 아닐까요."
9788998658540,10,"뉴스 기사에서 우연히 찾아내서 주문하고 단숨에 읽었다. 우리야말로 북에 대해서 너무 몰랐고, 또 권력과 언론들이 지나치게 왜곡해서 보도했다. 이제라도 북을 제대로 알아야 새로운 시대를 맞이할 수 있다."
9788998658540,10,"요즘 평양의 실제 모습에 대해 알고 싶은 사람들은 꼭 읽어 볼, 좋은 책이다. 같은 민족으로서 북한과 북한 사람들에 대한 진한 애정이 담겨있으며 문장은 유려하고 내용은 참 재미있다."
9788998658540,10,이제 북을 사실대로 보자 그럴려면 언론에서 여과없이 보도해야 한다.
9788965236504,10,"태영호 공사님의 진솔한 증언을 담은 책으로 북한외교, 정치의 속살을 보게되었습니다. 책은 읽기 편하고 재미있고 감동적이었습니다."
9788965236504,10,"고작 2만원도 안되는돈으로, 외교관의 입장으로 본 북한의 실태를 알수있는 최고의책입니다 강력추천합니다"
9788965236504,8,"북한에 대해, 특히 관료사회와 시스템이 돌아가는 작동방식에 대해 구체적인 에피소드를 통해 생생하게 들여다 볼 수 있게 해 준다. 저자도 최대한 담담하게 쓰려고 노력한 흔적들도 군데군데 눈에 띈다. 다만, 책의 구성이 다소 산만한 에피소드들의 나열처럼 느껴져서 아쉬웠다."
9788965236504,10,자유대한민국 국민들의 필독서
9788965236504,10,이 책이 많은 사람들에게 읽혀 통일을 앞당기는데 역할을 하였으면 합니다.
9788965236504,10,북한의 실정을 어떠한 전문가보다 자세하게 설명해준 책.기존의 내가 알고 있던 내용과 다른것도 이야기해주고 북한 실상을 그대로 보여준 책이다.
9788965236504,10,이런 분이 통일부 장관이 되어야 합니다
9788965236504,10,북한의 엘리트 외교관으로 장래가 보장되어있음에도 불구하고 독재체제에 환멸하고 자식들을 지옥에 남겨둘 수 없다는 생각에 자유를 찾은 태영호 공사의 고백.북한에 대한 막연한 환상을 가지고 있는 사람들이 세습군사독재의 실상을 정확히 이해하기 위하여 반드시 읽어야 할 책.
9788965236504,10,북한을 숨기고 북한을 모르는 것들이 북한 찬양하는 시대. 파렴치한 문씨 정권의 왜곡된 북한 실상을 이 책이 진실과 사실로 답해주고 있다.
9788965236504,10,빠른 시일에  3대세습체제에서 노예로 살고 있는 북한 동포들이 해방되기를 소원합니다.정말 꼭 읽어봐야 하는 책입니다.
9788965236504,2,조국을 버린 자는 변명으로 일관하지요.
9788965236504,10,북한사회를 이해하는 데 도움이 많이 되었어요...통일...하아...ㅠㅠ 언론만 믿지말고 한번쯤 꼭 읽어봐야 할 것 같습니다
9788965236504,10,"몰랐습니다. 북한이 어떤 나라였고, 어떻게 꾸려지고, 어떻게 외교를 펼치고 있었는지! 그리고, 몰랐습니다. 태영호공사가 얼마나 북한을 사랑하는 마음을 접어두고 탈북했는지도! 건강하십시오!"
9788965236504,10,"80년대 이후 역사 속에서 북한 외교가 어떤 메커니즘으로 작동했는지에 대해 잘 알려주는 책. 덧붙여 북한판 in강남인들이 어떻게 살고 있는지에 대해서도 잘 다룬 책. 북한에게는 치명적일 터이지만, (북한이 궁금한) 우리에겐 꼭 필요한 책. 목숨 걸고 넘어와 책까지 내준 태영호 공사께 감사드린다."
9788965236504,10,북한을 제대로 이해하는데 도움이 되었습니다.
9788965236504,10,실감나네요. 북한을 더 알게되었습니다. 남한국민들이 꼭 읽어 잘 대체 해 주시면 좋겠습니다.
9788965236504,10,북한에 대한 우리 정책이 북한 정부에서는 어떻게 받아 들여졌는지 알수 있기에 정책 입안자들은 참고로 읽어야 할 책이다.  좌파쪽에서는 어쩌면 싫어할 수 있는 책이다.가톨릭 교황의 방문과 유럽의 지지를 얻기 위해 할머니 가톨릭 신자 이야기는 북한의 종교관을 알수 있는 대목이다.
9788965236504,10,"엄청난 통찰력이다. 180612의 미북정상회담 결과, 모든게 태 전 공사의 예언대로 되었다. 필독을 강추한다."
9788965236504,6,"사실 새롭다할 이야기도 없고, 남은 자들의 신변을 우려해서인지 자극적 이야기도 없었다. 하지만 북한에 직접 몸으로 겪은 일화들은 그의 진정성을 전달하기에 충분했다. 현 정세에 대한 판단은 다르겠지만, 우리 민족의 자유와 평화를 비는 마음은 누구나 같다. 저자의 새로운 도전과 삶을 응원한다."
9788965236504,8,"북한 실상 고발 반, 자기자랑 반."
9788965236504,10,김씨신정독재체제를 붕괴시키고 북인민들을 노예상태에서 해방시켜야만 통일이 가능하지. 김씨왕정체제를 유지하고 어떻게 통일이되나? 주사파들이 진보행세 평화주의자 행세 하는거 보면 정말 역겹다
9788965236504,10,"소설처럼 술술 읽힙니다. 북한의 실체에 대한 관심과 호기심이 있으신 분이라면 쉽게 읽히리라 생각합니다. 내용이 가지는 무게성이 절대 가볍지 않지만, 재미있기까지 합니다. 북한의 실체에 대해 북한을 믿지 않으면 누구가 하는 말을 믿어야합니까? 주사파? 종북?"
