ISBN13,rating,review
9791130635675,8,처음부터 너무 강렬한 장면이 연출되어 놀라왔습니다.그러나 마법처럼  빠른속도로 책장을 넘기게 되었습니다.~~2권이  기대되네요.
9791130635675,8,"한번 손에 잡으면 하루동안 끊지 않고 읽고 싶을 정도로 흡입력있는 소설이다.장면에 대한 묘사력도 디테일해서 머릿속에 그려질 정도였으며, 주인공들의 심리적 변화를 보며 그 변화의 흐름에 나도 덩달아 함께 휘몰아치는 느낌이었다. 후속작도 있다고 하니 이후의 일이 더 궁금해진다."
9791130635675,8,"이런 표현은 좀 웃기긴 하지만, 책이 생각보다 좀 두껍더라고요. 이걸 언제 다 읽을까 싶었는데 이 책은 자기 전에 누워서 보기 딱 좋습니다. 당신의 많은 상상력을 자극하게 되니까요. 영화를 보셨다면 영화에서 보신 느낌 그대로 책을 보실 수 있을 거 같아요."
9791130635675,10,이런 장르의 내용을 좋아하는데시간 가는 줄 모르고 읽었어요
9791130635675,8,"<365일> 이미 영화로도 유명하다던데 전 책으로 먼저 접했네요. 납치되어 온 라우라가 자신을 납치한 남자 마시모에게 마음을 열기까지의 과정을 그린 작품, 그런데 그 과정을 그리는데 있어서 놀라울 정도로 묘사가 엄청나답니다. 곧 2권이 나온다고 하여 기대중이예요."
9791130635675,8,서평단에 당첨되어 읽었어요.라우라의 시점에서 쓰여진 소설이어서 몰입도가 굉장해요.영화보신 분들은 책도 보면 더 재밌을 것 같네요.2권도 올해 출간 예정이라고 하니 기대가 됩니다!
9791165659134,10,아!! 어조사 종이책!! 사랑해요!!!진짜 웃기고 멋진 여주가 나와요 꼭 보세요
9791165659134,10,책 나오기만 기다렸습니다.  살까말까 고민할 필요가없는 책 입니다. 무조건 구매~!!! 읽어보시면 행복 엔돌핀이 마구 솟아나실 겁니다. 로판에서 흔히 볼수없는 여주입니다. 읽는순간 그녀의 매력에 빠져 허우적 거릴거에요.
9791165659134,10,아 진심 이건 꼭 읽으셔야 해요. 삶이 무료하시거나 새로운  자극이 필요하시면 이 책 추천 합니다. 정말 주인공들의 이야기가 너무 재미있어요. 그리고 여주인공의 주접이 너무 큼.. 네. 좋아요. 아무튼 좋아요. 재밌고 신선해요.
9791165659134,10,다 모르겠고 깅깅자 최고임 믿고 지르세요 ㅇㅇ진심임
9791163024569,10,작가님 특유의 문체로 잘 이어져서 쉽게 읽혀요. 문장하나하나 집중해서 읽으니 주인공들의 감정이 더 와닿아서 좋았어요. 이북으로 읽고 좋아서 종이책나오길 기다렸네요. ˝너구나.내여자를 때린게˝ 이 한마디가 다한거 아닐까싶어요.심쿵포인트예요.
