ISBN13,rating,review
9788934989431,10,"저자 후기에서 김용 선생은 자신이 쓴 소설 중 가장 잘 쓴 작품을 뽑기는 어렵다고 하셨고, 위소보를 닮지 말 것을 권하셨건만,김용 선생이 쓴 작품 중 가장 잘 쓰여지고 유쾌한 작품은 이 녹정기가 아닐까 한다. 10권 장편을 읽는 동안 위소보의 야바위에 한 순간도 지루한 적이 없었다!"
9791131266960,10,묵향 잘 읽고 잇습니다. 36권 좀 내주세요
9791131266960,6,이제 조금 묵향다워지는 것 같아요.
9791131266960,10,이건 전자책 안나오나요?
9788934991144,10,"김영사 감사합니다 김용작품 누구나 꿈꾸는 모으고 싶은 책들,정식판 앞으로도 부탁드립니다"
9788934991144,10,"명작 중에 명작이죠. 김영사에서 정식출간되어 매우 기쁩니다. 영웅문으로 알려진 사조삼부곡, 천룡팔부, 소오강호는 이렇다할 수식어를 붙일 수 없을 정도의 작품들임."
9788934991144,8,"김용 선생이 쓴 작품 중 가장 다채롭고, 역동적인 작품이었다. 전 중국 대륙을 가로지르며 무수한 인물들이 등장하는 본 작품은 하나의 세계를 창조했다고 해도 과언이 아닐 정도였다. 다만, 완결된 작품이었던 다른 저작들에 비하여 다소 산만하고, 동일한 클리세가 반복되는 점이 아쉬웠다"
9788934985808,4,기존의 책 표지가 별로엿던 것도 아니고 이번 개정판의 번역이 대폭 수정되거나 삽화가 들어갔거나 하는 추가적인 변동도 없는 것으로 압니다. 물가상승으로 인한 책 가격 인상 목적의 개정판으로 보이는데 그냥 기존책 정가를 인상해서 시리즈 3권의 통일성을 유지했으면 좋았을 것입니다.
9788934926917,10,말이 필요 없다. 한 번 잡으면 밤을 새면서 읽게될것이다.
9788934926917,10,더이상 무슨 말이 필요한가? 김용.
9788934926917,10,고등학교때의 추억이 있는 책
9788934926917,10,'신조협려'보다 '읜천도룡기'에 더 관심이 가네... 지르고 싶은 욕구가 강하다....
9788934926917,10,잡지도 안보는 울신랑이 날새는줄 모르고 봅니다. 최고입니다.
9788934926917,8,사조영웅전이나 신조협려보다는 살짝 재미없지만 그래도 언제나 김용 소설은 최고다!
9788934926917,10,진짜 재밌음. 정말 강추
9788934926917,6,구양진경의 유래가 추가되고 8권 내용이 영웅문에 비해 대폭 수정됐다. 부록은 별로다
9788934926917,8,대단원이라고 나름 공을 들였는지 외관이 꽤 화려함. 수정3판본이라 결말이 살짝 다름
9788934989448,10,김용 선생의 최후이자 최고의 걸작
9788947546164,10,"추리, 무협, 미스터리, 로맨스 별별게 다 있는 종합선물세트 같은 책인데 가볍지 않고 재밌음"
9788947546164,10,"코로나 바이러스로 여행가기도 어려운 올 여름, 더위를 쫓기에는 배신과 음모, 스릴러가 제격입니다. 완전 기대됩니다~"
9788965709350,6,권력에의 지독한 의지를 감상적이고 낭만적인 운명론으로 그린다. 인구가 많으니 생명은 그리 귀하지 않다. 평화로운 정권교체는 불가능한 것으로 상정하니 패권 다툼이 곧 천하의 평화를 추구하는 소명이 된다. 패업은 힘겨운 고뇌와 투쟁으로 미환된다. 패자들은 무능한 속물에 불과하다.
9788965709350,10,상편을 보고나면 하편을 안 볼수가 없네요.
9788965709350,10,제왕업 상편을 봤다면 하편은 본능이다. 제왕업을 안 본 사람은 많겠지만 상편을 보고도 하편을 안 읽는 사람은 없을 것이다.
9788965709343,10,뻔할 수도 있는 제국의 권력투쟁 이야기. 그러나 온실 속 화초처럼 자란 여주인공이 현실에 눈 뜨면서 권력에의 의지를 드러낸다. 그 과정에서 겪는 심적 갈등이 상당히 설득력 있다. 글솜씨도 수준급이다. 흔한 중국드라마 원작소설이라고 치부하기 어렵다.
9788965709343,8,중고 뜨길 기다려 상하 모두 사보게 되었다. 과연 단숨에 읽을만큼 재미있으며 배신을 위한 배신이 다소 과하다는 점 외엔 잠중록보다 나은듯!
9788965709343,10,제목이 눈에 띄어 무심코 구매해 읽었는데 잠중록 이후 대박이었습니다. 드라마로 만들어지는 이유가 다 있는듯 합니다
9788965709343,10,재미있어요.
9788965709343,10,장쯔이가 주연을 맡아 찍은 드라마의 원작이죠. 권력을 차지하고자 애쓰는 사람들의 치열한 모습을 볼 수 있어 흥미롭습니다.
9788965709343,10,표지도 너무 예쁘고 기대됩니다! 두께도 두껍고 좋아요!@
9788965709343,10,"스토리는 정말 중국다운 대하드라마 100부작이 연상되는 뻔한 사랑, 영웅, 왕실 얘긴줄 알면서도 도저히 손ㅇㄹ 놓을 수 없는 읽는 즐거움과 책을 들고 있는 그 순간의 희열이 대단한 책이면서도 뭔가 즐거운 아이템이라고나 할까?"
9788965709343,10,매력적인 주인공이 돋보이는 중국 역사소설
9788965709343,8,주문했는데 기대됩니다~
9788926706763,6,너무 늘어지고 있다.. 그냥 정으로 보는 중
9788934983378,10,무협지 매니아라면 필독...
