ISBN13,rating,review
9788970129815,10,탄탄한 서사로 속도감 있게 진행되는 이야기에 빠져들어 읽었다. 긴 시간 새로 쓰고 고치며 생생한 이야기로 만들어간 작가님의 집념이 감탄스럽다.
9788970129815,10,밤을 하얗게 만든 손에 만져지는 이야기.인물들의 삶과 하나가 되면서 또 거리를 두고 생각하게 된다.올해 만난 놀라운 선물!
9788970129815,6,1권에선 순자였던 주인공이 2권 첫페이지부턴 선자..뭐지? 내책만 이런건가?
9788970129815,10,오랫동안 베스트셀러인 이유가 있었네요한줄읽고 생각하고를 반복했어요작가님 고생 하셨어요
9788970129815,10,"이런 종류의 소설이 대개 역사소설처럼 올드한 느낌을 줄수밖에 없고, 항상 비슷한 서사를 가질수 밖에 없지만, 필력은 상당하고, 누군가는 잊지않고, 계속 써야 되는 우리들의 이야기임에는 분명."
9788970129815,8,여기에서 나오는 전라도 사투리는 그냥 드라마 사투리여전라도에선 저런 사투리를 쓰질 안해!
9788970129815,10,읽는 내내 마음이 아팠다
9788970129815,10,번역 진짜 최고
9788970129815,8,"1권은 옛날 한국소설을 읽는 듯 올드한 느낌, 전형적인 고생담이랄까. 재일조선인 2세대, 3세대로 넘어가면서 갈등 양상이 복잡해지는 2권이 훨씬 흥미롭다. 술술 읽히는 번역은 만족스럽지만 책 디자인은 이게 최선입니까?"
9788970129822,10,그 시대를 살지는 않았지만이해가 되는게 가슴이 아프다한이 느껴지던 파친코그때의 이야기가 아니라 아직도 우리의 이야기인 듯한...어쩜 삶은우연의 연속이 아니라 필연의 연속일까?
9788970129822,8,"1권에서는 순자였는데, 왜갑자기 2권에선 선자로 바꿔버린건지..... 순자가 더 한국이름같고 친숙한데 이미정씨는 번역할때 통일좀 해주세요ㅡㅡ"
9788970129822,6,1권은 재밌었는데2권에서 갑자기 퀄리티가 떨어진 느낌...1권의 깊이는 없고 에피소드들만 나열되었다
9791136264473,10,아직 읽지 않았지만 믿고 보는 히가시노 게이고~
9791136264473,10,"작가의 첫 연재작이라니, 과연 어땠을지 궁금합니다! 히가시노 게이고니까요~ ^^"
9791136264473,10,히가시노 게이고 작가님의 새로운 신작이라니 너무 기대됩니다!!
9791136264473,10,히가시노 게이고의 신작 믿고보는 최고의 작가
9791136264473,10,히가시노 게이고 작가님의 신작이라는 것만으로 기대되요~^^
9791136264473,10,추리 소설 하면 ‘히가시노게이고!‘ 경쾌하고 리듬감 있는 터치의 복고 미스터리라니! 설명 부터 흥미진진해지는 소설! 히가시노 게이고의  <그녀는 다 계획이 있다> 정말 꼭 읽고 싶다!! 엄청 기대가 된다. 생각만해도 흥미진진! 기대가득!
9791136264473,10,히가시노 게이고 소설 정말 넘 좋아해요ㅠㅠ이번 신간 내용이 너무 궁금하고 표지도 취저에요!
9791136264473,10,"히가시노 게이고의 복고 미스터리라...거기다 첫 연재소설이었다니, 궁금하고 기대됩니다^^"
9791136264473,10,"삼류소설같은 죽음뒤에 숨겨진 욕망, 그녀의 계획이였을까... 믿고 보는 히가시노게이고!!"
9791136264473,8,800만엔짜리 보석은 채소한두개사듯 사고싶은 그녀의 욕망을 들여다보고싶다 아아~~나도 그러고싶다ㅎㅎ
9791136264473,10,히가시노게이코 작품은 믿고 보는 도서.이번에도 어떤 반전의 매력을 줄지 기대해봅다.
9791136264473,10,복고 미스테리라.. 궁금하다. 히가시노..그는 실망시키는 법이 없다.
