ISBN13,rating,review
9788937437564,10,표지가 예뻐서서 샀습니다. 두기만 해도 예쁨. 그래도 산 김에 읽어봤는데 여운이 깊어요.
9788937437564,10,“Es muss sein!” 짧은 말 한 마디지만 가장 기억에 남는 문장이다. 앞으로 인생을 살아가면서 좌우명이 될 것같다. 더 좋은 문장을 알아내기 전까지는 말이다. 하지만 바뀔 것 같지는 않다.
9788937437564,10,책 내용은 말할 것도 없고디자인도 너무 이쁨.이건 무조건 소장각
9788937437564,10,다시 읽어보고 싶네요
9788937437564,10,"완벽하다. 너무 알차다.사랑도 있고 역사도 있고 비극도 있고 오해도 있고 고찰, 통찰, 철학, 종교, 형식도 있으며 무엇보다 멍멍이도 나온다 지하철에서 읽고 울다가 휴지 없어서 소매에 코풀었다"
9788937437564,10,"일단 다른 거 제쳐두고 책 디자인만으로도 별 다섯개... 책 자주 사는 편인데 책이 이뻐서 소장편도 사두고 싶기는 또 처음.. 비닐 포장이 안 되어 있어서 포기했지만 100자평이라도 남겨야겠다. 전에 대충 읽었던 건데 이번에 여유를 가지고 읽는 중, 대충 지나갔던 부분들이 보여서 좋습니다."
9788937437564,4,아직은 어렵다
9788937437564,10,이제 밀란 쿠데라 차례가 되지 않았을까나.
9788937437564,2,책 재밌대서 샀는데 읽어보니까 제 정서랑 안맞아서 읽기 힘들었네여... 이해력이 부족한건지 뭔지 주인공들 공감도 안되고 그냥 그랬음..
9788937437564,10,어릴 땐 도저히 페이지가 넘어가지 않았었는데 이토록 흥미진진하게 페이지를 넘길 수 있게 되다니. 배경지식과 독자의 몫이 중요하다는 걸 새삼 느낌.
9788937437564,10,책은 있지만 표지가 이뻐서 소장용으로 구입했습니다 ~
9788937437564,8,책이 이뻐서 또 샀습니다... 그런데 책을 다 읽기도 전에 표지 그림이 벗겨지기 시작합니다... ㅠㅜ
9788937437564,8,"2019년 열여섯번째 책. 조금씩 끊어서 약 3개월만에 완독은 했으나, 알 것도 같고 모를 것도 같은 화자와 완벽한 개념 정립에 실패한 까닭에 소설로써의 매력을 흠뻑 느끼지는 못했으나, 한 번쯤 읽어 볼만합니다."
9788937437564,10,"93년판이 있음에도 예뻐서 또 구매했다. 양장판을 선호하지 않는데, 소장용이라 양장인게 나은듯 하다. 서체, 책의 질감, 일러스트 모든게 마음에 든다. 무지개빛만 빼고"
9788937437564,8,중반까진 재밌었는데 후반부터는 너무 어렵고 이해도 안되네요ㅠㅠ다음에 한번 더 읽으면 그 땐 이해하게 될까요고전이란 참 어렵습니다!
9788937437564,10,참을 수 없는 존재의 가벼움.책 이미 있고 이미 두 번 읽었지만표지가 너무 맘에 들고 좋아하는 책이라 또 샀어요~
9788937437564,8,내용이 너무 ㄴㄴㄴㄴㄴㄴ너무 내용이 좋은것 같다
9788937437564,10,"영겁회귀의 시간 동안 계속 다른 인생을, 즉 제2의 인생, 제3의 인생을 살아가면 과연 더 행복할까?그래서 인생은 가볍고 또 무거운 것이다.네 인물이 그려내는 선택하지 못한 다른 길에 대한 각자의 생각, 하지만 결국 한번의 인생은 결국 각자의 최상의 선택지를 놓고 고민한다!"
9788937437564,10,카레닌의 미소가 가장 기억에 남은다 가벼움과 무거움 어떤게 좋은건가 나쁜건가 키치란....
9788937437564,10,30주년다운 야심찬 역대급 개정판. 또한 그동안 국내도서 표지 디자인에 만연해 왔던 아무 명화나 적당히 대충 골라 만든 안이한 구닥다리 형식을 탈피했다는 점 역시 반갑다.
9788937437564,10,"정말 오랜만에 좋은 책을 만났다. 책 속의 모든 주인공들의 마음이 온전히 이해됨은 물론이고, 평소에 내가 생각했던 사랑에 대한 자잘한 고민들을 주인공들도 함으로써 그런 고민들을 나만 한 게 아니라는 생각에 위로까지 되었다. 올해 구입한 책들 중 가장 마음에 드는 책."
9788937437564,2,"책을 펼쳐서 읽을 수 없다. 이따위로 책을 만드는 이유가 뭔지 모르겠다. 책을 펼치려면 팔목이 아플 정도다. 읽으라고 책을 만든 건지, 진열품으로 만든 건지. 리커버만 주구장창하지 말고 책 좀 제대로 만들어라."
9788937437564,2,"민음사야! 제발 책 좀 읽기 좋게 만들어라. 각양장을 이 따위로 만들면 어떻게 펼쳐서 읽니? 제발 책 좀 읽을 수 있도록 만들어라. 진열하기 좋은 책을 만들지 말고. 북 콜렉트를 위한 책을 만들지 말고 진짜 독자를 우선에 두란 말이다. 니들이 만든 보르헤스 책, 한 번이라도 펼쳐 봤니?"
9788937437564,10,표지가 이뻐서 이미 가지고 있지만 구입했음.
9788937437564,10,독서 모임에서 선생님이 항상 추천 하는 책이였는데 살까 말까 고민만 하다 보관함에 넣어 났었는데 알라딘에서 추천하니 책 겉표지가 홀딱 반하게 하네요 글쓰고 바로 구매 합니다 ~^^
9788937437564,10,"""슬픔은 형식이었고, 내용은 행복이었다. 행복이 슬픔이라는 공간을 채웠다."""
9788937437564,10,"책이 너무 이뻐요. ㅎㅎ 종이 사이즈, 느낌도 딱 제 취향이고 양장이지만 무겁지 않아서 좋아요."
9788937437564,10,표지가 너무 이뻐서 책이 있지만 또 샀음..ㅋㅋㅋ후회는 하지 않아요 소비는 확실한 행복 소.확.행
9788937437564,6,의견들에 일부 공감합니다.
9788937437564,2,"표지만 바꾸지말고 번역을 다시 하기 바랍니다, 번역이 썩 좋은 편이 아니라는 거 알만한 사람은 다 알고 있어요..."
9788937437564,10,지름 방지 주문을 외워 본다. 저건 카레닌이 아니다. 밀란쿠영감이 자기 곤충 그린거다. 안 살 지도 모르겠다. 흑
9788937437564,2,"30년 동안 표지만 바뀐걸 자랑스럽게 광고하시는데, 번역이 바뀐건 없는건가요? 1999년도에 출간된 이재룡님의 번역으로 그대로 재출간 된건지요?"
9788937437564,8,"왜 <참을 수 없는 존재의 가벼움>으로 번역됐을까? 작가의 창작언어인 체코어원제는 ˝Nesnesitelná lehkost bytí˝이다. 외국어 번역: The Unbearable Lightness of Being(영), Insoutenable légèreté de l‘être(프). 존재가 수식받는다.<존재의 참을 수 없는 가벼움>이 더 적합한 번역이라고 생각"
9791130635675,8,처음부터 너무 강렬한 장면이 연출되어 놀라왔습니다.그러나 마법처럼  빠른속도로 책장을 넘기게 되었습니다.~~2권이  기대되네요.
9791130635675,8,"한번 손에 잡으면 하루동안 끊지 않고 읽고 싶을 정도로 흡입력있는 소설이다.장면에 대한 묘사력도 디테일해서 머릿속에 그려질 정도였으며, 주인공들의 심리적 변화를 보며 그 변화의 흐름에 나도 덩달아 함께 휘몰아치는 느낌이었다. 후속작도 있다고 하니 이후의 일이 더 궁금해진다."
