ISBN13,rating,review
9788937463778,10,이게 나오네! 미로 속의 장군도 나올라나..
9788982814471,4,직설적인 단어사용이 보는 내내 거슬렸다.소설이 아닌 자기계발서를 보는 듯한 느낌이 들기도 했다.
9788982814471,10,"간절히 원한다면 온 우주가 도와주지만 이것을 방해하는 것은 두려움이다. 존경하는 선생님으로부터 추천받은 책인데, 힘들 때 읽어서 그런지 내게 많은 의미로 다가왔다. 온 우주가 그대를 도울만큼 무언가를 간절히 바란 적이 있는가. 인생이 물음표로 가득할 때 도움을 준 소중한 지침서."
9788982814471,6,문체와 내용에 관해서는 명확한 장점이 될 수 있고 명확한 단점이 될 수 있을 것 같다. 다만 그 단점 때문에 왜 이 책이 세간의 엄청난 명성이나 인기만큼의 값어치가 있는지는 잘 모르겠다. 그나저나 문학동네가 메이저 출판사답게 확실히 선구안이 뛰어난 것 같다. 작가의 미래 노벨상을 점치다니.
9788982814471,6,경구들 하나는 끝내준다.
9788982814471,10,번역이 너무나 매끄러워서 감탄했어요원서를 나란히 놓고 한문장씩 비교하는데어쩜 이리도 자연스럽게 번역하셨는지 존경스럽더라구요책 내용은 말할 것도 없고 번역에도 큰 박수 드리고 싶어요
9788982814471,10,책을 읽는 내내 산티아고와 사막을 같이 걷는 마음으로 책을 읽었다. 물론 산티아고는 모르겠지만^^ 내 인생의 모래바람 속에서도 전능자가 그렇게 동행해 주시길..!! 그리고 이 코로나19 모래바람도 마침내 끝이 있길..!!
9788982814471,8,"자아의 신화를 사는 자는 알아야 할 모든 것을 알고 있다네. 꿈을 이루지 못하게 만드는 것은 오직 하나, 실패할지도 모른다는 두려움 일세연금술사"
9788982814471,10,"매번 읽을 때 마다 심장이 두근거리고 마음속 깊은곳에서 용기와 빛이 솟아올라요. 꿈이 있는 사람들, 삶을 귀하고 소중하게 여기는 사람들에게 기둥과 길잡이가 되어줄 책입니다. 적극 추천합니다."
9788982814471,10,명작의 향기
9788982814471,10,중고책이라해서 지저분하면 어쩌지 했는데 깨끗하고 마치 새것처럼 배송이 빨라 좋네요
9788982814471,8,"오랜만에 읽은 동화 같은 작품. 도서관에 있는 책이 너무너무 닳아서 샀는데, 많이 보는 책은 다 이유가 있구나 싶었다 이북으로 사 봤는데 종이책 사서 밑줄 그어가며 다시 읽고싶다"
9788982814471,10,남자친구에게 선물하기 위해 다시 한 번 읽어보았다 - 2019년 9월
9788982814471,10,소장용으로 구매하였어요.
9788982814471,10,이거 읽고 사막에서 자아성찰 하고 싶어서 고비사막 갔다옴.고비사막에서 연금술사 읽으면 감동이 2천배
9788982814471,8,"왜 명작인지 알게 해 주는 좋은 책. 상세 설명은 필요 없을 듯. 다만 굿즈에 대해 평가하자면 연필을 선택했는데, 연필이 돌돌 깎여 있는 상태로 오고 연필이 담긴 종이케이스도 상태가 별로. 소장가치가 좀 떨어지고 너무 평범한 연필임. 책은 정말 좋음!! 연필 때문에 별은 4개만."
9788982814471,8,리커버 표지 뒷면은 금박 안넣어져있어서 별 하나 뺐어요.앞면은 반짝반짝 예쁩니다.
9788982814471,10,"˝자네가 무언가를 간절히 원할 때 온 우주는 자네의 소망이 실현되도록 도와준다네.˝ 이 글귀에 끌렸다. 양치기 산티아고는 보물을 찾아 떠난다. 말 그대로 보물이긴 하지만, 자아의 신화를 찾아가는 거다. 나도 그저 돈 버는 일을 떠나 무엇인가를 느끼며 살고 싶다."
9788982814471,6,너무 종교적이라 조금 아쉬움
9788982814471,10,인생을 바꾸는 책이 있다면 바로 이책이 그런책이다.
9788982814471,10,산티아고 순례길을 다녀와서 복기하듯 읽은책
9788982814471,8,"일단 여정을 떠나면 많은 것을 깨닫게 된다. 결국 선택의 문제다. 산티아고는 꿈 때문에 떠났지만, 우리는 꿈 때문에 남는다. 크리스털 가게 주인처럼."
9788982814471,8,몇일사이 구독하고 싶은 책 몇권 있어 구입 후 지인들에게 선물하고 싶어 몇권 더 구입 했습니다. 연금술사 책 아직 읽기 전인데... 무더운 날씨에 표지보니 그냥 시원한 느낌이 들어 조만간 구입해서 읽고 괜찮으면 지인에게 책 선물 해 주고 싶네요^^
9788982814471,10,번역본이 필요해서 구입했다.소년이 산티아고에게 길을 묻고 이집트로 향하는 내용이다그중에 여러사람에게 만나 대화하는 내용이 나온다 솔직히 원서를 읽었을때 대화가 너무 토막토막 나와서 주요내용 이해가 쉽지않았다. 하지만 한장한장 넘기면 술술 읽어진다. 결국 소년이 소녀를 만나게된다
9788982814471,10,"내 인생 책. 전환점이 필요하다고 느낄 때, 새로운 도전을 앞에 두고 두려움이 앞설때면 이 책을 생각만해도 위안받는다."
9788982814471,8,양치기들이 책을읽지않는건 책보다 양들이 더많은것을 가르쳐주기때문이다
9788982814471,8,철학적 질문을 쉽게 읽히도록 쓴 책모든 존재의 근원과 삶의 이유. 모든 근본적인 것들에 대한 질문을 던져준다
9788982814471,8,힘들 때 마음편하게 읽을 수 있는 책
9788982814471,10,감동... 다음번에 읽을 때는 필사하면서 읽어야겠다.
9788982814471,10,초등학생 시절 읽었을 때는 왜 명작으로 꼽히는지 이해되지 않았습니다. 다른 자기계발서보다 더 훌륭한 영감을 주는 책입니다. 나이 들어서 다시 읽었을 때의 느낌이 다릅니다.
9788982814471,6,코엘료의 이름을 빌린 책. 지나고보면 문득 생각나는 책. 11분이 너무 신선해서인가.
9788982814471,10,보고 또 봐도 언제나 새로운 영감을 주는 책
9788982814471,8,재미있게 읽은거만 기억난다.... 나중에 한번 더 읽어 봐야겠다.
