ISBN13,rating,review
9788998441074,10,긴 분량이지만 한 번 읽으면 멈출 수 없다. 박진감과 긴장감을 제대로 느낄 수 있다. 30년 전 소설이지만 너무도 선연하게 다가오는 것은 왜일까.
9788998441074,10,재미 있어요~^^
9788998441074,10,충격적입니다. 소름 돋습니다. 작가의 말처럼 한 쪽에 경도되지 않고 동등한 자리에서 조화롭게 살아갈 수있었으면 좋겠습니다. 모든 독자분들이 같은 생각이길...
9788998441074,10,책이 나올 당시의 시대상을 생각하고 읽으면 더욱 놀랍게 느껴지는 책입니다. 책이 생각보다 두꺼웠는데 북마크를 꽂을 새도 없이 한번에 읽었습니다. 어느정도 공감이 가지 않는 부분 역시 있었지만 문장 하나하나가 곱씹게 되는 좋은 책입니다.
9788998441074,10,2020년 아니고 1990년대에 쓰여진 책이라니너ㅓㅓㅓㅓㅓㅓㅓㅓㅓㅓ무ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ멋지니까 아묻따 걍 읽어야 함양귀자 작가 도장깨기 2
9788998441074,10,"90년대 페미니즘을 대표하는 책이라는게 과언이 아닌,,내용이 너무 흥미진진해서 빠져들어서 읽었네요"
9788998441074,10,영웅에 걸맞는 결말이라는 생각이 든다. 지금까지는 남성들이 전유했던.
9788998441074,10,책을 펼치자 마자 정신없이 읽었습니다. 제 마음속의 노벨문학상이에요. 꼭 꼭 읽어보시길 추천합니다.
9788998441074,10,주인공을 혐오하다가 사랑하게 되었다.
9788998441074,10,버지니아 울프만큼 깊고 이갈리아의 딸들만큼 시원한데 양귀자는 재미와 씁쓸함을 각각 한 꼬집씩 더 넣었다.
9788998441074,10,"아 재판해서 다시 나오네요ㅜㅜ2019년의 가장 기쁜 소식입니다.ㅜㅜ이 책을 처음에 읽었을 때, 충격 잊지 못해요ㅜㅜ첫머리 작가의말에 나오는 할머니 이야기가 정말 슬펐고 작가란 그런 삶의 파편들을 그러모아 이야기로 남기는 작업이구나..하고 생각하게 됬습니다."
9788901248202,10,근현대사의  아픔을  소녀의  눈으로  담담하게  묘사한다.순식간에  읽었다.
9788901248202,10,갈아입은 표지로 더욱 아름다워진 싱아!!
9788901248202,10,"박완서 타계10주기 개정판으로 더 예쁘게 돌아온 박완서 장편소설, 역시 명작이네요."
9788901248202,10,박완서 작가를 알기 위해서는 반드시 이 소설을 읽어야 한다.
9788901248202,10,한정판 책!! 자주색바탕에 싱아인듯한 꽃이 예쁘게 피어있다. 책을 덮으며 정말 잘 읽었다. 안 읽었으면 후회했을듯한 책이다.
9788901248202,10,외우는 역사가 아니라 이야기를 통해 알게 되는 과거는 더 기억에 남는 것 같았다. 그때의 시절을 읽으며 지금의 삶이 얼마나 고마운 순간인지 느낄 수 있었고 또 그 때를 견디고 이겨내주신 분들 덕분임을 더 알 수 있었다.
9788901248202,10,찬란한 어린 시절과 성장 과장을 흠뻑 취해 보고 싶다면 ‘그 많던 싱아는 누가 다 먹었을까‘를 읽기를 추천한다. 아픈 역사의 순간순간의 모습에서 갑자기 어른이 되어버린 소녀의 이야기는 이제 시작이다. 그녀와 함께 세상 이야기 들어보길 추천한다.
9788901248202,10,새롭게 옷을 입고 예쁘게 독자 앞에 선보인 박완서 작가의 대표작이네요. 표지가 참 마음에 들어요. 소설은 말할것도 없구요.
9788901248202,10,예전에 학창시절 읽었던 책을 추억삼아 다시 읽게 되더니 ..
9788901248202,10,정말 많은 세월이 지났음에도 변함이 없다. 매번 읽을 때마다 감동적이다.
9788901248202,10,당신은 레드 콤플렉스를 자기 검열하고 있지 않습니까?
9788901248202,10,요즘 각 출판사마다 박완서 작가 타계 10주기를 맞아 멋진 개정판들이 출간되고 있다. 그 중에서도 웅진출판사에서는 연작 자전 소설 두권이 출간되어 더 의미 있는 작품들이다. 특히 개인적으로는 멋진 표지가 인상적이었고 한국 문학의 거목의 삶을 엿볼 수 있는 시간이 되었다.
9788901248202,10,"그시절, 그녀 옆에서 시큼한 싱아를 함께 먹고싶다.나는 살아보지 못한 시간임에도 마치 함께 걷는 기분이 들만큼 세심하게 기록한 우리의 역사.격동의 시대, 그녀의 목소리가 더해져 더욱 마음이 아리다."
9788901248202,10,꼭 읽어야 할 필독서!
9788901248202,10,박완서의 저전소설을 통한 역사증언이다
9788901248202,10,"역사 교과서에서만 배우던 일제시대의 내용들이 이 책에 자세하게 나와있어서 신기하기도 하고 , 마음 아프기도 했어요. 그리고 책 첫 부분에 정말 시골만의 정겹지만 아름다운 풍경들을 세밀하게 묘사되어있어서 아름다웠어요."
9788901248202,10,아... 엽서 갖구 싶다.......
9788901248202,10,지금에 와서 다시 읽어보니 배경이 되는 시대의 참혹함이 더욱 생생히 다가오네요
9788954677523,6,캐이트 쵸핀이라 읽습니다
9788954677523,4,"코호북스에서 작년에 펴낸 <그녀들의 이야기>라는 책과 영미 여성작가 단편모음이라는 컨셉도 같고, 작가진은 거의 동일하며 겹치는 작품이 셋이나 된다. 누런 벽지나 맨스필드의 작품은 수록된 앤쏠러지만 수두룩해 보이는데,  신선미가 떨어져 고리타분한 기획처럼 보인다."
9788954677523,10,기대합니다!
9788954677523,10,"케이트 쇼팽, 버지니아 울프, 이디스 워턴 등... 기대됩니다 :)"
9791191247022,10,사전에 기록될 단어들을 모으던 시기에 미처 기록되지 못했던 단어들을 모아온 사람들의 이야기를 소설로 읽을 수 있어서 좋았다.
9791191247022,10,"언어에 담기지 않은, ‘기회가 없었던’ 사람들의 역사. 언어와 사전의 역사, 여자 노예 ‘리지’의 역사, 그것을 기록한 사전편집자 ‘에즈미’의 역사. 기회를 갖지 못한 단어들. 복원하고자 하는 시도. 에즈미는 시장을 돌아다니며 교육받지 못한 이들에게 발언권을 주고, 그렇게 단어를 수집한다."
9791191247022,10,"문장들이 아름답고 힘이 있다. 단어를 사랑하는 이야기인가 하면, 다른 사람을, 세상을 사랑하는 이야기이기도 하다. 부드럽고 섬세한 말들에 힘을 얻게 되는 기분."
9791191247022,10,"책을 읽으면서 몇몇 얼굴들이 떠올랐습니다. 직접적으로 얽혀 있지 않은 느슨한 연대일지라도, 어떤 마음들을 볼 때마다 울컥울컥해지곤 합니다. 이 책을 읽으면서도 그랬어요.오랜만에 소설을 읽으며 따뜻한 마음이 전해졌습니다. 오래 읽히기를 바라는 마음입니다.�"
9791191247022,10,만약 내가 단어라면 어떤 쪽지에 적히게될까? 내가 단어라면 어떻게 정의될까? 실제 옥스퍼드사전을만들던 스크립토리엄의 모습을 찾아보니 눈물겹다.
9791191071344,4,"문단미투 관심있거나, 소설 재미가 아닌 의미로만 읽는 걸 좋아하시는 분들..........에게.....새롭게 쓴게 있나하고 봤더니 그런 건 없었음"
9791191071344,10,책 소개에 ‘동의‘란 단어가 얼마나 위태롭고 다각도에서 살펴 볼 필요가 있다고 되어있는데 공감이 가고.. 이 책을 꼭 한번 읽고싶어집니다.
9791191071344,6,성폭력 고발문학은 당연히 필요하다. 하지만 영상과 별반 다를게 없이 사건 기록처럼  재현에만 신경쓴 소설은 무슨 의미가 있을까 싶다. 단순한  사건기록은 시사프로그램이 더 뛰어난데.
9791191071344,10,기대됩니다!
9791191071344,10,미투운동의 힘을 느끼게 해주는 책.
9791191071344,10,"구시대의 그릇된 사고로 인해 자행된 폭력들이 지금까지 이어져오고 있다는 사실이 놀라울 따름입니다. 당시에 주인공이 얼마나 고통스러웠고 부끄러웠을지 감히 이해하기 어렵습니다만, 더이상 가해자의 그림자 아래 숨어있지 않고 세상에 그 아픔을 고백해준 저자의 용기에 박수를 보내고 싶습니다."
9791191071344,10,실화라니...재미있겠네요바로 구매
9791191071344,10,기사로 본 사건을 담은 책이네요. 며칠 전 우리나라에도 비슷한 사건이 있었죠. 많은 사람들이 읽길 바라며 구매합니다.
9791191071344,4,소아성애. 사건중심. 기록. 노잼
9791191071344,10,실화라는 것에 놀라움을 금치 못하겠네요.우리나라도 이런 피해자가 안 나오길 바라면서 구매
