ISBN13,rating,review
9791191467024,10,정말 재밌어요 ㅋㅋ 폰을 놓지도 못하고 이북으로 하루만에 다 봤네요 ㅋ
9791191467024,10,"기다리고 있었는데, 읽어보니 너무 재미있어요!!"
9791197179150,10,"​현대에서 경국으로 시간을 되돌려 떨어진 청년 범한이 경국을 넘어 동이성, 북제까지 세력을 넓혀가는 동안 판시엔으로 활약한다. 이제 남은 것은 그가 어디로 향하는지이다. 서서히 대단원으로 향하는 소설은 어디로?  이제 비밀이 하나씩 풀리기 시작한다.하1권에서 그가 한 발을 내딛는 곳은"
9791197179150,10,판시엔과 황제의 치열한 두뇌싸움. 끝을 향해 달려가는데 과연 남은 한 권에서 어떻게 마무리가 될까?
9791197179150,8,굵직한 이야기가 끝나고도 흥미롭고 다음을 기대하게 한다. 어떤 결말로 이어질지 궁금하다.
9791197179150,10,"드디어, 하2권 한 권만 남았어요. 빨리 결말을 알고픈 마음과 계속 읽고 싶은 마음이 교차하네요 ㅠㅠ"
9791197179150,10,표지에서 주는 위압감으로 인해 그 내용이 더욱 궁금해진다.
9791197179150,8,놀라움과 반전이 있다는 얘기에 읽어보고싶어요
9791197179150,10,빈틈없는 스토리 구성에 읽을수록 빠져들어요-완결이 다가오는게 기다려지면서도 벌써 다음권이 완결이라니 아쉬워요-
9791197179150,10,빠른 출간 너무 좋아요~ 판시엔의 다음 행보가 두근두근합니다.
9791197179150,10,"경여년 상1,2권, 중1,2권을 너무 재밌게  읽어서 다음편인 하1권 내용이 너무 궁금합니다."
9791197179150,10,"단 하나의 자리, 누가 차지할 것인가? 손에 땀을 쥐는 상횡의 다음 내용이 기대됩니다."
9791197179150,10,매 번 놀라움과 반전이 있는 내용으로 다음이 기다려집니다!
9788936471163,10,아큐정전 중에 번역이 매끄럽다고 정평이 나있어서 구매했습니다 ~ 최곱니다 매끄럽게 술술 잘 읽힙니다 세계문학은 출판사보고 사지마시고 번역가보고 사시길 ....
9788936471163,10,"번역이 상당히 유려하고 아름답다. 을유문화사의 루쉰전집을 갖고 있는데, 둘 다 번역이 우수하나 창비의 것이 내겐 조금 더 아름답게 읽혔다. 현지 용어에 대한 설명도 풍부해서 이해하기 더 수월했다. 다만 많은 작품을 싣지 못한 것이 정말 아쉽다."
9788936471163,8,솔직히 말하자면 재미는 없었다. 아직 내가 중학생이라 그런지는 몰라도 어려운 단어도 많았다... 사람마다 다르긴 하지만 재미있을거란 기대를 하고 읽지는 않는게 좋을듯
9788936471163,10,광인일기는 절창이었다
9788936471163,10,"중고등학교 때 읽다가 집어 던진 책, 사회인인 지금은? 재미있다."
9791160075007,8,재밌는 구성의 홍콩식 하드 보일드 소설. 홍콩 경찰 필름이나 느와르에 익숙한 사람들에겐 호칭이라던가 말투등 매우 익숙한 표현들이 채워져 있어서 읽기가 좋으면서도 그 점이 조금 걸릴때가 있었지만 재밌게 잘 읽었다. 시간 죽이이기에 이 소설만한 미디어가 많지 않을거 같다. 재밌었다.
9791160075007,10,홍콩이라는 특수한 공간적 배경을 200% 살린 새로운 장르의 추리소설이다. 치밀한 스토리와 챕터당 기본 두세 번 뒤집히는 반전이 짜릿했다. 관전둬라는 신 탐정의 등장을 좀 더 빨리 알았더라면.
9791160075007,10,리커버판 표지가 너무 멋지네요. 근사한 입체감에 눈이 즐겁습니다^^
9791160075007,10,"연작 단편 추리집. 히가시노의 추리 소설에 비해서 다소 묵직했지만, 홍콩 배경이 나오는 게 내겐 특별하고 좋았다!"
9791160075007,10,대단하다. 여지껏 읽은 중국 추리 소설(사실 두세권 정도이긴 함) 중 최고. 작가의 다른 소설도 조만간 사봐야할듯. 묵직함과 더불어 막판에 밀려오는 그 깊은 놀라움이란......
9791160075007,10,책이 아름답네요. 내용도 재미있는지라 100%소장각입니다. 망내인도 하드커버로 다시나오길...
9791160075007,6,흠..그냥 홍콩사람이 쓴 추리소설이에요~홍콩에 대한 새로운 지식을 얻고자 한다면 soso합니다
9791160075007,10,"늦은 것이 빠른 것이다라는 말에 의지해 드디어 만나보는 칭찬 가득한 소설, 흥미진진!!!"
9791160075007,10,찬호께이는 천재다
9791160075007,10,기대되요.디자인도 멋집니다.
