ISBN13,rating,review
9791197182204,10,이기 갱상도 말씨루다가 이래 즉어노니까 이상스릅게 맴에 팍팍와 백히는기라..내 읽다가 슬퍼서 울어뿟다 아이가. 애린왕자가 이래 눈물나는 이바구였는지 인자 알게됐데이...저 이정도면 자갈치 시장 가서 바가지 쓰지 않을 수 있겠죠? 경상도 어학교재로 추천합니당. 코로나 지나면 부산 놀러갈래요
9791197182204,8,은근히 읽기 어렵지만 ㅋㅋㅋㅋ유쾌하면서 친근하고 좋아요
9791197182204,10,독일 직구를 해야 살 수 있던 한국 사투리버전 특별판을이리 쉽게 서점에서 살 수 있게 되어서 넘 기뻐요 ㅜㅜ
9791197182204,10,얼라왕자
9791197182204,10,다른 책들 보다 배송이 좀 늦는가봐요. 얼른 도착하면 좋겠습니다~
9791197182204,10,"가격이 9900원이지만, 번역의 새발견을 한 것 같다. 나이들어 다시 읽으니 더 감동이 깊고, 번역이란 무엇을 전해야 하는 가를 다시 생각하게 한 책 입니다."
9791197182204,10,"ㅋㅋㅋ진짜 골 때린다. 경상도 사투리 버전의 어린 왕자... 아니, ‘애린 왕자‘라니 앜ㅋㅋㅋ 꼭 읽어봐야겠다."
9791197182204,10,와~ 발상이 지기네.
9788937462672,10,발단에는 누구도 관심을 두지 않는다. 위기에는 모두들 의사를 찾는다. 절정에는 모두들 종교를 갖는다. 결말에는 모두 잊어버린다. 그리고 이 루틴은 항상 반복된다.
9788937462672,8,"미래를 예견한건지, 전염병이 있는 시대의 인간군상이 비슷한건지는 잘 모르겠지만 확실한건 작가가 천재라는 사실이다"
9788937462672,10,갑자기 다시 읽어보고 싶어서 구입!
9788937462672,8,100년전 까뮈가 현재를 내다보고 쓴 책같다. 코로나 이후에 미치지말고 살아야 할텐데.
9788937462672,10,꼭 읽어보겟어여
9788937462672,8,"최근의 제자리 걸음 속 단조로운 불행을 대하는 세 가지 태도; 도피, 초월(체념), 투쟁. 나는 어디를 향하는가. 이 책을 통해 다지는 마음은 그저 묵묵하게 내 자리, 내 할 일을 해내는 것. 그것이 페스트와, 코로나와 싸우는 방법임을."
9788937462672,4,내가 모지리인건지... 이게 매끄러운 문장인지 두번 세번 읽어보고 갸웃거리게 되는 부분이 많았음.
9788937462672,6,"37. 대 코로나 시대를 맞이하여 읽기 시작한 책. 이었으나 ㅎ 나는 아무래도 고전이랑 안맞는듯. 힘겹게 읽었다. 충격적인건 너무나도 소설이 지금 시대와 비슷하고, 또 다른건 우리는 아직 코로나가 안 끝났다는것,,,"
9788937462672,4,오지게 길고 지루하다... 어떻게든 읽긴 했는데.. 왜 다들 청소년판으로 시조라고 했는지 이해가 간다. 쓸데 없이 길어..
9788937462672,8,나는 이방인이 더 좋더라
9788937462672,2,카뮈를 욕보이는 번역...민음사 책을 일순위로 ㅅ고르는데 의심을 하기 시작했다.
9788937462672,2,번역 개헬이네.. 적당히 감수하고 읽으면 되겠지 했는데 최악이다 한문장을 몇번씩 읽어보는거야.. 머리속에 남는거도 없음 정말 사고 싶으면 몇페이지 읽어보고 사시길..
9788937462672,6,재미는 있었으나 번역때문에 읽기 힘들었다.
9788937462672,6,이제는 새 세대의 번역자가 새로 공들인 번역을 내놓을 때가 되었음을 절실히 느끼게 해준 책
9788937462672,10,"코로나 19 사태와 맞물려 읽어 보았습니다.  그때나 지금이나  대처하는 방법이나 자세는 크게 다르지 않음을 느끼며,  현명하게 이 사태를 잘 이겨냈으면 하는 바램이 큽니다."
9788937462672,4,불문학자가 아니라서 번역의 완성도는 모르겠으나 한국인이  한국어로 번역된 한글을 읽는데 이리 가독성이 떨어져서야.. 기본적으로 좋은 책을 만드는 출판사에 대한 믿음이 있는데도 이 책은 참 버겁습니다. 나름 다독자라고 자부하는데.. 이 번역은 힘드네요. 다른 출판사의 번역본을 추천합니다.
9788937462672,10,"삶의 부조리,  반항정신,  연대의식"
