ISBN13,rating,review
9791190174756,10,책에 대한 재미를 처음 느끼게 해준 책. 그동안의 나는 무슨 책을 읽고 있었는지 깨닫게 해주는 책이었어요. 마음에 오래오래 남을 것 같은 책입니다. 고민하고 있다면 바로 사는 게 좋을 것 같아요.
9791190174756,8,현실적이면서도 비현실적인 상황을 잘 그려낸다 작가의 다른 작품도 기대된다
9791190174756,8,이 작은 책에 완전히 빨려들어 갔다. 단숨에 읽었다. 안개 낀 숲 속의 눅눅한 나무 껍질 같은 책.
9791190174756,10,작가님의 두 번째 단편집 기다립니다
9791190174756,10,"조예은 작가님의 <오버랩 나이프, 나이프>는 최고이니 꼭 한번 읽어보시길 바랍니다 :)"
9791190174756,10,습지의 사랑 너무 좋다ㅠㅠㅠ
9791190174756,6,"기대보다 너무 별로였음. 마지막 글이 그나마 기억에 남았음. 1,2번째 글은 난해하고 술술 읽히지도 않았음."
9791190174756,10,"다 좋았는데 <오버나이프,나이프> 미쳤어요"
9791190174756,10,장르소설은 처음인데 괜찮은 첫 경험이었다.
9791190174756,8,"날카로우면서 독특하고 독자를 단숨에 훅 끌어당긴다. 습지의 사랑은 축축함에 내려앉은 쓸쓸함에 눈물이 났고 오버랩 나이프, 나이프는 기묘한 느낌으로 심장이 쿵 내려앉는다.딱 표지의 바늘 같은 선 하나가 참 잘어울리는 내용들이었다."
9791190174756,6,일단 책이 너무 작고 얇아 깜짝 놀람. 하지만 그립감은 아주 좋았다. 젊고 신선한 느낌이랄까. 첫소설이 제일 좋고 뒷부분은 취향이 맞지 않았음.
9791190174756,10,와.. 내가 지금 뭘 본 거니..진짜 완벽하게 풀이된 수학 문제 해설지 같은 단편들에 홀딱 반해버렸음 ㅠㅠ
9791190174756,10,전작도 재밌었는데 기대 이상이에요. 따뜻하면서 유쾌하고 긴장감 넘치고.. 다음 작품도 기대하고 있겠습니다!
9791190174756,10,"<습지의 사랑> 너무 좋다...고 생각하면서 넘어갔는데 <칵테일,러브,좀비>도 완전 좋다...고 생각하고 다음에 읽은 <오버랩 나이프, 나이프>는 그저 놀라웠음. 작가님 건강하시그 집필길만 걸으세욧"
9791190174756,4,못읽겠어요. 장편이 나으심.
9791190174756,6,기본적으로 호러. 한데 무섭기보다 애잔한. 설정의 구체성을 높여도 낮춰도. 변함없이 명료한. 드물게.
9791190174756,10,"와... 정말 재밌음..첫번째 단편 <초대>는 메스꺼운 섬뜩함과 통쾌함이 들었음... 마지막 <오버나이프,나이프>는 영화로 만들어졌음 좋겠다는 생각이 들만큼 몰입도가 대단함..  나머지 두 단편도 재밌음... 책 감사합니다!! 또 책 내주세요!!!!"
9788950993528,6,Sns를 보고 읽고 싶었다. 마케ㅅ팅에  당했다는 생각이 들었다.
9788950993528,10,릴레이식으로 이어지는 괴담의 향연. 공포와 공포소설의 진수를 유감없이 보여준다.
9788950993528,10,보다 현실감 있게 빠져드는 미스터리의 매력이 있는 책 괴담도 반전을 몰고오는 매력적인 이야기들이 가득한 책인거 같네요~
9788950993528,10,이 책의 반전은 항상 모든 일이 해결된 후 강력한 한 방으로 찾아온다
9788950993528,10,아시자와 요 작품은 처음만나보는데 톡특한 이야기 전개와 기묘함이 몰입감을 안겨주네요아니 땐 굴뚝에 연기는 실제인지 허구인지 헷갈릴 정도로 많은 사람들의 궁금증을 안겼던 작품으로 흥미진진한 괴담집 재미와 오랜 여운을 안겨주네요.
9788950993528,10,"재미있네요, 한편씩 끝날때마다 뭔가가 오싹한, 저는 < 악몽>이 가장 무서웠어요"
9788950993528,10,기묘한 흡입력을 가진 작품
9788950993528,10,일상 속에서 일어나는 괴담을 매력적이고 소름끼치게 완성한 작품. 책을 덮고 나서 더 무서워졌다.
9788950993528,10,"인간의 호기심과 악의가 공포를 주는 괴담을 만들어내는데 그것을 여섯 편의 연작 단편집으로 멋지게 조합한 작품이다. 특히 다큐멘터리, 논픽션 같은 서술 형식을 영리하게 활용하여 재미를 더해 주었다."
9788950993528,10,괴담과 미스터리가 촘촘하게 섞여 시간 가는 줄 몰랐다. ‘아시자와 요‘ 작가의 책이 또 나온다면 주저 없이 볼 것이다.
9788950993528,10,진짜 재밌게 읽었어요~ 전개도 매끄럽고 가독성도 좋고. 그 중에 최고는 각 편마다 나오는 반전입니다^^ 이 작가님 책 다음 출판도 기대하겠습니다~
9788950993528,10,"밤에 보는 괴담. 어느순간 서늘한 느낌이 올라오는 무서운 이야기다. 완독에 가까왔을 때, 재미가 더해졌다. 아니 그보다는 나도 모르게 집중하게 됐다고 하는게 맞다."
9788950993528,10,"이 점쟁이를 절대 찾지 마십시오.혹시 짐작되는 인물이 있거나 앞으로 그 점쟁이와 만날 일이 생긴다면, 결코 그녀를 의심하지 마십시오.현실에 있을 법한 괴담들로 오싹하고 재밌다♡"
9788950993528,8,간만에 호러 미스터리네요. 무척 기대 중입니다.
9788967995812,10,설에 집에서 읽을 오싹오싹 공포 괴담집입니다.꾸준히 재밌는 공포책을 써주셔서 독자로서 즐겁고 행복합니다.
9791196460761,10,"메이 싱클레어의 단편집 <기이한 이야기>는 유령과 정신분석 등 독특한 소재를 다루는 한편, 20세기 초 영국의 풍경도 엿보게 한다. 평범한 인간들의 죄와 벌, 후회가 초자연적인 현상과 어우러져 흥미롭게 펼쳐진다. 영화로 만들어지면 어떨까 상상하며 읽는 재미가 있다."
9788937463082,8,p.25. 신이란 집중된 의도로 모든 존재에 스며드는 거대한 의지에 지나지 않는다.
9788937463082,8,전승희님 번역이 가장 나은 선택입니다.
9788937463082,8,포의 그만의 독특함을 알게 해 주는것 같네요.
9788937463082,4,잘 안읽혀요.
9788937463082,10,포 단편은  다  재밌음
9788937463082,10,소름끼치는 인간 내면의 광기..소름끼치는 포우만의 독특한 묘사..
9788937463082,10,번역이 정말 마음에 드는군요.
9788937463082,8,모르그 가의 살인사건이 없네요 ㅠㅠ
9788972756682,10,러브크래프트의 세계를 맛볼수 있습니다. 황금가지 소설과는 완전히 다른 이야기처럼 느껴질 정도로 번역이 좋습니다.
9788972756682,10,황금가지 판보다 번역이 좋다고 느낍니다. 둘 다 샀는데 비교하면서 읽어 보니 차이가 더 느껴짐.. 다만 단편집이라 ㅠㅠㅠㅠ 황금가지판이 수록작품 더 많아서 그것도 같이 사야하는 것이 단점.. ㅠㅠㅠ
9788972756682,8,"황금가지 판 <러브크래프트 전집>이 부담스러워서(부러워서) 선집으로 읽었습니다. 몰아 보니 조금 빤하고 예스러운 느낌이 없진 않으나, ‘코스믹 호러’ 본좌 맛보았습니다."
9788972756682,10,"[유서 깊은 문학적 도시, 러브크래프트의 코즈믹 호러-그로테스크 리얼리즘.]▷오래 전부터, 약자였던 인류는 언제나 공포를 간직해왔다. 과학이 발전할수록 세계의 비밀은 수없이 밝혀졌지만, 그 끝에는 언제나 더 깊은 심연이, 결코 인류로선 다 해아릴 수 없는 미지라는 이름의 공포가 자리하고 있었다. 그런 잠재의식을 건드리는, 일종의 경외감을 동반하는 공포를 러브크래프트는 ‘코즈믹 호러-우주적 공포‘라고 정의했다. 미국 고딕문학 특유의 장식적인 문장으로 표현한 살아 숨쉬는 도시, 그리고 그 위에서 기이한 일에 우연히, 혹은 호기심에 접근하고 만 사람들의 심리를 ‘생생하게‘ 그려낸 그의 공포문학이 창조한 세계는 지금까지도 환상을 현실로, 현실을 환상으로 만들며, 이미 스스로 성장해나가는 문학적 지리 개념이자 유서 깊은 도시가 되었다."
9788972756682,8,"요즘처럼 무더운 날, 아무도 없는 집에서 거의 모든 불을 끄고 이 책을 읽어보라. 공포와 두려움으로 으스스! 체감온도 1도 이상은 떨어질 것이다. '미지의 것'이 인간을 두렵게 한다는, 공포에 대한 철학도 빼어나며, 공포란 결국 소재가 아니라 '분위기'임을 러브크래프트는 탁월하게 전한다."
9788972756682,8,겨우겨우 읽었다. 단편소설로서 각 작품의 완성도는 꽤 높다. 한 인간이 순식간에 괴물로 변하는 과정을 ‘리얼하게‘ 그려낸 <벽 속의 쥐들>과 시점의 완벽한 전환 보여준 <아웃사이더>가 인상적. 이런 호러물로부터도 현실적인 교훈을 얻자면: 집(터) 구할 때는 그 땅의 오랜 과거를 꼭 알아볼 것!
9788972756682,10,너무너무 훌륭하다. 모든 단편이 흥미롭고 좋다. 일상이야기가 안나와서 너무 좋다.
9788972756682,10,"외계에서 온 흐물거리는 형상, 썩은 물이 배어 나오는 부패한 존재를 묘사하는 데 작가가 천재적이다. 실린 글이 다 불쾌하고 오싹해서 마음에 든다."
9788972756682,10,그 유명한 러브 크래프트의 작품을 이북으로 구매하게 되었습니다. 땀이 흐르도록 더운 날 만원 지하철에서 읽을 생각이에요.
9788972756682,8,"아 이래서 러브크래프트, 러브크래프트하는구나!"
9788972756682,10,내가 러브크래프트를 굉장히 얕잡아 보고 있었다는 생각이 들었다. <시체를 되살리는 허버트 웨스트>만으로도 충분한 단편집. 번역이 다른 판본에 비해 무척 좋다.
9788972756682,10,러브크래프트 단편집입니다. 번역이 우수합니다.
9788931005929,8,프랑켄슈타인보다도 그를 만든 주인공의 감정 변화를 읽느라 멈출 수 없던 책이다.
9788931005929,8,"전혀 새로운 주제로는 별 다섯,구성,문체등은 별셋,저자는 사람이 신의 영역인 사람을 닮은 생명체를 창조하는 것을 이책에서 말하고있으나,역자는 실제 저자가 그런 의도까지는 없었을 것으로 추정되는 ,즉,창조된 생명체는 단순한 괴물을넘어 부조리한 제반 사회현상들도  괴물이라며 과찬하고있다."
9788931005929,10,"호러 카테고리에 이 작품이 있다는 것이 조금 당황스럽지만, 인간의 신을 넘어서려는 당시 사회에 과학이 인간에게 미치고 있는 영향, 또한 빅터가 만들어낸 이 생물체는 괴물인가 아니면 이러한 생물체를 만든 빅터가 괴물인가에 대한 생각을 하게 만드는 작품."
9788931005929,10,최초의 sf 소설이면서 최고의 sf 소설.
9788931005929,10,"메리 셸리의 책을 읽어보았는가?
프랑켄슈타인은 필수."
9788931005929,10,나의 생각과 편견을 깨뜨리게 만든 소설
9788931005929,8,재밋었음 간간히  번역체 말투가 거슬리긴했어도
9788931005929,8,기대이상의 흥미진진한 이야기
9788979196184,10,"사실 앞부분의 내용은 전반적으로 지지부진한 면이 없잖아 있었는데,사치코가 본격적으로 아파트에 침입해든 순간부터 굉장히 흥미로워지기 시작했습니다. 영화 한 편 보는것처럼 저까지 두근대더라고요.마지막 부분의 다큐멘터리와 결말 내용도 정말 좋았습니다.오랜만에 본 잘 만든 공포소설이었어요"
9788979196184,10,읽는 내내 입이 말랐다
9788979196184,10,이건 말이 필요없는 레전드.. 내가 중3때 이 책을 처음 읽고 나도 모르게 식은땀을 흘린 기억이 난다.
9788979196184,6,7/10소문과 달리 그닥 무섭지 않았다. 중년여성이 범인이라는 점에서 ‘저걸 못때려눕히나?‘ 이런생각이 많이 들어 젊은 주인공에게 공감하기 힘들었다. 생명보험 영업 뿐만아니라 지급심사 하는 사람들도 참 못할짓거리구나 싶은 생각뿐 이었다.
9788979196184,8,"오한이 떨릴 만큼의 공포는 아니지만, 우리가 사는 현실에서 일어나고 있는 사건인 보험사기라는 것을 통해 평범한 사람도 사치코와 같은 행동을 할 수 있다는 것을 보여준 것 같습니다. 그리고 그 보편적인 일반성이 오히려 극적인 묘사보다도 소름돋게 다가오네요"
9788979196184,4,잡다한 설명이 너무 많아 집중이 잘안된다.
9788979196184,8,기대했던 것만큼은 아니였지만 정말 긴장감있게 보았다.특히 그 회사씬은 정말 이 책을 보기전으로 돌아가 그 감정을 또 느끼고 싶게 할 정도로 스릴넘쳤다.
9788979196184,6,요즘 나오는 자극적인 소설에 비하면 다소 밋밋할 수 있다. 반전도 예측했고 다소 이른시점에 공개됨. 하지만 마지막 건물씬에서의 주인공 심리와 탈출하기 위한 상황에서의 생각들은 정말 스릴만점.
9788979196184,10,정말 재밋다. 어쩜 이렇게 긴장감 넘치고 섬뜩한 분위기를 묘사할 수 있을까? 읽는 내내 가슴졸이며 털끝이 바짝 서는 느낌이 들었다. 명작 b
9788979196184,8,악취가 느껴지는 소설.
9788979196184,10,이 책을 읽은지 10년이 지났다. 아직도 이 책보다 무서운 책은 없다.
9788979196184,10,사이코적인 공포물을 원할 때 추천하는 책
9788979196184,10,무섭다
9788979196184,10,책이 이렇게 무섭고 긴장감 넘칠수 있다는걸 처음 알았어요. 너무 재밌습니다. 이책읽고 영화도 보고싶었는데 영화는 못봤네요. 책 너무 재밌어요.
9788979196184,6,옛날 책이라서 그런지는 모르겠지만 내용이 너무 뻔했다 주인공이 남편을 의심할 때부터 책이 많이 남은 것을보고 아내가 범인 아니야? 하는 생각이 들었다.
9788979196184,8,"이제는 익숙한 단어가 되어버린 ‘사이코패스‘의 이야기. 영화를 본지 오래되어 기억이 희미하지만, 사치코에 대한 이미지가 다르게 느껴진다."
9788979196184,8,새벽까지 읽고 잠들었는데 악몽꾸고 가위눌렸다...
9788979196184,6,왜 주인공은 항상 살아남아야 하는가
9788979196184,10,명작은 언제 읽어도 명작이군요결말부 엘리베이터는 굉장합니다.
9788979196184,8,초반부는 그냥 평범해 보였는데.  후반부는 정말 섬찟하네요.  기시 유스케 소설 처음 봣는데 다른거도 봐야 할거 같애요.후반부 정말 무시 무시 합니다.
9788979196184,10,이 책에서 처음 사이코패스를 알았었다.. 섬뜩하고 오싹하다. 하지만 재미있다.
9788979196184,6,이럴수가 디스토피아가 아니라 그냥 스릴러 였네 소개를 잘못받았나..
9788979196184,8,책을 읽는내내 등골이 서늘하게 만드는 여름최고의 공포 호러물이 아닌가 싶습니다. 오랜만에 가슴이 너무나 뛰는 공포물을 본것 같습니다.
9788979196184,10,말이 필요없는 최고의 공포 스릴러 소설 강력추천!!!!!!!
9788979196184,10,유명한 영화지만 안보고 있다가 책으로 봄 군더더기 없는 깔끔한 전개가 맘에 들지만 사이코패스에 대한  부정확한 정보들이 약간 거슬린다 괜찮다
9788979196184,8,영화를 보고 다시 읽음.ㅋ 영화와 다른점 찾는 점도 쏠쏠한 재미인듯.ㅋ뒤로 뒤로 갈수록 점점 숨막혀오는 그 짜릿함이 엄청난 책
9788979196184,10,역시 유령이나 귀신보다 사람이 제일 무섭다. 잔잔(?)하지만 뛰어난 심리묘사. 개인차가 있겠지만 밤중에 스탠트만 켜고 보면 상당히 무섭다고 생각함..
9788979196184,10,제목만 보아도 대충 영화 추격자와 유사할꺼라는 기묘한 냄새가 나는 책... 아는 지인분이 추천해주셔서 읽은 책이지만 왜 진작 보지 않았을까 하는 아쉬움이 있다. 평소 추리나 호러 소설을 좋아해서 읽는 내내 몰입감이 극도에 달했다는... 세상에 완벽한 100점은 없다지만 나에게 만큼은 100점이다
9788979196184,6,이해 안가는 남주. 더 이해 안가는 남주 여친. 마지막 반전은 조금 무섭지만 뭐랄까 일본의 그 습한 기후처럼 습한 문체가 읽는 도중에 조금 답답함을 유발함
9788979196184,8,사다코보다 사치코가 더 무섭다
9788979196184,10,무시무시한 소설로 추천합니다. 읽는 내내 섬뜩했어요. 기시 유스케를 처음으로 알게 된 책이랍니다.
9788979196184,10,기시 유스케의 검은집 ... 말이 필요없어요 ㅎㅎ
9788979196184,10,차원이 다른 공포ㄷㄷㄷ
9788979196184,8,재밌게 읽었지요.ㅎ
9788979196184,10,책 읽으면서 공포를 느끼면서 읽은건 처음이었다
9788979196184,6,재밌어보여요
9788979196184,10,"기시 유스케야말로 호러소설의 최고봉이라고 생각합니다. 일본특유의 기괴함과 소름, 으스스한 오싹함을 선사하는 책."
9788979196184,10,"그냥 팔까도 생각했던 책이었지만, 어느날 읽고 나선 이거다 싶은 호러책!"
9788979196184,6,심플한 호러
9788979196184,8,이미 내용을 알고 있음에도 다시봐도 섬뜩합니다.
9788979196184,8,속속들어나는 진실들....
9788979196184,10,잔인하고도 미스터리한 스토리의 흥미로운 전개를 잘 표현하였다.
9788979196184,10,사이코패스에 대한 저변을 넓힐 수 있는 소설
9788979196184,10,"읽고나서 찝찝했다....그정도로 기억에난다
몰입도가 장난이 아닌거같다."
9788979196184,6,굳
9788979196184,10,최고의 스릴러 공포소설.
9788979196184,10,"텍스트로 접할 수 있는 최고치의 공포.
두말할 필요 없다. 신의 솜씨다."
9788979196184,10,여자도 남자보다 잔인하고 무서울 수 있다는 것을 알게해준 책.
9788979196184,6,인간 내면에 존재 하는 탐욕과 공포 !
9788979196184,8,본 호러중에 젤 무서웠음 ㄷㄷ
9788979196184,10,서늘서늘한 공포의 향연
9788979196184,10,"탄탄한 구성, 치밀한 트릭, 인간 내면의 악을 응시하는 작가의 기교가 어울어진 수작"
9788979196184,10,한 권의 책이자 나를 가두는 검은 집
9788979196184,8,무섭다 영화를 보고 책을봐도 정말 실제 이런사람이 있을까봐 무섭다 요즘은
9788979196184,6,공포가 무엇인가 느낄수 있다.
9788979196184,10,너무 흥미진진하고 재밌습니다 끝까지 식은땀을 흘리며 보네요
