ISBN13,rating,review
9791165764272,10,좋아요
9791165764494,2,인쇄상태 제본상태가 너무 불량하네요. 책 사면서 이런건 처음 봅니다. 제본검수좀 하셨으면
9791161011356,10,해설이 잘 되어있고 문제가 좋습니다.
9791165764500,10,굿굿굿굿굿 믿고 푸는 이동기 영어
9791197133589,10,매년 나오는 책인데 문제가 겹치지 않고 싹 다 좋은 문제로 바뀌어서 나오네요 작년에 풀었던 것과 겹치는 게 없고 퀄리티도 좋아요
9791197133589,10,역시 한길샘의 책은 딱딱 필요한 내용과 문제가 있습니다 커리를 2.0 3.0 4.0 이렇게만으로도 충분히 고득점 받을 수 있다고 생각됩니다. 좋은문제 퀄리티 있는 문제 꼼꼼한 해설 그리고 필기노트와 함께 병행해서 들을 수 있는 퀄리티 있는 강의까지 정말 좋습니다 공시생이라면 꼭 풀어봐야할 문제집이라고 생각합니다
9791162050989,10,"풀 때는 ‘무슨 이런 문제가 다 있지‘ 너무 어렵게 느껴졌는데,리뷰하면서 푸니까 답이 명쾌하네요.또 문장별로는 해석이 쉽지 않았지만, 오히려 실전에서 불필요한 부분 제거하고 해석하는 연습하기에 좋은 것 같아요!그리고 봉투라 실전 연습이 좋아요. 가격도 구성에 비해 아주 만족스럽습니다."
9791162050989,10,좋아요 역시
9791162050989,10,실전처럼 연습할 수 있고 복습할 수 있는 자료가 제공되어서 거의 완벽에 가깝습니다
9791162050989,10,심슨쌤 책은 진짜 깔끔!!기대됩니다
9791162050989,10,기대되네요
9791162050989,10,기대됩니다
9791162050989,8,좋을 것 같아요. 기대됩니다.
9791162050989,8,기대된다
9791162050989,8,기대되요
9791162050989,10,기대됩니다~~♡♡♡
9791162050989,10,기대됩니다.
9791162050989,10,기대됩니다.사고싶어요
9791162050989,10,기대됩니다 꼭 사서 풀어야지
9791162050989,8,국가직 대비는 이거로
9791162050989,10,기대됩니당!!!!!!!
9791162050989,10,국가직은 이걸로 마무리!!!
9791162050989,10,기대됩니당
9791162050989,8,기대됩니;다..
9791162050989,10,기대
9791162050989,10,기대됩니다
9791162050989,10,기대됩니다. 빨리  받아보고 싶어요~
9791162050989,8,기대됩니다
9791162050989,10,믿고 보는 심우철 선생님 해설...! ^^
9791162050989,8,기대 해요 기대
9791162050989,10,기대되고 빨리 볼 수 있었음 좋겠어요~
9791162050989,8,기대됩니다. 오래 기다렸어요~
9791162050989,8,기대됩니다
9791162050989,8,기대되네요
9791162050989,10,믿고듣는심슨
9791162050989,10,기대됩니당
9788994553092,8,중고로도 매물 많이 나오는지 몰랐어요. 그만큼 바이블이라는 뜻이겠죠. 다들 이거 쓰는 것 같아요.
9788994553092,10,편입은 필수죠이걸로 공부해서 이번 이대 편입 시험에서 까먹은거 빼고 싹 다 여기서 나왔어요 ㄷ ㄷ 정말 도움 많이 받았고 단순 암기가 아니라 영어의 전체적인 커다란 틀도 같이 학습 가능해져요 진짜 강추 괜히 바이블이 아니네요
9788994553092,10,내일 책이 오는데 뭔가 참전용사가 된 기분이네요! 수십번 해질때까지 반복할거에요ㅎ 감
9788994553092,10,지금까지 구입했던 단어장 중에 가장 좋은 것 같습니다. 어근 사진 우튜브 동영상 예문 등이 있어서 그 어떤 단어장보다 암기를 오래 유지하는데 좋네요. 좋은 책 만드느라 수고하셨다는 말이 절로 나옵니다. 감사합니다.
9788994553092,10,"많은 영어 단어들이 정리 되어 있고, 한 단어의 파생어나 어원 등이 자세하게 적혀있어서 좋아요!"
9788994553092,2,이걸 사려고 하는데 오타와 분철문제 있다하니 알라딘에선뭇무서워서 못사겠네요. 안심하고 책 구매할수 있는 알라딘이 되길 바랍니다. 전한길 3.0 분철로 주문했다 열받았던 경험이 다시 떠올라 한마디 적고 갑니다
9788994553092,10,영어 단어장의 최고봉입니다.많은 사람들이 보는 책은 다 이유가 있을 듯
9788994553092,10,도움이 됩니다.
9788994553092,10,사세요. 편입 준비생이세요? 그럼 묻지도 따지지도 말고 사세오.편입의 교과서라고 생각합니다 저는 ! 제일 큰 장점은 한 단원의 단어를 시작할 때 이미지와 영어와 함께 뜻을 연상하게 만들어준다는 점에서 시작할때 저는 수월하다는 느낌을 받았습니다.그리고 day1 이렇게 나눠져있어서 하루 량을
9788994553092,2,이거 B권 뒷쪽에 편집 아예 이상하게 되어서 책 보기가 힘든데 이거 어쩌라는거에요? 아 진짜 짜증
9788994553092,10,"처음 사면 두께에 놀라고, 내용을 보면 알차서 놀라고, 다음카페에서 계속 자료가 업데이트 되어서 놀랐습니다."
9788994553092,2,접착이 안좋아서 페이지가 그냥 뽑혀나옵니다주의하세요
9788994553092,4,일단 당일배송이 아닌데 당일배송이라고 하신 점은 좀 수정하셔야할 것 같네요..^^; 물론 택배사의 잘못도 있겠지만 그래도 구매자는 당일배송인줄 알고 구매한건데 당일날 배송이 안됐으니...
9788994553092,10,공무원 시험을 준비하게되어서 영어단어를 어떤 책을 사야하나 찾아보았는데 보카바이블이 유명하더라구요. 후기도 좋고 그래서 고민하지 않고 바로 구매했습니다!! 시험에 많이 나온 단어들부터 우선적으로 외울 수
9788994553092,2,무조건 2페이지에 하나정도는 뜻이 잘못되었거나. 아니면 뜻의 뉘앙스를 전혀 무시했거나 예시가 잘못되었거나 하는거 있음. 책 깔끔해 보여서 괜찮겠지 했는데 시간 너무 버림. 다른책 찾아보셈. 영어 아에 모르는 사람이 90년대에 나온 사전보고 그냥 분류해 놓은책같음
9788994553092,10,더 강해져서 돌아왔다.먼저 3.0에 비해 어원북 부분이 강력해 졌다.어원북에서는 접두어의 바탕이 되는 전치사와 접두어호를 바탕으로 3.0에 비해 학습에 재미를 붙일 수 있게 되었다.다음은 표제어 부분이다. 영어는 ˝image˝의 언어이듯 표제어의 의미를 시각화하여 암기에 도움을 주게 되었다.
9788994553092,2,분철 했는데 한장한장 다 붙어버려서 띠어낼려면 찢어지고 진짜 최악이네요
9788994553092,10,이 책을 보면서 공무원 시험공부를 목적으로만 단어 공부를 하는게 아니라.. 다른 시험도 보고싶을 만큼 흥미를 느끼게 됐습니다
9788994553092,2,분철된 스프링부분  핰장한장 다 붙어있었어요!!심지어 너무 붙어서 떼다 찢어지기도 했구요! 반품하려다 급해서 걍 쓰긴하는데 신경 좀 써주세요~!!
9788994553092,2,A+B권이라 해서 주문했는데 B권만 왔습니다. 일처리가 어떻게 된 일인가요?
9788994553092,2,스프링분철했는데 너무 지저분하게 돼서 왔어요. 분철한 4권 다 스프링쪽이 장끼리 다 붙어서 한장한장 다뗀다고 거의 1시간은 걸렸어요. 책찢어질뻔했다는...안붙은곳이 없던데요? 진짜 다 붙어있어서 장이 안넘어갈 정도였어요. 분철 했던곳 중에 여기가 제일 최악이네요.
9788994553092,6,밑에 이어서 씀 determination인데 determindation이라는 새로운 단어를 막 만들어내고 그러시네용 전 제가 잘못 외운줄... ^^ 근데 이거 말고도 많다는 거... 좀 신경써주세요 돈주고 샀는데 사전 켜서 ?? 하면서 찾아봐야함...
9788994553092,10,세세하게 확실히 요점적으로 잘 구성되어있어요.
9788994553092,6,"구성은 좋지만 1쇄여서 그런지 오타가 있네요,, 수험서로 사용 중인데 좀 혼란스러워요,,"
9788994553092,4,Day1부터 오타가 있네요. 이미지와 뜻이 안 맞는 부분도 있고q여야 하는 단어에 g로 적혀있는 부분도 있고. 초반부터 오타가 있으니 신뢰가 안 가네요
9788994553092,6,"시험에 자주 나오는 영어 어휘를 모으고 골라 이미지 연상학습, 어원학습, 관용어구 학습 등 다양한 방법을 통해 영어 어휘에 익숙해지고 쉽게 암기할 수 있도록 도움을 주는 책입니다."
9788994553092,10,인기가 많은 데에는 그만한 이유가 있습니다. 가족중에 공무원시험영어 과목도 단어는 이 책으로 공부해서 붙었습니다.
9788994553092,10,"어근을 이용해서 외울 수 있게 정리되어있습니다. 한 달을 기준으로 나눠서 반복하고, 점점 반복량을 늘려가면서 공부하실 추천합니다."
9788994553092,10,"공무원, 편입 시험등에 최적의 서적입니다. 시중의 영단어 책중에 시험에 적중하는 단어가 제일 많았어요."
9788994553092,10,이 책을 완벽히가 아니라 70%라도 익힌다면 영어시험 대부분은 눈물 흘리지 않고 패스할 수 있을 겁니다. 그만큼 내용이 무척이나 충실한 책입니다.
9788994553092,10,시험볼때나 보통 영단어공부할때 큰도움이 될것같은 책입니다
9788994553092,10,출제경향이나 수준을 파악해서 정리한 기출문제 TOP1000 WORDS를 반복하여 익히는것으로도 상당히 효과를 볼수 있을듯 합니다. 각 단어의 연관 예문과 이미지연상법등 다양한 방법으로 학습할수 있게 되어있고 특히 40일로 짜여져있어 마무리단계에서 훑어보며 복습하면 더 좋을듯 합니다. 추천!
9788994553092,10,영단어공부의 정석이라 생각합니다!!♡
9788994553092,10,영어공부시 유용할것같습니다 단어공부할때 도움이될것같아요~~^^
9788994553092,10,여러 시험에 유용한책인것 같습니다. 처음부터 무작정 세세히 다 보려고 하지말고 처음에는 책읽듯이 보고 그다음은 큰거위주로 좀 외우면서 보고 그다음은 예문도 같이 보고 이렇게 계속 반복하는게 좋은것 같습니다. 많이 여러번 처음부터 끝까지 보는것이 중요한것 같습니다.
9788994553092,10,영어시험에 필수적으로 나오는 단어들이 잘 나와있고 어원과 뜻과 해석들이 체계적으로 설명이되어 있어서 시험공부하는데 도움이 됩니다.
9788994553092,8,"영어시험공부할때 많이 나오는 단어, 그리고 중요도 높은 단어 먼저 공부해야 하는데, 이 책이 그 길잡이가 되어줄 수 있어요. 단어에서 막히면 끝이니까요. 이번에 개정판도 편집 깔끔하니 보기 편하네요. 어근이나 접두어 등에 대한 것도 있어서 영어단어 좀 더 외우기 쉽게 해놓기도 했어요."
9788994553092,10,출제빈도가 많은 중요한 어휘부터 체계적으로 암기하게 도와주는 보카바이블 4.0 덕분에 영어 어휘에 자신감이 많이 생기겠네요.
9788994553092,10,영어의 기본인 보카를 시험에 맞게 체계적으로 분류하고 확실히 암기하는 영어학습의 필수인 보카바이블~내용과 구성 모두 효율적이고 좋네요.
9788994553092,10,"공무원 ,편입, 토플, 탭스등 모든 영어 시험에 탁월한 영어어휘교재여서 시험을 준비하는 사람들에게 아주 유익할 것 같네요."
9788994553092,10,영어는 어휘가 참 중요한데 이 책은 그런 어휘를 좀더 효율적이고 어렵지 않게 많이 학습하게 하는 책 같아서 각종 시험에 대비해서 학습하기에 좋게 잘 짜여진 책 같네요
9788994553092,10,"가장 많이 출제되어온 기출단어,어휘등 기출문제를 집중적으로 다루어 복습효과가 확실할듯 합니다. PART1. TOP1000 WORDS만 제대로 이해하고 외우기만해도 자신감이 붙을것 같네요.중간중간 연상학습법으로 잠깐의 휴식(?)타임도 가지면서 짜임새있는 날짜별 플랜으로 막바지 스퍼트에 효과적이네요."
9788994553092,8,이 책이면 든든할 것 같습니다
9788994553092,10,"영단어 공부, 절대로 (다른 책으로는) 하지 마라!"
9788994553092,10,많이 출제된 단어로 배치되는 구성이 좋네요. 효과적으로 공부할 수 있어요. 어휘를 체계적으로 익힐 수 있어서 좋아요.
9788994553092,10,빈도수 높은 어휘들이 잘 정리되어 있어 확실히 도움이 되네요. 효율적으로 공부할 수 있습니다.
9788994553092,10,체계적인 구성으로 암기의 부담을 많이 줄여준다
9788994553092,10,영어 공부할때 꼭 필수로 거쳐야하는 교재라는 느낌이네요!!
9788994553092,10,한권으로 각종 영어 시험을 대비 가능한 잘 정리된 어휘책의 신판이라 무척 기대됩니다.
9788994553092,10,출제된 어휘를 체계적으로 정리하고 있다
9788994553092,10,시험에 자주 출제되는 어휘들을 위주로 공부할 수 있어서 효율적으로 공부할 수 있다는 점이 가장 마음에 듭니다.
9788994553092,10,영어 어휘 분야에서 확실한 강점이 있는 교재의 최강 개정판입니다.
9788994553092,10,영어공부를 할 때 필수로 사는 단어장인데 이번에는 두권으로 나누어져서 중요단어들을 집중적으로 공부할 수 있어서 많은 도움이 될 거 같아요
9788994553092,10,마지막 파트에 어원으로 접근할 수 없는 기출어휘도 놓치지 않고 공부할 수 있게 구성되어서 실용적입니다.
9788994553092,10,여러 시험에 통용되는 단어가 잘 정리되어 있어요
