ISBN13,rating,review
9791136007711,10,비전공자에게 추천하고 싶은 민법 기본서
9791136007711,10,에듀윌 공인중개사가 좋다고 해서 강의 신청했는데 책과 함께 보니까... 이해도 쉽고 가시성도 좋습니다. 눈에 잘 들어와서 여러 번 볼 수 있을 거 같아요.
9791136007711,10,이책으로 나는 공인중개사가 될수 있다!!!아자!!
9791136007711,10,에듀윌 민법책은 민법 처음공부하는 사람에게도 이해도 쉽게 정리가 잘 되어 있네요.^^
9791136007711,10,에듀윌 공인중개사 강의를 들으며 최소 5회독하면서 달달 외울 책! 빠릿빠릿한 법 개정과 최신 기출예상문제 수록으로 올해 합격을 위해 꼭 필요한 책! 괜히 이 책 안사서 한 문제 차이로 떨어졌다고 울고불고하지 말자!
9791136007704,10,32회 준비중입니다. 너무 유용하고요  교수님도 설명을 잘하셔셔 머리속에 잘 암기가 되네요본 후기는 에듀윌 온라인 스터디 참여하여 솔직하게 작성한 후기입니다
9791136007704,10,부동산학개론은 에듀윌 한권으로 끝냅시더
9791136007704,10,책이 두껍긴 하지만 글씨가 크고 한눈에 잘 들어와서 마음에 드네요.
9791136007704,10,이영방 교수님 수업도 너무 좋은데 책이 정말 잘되있어요~추천해요~
9791136007704,10,에듀윌 공인중개사 부동산학개론 기본서는 합격자수 최고기록 공식인증 된 만큼 교재가 탄탄하고 좋네요.^^
9791166620744,10,매년 공인중개사 수험서 많은 공인중개사 수험생분들이 해커스 공인​중개사 기본서로 공부하기에 공인중개사 기출문제집도도 믿고 선택했습니다.공인중개사 기출문제집은 단원별 출제 가능성이 높은 기출문제에 바로 적용하여 풀어볼 수 있도록되어있어 공부사간이 부족한 직장인들에게 많은 도움이 될것같습니다.또한 독학 하시는 분들도 합격할 수있도록 해커스 사이트에서 온라인 모의고사와 다양하고 유익한 무료학습자료 및 필수합격정보 제공하고있다고하니 저처럼 공인중개사시험을 준비하는 수헙생들이 도움받고 반드시 합격하시기를 기원합니다.독학으로 공부하시는분들에게 최고의 공인중개사 기출문제집인것 같습니다.﻿
9791166620744,10,기출문제풀이과정을 통해 실전감각을 끌어올리고 시행착오를 줄이기위해 공인중개사 공인중개사 기출문제집이 필요한시기에 해커스에서 공인중개사 기출문제집이 출판되어서 좋습니다.최근 7개년 기출문제 중 출제 가능성이 높은 문제들을 엄선하여 수록 하였다고하니 2021년 공인중개사 32회 시험을 준비하면서 공무하는데 많은 도움을 받을 수있을꺼 같아서 설레네요.그리고 기출문제집에서 무엇보다도 기출문제를 쉽게 이해할 수 있도록 자세하고 풍부한 해설이 있으며 개인적으로는 문제마다 난이도가 표시가 되어있어서 한눈에 문제난이도을 파악하여 공부하는데 많은 도움이됩니다.최신법령을 알아야 시험볼때 합격하는데 유리한데 최신 개정법령을 모두 반영했다고하니 믿고 해커스 공인중개사 1차 기출문제집으로 올한해 열심히해서 합격해보려고합니다 .﻿
9791166620744,10,이책을 보고 시험을 치는것과 아닌것은 하늘과 땅차이라고 느껴진다. 기출문제를 풀어봄으로써알고있는 지식을 더 깔끔하게 정리할 수 있는 계기가되는 책이다
9791166010446,4,개정내용이 표시되어 있지 않고 누락된게 다소 있어 공부하기에 불편함.
9791136008237,10,1순위로  이 책을 추천한다 자신감을 키워 준다 큰 흐름을 짚어준다 믿고 이 책을 펼쳐라  처음에는 외계어로 들릴것이다. 내가  무슨 말인지 못 알아듣는것이다. 교수님을 믿고  반복학습해보세요  들릴것이다. 모든 수험생 화이팅
9791164449347,4,그림이 많고 인쇄상태가 조잡함. 편집도 깔끔하지 못함.
9791164546008,10,"예비로 한 번 준비 삼아 어떤것이 공인중개사 란 것인지 알아가고 싶다면, 한 번 이 책으로 읽으면서 입문을 해 볼 수 있을 거란 생각이 든다."
9791164549528,10,공인중개사 시험에서 중요한것은 기본서가 아닐까 싶어요. 저는 해커스를 선택했는데 가독성이나 요점을 잘 잡아주는 기본서라서 생각해서예요. 책이 가독성이 좋아서 독학용으로도 좋아요!32회 공인중개사 시험은 해커스!! 합격하겠습니다
9791164549542,10,해커스 세법은 개정판이 빨리 나오는편인 것같아서 좋네요. 세법 같은 경우 법 개정이 많고 빠른 편이라 이런걸 잘 잡아주는 기본서가 좋다고 생각하는데 해커스는 그 점을 잘 잡아주는 것같아서 좋습니다
9791164549542,10,해커스 기본서 정리정돈이 잘 되어 있습니다. 삽격하신 분들이 이 기본서로 열심히 공부 하셨더라구요  저두 이번에 꼭 합격의 기쁨을 맞이하고 싶어요
9791136009241,10,민법만 생각하면 정말 가슴이 터질 것 같습니다.다양한 난이도의 문제들과 최신문제가 반영된 에듀윌 21년도 1차 출제가능 민법 문제집으로민법 시험은 걱정없이 준비하렵니다~
9791136009241,10,2021 에듀윌 주택관리사 민법 문제집으로주택관리사 1차 합격하자!!!
9791136009241,10,★합격자수 1위 에듀윌. 주택관리사 합격도 역시 에듀윌★
9791136007810,10,주택관리사 시험에 대해 알아봤더니 에듀윌이 도움이 많이 될거 같아서 기대됩니다.한국사능력검정시험도 에듀윌을 통해서 공부하고 친구들은 학사장교 시험 볼때 에듀윌로 덕을 많이 봤다고 하더라고요 ! 믿고 사는 에듀윌 이번에도 완벽하게 나온 거 같아서 좋습니다.
9791136007810,10,주택관리사 합격은 에듀윌!! 에듀윌과 함께 핵심 요약집으로 합격까지 훨훨 날아갈게여!!
9791136007810,10,인생 첫 자격증시험 에듀윌과 함께 주택자격증 따보겠습니다!!
9791136007810,10,2021년 주택관리사시험을 준비하는 직장인입니다. 일을 병행하며 공부를 해야하는 탓에 가장 효율적인 기본서와 강의를 찾는중에 에듀윌을 알게 되었는데요! 지금도 짧은 공부시간이지만 잘 정리 된 기본서 덕분에
9791136007810,10,"공부 시작이 좀 늦었는데, 에듀윌에서 만든 핵심요약집으로 하면 그 시간을 훨씬 단축시킬 수 있겠죠? 기대합니다!"
9791136007810,10,"역시 에듀윌입니다. 주택관리사 1위 교재답게 이번에도 핵심요약집을 내주시네요. 공부함에 있어서 내용이 너무 방대하고 무엇이 나올지 몰라서 걱정인데, 이렇게 요약본만 나오니 너무 다행이라고 생각합니다."
9791136007810,10,"기본서를 통한 이론 학습이 끝난 후 취약한 주제를 다시금 확인할 때, 짧은 시간 안에 전체 내용을 체계적으로 파악하고 싶을 때, 수험 준비의 마무리 단계에서나 시험 직전에 최종 점검할 때 등 다양한 경우의 학습자료로 활용할 수 있는 교재이다."
9791136007810,10,에듀윌 주택관리사 1차 핵심요약집은 평균대비 약 4배 합격률을 가지고 있는 에듀윌학원의 고유의 노하우를 담은 책이라고 생각됩니다. 과목별 최근 5개년 기출분석 자료를 통해 수험생들이 출제경향을 한 눈에 파악할 수 있고 출제비중을 알 수 있어 좋을거 같아요!
9791136007810,10,﻿주택관리사 1차 핵심요약집은 에듀윌 교재로 단권화하여 중요한 내용만 쏙쏙 뽑아 정리할 수 있을 것 같아요~ 저자들과 에듀윌만의 주택관리사 시험 합격에 대한 오랜 노하우로 1차 시험 전 핵심만 짚어 수험 적중도와 높은 핵심 교재 정말 기대되네요.
9791136007810,10,주택관리사가 회계부터 민법까지 공부할양이 많은데 핵심정리본이 있어서 공부에 도움이 많이 됩니다.
9791136006936,10,. 주택관리사 1차 기본서는 에듀윌 교재로 단권화하여 중요한 내용만 쏙쏙 뽑아 정리할 수 있을 것 같아요~ 저자들과 에듀윌만의 주택관리사 시험 합격에 대한 오랜 노하우로 1차 시험 전 핵심만 짚어 수험 적중도와 높은 기본서 교재 정말 기대되네요.
9791136006936,10,주택관리사 1차 민법 시험을 준비할 때 정말 효과적으로 공부할 수 있을 것 같아요! 자격증 시험 준비는 오로지 에듀윌책으로 하고있습니다! 주택관리사 준비도 파이팅~
9791136006936,10,"에듀윌 문제집은 퀄리티가 좋고 실제 시험과 유사한 문항의 문제, 시험 난이도가 많아 신뢰하고 구매할 수 있는 것 같습니다."
9791136006912,10,이번 주택관리사 2차의 가상 합격권 예측시스템의 반응이 뜨겁습니다.상대평가라서 시험을 보고 나서도 조마조마한 분들이 많으신데 에듀윌을 믿고 빨리 일상생활로 돌아갈 수 있다고 하시더군요. 다 에듀윌 빅데이터의 힘이라고 생각합니다. 이제 에듀윌의 힘을 빌려 2021년도에는 합격하려 합니다.
9791136006912,10,2021 주택관리사 1차 회계원리 시험교재 완성본 :에듀윌 주택관리사!단권화로 시험합격!
9791136006912,10,자격증 시험 준비는 오로지 에듀윌책으로 하고있습니다! 주택관리사 준비도 파이팅~
9791136009234,10,올해 주택관리사 합격을 목표로 열심히 공부하고 있습니다. 그간 매년 최다 합격자를 배출한 에듀윌인만큼 기대하는 바가 커요. 열심히 공부해서 저도 꼭 합격하겠습니다.
9791136009234,10,이번에 주택관리사 준비하려고 하는데 에듀윌밖에 생각이 안나더라구요~ 수험서는 역시 에듀윌인가봐요~ 워낙 합격자도 많이 배출해서 책 검증이 잘되어 있을 것 같아요~
9791136009227,10,회계의 기초부터 꼼꼼하게 학습할 수 있다는 것이 이 교재의 장점이라고 생각합니다. 또한 고난도 문제와 다양한 복습장치가 마련되어 있어 고득점도 충분히 도전할 수 있다고 생각합니다.
9791136009227,10,"주택관리사 준비하려고 하는데 역시 에듀윌로 준비해야겠다고 생각했어요. 2년 연속 최고 득점자 배출하고, 합격자수 1위라 믿고 선택할 수 밖에 없네요. 역시 에듀윌★"
9791136004253,8,기본서 보고 이책으로 정리하면 기출이 풀립니다 저자직강만 듣는데  이책보고 좋아서 신대운교수님으로  바꾼케이스에요그대로  실전에서  나오길 ...
