ISBN13,rating,review
9791136009456,10,단기간에 필기 공부하고 시험 치고 싶을 때 딱 좋은 책이네요!추가로 5회분 모의고사에 헷갈리는 표지 브로마이드도 수록되어 있어 가성비 최고인 거 같아요~
9791136009456,10,담만보는 운전면허 필기시험이라니 되게 색다르고 도움이 더 많이 될 것 같아요 !! 1트에 성공할려면 에듀윌 이겠죠~~???
9791136009456,10,"빨간색 답만보면 무조건 운전면허 필기시험 합격가능!최신 개정 1,000문항 완벽 반영하여 컬러풀한 문제구성.역시 에듀윌♥♥♥"
9791136009456,10,문제와 답만 외워도 합격할 수 있어서 운전면허 필기 단기 시험 준비자도 걱정없어요. 부록이나 문제집 혜택도 다양해서 이 문제집이라면 필기시험 한번에 합격 가능하다고 생각합니다!
9791136009456,10,"﻿에듀윌에서 <2021 답만보는 운전면허 필기시험 1종, 2종 공통> 교재가 새로 출간 되었네요. 운전면허 필기 시험에 최대한 효율적으로 대비하기 위해 제작된 교재네요. 에듀윌 교재로 단권화하여 중요한 내용만 쏙쏙 뽑아 정리할 수 있을 것 같아요~"
9791136009463,10,문제은행 방식으로 출제되는 시험의 특징을 잘 간파하여 문제에 답을 빨간색으로 표시해 답을 암기하면서 운전면허 시험에 출제되는 모든 문항을 공부할 수 있어서 훌륭합니다. 1000문항만 빠르게 훑어봐도 시험합격이 가능하다고 생각합니다!
9788996104049,6,"이 책 말고도 몇가지 초보운전책을 읽었는데 비법이라기 보단 다른 책 등에서도 있는 내용에 조금 가감한 내용인 것 같은데도, 이 책에만 있는 것처럼 책에 적혀 있습니다.. 저같은 경우에는 그러한 부분을 조금 빼주셨으면 합니다."
9788996104049,10,물면허 마지막에 면허 따고 4년간 운전은 꿈도 못 꿨던 박여사 입니다. 아들이 초등학교 입학예정이라 발등에 불이 떨어져 책 구매하고 연수 받았습니다. 정말 당연한건데 알지 못 했던 부분을 알게 되었습니다.  저처럼 겁 많고 길치에 운전감각 떨어지시는 분들께 강추합니다!
9788996104049,10,초보운전자들 필독하셔서 안전운전 하세요~차로선택법이 전 특히 좋았어요. 여타 강사들과 약간 다르게 가르치시는데 정말 탁월하시네요. 윤운하선생님 정말 감사합니다.
9788998325015,10,도로 주행 일러스트가 실감난다는 점을 빼면 그다지 실전에 유용하지 않고 차라리 <윤운하의 운전비법>을 반복해서 보는 게 낫겠다.
9788998325015,10,장농면허 10년차에 차를 구입하며 도로연수 전에 기초지식을 쌓기 위해 구입하였습니다. 간결한 설명과 재미있는 삽화. 그리고 초보 운전가 놓치기 쉬운 상식을 콕콕 집어주어서 이해하기 쉬웠습니다. 휴일 한적한 곳에서 지인과 함께 연습했는데 많은 도움이되었습니다.좋은 책이라고 생각합니다.
9791188137473,6,기본 지식 없이 이 책만 보면 안됨.
9791188137473,10,이 책으로 모의고사만 다 풀었더니 85점 나왔습니다.
9788931462630,10,운전면허 필기를 준비하는 분들에게 추천드리는 책문제은행 형식으로 수많은 문제를 풀 수 있다는 게 장점!
9788931462630,10,운전면허를 혼자서 준비할 수 있도록 도와주는 친절한 가이드&자료집
9788931462630,10,"2021 이기적 운전면허 문제은행 1,2종 공통은 운전면허라는 것에 대해 아무것도 모르는 사람이 접하기에도 어려움이 없도록 쉽게 정리되어 있다."
9788931462630,10,운전면허를 따기 위해 2021 이기적 운전면허 문제집으로 학과시험에 도전해본다. 이 책 한권 1000문제로 외워본다
9788931462630,10,나도 곧 베스트 드라이버! 운전면허 학과시험 이 한 권으로 끝낼 수 있다!운전면허 문제은행 이것만 보면 됨!!
9788940644072,8,정답이 아래부분에 되어있어서 다시 풀어보구 할수 있어서 좋아요!다른건 정답이 빨간색으로 표시되서 불편했는데 이건 복습할수 있어서 좋네요!
