ISBN13,rating,review
9791136005182,10,한자자격증 따야지 따야지 하면서 미뤄왔는데  애듀윌에서 책이 나오네요 이번에는 에듀윌 책으로 미루지 않고 자격증 꼭 따겠습니다ㅎㅎ
9791136005182,10,"공무원 국어 시험 한자파트에 대비 할 책을 찾고 있었는데 딱 발견했어요. 아직 본격적으로 시험준비는 하지않지만 영단어, 한자,사자성어 외우기, 한국사 틀 잡기 정도 하고 있는데 ˝에듀윌 상공회의소 한자3급2주끝장˝책으로 한자한번 뽀사볼랍니다!!"
9791136005182,10,한자 자격증 교재를 찾던 중 에듀윌 교재가 활용하기 좋았다는 블로그 글을 많이 보았습니다. 이책과 함께 꾸준히 공부한다면 한달 뒤에 있을 상공회의소 3급 시험응 합격할수있을것같아요!
9791136005182,10,저자의 오랜 노하우로 단 2주 목표 상공회의소 3급 따기 프로젝트에 도전해 볼까 싶네요~~
9791136005182,10,"너무 많아서 늘 작심삼일로 포기하는 한자, 에듀윌 2주 플랜 따라서 단기간에 합격 노려요~"
9788991325357,10,한자책을 쉽게 이해하고 볼수 있게 되어있어서 좋네요알라딘에서 책을 사면 저렴하고 배송도 빨라서 아주 좋아요
9788991325357,10,좋아요
9788965723530,10,체계적인 학습이 가능합니다
9788965723530,10,에듀윌 한자능력검정시험 교재 덕분에 2급 합격!공부하기에 편하게 교재가 구성되어있어서 만족했어요~에듀윌 믿고 공부하면 금방 합격할수있어요!
9791187791744,10,아이 한자능력시험 준비하면서 단계별로 구매하여 공부하고 있어요
9788995542330,10,딸아이의 한자 공부를 위해서 주문했는데요..활용을 잘했습니다. 자격증 준비하는데도 도움이 되었구요.앞으로고 급수를 계속 업그레이드 시켜서 구입할까해요.한자 공부는 확실히 어휘를 이해하는데 도움이 많이 되는 것 같아요.
9788995542330,10,"한자암기박사는 어원 설명이 잘 되어있어서 외우기 쉬운 대신 글자가 너무 작아요. 성인은 한자암기박사가 좋은데, 어린이가 보기엔 별로.. 급수별로 성취감도 느낄 수 있고 이 책 좋아요. 전 둘다 갖고 있습니다. 사정상 숫자 四도 모르고 자란 성인인 저도 준4급 목표로 공부하니 재미나네요"
9788995542330,10,한단계를 올리기가 힘들군...
9788995542330,8,"배송빠르고, 포장 잘되고.책내용은 초록, 검정색으로만 되있네요.내용은 좋아요."
9791125422419,2,미리보기에 속았음. 정말 별로임.미리보기는 하얀색 바탕에 빨강 파랑 글씨로 참 눈에 확확 잘 들어왔는데 실제 책은 누런색 신문종이같은 거에 적색 청록색 글씨가 우중충하고 눈에 안들어옴. 색깔을 저렇게 희안하게 눈에 참 안 읽히게 만드는 것도 재주임. 예시단어 폰트는 네모난 한자폰트라 더함
9791125422419,4,책은 작아서 휴대하기 괜찮고 암기 필터도 괜찮은데 기적의 암기공식인 연상 암기법이 억지가 너무 심해서 그냥 외우는 게 더 좋은 책
9791125422419,10,한자공부에 도움이 되는건 확실합니다.
9791125422419,6,구판에 비해서 책 디자인이 퇴보하다니... 한자암기박사는 스스로 독학하다는 것이 장점인데 괜히 동영상 이랑 이것저것 들어가서 번잡해 졌네요. 그래도 이 책으로 3급 시험 94점 맞아서 아끼는 책이였는데ㅠㅠ 2급~8급 구판책은 아직 수량 남아있어서 그거 구매해요
9791125422419,8,"한자책이 여러개있는데 그중 가장 보기편하고 쉽게 접근할수있는 책을 찾아보다 구매하게되었습니다. 책에는 기존 무턱대고 외우는 방식이 아닌 연상학습법을 소개하였는데 이 연상학습법을 이용하면 책을 읽다보면 자연스럽게 이해가 되고, 쉽게 외울수있었습니다."
9788995542316,10,혼자서도 잘 할 수 있게 구성 좋아요
9788995542316,8,공부하기에 편리합니다. 그림이 없어서 저는 더 간결하고 좋은듯요
