ISBN13,rating,review
9791164136261,10,굿
9791164136261,10,흔한남매 기다리고 있어요~~~~
9791164136261,10,흔한남매 기다리고 있어요~~~~
9791164136261,10,기대되요!
9791164136261,2,이 유튜버는 15세 이상으로 초등 저학년에게는 적합하지 않습니다.
9791164137176,10,독서하면서 흥미 잃을때 한번씩 읽기 좋네요~~*^^*
9791164137176,10,아이가 꺌꺌 웃스며 책을 잃네요
9791164137176,10,아이가 깔깔깔 합니다.다 읽고 2권도 있다면서 웃네요^^
9791164137176,10,"아이가 흔한남매 책을 다 좋아하는데, 방탈출 소재로도 책이 나와 기대되네요. 빨리 배송 오면 좋겠어요."
9791164137176,10,아 스토리가 새로워요 내용이 궁금해서 꼭 사보렵니당
9791164137176,10,흔남 캐릭터 너무 좋아해요~ 아이랑 매일 같이 책보는데 어른이 보기에도 흥미진진하니 계속 재미있게 만들어주셨으면 좋겠어요~~~ 이번책도 너무너무 기디됩니다~~~^^
9791164137176,10,아이가 너무 좋아합니다. 아이가 책읽으면서 재밌어하며 집에서 시간 보낼 수 있는 신간이 나와서 너무 좋네요.
9791164137176,10,코로나때문에 방탈출을 못하고 있는우리 애들 이 책 보고 어여 방탈출했으면 소원이 없겠어요..ㅠㅠ
9791164137176,10,제목만 봐도 지갑이 열리네요 크리스마스 선물 기본템으로 넣고 봅니다
9791164137176,10,저희 아이가 흔한남매 책을 정말 좋아해요..이번엔 방탈출얘기고 스토리북이라 구매해 봅니다. 풀어가는 재미가 있겠네요
9791164137176,10,우리 아들이 사랑하는 흔한남매책 또 나왔네요! 지갑이 텅텅거리지만 또 하나 사줘야겠네요! 우리 아들이 얼마나 좋아할지 설렙니다
9791164137176,10,퀴즈도 풀고 이야기도 즐길 수 있다니 재밌을 것 같네요~~^^
9791164137176,2,흔한남매 책 광고 좀 안 받게 해주세요. 외모 비하도 심하고  아들한테 안 보여주고 깊은데 신간이 너무 많네요.
9791190980302,6,완결이 언제쯤..
9788952788719,10,초등 3학년 올라가는 아들이 이렇게 재미있는 책은 처음이라며 얼른 리뷰를 올리라고 하네요. 영화도 찾아서 보려고 합니다~! 말그대로 이야기가 ‘마법‘같은 이야기라서 너무 흥미진진하고 재미있다고 합니다.
9788952788719,10,저도좋아하던책초1아들도너무재밌다고 난리난리 너무좋아해요
9788952788719,10,내가 어렸을 적 가장 재미있게 읽은 책!영화가 나오고 언니와 보러갔었다.이젠 내 딸에게 구입해주려고 하는데...내가 초등학교 몇학년 때 읽었더라...? 기억이 가물가물^^
9788952788719,10,주인공 찰리가 결국엔잘 되리라 생각하면서도안타깝고 기대되는. . 찰리와 대조되는 아이들을 보며.. . 부모로서의 나도 돌아보게된다
9788952788719,10,아이가 도서관에서 보고 상상 가득한 로알드 달 작가의 찰리와 초코릿공장 읽어보고 싶다해서 책 구매합니다~~영화도 꼭 보여줘야겠어요
9791164134847,2,"잠들기전 받아볼 수 있다해서 주문했더니,,,.. 왠걸 그 다음날 오후까지 안오고요~~ 고객센터는 불통이고,,, 회사에  무슨 문제가 있는거 아닌가요~~???? 심히 걱정됩니다!!!"
9791164134847,10,재밌어요
9791164134847,8,재미있다고 하네요
9791164134847,10,아이가 역시나 좋아하네요~~ 5권도 빨리 부탁드려요^^
9791164134847,10,흔한남매 시리즈 계속 구매하는데 책이 얇아 아이가 넘 빨리 읽어 슬퍼합니다.아이가 즐거워 하니 나올때마다 구매합니다.
9791164134847,10,오늘 받았는데 아이들이 쉬지 않고 읽고 또 읽고 하네요.
9791164134847,10,아이가 기다리고 기다렸어요~ 4권 오기전 1~3권 다시보기는 필수이죠^^
9791164134847,10,안흔한남매   흔한남매 1 ~ 3권 모두 있고 4권도 기대 가득입니다 ^^
9791164134847,10,"흔한남매 1, 2, 3을 모두 섭렵하고, 심지어 흔한남매 안 흔한 일기 1도 독파한 우리 아이들을 위하여 흔한남매 4를 예약 구매!"
9791164134847,10,1권 2권 3권이 재미있어서 4권도 기대돼용♡
9791190980203,10,아이가 출간 기다리는 책중 하나입니다
9791190980203,10,아람이귀여워
9791190980203,10,빠른배송....아이들이 용돈을 모아 구매하는 책이네요. 이번에도 예약 꾹꾹!!!!!
9791190980203,10,중학생아들 깜짝선물로 또 구입하네요사은품 학생증2개 잘 챙겨서 보내주세용~~알림 설정해놓으니  신간 나오는것 빨리 구매하니 좋네요
9791190980203,10,21번째 예약이네요벌써 딸들이 중학생이 되었네요...학생증 2개 주세욤 ㅋㅋ
9791190980203,10,좀비고등학교 21권 예약구매 ..고고싱
9791164387557,10,큰아이가 용돈을 모아서 구입하는 책이에요 유튜브에서 재미있게 본 내용이라면서 한껏 들떴더라고요 ^^
9788950992156,8,애들이 좋아할 내용이네요
9788950992156,8,우리 아이들이 재미있게 볼수 있을듯요
9788950992156,4,그림 귀엽네!!
9788950992156,6,궁금하네요
9788950992156,2,뼌뻔히 책 파는 급식왕절대 사지 마세요
9788950992156,10,아이가 흔한남매하고 급식왕 좋아해요~~
9788934911012,6,조카들한테 인기 좀 끌어보겠습니다.
9788934911012,10,아이가 너무 좋아하는 <말이야와친구들> 이 책으로 나온다니 마구 설레요~아이랑 같이 재밌게 읽어볼려구요^^
9788934911012,10,어떤 내용이 펼쳐질지 정말 궁금합니다
9788934911012,8,재미있을 것 같아요. 아이들도 흥미있게 볼 것 같네요^^
9788934911012,10,유투브에서 보던것들인데 다양한 구성으로 나와 너무 좋으네요^^
9788934911012,10,재미있는 컨텐츠만 모은거라 더 재미있을것 같아요~기대 됩니다~^^
9788934911012,8,재밌겠네요 기대됩니다~~
9788934911012,8,책으로 볼 수 있다니..기대됩니다!!!
9788934911012,10,드디어 말이야와 친구들이 코믹스로 출간되었군요. 유튜브 팬인데 엄청 기대됩니다!^^
9788934911012,10,재밌을 것 같아요 기대됩니다
9791164136223,10,아이들이 좋아 하네요
9791164136223,10,너무 재밌어요!
9791164136223,2,미리 보기를 보니 아동용이 아니라 어른들에게 웃기는 내용 입니다.  아동이 등장한다고 해서 아동용이 아닌거죠.
9791164134267,2,저는 이제 아이들에게 흔한남매 관련책은 사주지않기로 했습니다 아이들이 책을 보고 흔한남매에 관심을 가지며 유튜브로 찾아보더니 7살 아이들이 하면 안되는 비속어를 사용하더군요7살아이가 신난다며 지렸다라는 표현을 쓰는데 하.. 흔한남매 관련책을사주시려는 부모님들은 참고하세
9791164134267,10,애들이 재밌대요.
9791164134267,8,재밌습니다..정말
9791164134267,10,아이들이 엄청좋아해요초등저학년에선 모르는애들이없는것같아요친구들이빌려달라고 할정도로 인기많네요
9791164134267,10,우리집도 #흔한남매 살지요~..#대구교보문고 #흔한남매사인회 못가서 엄청 아쉬워한 #남매그래도 #흔한남매3권 보고 기분 풀림~3권이 젤 잼있다는 딸택배받자마자 읽고 친구빌려준다고 가져갔어요~~..둘째는 유치원
9791164134267,10,딸아이가 너무 좋아해서 3권이 나오자마자 예약구매하였습니다. 역시나 정말 좋아하며 순식간에 다 읽어버렸네요. ㅎ항상 감사드리며 4편 기다리겠습니다. ^^
9791164134267,10,애들이 너무 좋아해요 하루 종일 놓지않고 보고 있어요
9791164134267,10,기대됩니다^^
9791164132454,10,난리네요  조카꺼까지구입합니다
9791164132454,10,원래 아이가 흔한남매 광팬입니다 엄마입장에선 내용이 별루 안좋은것 같아 되도록 안보게 하고 싶지만 아이들이 워낙 좋아하니 어쩔수가 없네요
9791164132454,6,아이들이 좋아하네요.
9791164132454,10,아들이 이것만 봐요 빨리 3권도 주세요ㅜ_ㅜ
9791164132454,10,저희 딸 아이가 너무너무 좋아해서 나오자마자 바로 구매했습니다. 앞으로 몇권까지 나올지 모로겠으나 한결같이 사랑해드리겠습니다. 아이에게 그나마 책을 읽을 수 있도록 흥미있는 책을 만들어주셔서 감사합니다. ^^
9791164132454,10,9살 조카가 엄청 좋아해서 사줬는데 학교 가져갔다 서랍에 뒀다는데....잃어버리고 왔어요ㅠ 너무 인기많은 흔남ㅠㅠ
9791164132454,10,아들이 너무 좋아합니다. 들고다니면서 보고 또 보고 또 보고 정말 귀여워요 ㅎㅎ
9791164132454,10,"아들이 친구한테 놀이터에서 흔한남매 1권을 빌려보더니, 재미있다고 사달라고 해서 주문했어요. 예약판매라 조금 기다렸지만 배지를 얻어서 좋아하네요. 재미있대요."
9791164132454,10,저희 딸이 너무 팬이에요~ 하루도 빠짐없이 흔한남매 꼭 챙겨보는 열정을 보이는 딸에게 멋진 선물이 되었으면 좋겠어서 예약 구매 하였습니다~ 얼른 받아서 딸에게 짜잔~하고 서프라이즈 해주고싶어요:)
9791164132454,10,흔한남매 요즘에도 유투브며 tv에서도 매일 보고 있는 아이랍니다. 책도 벌써 예약을 하고 기다리는중입니다. 근데 팬싸인회까지 당첨 되면 아이가 너무너무 좋아할것 같아 글 남겨봅니다. 근데 여기에 남겨도 추첨을 하나요?
9791164132454,10,딸아이가 흔한남매를 너무 좋아해서 2권도 구입했어요~으뜸이랑 에이미를 보고싶어하는 아이에게 좋은소식 들려주고싶습니다♡
9791164132454,10,드뎌 흔한남매 2가 나왔네요~ 딸 덕분에 저도 흔한남매 덕후가 되어버렸네요^^  1권때  팬사인회 못가봐서 너무 아쉬워하던 딸이 모습에 이번에 혹시나 하는 마음에 글 남겨봅니다제~~발 우리 모녀에게 기분좋은 행운이 따르길 바래봅니다냐햐 뷔앤비~~ 오위~~~~~~
9791164132454,10,흔한남매 1편에 이어서 흔한남매 2편~^^♡  너무 너무 기다렸어요~~~^^♡♡♡ 예약구매완료!!! 어서 보고 싶어요♡
